CIA - The World Factbook 2002 -- Field Listing - Electricity - imports

| Country | Electricity - imports ( kWh) |
| **Colombia** | 77 million kWh (2000) |
| **Comoros** | 0 kWh (2000) |
| **Congo, Democratic Republic of the** | 55 million kWh (1999) |
| **Congo, Republic of the** | 126 million kWh (1999) |
| **Cook Islands** | 0 kWh (2000) |
| **Costa Rica** | 22 million kWh (2000) |
| **Cote d'Ivoire** | 0 kWh (1999) |
| **Croatia** | 3.7 billion kWh (2000) |
| **Cuba** | 0 kWh (2000) |
| **Cyprus** | 0 kWh (2000) |
| **Czech Republic** | 8.725 billion kWh (2000) |
| **Denmark** | 8.318 billion kWh (2000) |
| **Djibouti** | 0 kWh (2000) |
| **Dominica** | 0 kWh (2000) |
| **Dominican Republic** | 0 kWh (2000) |
| **East Timor** | 0 kWh |
| **Ecuador** | 0 kWh (2000) |
| **Egypt** | 0 kWh (2000) |
| **El Salvador** | 750 million kWh (2000) |
| **Equatorial Guinea** | 0 kWh (2000) |
| **Eritrea** | 0 kWh NA kWh (2000) |
| **Estonia** | 0 kWh (2000) |
| **Ethiopia** | 0 kWh (2000) |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (1999) |
| **Faroe Islands** | 0 kWh (2000) |
| **Fiji** | 0 kWh (2000) |
| **Finland** | 12.206 billion kWh (2000) |
| **France** | 3.737 billion kWh (2000) |
| **French Guiana** | 0 kWh (2000) |
| **French Polynesia** | 0 kWh (2000) |
| **Gabon** | 0 kWh (2000) |
| **Gambia, The** | 0 kWh (2000) |
| **Gaza Strip** | NA kWh; note - electricity supplied by Israel |
| **Georgia** | 1.2 billion kWh (2000) |
| **Germany** | 44.5 billion kWh (2000) |
| **Ghana** | 400 million kWh (2000) |
| **Gibraltar** | 0 kWh (2000) |
| **Greece** | 1.729 billion kWh (2000) |
| **Greenland** | 0 kWh (2000) |
| **Grenada** | 0 kWh (2000) |
| **Guadeloupe** | 0 kWh (2000) |
| **Guam** | 0 kWh (2000) |
| **Guatemala** | 123 million kWh (2000) |
| **Guernsey** | NA kWh |
| **Guinea** | 0 kWh (2000) |
| **Guinea-Bissau** | 0 kWh (2000) |
| **Guyana** | 0 kWh (2000) |
| **Haiti** | 0 kWh (2000) |
| **Holy See (Vatican City)** | NA kWh; note - electricity supplied by Italy |
| **Honduras** | 275 million kWh (2000) |
| **Hong Kong** | 9.195 billion kWh (2000) |
| **Hungary** | 5.2 billion kWh (2000) |
| **Iceland** | 0 kWh (2000) |
| **India** | 1.385 billion kWh (2000) |
| **Indonesia** | 0 kWh (2000) |
| **Iran** | 0 kWh (2000) |
| **Iraq** | 0 kWh (2000) |
| **Ireland** | 169 million kWh (2000) |
| **Israel** | 12 million kWh (2000) |
| **Italy** | 44.831 billion kWh (2000) |
| **Jamaica** | 0 kWh (2000) |
| **Japan** | 0 kWh (2000) |
| **Jersey** | NA kWh |
| | *note:* electricity supplied by France |
| **Jordan** | 650 million kWh (2000) |
| **Kazakhstan** | 3.102 billion kWh (2000) |
| **Kenya** | 140 million kWh (2000) |
| **Kiribati** | 0 kWh (2000) |
| **Korea, North** | 0 kWh (2000) |
| **Korea, South** | 0 kWh (2000) |
| **Kuwait** | 0 kWh (2000) |
| **Kyrgyzstan** | 321 million kWh (2000) |
| **Laos** | 142 million kWh (2000) |
| **Latvia** | 2.59 billion kWh (2000) |
| **Lebanon** | 1.25 billion kWh (2000) |
| **Lesotho** | 100 million kWh |
| | *note:* electricity supplied by South Africa (2000) |
| **Liberia** | 0 kWh (2000) |
| **Libya** | 0 kWh (2000) |
| **Liechtenstein** | 232.847 million kWh NA kWh (2001) |
| **Lithuania** | 3 billion kWh (2000) |
| **Luxembourg** | 6.458 billion kWh (2000) |
| **Macau** | 175 million kWh (2000) |
| **Macedonia, The Former Yugoslav Republic of** | 75 million kWh (1999) |
| **Madagascar** | 0 kWh (2000) |
| **Malawi** | 0 kWh (2000) |
| **Malaysia** | 11 million kWh (2000) |
| **Maldives** | 0 kWh (2000) |
| **Mali** | 0 kWh (2000) |
| **Malta** | 0 kWh (2000) |
| **Martinique** | 0 kWh (2000) |
| **Mauritania** | 0 kWh (2000) |
| **Mauritius** | 0 kWh (2000) |
| **Mexico** | 2.145 billion kWh (2000) |
| **Moldova** | 1.2 billion kWh (2000) |
| **Monaco** | NA kWh |
| | *note:* electricity supplied by France (1999) |
| **Mongolia** | 181 million kWh (2000) |
| **Montserrat** | 0 kWh (2000) |
| **Morocco** | 1.1 billion kWh (2000) |
| **Mozambique** | 100 million kWh (2000) |
| **Namibia** | 863 million kWh |
| | *note:* supplied by South Africa (2000) |
| **Nauru** | 0 kWh (2000) |
| **Nepal** | 174 million kWh (2000) |
| **Netherlands** | 22.946 billion kWh (2000) |
| **Netherlands Antilles** | 0 kWh (2000) |
| **New Caledonia** | 0 kWh (2000) |
| **New Zealand** | 0 kWh (2000) |
| **Nicaragua** | 100 million kWh (2000) |
| **Niger** | 200 million kWh (2000) |
| **Nigeria** | 0 kWh (2000) |
| **Niue** | 0 kWh (2000) |
| **Norway** | 1.474 billion kWh (2000) |
| **Oman** | 0 kWh (2000) |
| **Pakistan** | 0 kWh (2000) |
| **Panama** | 120 million kWh (2000) |
| **Papua New Guinea** | 0 kWh (2000) |
| **Paraguay** | 0 kWh (2000) |
| **Peru** | 0 kWh (2000) |
| **Philippines** | 0 kWh (2000) |
| **Poland** | 3.29 billion kWh (2000) |
| **Portugal** | 4.698 billion kWh (2000) |
| **Puerto Rico** | 0 kWh (2000) |
| **Qatar** | 0 kWh (2000) |
| **Reunion** | 0 kWh (2000) |
| **Romania** | 775 million kWh (2000) |
| **Russia** | 8 billion kWh (2000) |
| **Rwanda** | 70 million kWh (2000) |
| **Saint Helena** | 0 kWh (2000) |
| **Saint Kitts and Nevis** | 0 kWh (2000) |
| **Saint Lucia** | 0 kWh (2000) |
| **Saint Pierre and Miquelon** | 0 kWh (2000) |
| **Saint Vincent and the Grenadines** | 0 kWh (1999) |
| **Samoa** | 0 kWh (2000) |
| **San Marino** | 185 kWh |
| | *note:* electricity supplied by Italy (2000) |
| **Sao Tome and Principe** | 0 kWh (2000) |
| **Saudi Arabia** | 0 kWh (2000) |
| **Senegal** | 0 kWh (2000) |
| **Serbia and Montenegro** | 914 million kWh (2000) |
| **Seychelles** | 0 kWh (2000) |
| **Sierra Leone** | 0 kWh (2000) |
| **Singapore** | 0 kWh (2000) |
| **Slovakia** | 4.5 billion kWh (2000) |
| **Slovenia** | 700 million kWh (2000) |
| **Solomon Islands** | 0 kWh (2000) |
| **Somalia** | 0 kWh (2000) |
| **South Africa** | 5.294 billion kWh (2000) |
| **Spain** | 12.166 billion kWh (2000) |
| **Sri Lanka** | 0 kWh (2000) |
| **Sudan** | 0 kWh (2000) |
| **Suriname** | 0 kWh (2000) |
| **Swaziland** | 564 million kWh |
| | *note:* supplied by South Africa (2000) |
| **Sweden** | 18.306 billion kWh (2000) |
| **Switzerland** | 24.33 billion kWh (2000) |
| **Syria** | 0 kWh (2000) |
| **Taiwan** | 0 kWh (2000) |
| **Tajikistan** | 3.2 billion kWh (2000) |
| **Tanzania** | 45 million kWh (2000) |
| **Thailand** | 2.7 billion kWh (2000) |
| **Togo** | 435 million kWh |
| | *note:* electricity supplied by Ghana (2000) |
| **Tonga** | 0 kWh (2000) |
| **Trinidad and Tobago** | 0 kWh (2000) |
| **Tunisia** | 2 million kWh (2000) |
| **Turkey** | 3.791 billion kWh (2000) |
| **Turkmenistan** | 0 kWh (2000) |
| **Turks and Caicos Islands** | 0 kWh (2000) |
| **Uganda** | 1 million kWh (2000) |
| **Ukraine** | 0 kWh (2000) |
| **United Arab Emirates** | 0 kWh (2000) |
| **United Kingdom** | 14.308 billion kWh (2000) |
| **United States** | 48.879 billion kWh (2000) |
| **Uruguay** | 1.3 billion kWh (2000) |
| **Uzbekistan** | 5 billion kWh (2000) |
| **Vanuatu** | 0 kWh (2000) |
| **Venezuela** | 0 kWh (2000) |
| **Vietnam** | 0 kWh (2000) |
| **Virgin Islands** | 0 kWh (1999) |
| **West Bank** | NA kWh |
| **Western Sahara** | 0 kWh (2000) |
| **Yemen** | 0 kWh (2000) |
| **Zambia** | 100 million kWh (2000) |
| **Zimbabwe** | 4.5 billion kWh (2000) |

This page was last updated on 19 March 2003
 
