CIA - The World Factbook --  Suffrage   

This entry gives the age at enfranchisement and whether the right to vote is universal or restricted.

| Rank | country | Suffrage | Date of Information |
| 159 | Mayotte | 18.00 | NA |
| 160 | Moldova | 18.00 | NA |
| 161 | Macau | 18.00 | NA |
| 162 | Madagascar | 18.00 | NA |
| 163 | Kyrgyzstan | 18.00 | NA |
| 164 | Kenya | 18.00 | NA |
| 165 | Jordan | 18.00 | NA |
| 166 | Jamaica | 18.00 | NA |
| 167 | Iraq | 18.00 | NA |
| 168 | Cote d'Ivoire | 18.00 | NA |
| 169 | Italy | 18.00 | NA |
| 170 | Israel | 18.00 | NA |
| 171 | Laos | 18.00 | NA |
| 172 | Kazakhstan | 18.00 | NA |
| 173 | Kosovo | 18.00 | NA |
| 174 | Christmas Island | 18.00 | NA |
| 175 | Iran | 18.00 | NA |
| 176 | India | 18.00 | NA |
| 177 | Iceland | 18.00 | NA |
| 178 | Hungary | 18.00 | NA |
| 179 | Croatia | 18.00 | NA |
| 180 | Honduras | 18.00 | NA |
| 181 | Hong Kong | 18.00 | NA |
| 182 | Haiti | 18.00 | NA |
| 183 | Georgia | 18.00 | NA |
| 184 | Gambia, The | 18.00 | NA |
| 185 | France | 18.00 | NA |
| 186 | French Polynesia | 18.00 | NA |
| 187 | Faroe Islands | 18.00 | NA |
| 188 | Micronesia, Federated States of | 18.00 | NA |
| 189 | Falkland Islands (Islas Malvinas) | 18.00 | NA |
| 190 | Finland | 18.00 | NA |
| 191 | Dominican Republic | 18.00 | NA |
| 192 | Dominica | 18.00 | NA |
| 193 | Djibouti | 18.00 | NA |
| 194 | Denmark | 18.00 | NA |
| 195 | Cyprus | 18.00 | NA |
| 196 | Cook Islands | 18.00 | NA |
| 197 | Cape Verde | 18.00 | NA |
| 198 | Costa Rica | 18.00 | NA |
| 199 | Sri Lanka | 18.00 | NA |
| 200 | Chad | 18.00 | NA |
| 201 | Cambodia | 18.00 | NA |
| 202 | Canada | 18.00 | NA |
| 203 | Bulgaria | 18.00 | NA |
| 204 | Bhutan | 18.00 | NA |
| 205 | Belarus | 18.00 | NA |
| 206 | Benin | 18.00 | NA |
| 207 | Anguilla | 18.00 | NA |
| 208 | Andorra | 18.00 | NA |
| 209 | Angola | 18.00 | NA |
| 210 | American Samoa | 18.00 | NA |
| 211 | Argentina | 18.00 | NA |
| 212 | Australia | 18.00 | NA |
| 213 | Indonesia | 17.00 | NA |
| 214 | Seychelles | 17.00 | NA |
| 215 | Timor-Leste | 17.00 | NA |
| 216 | Sudan | 17.00 | NA |
| 217 | Korea, North | 17.00 | NA |
| 218 | Austria | 16.00 | NA |
| 219 | Isle of Man | 16.00 | NA |
| 220 | Jersey | 16.00 | NA |
| 221 | Nicaragua | 16.00 | NA |
| 222 | Guernsey | 16.00 | NA |
| 223 | Cuba | 16.00 | NA |
