CIA - The World Factbook --  Stock of narrow money   

This entry, also know as "M1," comprises the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy, measured at a specific point in time. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. Narrow money consists of more liquid assets than broad money and the assets generally function as a "medium of exchange" for an economy.

| Rank | country | Stock of narrow money | Date of Information |
| 86 | Malta | $ 5,195,000,000 | NA |
| 87 | Cote d'Ivoire | $ 5,094,000,000 | NA |
| 88 | Panama | $ 5,040,000,000 | NA |
| 89 | Burma | $ 4,907,000,000 | NA |
| 90 | Uzbekistan | $ 4,895,000,000 | NA |
| 91 | Ethiopia | $ 4,764,000,000 | NA |
| 92 | Belarus | $ 4,747,000,000 | NA |
| 93 | Dominican Republic | $ 4,734,000,000 | NA |
| 94 | Costa Rica | $ 4,504,000,000 | NA |
| 95 | Iceland | $ 4,413,000,000 | NA |
| 96 | Sri Lanka | $ 4,400,000,000 | NA |
| 97 | Bolivia | $ 4,374,000,000 | NA |
| 98 | Cyprus | $ 4,341,000,000 | NA |
| 99 | Bosnia and Herzegovina | $ 4,098,000,000 | NA |
| 100 | Afghanistan | $ 3,943,000,000 | NA |
| 101 | Macau | $ 3,831,000,000 | NA |
| 102 | Trinidad and Tobago | $ 3,734,000,000 | NA |
| 103 | Uruguay | $ 3,706,000,000 | NA |
| 104 | Lebanon | $ 3,692,000,000 | NA |
| 105 | Serbia | $ 3,554,000,000 | NA |
| 106 | Yemen | $ 3,551,000,000 | NA |
| 107 | Tanzania | $ 3,394,000,000 | NA |
| 108 | Brunei | $ 3,374,000,000 | NA |
| 109 | Namibia | $ 3,049,000,000 | NA |
| 110 | Nepal | $ 3,030,000,000 | NA |
| 111 | Cameroon | $ 2,888,000,000 | NA |
| 112 | Senegal | $ 2,800,000,000 | NA |
| 113 | Albania | $ 2,708,000,000 | NA |
| 114 | Mozambique | $ 2,657,000,000 | NA |
| 115 | Paraguay | $ 2,600,000,000 | NA |
| 116 | Papua New Guinea | $ 2,551,000,000 | NA |
| 117 | El Salvador | $ 2,534,000,000 | NA |
| 118 | Congo, Republic of the | $ 2,403,000,000 | NA |
| 119 | Uganda | $ 1,997,000,000 | NA |
| 120 | Mauritius | $ 1,889,000,000 | NA |
| 121 | Equatorial Guinea | $ 1,860,000,000 | NA |
| 122 | Gabon | $ 1,835,000,000 | NA |
| 123 | Barbados | $ 1,793,000,000 | NA |
| 124 | Mali | $ 1,758,000,000 | NA |
| 125 | Benin | $ 1,551,000,000 | NA |
| 126 | Jamaica | $ 1,432,000,000 | NA |
| 127 | Burkina Faso | $ 1,416,000,000 | NA |
| 128 | Eritrea | $ 1,382,000,000 | NA |
| 129 | Honduras | $ 1,296,000,000 | NA |
| 130 | Bahamas, The | $ 1,284,000,000 | NA |
| 131 | Nicaragua | $ 1,273,000,000 | NA |
| 132 | Zambia | $ 1,234,000,000 | NA |
| 133 | Madagascar | $ 1,233,000,000 | NA |
| 134 | Moldova | $ 1,221,000,000 | NA |
| 135 | Georgia | $ 1,175,000,000 | NA |
| 136 | Botswana | $ 1,146,000,000 | NA |
| 137 | Macedonia | $ 1,146,000,000 | NA |
| 138 | Armenia | $ 1,131,000,000 | NA |
| 139 | Chad | $ 920,900,000 | NA |
| 140 | Aruba | $ 865,000,000 | NA |
| 141 | Tajikistan | $ 863,000,000 | NA |
| 142 | Cambodia | $ 850,700,000 | NA |
| 143 | Montenegro | $ 816,800,000 | NA |
| 144 | Haiti | $ 787,200,000 | NA |
| 145 | Niger | $ 782,600,000 | NA |
| 146 | Togo | $ 754,500,000 | NA |
| 147 | Fiji | $ 748,000,000 | NA |
| 148 | Kyrgyzstan | $ 714,900,000 | NA |
| 149 | Lesotho | $ 653,300,000 | NA |
| 150 | Laos | $ 630,000,000 | NA |
| 151 | Malawi | $ 626,500,000 | NA |
| 152 | Congo, Democratic Republic of the | $ 613,900,000 | NA |
| 153 | Suriname | $ 608,000,000 | NA |
| 154 | Rwanda | $ 602,300,000 | NA |
| 155 | Cape Verde | $ 585,000,000 | NA |
| 156 | Djibouti | $ 577,800,000 | NA |
| 157 | Turkmenistan | $ 573,000,000 | NA |
| 158 | Guinea | $ 496,200,000 | NA |
| 159 | Maldives | $ 460,000,000 | NA |
| 160 | Mongolia | $ 451,400,000 | NA |
| 161 | Belize | $ 389,500,000 | NA |
| 162 | Guyana | $ 386,900,000 | NA |
| 163 | Swaziland | $ 335,700,000 | NA |
| 164 | Bhutan | $ 335,000,000 | NA |
| 165 | Cayman Islands | $ 334,300,000 | NA |
| 166 | Burundi | $ 329,300,000 | NA |
| 167 | Central African Republic | $ 288,800,000 | NA |
| 168 | Seychelles | $ 274,200,000 | NA |
| 169 | Saint Lucia | $ 244,300,000 | NA |
| 170 | Antigua and Barbuda | $ 233,500,000 | NA |
| 171 | Vanuatu | $ 229,200,000 | NA |
| 172 | Gambia, The | $ 222,900,000 | NA |
| 173 | Sierra Leone | $ 209,400,000 | NA |
| 174 | Liberia | $ 206,900,000 | NA |
| 175 | Guinea-Bissau | $ 192,100,000 | NA |
| 176 | Solomon Islands | $ 139,900,000 | NA |
| 177 | Saint Vincent and the Grenadines | $ 133,000,000 | NA |
| 178 | Grenada | $ 123,100,000 | NA |
| 179 | Comoros | $ 104,700,000 | NA |
| 180 | Timor-Leste | $ 102,800,000 | NA |
| 181 | Saint Kitts and Nevis | $ 94,450,000 | NA |
| 182 | Samoa | $ 80,560,000 | NA |
| 183 | Dominica | $ 74,840,000 | NA |
| 184 | Tonga | $ 44,640,000 | NA |
| 185 | Micronesia, Federated States of | $ 29,020,000 | NA |
| 186 | Anguilla | $ 19,030,000 | NA |
| 187 | Sao Tome and Principe | $ 17,180,000 | NA |
| 188 | Montserrat | $ 14,130,000 | NA |
