CIA - The World Factbook --  Stock of narrow money   

"Stock of money compares ""M1"" which is the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | country | Stock of narrow money | Date of Information |
| 68 | Angola | $ 16,950,000,000 | 31 December 2013 est. |
| 69 | Cyprus | $ 14,730,000,000 | 31 December 2011 est. |
| 70 | Lithuania | $ 13,830,000,000 | 31 December 2013 est. |
| 71 | Tunisia | $ 13,080,000,000 | 31 December 2013 est. |
| 72 | Burma | $ 12,230,000,000 | 31 December 2013 est. |
| 73 | Slovenia | $ 11,850,000,000 | 31 December 2013 est. |
| 74 | Cuba | $ 11,210,000,000 | 31 December 2013 est. |
| 75 | Jordan | $ 10,680,000,000 | 31 December 2013 est. |
| 76 | Croatia | $ 10,380,000,000 | 31 January 2014 est. |
| 77 | Estonia | $ 9,994,000,000 | 31 December 2013 est. |
| 78 | Latvia | $ 9,865,000,000 | 31 December 2013 est. |
| 79 | Oman | $ 9,537,000,000 | 31 December 2013 est. |
| 80 | Kenya | $ 9,198,000,000 | 31 December 2013 est. |
| 81 | Ethiopia | $ 9,006,000,000 | 31 December 2013 est. |
| 82 | Panama | $ 8,976,000,000 | 31 December 2013 est. |
| 83 | Malta | $ 8,932,000,000 | 31 December 2013 est. |
| 84 | Ecuador | $ 8,590,000,000 | 31 December 2013 est. |
| 85 | Guatemala | $ 8,461,000,000 | 31 December 2013 est. |
| 86 | Bolivia | $ 8,429,000,000 | 31 December 2013 est. |
| 87 | Syria | $ 8,097,000,000 | 31 December 2013 est. |
| 88 | Sudan | $ 8,035,000,000 | 31 December 2013 est. |
| 89 | Cote d'Ivoire | $ 7,606,000,000 | 31 December 2013 est. |
| 90 | Bahrain | $ 7,431,000,000 | 31 December 2013 est. |
| 91 | Macau | $ 7,363,000,000 | 31 December 2013 est. |
| 92 | Trinidad and Tobago | $ 7,044,000,000 | 31 December 2013 est. |
| 93 | Uzbekistan | $ 6,514,000,000 | 31 December 2013 est. |
| 94 | Ghana | $ 6,256,000,000 | 31 December 2013 est. |
| 95 | Afghanistan | $ 6,121,000,000 | 31 December 2012 est. |
| 96 | Yemen | $ 5,753,000,000 | 31 December 2013 est. |
| 97 | Lebanon | $ 5,419,000,000 | 31 December 2013 est. |
| 98 | Uruguay | $ 5,312,000,000 | 31 December 2013 est. |
| 99 | Dominican Republic | $ 4,943,000,000 | 31 December 2013 est. |
| 100 | Papua New Guinea | $ 4,825,000,000 | 31 December 2013 est. |
| 101 | Congo, Republic of the | $ 4,678,000,000 | 31 December 2013 est. |
| 102 | Mozambique | $ 4,665,000,000 | 31 December 2013 est. |
| 103 | Costa Rica | $ 4,633,000,000 | 31 December 2013 est. |
| 104 | Serbia | $ 4,626,000,000 | 31 December 2013 est. |
| 105 | Tanzania | $ 4,594,000,000 | 31 December 2013 est. |
| 106 | Bosnia and Herzegovina | $ 4,493,000,000 | 31 December 2013 est. |
| 107 | Paraguay | $ 4,364,000,000 | 31 December 2013 est. |
| 108 | Iceland | $ 3,876,000,000 | 31 December 2013 est. |
| 109 | Senegal | $ 3,809,000,000 | 31 December 2013 est. |
| 110 | Cameroon | $ 3,764,000,000 | 31 December 2013 est. |
| 111 | Sri Lanka | $ 3,629,000,000 | 31 December 2013 est. |
| 112 | Nepal | $ 3,553,000,000 | 31 December 2013 est. |
| 113 | Brunei | $ 3,472,000,000 | 31 December 2013 est. |
| 114 | Equatorial Guinea | $ 3,001,000,000 | 31 December 2013 est. |
| 115 | El Salvador | $ 2,914,000,000 | 31 December 2013 est. |
| 116 | Mali | $ 2,848,000,000 | 31 December 2013 est. |
| 117 | Albania | $ 2,791,000,000 | 31 December 2013 est. |
| 118 | Namibia | $ 2,723,000,000 | 31 December 2013 est. |
| 119 | Gabon | $ 2,497,000,000 | 31 December 2013 est. |
| 120 | Mauritius | $ 2,475,000,000 | 31 December 2013 est. |
| 121 | Uganda | $ 2,455,000,000 | 31 December 2013 est. |
| 122 | Zambia | $ 2,299,000,000 | 31 December 2013 est. |
| 123 | Burkina Faso | $ 2,220,000,000 | 31 December 2013 est. |
| 124 | Moldova | $ 2,154,000,000 | 31 December 2013 est. |
| 125 | Georgia | $ 2,025,000,000 | 31 December 2013 est. |
| 126 | Benin | $ 1,889,000,000 | 31 December 2013 est. |
| 127 | South Sudan | $ 1,873,000,000 | 31 December 2013 |
| 128 | Madagascar | $ 1,839,000,000 | 31 December 2013 est. |
| 129 | Eritrea | $ 1,798,000,000 | 31 December 2013 est. |
| 130 | Honduras | $ 1,781,000,000 | 31 December 2013 est. |
| 131 | Barbados | $ 1,749,000,000 | 31 December 2013 est. |
| 132 | Jamaica | $ 1,671,000,000 | 31 December 2013 est. |
| 133 | Chad | $ 1,598,000,000 | 31 December 2013 est. |
| 134 | Macedonia | $ 1,570,000,000 | 31 December 2013 est. |
| 135 | Fiji | $ 1,549,000,000 | 31 December 2013 est. |
| 136 | Guinea | $ 1,533,000,000 | 31 December 2013 est. |
| 137 | Botswana | $ 1,517,000,000 | 31 December 2013 est. |
| 138 | Kyrgyzstan | $ 1,479,000,000 | 31 December 2013 est. |
| 139 | Bahamas, The | $ 1,435,000,000 | 31 December 2013 est. |
| 140 | Armenia | $ 1,418,000,000 | 31 December 2013 est. |
| 141 | Laos | $ 1,389,000,000 | 31 December 2013 est. |
| 142 | Niger | $ 1,388,000,000 | 31 December 2013 est. |
| 143 | Mongolia | $ 1,219,000,000 | 31 December 2013 est. |
| 144 | Cambodia | $ 1,206,000,000 | 31 December 2013 est. |
| 145 | Haiti | $ 1,151,000,000 | 31 December 2013 est. |
| 146 | Togo | $ 1,138,000,000 | 31 December 2013 est. |
| 147 | Suriname | $ 1,132,000,000 | 31 December 2012 est. |
| 148 | Congo, Democratic Republic of the | $ 1,060,000,000 | 31 December 2013 est. |
| 149 | Tajikistan | $ 1,044,000,000 | 31 December 2013 est. |
| 150 | Aruba | $ 1,022,000,000 | 31 December 2012 est. |
| 151 | Nicaragua | $ 961,000,000 | 31 December 2013 est. |
| 152 | Djibouti | $ 850,800,000 | 31 December 2013 est. |
| 153 | Rwanda | $ 791,600,000 | 31 December 2013 est. |
| 154 | Montenegro | $ 749,000,000 | 31 December 2011 est. |
| 155 | Guyana | $ 601,800,000 | 31 December 2013 est. |
| 156 | Malawi | $ 585,300,000 | 31 December 2013 est. |
| 157 | Turkmenistan | $ 577,200,000 | 31 December 2013 est. |
| 158 | Belize | $ 573,000,000 | 31 December 2013 est. |
| 159 | Maldives | $ 547,100,000 | 31 December 2012 est. |
| 160 | Cabo Verde | $ 517,400,000 | 31 December 2013 est. |
| 161 | Lesotho | $ 425,100,000 | 31 December 2013 est. |
| 162 | Swaziland | $ 421,600,000 | 31 December 2013 est. |
| 163 | Liberia | $ 419,400,000 | 31 December 2013 est. |
| 164 | Seychelles | $ 380,700,000 | 31 December 2013 est. |
| 165 | Sierra Leone | $ 355,700,000 | 31 December 2013 est. |
| 166 | Burundi | $ 339,400,000 | 31 December 2013 est. |
| 167 | Solomon Islands | $ 335,300,000 | 31 December 2013 est. |
| 168 | Cayman Islands | $ 334,300,000 | 31 December 2008 |
| 169 | Central African Republic | $ 308,300,000 | 31 December 2013 est. |
| 170 | Vanuatu | $ 270,700,000 | 31 December 2013 est. |
| 171 | Saint Lucia | $ 270,300,000 | 31 December 2013 est. |
| 172 | Guinea-Bissau | $ 242,800,000 | 31 December 2013 est. |
| 173 | West Bank | $ 232,200,000 | 31 December 2013 est. |
| 174 | Bhutan | $ 224,900,000 | 31 December 2013 est. |
| 175 | Saint Kitts and Nevis | $ 218,500,000 | 31 December 2013 est. |
| 176 | Antigua and Barbuda | $ 213,000,000 | 31 December 2013 est. |
| 177 | Gambia, The | $ 207,100,000 | 31 December 2013 est. |
| 178 | Timor-Leste | $ 203,200,000 | 31 December 2013 est. |
| 179 | Comoros | $ 162,200,000 | 31 December 2013 est. |
| 180 | Saint Vincent and the Grenadines | $ 142,200,000 | 31 December 2013 est. |
| 181 | Grenada | $ 131,700,000 | 31 December 2013 est. |
| 182 | Samoa | $ 97,800,000 | 31 December 2013 est. |
| 183 | Dominica | $ 94,410,000 | 31 December 2013 est. |
| 184 | Tonga | $ 85,970,000 | 31 December 2013 est. |
| 185 | Sao Tome and Principe | $ 47,430,000 | 31 December 2013 est. |
| 186 | Cook Islands | $ 38,990,000 | 31 December 2011 est. |
| 187 | Micronesia, Federated States of | $ 27,220,000 | 31 December 2011 est. |
| 188 | Montserrat | $ 19,500,000 | 31 December 2013 est. |
| 189 | Anguilla | $ 16,890,000 | 31 December 2013 est. |


