CIA - The World Factbook -- Field Listing - Political parties and leaders

| Country | Political parties and leaders |
| **Antigua and Barbuda** | Antigua Labor Party or ALP [Lester Bryant BIRD]; Barbuda People's Movement or BPM [Thomas H. FRANK]; United Progressive Party or UPP [Baldwin SPENCER] (a coalition of three opposition parties - United National Democratic Party or UNDP, Antigua Caribbean Liberation Movement or ACLM, and Progressive Labor Movement or PLM) |
| **Argentina** | Action for the Republic or AR [Domingo CAVALLO]; Alternative for a Republic of Equals or ARI [Elisa CARRIO]; Front for a Country in Solidarity or Frepaso (a four-party coalition) [Dario Pedro ALESSANDRO]; Justicialist Party or PJ [Carlos Saul MENEM] (Peronist umbrella political organization); Radical Civic Union or UCR [Angel ROZAS]; Federal Recreate Movement [Ricardo LOPEZ MURPHY]; several provincial parties |
| **Armenia** | Agro-Industrial Party [Vladimir BADALIAN]; Armenia Party [Myasnik MALKHASYAN]; Armenian National Movement or ANM [Alex ARZUMANYAN, chairman]; Armenian Ramkavar Liberal Party or HRAK [Ruben MIRZAKHANYAN, chairman]; Armenian Revolutionary Federation ("Dashnak" Party) or ARF [Vahan HOVHANISSIAN]; Democratic Party [Aram SARKISYAN]; Justice Bloc (comprised of the Democratic Party, National Democratic Party, National Democratic Union, and the People's Party); National Democratic Party [Shavarsh KOCHARIAN]; National Democratic Union or NDU [Vazgen MANUKIAN]; National Unity Party [Artashes GEGAMIAN, chairman]; People's Party of Armenia [Stepan DEMIRCHYAN]; Republic Party [Albert BAZEYAN and Aram SARKISYAN, chairmen]; Republican Party or RPA [Andranik MARKARYAN]; Rule of Law Party [Artur BAGDASARIAN, chairman]; Union of Constitutional Rights [Hrant KHACHATURYAN]; United Labor Party [Gurgen ARSENIAN] |
| **Aruba** | Aruba Solidarity Movement or MAS [leader NA]; Aruban Democratic Alliance or Aliansa [leader NA]; Aruban Democratic Party or PDA [Leo BERLINSKI]; Aruban Liberal Party or OLA [Glenbert CROES]; Aruban Patriotic Party or PPA [Benny NISBET]; Aruban People's Party or AVP [Jan (Henny) H. EMAN]; Concentration for the Liberation of Aruba or CLA [leader NA]; People's Electoral Movement Party or MEP [Nelson O. ODUBER]; For a Restructured Aruba Now or PARA [Urbana LOPEZ]; National Democratic Action or ADN [Pedro Charro KELLY] |
| **Australia** | Australian Democrats [Andrew BARTLETT]; Australian Labor Party [Mark LATHAM]; Australian Progressive Alliance [Meg LEES]; Country Labor Party [leader NA]; Australian Greens [Bob BROWN]; Liberal Party [John Winston HOWARD]; The Nationals [John ANDERSON]; One Nation Party [Len HARRIS] |
| **Austria** | Austrian People's Party or OeVP [Wolfgang SCHUESSEL]; Freedom Party of Austria or FPOe [Herbert HAUPT]; Social Democratic Party of Austria or SPOe [Alfred GUSENBAUER]; The Greens Alternative or GA [Alexander VAN DER BELLEN] |
| **Azerbaijan** | Azerbaijan Popular Front or APF [Ali KARIMLI, leader of "Reform" faction; Mirmahmud MIRALI-OGLU, leader of "Classic" faction]; Civic Solidarity Party or CSP [Sabir RUSTAMKHANLY]; Civic Union Party [Ayaz MUTALIBOV]; Communist Party of Azerbaijan or CPA [Ramiz AHMADOV]; Compatriot Party [Mais SAFARLI]; Democratic Party for Azerbaijan or DPA [Rasul QULIYEV, chairman]; Justice Party [Ilyas ISMAILOV]; Liberal Party of Azerbaijan [Lala Shvkat HACIYEVA]; Musavat [Isa GAMBAR, chairman]; New Azerbaijan Party or NAP [Heydar ALIYEV, chairman]; Party for National Independence of Azerbaijan or PNIA [Etibar MAMMADLI, chairman]; Social Democratic Party of Azerbaijan or SDP [Zardust ALIZADE] |
| | *note:* opposition parties regularly factionalize and form new parties |
| **Bahamas, The** | Free National Movement or FNM [Tommy TURNQUEST]; Progressive Liberal Party or PLP [Perry CHRISTIE] |
| **Bahrain** | political parties prohibited but politically oriented societies are allowed |
| **Bangladesh** | Awami League or AL [Sheikh HASINA]; Bangladesh Communist Party or BCP [Saifuddin Ahmed MANIK]; Bangladesh Nationalist Party or BNP [Khaleda ZIA, chairperson]; Islami Oikya Jote or IOJ [Mufti Fazlul Haq AMINI]; Jamaat-E-Islami or JI [Motiur Rahman NIZAMI]; Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD]; Jatiya Party (Manzur faction) [Naziur Rahman MANZUR] |
| **Barbados** | Barbados Labor Party or BLP [Owen ARTHUR]; Democratic Labor Party or DLP [Clyde Mascoll] |
| **Belarus** | Agrarian Party or AP [Mikhail SHIMANSKY]; Belarusian Communist Party or KPB [Viktor CHIKIN, chairman]; Belarusian Ecological Green Party (merger of Belarusian Ecological Party and Green Party of Belarus) [leader NA]; Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Anatoliy BARANKEVICH, chairman]; Belarusian Popular Front or BNF [Vintsuk VYACHORKA]; Belarusian Social-Democrat Party or SDBP [Nikolay STATKEVICH, chairman]; Belarusian Social-Democratic Party or Hromada [Stanislav SHUSHKEVICH, chairman]; Belarusian Socialist Party [Vyacheslav KUZNETSOV]; Civic Accord Bloc (United Civic Party) or CAB [Anatol LIABEDZKA]; Liberal Democratic Party or LDPB [Sergei GAYDUKEVICH, chairman]; Party of Communists Belarusian or PKB [Sergei KALYAKIN, chairman]; Republican Party of Labor and Justice or RPPS [Anatoliy NETYLKIN, chairman]; Social-Democrat Party of Popular Accord or PPA [Leanid SECHKA]; Women's Party or "Nadezhda" [Valentina POLEVIKOVA, chairperson] |
| **Belgium** | AGALEV (Flemish Greens) [Dirk HOLEMANS]; Christian Democrats and Flemish or CD & V [Yves LETERME]; note - used to be the Flemish Christian Democrats or CVP; Ecolo (Francophone Greens) [Jean-Michel JAVAUK, Evelyne HUYTEBROECK, Claude BROUIR]; Flemish Liberal Democrats or VLD [Karel DE GUCHT]; Francophone Humanist and Democratic Center of CDH (used to be Social Christian Party or PSC) [Joelle MILQUET]; Francophone Reformist Movement or MR (used to be Liberal Reformation Party or PRL) [Antoine DUQUESNE]; Francophone Socialist Party or PS [Elio DI RUPO]; National Front or FN [Daniel FERET]; New Flemish Alliance or NVA [Geert BOURGEOIS]; note - new party that emerged after the demise of the People's Union or VU; Social Progressive Alternative Party or SP.A [Steve STEVAERT]; note - was Flemish Socialist Party or SP; Spirit [Els VAN WEERT]; note - new party that emerged after the demise of the People's Union or VU; Vlaams Blok or VB [Frank VANHECKE]; other minor parties |
| **Belize** | People's United Party or PUP [Said MUSA]; United Democratic Party or UDP [Dean BARROW, party leader; Douglas SINGH, party chairman] |
| **Benin** | African Congress for Renewal or DUNYA [Saka SALEY]; African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Alliance of the Social Democratic Party or PSD [Bruno AMOUSSOU]; Coalition of Democratic Forces [Gatien HOUNGBEDJI]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Front for Renewal and Development or FARD-ALAFIA [Jerome Sakia KINA]; Impulse for Progress and Democracy or IPD [Bertin BORNA]; Key Force or FC [leader NA]; Presidential Movement (UBF, MADEP, FC, IDP, and 4 other small parties); Renaissance Party du Benin or PRB [Nicephore SOGLO]; The Star Alliance (Alliance E'toile) [Sacca LAFIA]; Union of Tomorrow's Benin or UBF [Bruno AMOUSSOU] |
| | *note:* approximately 20 additional minor parties |
| **Bermuda** | National Liberal Party or NLP [Dessaline WALDRON]; Progressive Labor Party or PLP [Jennifer SMITH]; United Bermuda Party or UBP [Chairman Wayne FURBERT] |
| **Bhutan** | no legal parties |
| **Bolivia** | Bolivian Socialist Falange or FSB [Romel PANTOJA]; Civic Solidarity Union or UCS [Johnny FERNANDEZ]; Free Bolivia Movement or MBL [Franz BARRIOS]; Marshal of Ayacucho Institutional Vanguard or VIMA [Freddy ZABALA]; Movement of the Revolutionary Left or MIR [Jaime PAZ Zamora]; Movement Toward Socialism or MAS [Evo MORALES]; Movement Without Fear or MSM [Juan DEL GRANADO]; Nationalist Democratic Action or ADN [Jorge Fernando QUIROGA Ramirez]; Nationalist Revolutionary Movement or MNR [Gonzalo SANCHEZ DE LOZADA]; New Republican Force or NFR [Manfred REYES-VILLA]; Pachakuti Indigenous Movement or MIP [Felipe QUISPE]; Socialist Party or PS [Jeres JUSTINIANO] |
| | *note:* the MNR, MIR, and UCS comprise the ruling coalition |
| **Bosnia and Herzegovina** | Alliance of Independent Social Democrats or SNSD [Milorad DODIK]; Bosnian Party or BOSS [Mirnes AJANOVIC]; Civic Democratic Party or GDS [Ilija SIMIC]; Croatian Democratic Union of Bosnia and Herzegovina or HDZ [Barisa COLAK (acting)]; Croat Christian Democratic Union of Bosnia and Herzegovina or HKDU [Mijo IVANIC-LONIC]; Croat Party of Rights or HSP [Zdravko HRISTIC]; Croat Peasants Party or HSS [Ilija SIMIC]; Democratic National Union or DNZ [Fikret ABDIC]; Liberal Democratic Party or LDS [Rasim KADIC]; New Croat Initiative or NHI [Kresimir ZUBAK]; Party for Bosnia and Herzegovina or SBiH [Safet HALILOVIC]; Party of Democratic Action or SDA [Sulejman TIHIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Pro-European People's Party or PROENS [Jadranko PRLIC]; Serb Democratic Party or SDS [Dragan KALINIC]; Serb Radical Party of the Republika Srpska or SRS-RS [Radislav KANJERIC]; Social Democratic Party of BIH or SDP [Zlatko LAGUMDZIJA]; Socialist Party of Republika Srpska or SPRS [Petar DJOKIC] |
| **Botswana** | Botswana Democratic Party or BDP [Festus MOGAE]; Botswana National Front or BNF [Otswoletse MOUPO]; Botswana Congress Party or BCP [Mokgweetsi KGOSIPULA]; Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO] |
| | *note:* a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats; the BAM parties are: the United Action Party [Ephraim Lepetu SETSHWAELO], the Independence Freedom Party or IFP [Motsamai MPHO], and the Botswana Progressive Union [D. K. KWELE] |
| **Brazil** | Brazilian Democratic Movement Party or PMDB [Michel TEMER]; Brazilian Labor Party or PTB [Jose Carlos MARTINEZ]; Brazilian Social Democracy Party or PSDB [Senator Jose ANIBAL]; Brazilian Socialist Party or PSB [Miguel ARRAES]; Brazilian Progressive Party or PPB [Paulo Salim MALUF]; Communist Party of Brazil or PCdoB [Renato RABELLO]; Democratic Labor Party or PDT [Leonel BRIZOLA]; Green Party or PV [leader NA]; Liberal Front Party or PFL [Jorge BORNHAUSEN]; Liberal Party or PL [Deputy Valdemar COSTA Neto]; National Order Reconstruction Party or PRONA [Dr. Eneas CARNEIRO]; Popular Socialist Party or PPS [Senator Roberto FREIRE]; Social Democratic Party or PSD [leader NA]; Worker's Party or PT [Jose GENOINO] |
| **British Virgin Islands** | Concerned Citizens Movement or CCM [Ethlyn SMITH]; National Democratic Party or NDP [Orlando SMITH]; United Party or UP [Gregory MADURO]; Virgin Islands Party or VIP [Ralph T. O'NEAL] |
| **Brunei** | Brunei Solidarity National Party or PPKB in Malay [Haji Mohd HATTA bin Haji Zainal Abidin, president]; note - the PPKB is the only legal political party in Brunei; it was registered in 1985 but became largely inactive after 1988; it was revived in 1995 and again in 1998; it has less than 200 registered party members; other parties include Brunei People's Party or PRB (banned in 1962) and Brunei National Democratic Party (registered in May 1965, deregistered by the Brunei Government in 1988) |
| **Bulgaria** | Bulgarian Socialist Party or BSP [Sergei STANISHEV]; Coalition for Bulgaria or CfB (coalition of parties dominated by BSP) [Sergei STANISHEV]; Internal Macedonian Revolutionary Organization or VMRO [Krasimir KARAKACHANOV]; Movement for Rights and Freedoms or MRF [Ahmed DOGAN]; National Movement for Simeon II or NMS2 [Simeon SAXE-COBURG-GOTHA]; Union of Democratic Forces or UDF [Nadezhda MIKHAYLOVA]; Union of Free Democrats or UFD [Stefan SOFIYANSKI]; United Democratic Forces or UtdDF (a coalition between the UDF and other center-right parties) |
| **Burkina Faso** | African Democratic Rally-Alliance for Democracy and Federation or RDA-ADF [Herman YAMEOGO]; Confederation for Federation and Democracy or CFD [Amadou Diemdioda DICKO]; Congress for Democracy and Progress or CDP [Roch Marc-Christian KABORE]; Movement for Tolerance and Progress or MTP [Nayabtigungou Congo KABORE]; Party for African Independence or PAI [Philippe OUEDRAOGO]; Party for Democracy and Progress or PDP [Joseph KI-ZERBO]; Union of Greens for the Development of Burkina Faso or UVDB [Ram OVEDRAGO] |
| **Burma** | National League for Democracy or NLD [AUNG SHWE, chairman, AUNG SAN SUU KYI, general secretary]; National Unity Party or NUP (proregime) [THA KYAW]; Shan Nationalities League for Democracy or SNLD [KHUN TUN OO]; Union Solidarity and Development Association or USDA (proregime, a social and political organization) [THAN AUNG, general secretary]; and other smaller parties |
| **Burundi** | *the two national, mainstream, governing parties are:* Unity for National Progress or UPRONA [Alphonse KADEGE, president]; Burundi Democratic Front or FRODEBU [Jean MINANI, president] |
| | *note:* a multiparty system was introduced after 1998, included are: Burundi African Alliance for the Salvation or ABASA [Terrence NSANZE]; Rally for Democracy and Economic and Social Development or RADDES [Joseph NZEYIMANA]; Party for National Redress or PARENA [Jean-Baptiste BAGAZA]; People's Reconciliation Party or PRP [Mathias HITIMANA] |
| **Cambodia** | Buddhist Liberal Party or BLP [IENG MOULY]; Cambodian Pracheachon Party or Cambodian People's Party or CPP [CHEA SIM]; Khmer Citizen Party or KCP [NGUON SOEUR]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [Prince NORODOM RANARIDDH]; Sam Rangsi Party or SRP (formerly Khmer Nation Party or KNP) [SAM RANGSI] |
| **Cameroon** | Cameroonian Democratic Union or UDC [Adamou NDAM NJOYA]; Democratic Rally of the Cameroon People or RDCP [Paul BIYA]; Movement for the Defense of the Republic or MDR [Dakole DAISSALA]; Movement for the Liberation and Development of Cameroon or MLDC [leader Marcel YONDO]; Movement for the Youth of Cameroon or MYC [Dieudonne TINA]; National Union for Democracy and Progress or UNDP [Maigari BELLO BOUBA]; Social Democratic Front or SDF [John FRU NDI]; Union of Cameroonian Populations or UPC [Augustin Frederic KODOCK] |
| **Canada** | Bloc Quebecois [Gilles DUCEPPE]; Canadian Alliance [Stephen HARPER]; Liberal Party [Paul MARTIN]; New Democratic Party [Jack LAYTON]; Progressive Conservative Party [Peter MACKAY] |
| **Cape Verde** | African Party for Independence of Cape Verde or PAICV [Jose Maria Pereira NEVES, chairman]; Democratic Alliance for Change or ADM [Dr. Eurico MONTEIRO] (a coalition of PCD, PTS, and UCID); Democratic Christian Party or PDC [Manuel RODRIGUES, chairman]; Democratic Renovation Party or PRD [Jacinto SANTOS, president]; Movement for Democracy or MPD [Agostinho LOPES, president]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO, president]; Party of Work and Solidarity or PTS [Anibal MEDINA, president]; Social Democratic Party or PSD [Joao ALEM, president] |
| **Cayman Islands** | there are no formal political parties but the following loose groupings act as political organizations; National Team [leader NA]; Democratic Alliance [leader NA]; Team Cayman [leader NA]; United Democratic Party [leader NA] |
| **Central African Republic** | Alliance for Democracy and Progress or ADP [Jacques MBOLIEDAS]; Central African Democratic Assembly or RDC [Andre KOLINGBA]; Civic Forum or FC [Gen. Timothee MALENDOMA]; Democratic Forum for Modernity or FODEM [Charles MASSI]; Liberal Democratic Party or PLD [Nestor KOMBO-NAGUEMON]; Movement for Democracy and Development or MDD [David DACKO]; Movement for the Liberation of the Central African People or MLPC [the party of deposed president, Ange-Felix PATASSE]; Patriotic Front for Progress or FPP [Abel GOUMBA]; People's Union for the Republic or UPR [Pierre Sammy MAKFOY]; National Unity Party or PUN [Jean-Paul NGOUPANDE]; Social Democratic Party or PSD [Enoch LAKOUE] |
| **Chad** | Federation Action for the Republic or FAR [Ngarlejy YORONGAR]; National Rally for Development and Progress or RNDP [Mamadou BISSO]; National Union for Democracy and Renewal or UNDR [Saleh KEBZABO]; Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman] (originally in opposition but now the party in power and the party of the president); Union for Renewal and Democracy or URD [Gen. Wadal Abdelkader KAMOUGUE]; Viva Rally for Development and Progress or Viva RNDP [Delwa Kassire COUMAKOYE] |
| **Chile** | Alliance for Chile ("Alianza") or APC - including RN and UDI; Christian Democratic Party or PDC [Adolfo ZALDIVAR]; Coalition of Parties for Democracy ("Concertacion") or CPD - including PDC, PS, PPD, PRSD; Communist Party or PC [Gladys MARIN]; Independent Democratic Union or UDI [Pablo LONGUEIRA]; National Renewal or RN [Sebastian PINERA]; Party for Democracy or PPD [Guido GIRARDI]; Radical Social Democratic Party or PRSD [Orlando CANTUARIAS]; Socialist Party or PS [Camilo ESCALONA] |
| **China** | Chinese Communist Party or CCP [HU Jintao, General Secretary of the Central Committee]; eight registered small parties controlled by CCP |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | Conservative Party or PSC [Carlos HOLGUIN Sardi]; Liberal Party or PL [Piedad CORDOBA and Juan Manuel LOPEZ Cabrales]; Colombian Communist Party or PCC [Jaime CAICEDO]; 19 of April Movement or M-19 [Antonio NAVARRO Wolff] |
| | *note:* Colombia has about 60 formally recognized political parties, most of which do not have a presence in either house of Congress |
| **Comoros** | Forces pour l'Action Republicaine or FAR [Col. Abdourazak ABDULHAMID]; Forum pour la Redressement National or FRN (alliance of 12 parties); Front Democratique or FD [Moustoifa Said CHEIKH]; Front National pour la Justice or FNJ (Islamic party in opposition) [Ahmed RACHID]; Movement des Citoyens pour la Republique or MCR [Mahamoud MRADABI]; Mouvement Populaire Anjouanais or MPA (Anjouan separatist movement) [leader NA]; Mouvement pour la Democratie et le Progress or MDP-NGDC [Abbas DJOUSSOUF]; Movement pour le Socialisme et la Democratie or MSD (splinter group of FD) [Abdou SOEFOU]; Parti Comorien pour la Democratie et le Progress or PCDP [Ali MROUDJAE]; Rassemblement National pour le Development or RND (party of the government) [Omar TAMOU, Abdoulhamid AFFRAITANE] |
| **Congo, Democratic Republic of the** | Democratic Social Christian Party or PDSC [Andre BO-BOLIKO]; Forces for Renovation for Union and Solidarity or FONUS [Joseph OLENGHANKOY]; National Congolese Lumumbist Movement or MNC [Francois LUMUMBA]; Popular Movement of the Revolution or MPR (three factions: MPR-Fait Prive [Catherine NZUZI wa Mbombo]; MPR/Vunduawe [Felix VUNDUAWE]; MPR/Mananga [MANANGA Dintoka Mpholo]); Unified Lumumbast Party or PALU [Antoine GIZENGA]; Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI wa Mulumba]; Union of Federalists and Independent Republicans or UFERI (two factions: UFERI [Lokambo OMOKOKO]; UFERI/OR [Adolph Kishwe MAYA]) |
| **Congo, Republic of the** | the most important of the many parties are the Democratic and Patriotic Forces or FDP (an alliance of Convention for Alternative Democracy, Congolese Labor Party or PCT, Liberal Republican Party, National Union for Democracy and Progress, Patriotic Union for the National Reconstruction, and Union for the National Renewal) [Denis SASSOU-NGUESSO, president]; Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA]; Pan-African Union for Social Development or UPADS [Martin MBERI]; Rally for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president]; Rally for Democracy and the Republic or RDR [Raymond Damasge NGOLLO]; Union for Democracy and Republic or UDR [leader NA]; Union of Democratic Forces or UFD [Sebastian EBAO] |
| **Cook Islands** | Cook Islands People's Party or CIP [Geoffrey HENRY]; Democratic Alliance Party or DAP [Terepai MAOATE]; New Alliance Party or NAP [Norman GEORGE]; Cook Islands National Party or CIN [Teariki HEATHER] |
| **Costa Rica** | Agricultural Labor Action or PALA [Carlos Alberto SOLIS Blanco]; Citizen Action Party or PAC [Otton SOLIS]; Costa Rican Renovation Party or PRC [Justo OROZCO]; Democratic Force Party or PFD [Jose M. NUNEZ]; Libertarian Movement Party or PML [Otto GUEVARA Guth]; National Christian Alliance Party or ANC [Alejandro MADRIGAL]; National Independent Party or PNI [Jorge GONZALEZ Marten]; National Integration Party or PIN [Walter MUNOZ Cespedes]; National Liberation Party or PLN [Sonia PICADO]; Social Christian Unity Party or PUSC [Luis Manuel CHACON] |
| | *note:* mainly a two-party system - PUSC and PLN - until the 3 February 2002 election in which the PAC captured a significant percentage, forcing a run-off in April 2002 |
| **Cote d'Ivoire** | Democratic Party of Cote d'Ivoire-African Democratic Rally or PDCI-RDA [Aime Henri Konan BEDIE]; Ivorian Popular Front or FPI [Laurent GBAGBO]; Ivorian Worker's Party or PIT [Francis WODIE]; Rally of the Republicans or RDR [Alassane OUATTARA]; Union for Democracy and Peace or UDPCI [leader NA]; over 20 smaller parties |
| **Croatia** | Croatian Bloc or HB [Ivic PASALIC]; Croatian Christian Democratic Union or HKDU [Anto KOVACEVIC]; Croatian Democratic Union or HDZ [Ivo SANADER]; Croatian Party of Rights or HSP [Anto DJAPIC]; Croatian Peasant Party or HSS [Zlatko TOMCIC]; Croatian People's Party or HNS [Vesna PUSIC]; Croatian Social Liberal Party or HSLS [Drazen BUDISA]; Croatian True Revival Party or HIP [Miroslav TUDJMAN]; Democratic Centre or DC [Mate GRANIC]; Istrian Democratic Assembly or IDS [Ivan JAKOVCIC]; Liberal Party or LS [Ivo BANAC]; Party of Liberal Democrats or LIBRA [Goran GRANIC]; Social Democratic Party of Croatia or SDP [Ivica RACAN] |
| | *note:* the Social Democratic Party or SDP and the Croatian Social Liberal Party or HSLS formed a coalition as did the HSS, HNS, LP, and IDS, which together defeated the Croatian Democratic Union or HDZ in the 2000 lower house parliamentary election; the IDS subsequently left the governing coalition in June 2001 over its inability to win greater autonomy for Istria |
| **Cuba** | only party - Cuban Communist Party or PCC [Fidel CASTRO Ruz, first secretary] |
| **Cyprus** | *Greek Cypriot area:* Democratic Party or DIKO [Tassos PAPADOPOULOS]; Democratic Rally or DISY [Nikos ANASTASIADHIS]; Fighting Democratic Movement or ADIK [Dinos MIKHAILIDIS]; Green Party of Cyprus [George PERDIKIS]; New Horizons [Nikolaus KOUTSOU]; Restorative Party of the Working People or AKEL (Communist Party) [Dimitrios CHRISTOFIAS]; Social Democrats Movement or KISOS (formerly United Democratic Union of Cyprus or EDEK) [Yiannakis OMIROU]; United Democrats Movement or EDE [George VASSILIOU]; Turkish Cypriot area: Communal Liberation Party or TKP [Mustafa AKINCI]; Democratic Party or DP [Serder DENKTASH]; National Birth Party or UDP [Enver EMIN]; National Unity Party or UBP [Dervis EROGLU]; Our Party or BP [Okyay SADIKOGLU]; Patriotic Unity Movement or YBH [Izzet IZCAN]; Republican Turkish Party or CTP [Mehmet ALI TALAT] |
| **Czech Republic** | Christian and Democratic Union-Czechoslovak People's Party or KDU-CSL [Miroslav KALOUSEK, chairman]; Civic Democratic Alliance or ODA [Michael ZANTOVSKY, chairman]; Civic Democratic Party or ODS [Mirek TOPOLANEK, chairman]; Communist Party of Bohemia and Moravia or KSCM [Miroslav GREBENICEK, chairman]; Communist Party of Czechoslovakia or KSC [Miroslav STEPAN, chairman]; Czech National Social Party of CSNS [Jan SULA, chairman]; Czech Social Democratic Party or CSSD [Vladimir SPIDLA, chairman]; Freedom Union-Democratic Union or US-DEU [Petr MARES, chairman]; Quad Coalition [Karel KUHNL, chairman] (includes KDU-CSL, US, ODA, DEU) |
| **Denmark** | Center Democratic Party [Mimi JAKOBSEN]; Christian People's Party [Marianne KARLSMOSE]; Conservative Party (sometimes known as Conservative People's Party) [Bendt BENDTSEN]; Danish People's Party [Pia KJAERSGAARD]; Liberal Party [Anders Fogh RASMUSSEN]; Social Democratic Party [Mogens LYKKETOFT]; Social Liberal Party (sometimes called the Radical Left) [Marianne JELVED, leader; Johannes LEBECH, chairman]; Socialist People's Party [Holger K. NIELSEN]; Red-Green Unity List (bloc includes Left Socialist Party, Communist Party of Denmark, Socialist Workers' Party) [collective leadership] |
| **Djibouti** | Democratic National Party or PND [ADEN Robleh Awaleh]; Democratic Renewal Party or PRD [Abdillahi HAMARITEH]; Djibouti Development Party or PDD [Mohamed Daoud CHEHEM]; Front pour la Restauration de l'Unite Democratique or FRUD [Ali Mohamed DAOUD]; People's Progress Assembly or RPP (governing party) [Ismail Omar GUELLEH]; Peoples Social Democratic Party or PPSD [Moumin Bahdon FARAH]; Republican Alliance for Democracy or ARD [Ahmed Dini AHMED]; Union for Democracy and Justice or UDJ [leader NA] |
| **Dominica** | Dominica Freedom Party or DFP [Charles SAVARIN]; Dominica Labor Party or DLP [Pierre CHARLES]; United Workers Party or UWP [Edison JAMES] |
