CIA - The World Factbook -- Field Listing :: Political parties and leaders   

This entry includes a listing of significant political organizations and their leaders.

| Country | Political parties and leaders |
| **Armenia** | Armenian National Congress or ANC (bloc of independent and opposition parties) [Levon TER-PETROSSIAN]; Armenian National Movement or ANM [Ararat ZURABIAN]; Armenian Revolutionary Federation ("Dashnak" Party) or ARF [Hrant MARKARIAN]; Heritage Party [Raffi HOVHANNISIAN]; People's Party of Armenia [Stepan DEMIRCHIAN]; Prosperous Armenia [Gagik TSARUKIAN]; Republican Party of Armenia or HHK [Serzh SARGSIAN]; Rule of Law Party (Orinats Yerkir) [Artur BAGHDASARIAN] |
| **Aruba** | Aliansa/Aruban Social Movement or MSA [Robert WEVER]; Aruban Liberal Organization or OLA [Glenbert CROES]; Aruban Patriotic Movement or MPA [Monica ARENDS-KOCK]; Aruban Patriotic Party or PPA [Benny NISBET]; Aruban People's Party or AVP [Mike EMAN]; People's Electoral Movement Party or MEP [Nelson O. ODUBER]; Real Democracy or PDR [Andin BIKKER]; RED [Rudy LAMPE]; Workers Political Platform or PTT [Gregorio WOLFF] |
| **Australia** | Australian Greens [Bob BROWN]; Australian Labor Party [Julia GILLARD]; Family First Party [Steve FIELDING]; Liberal Party [Tony ABBOTT]; The Nationals [Warren TRUSS] |
| **Austria** | Alliance for the Future of Austria or BZOe [Josef BUCHER]; Austrian People's Party or OeVP [Josef PROELL]; Freedom Party of Austria or FPOe [Heinz Christian STRACHE]; Social Democratic Party of Austria or SPOe [Werner FAYMANN]; The Greens [Eva GLAWISCHNIG] |
| **Azerbaijan** | Azerbaijan Democratic Party or ADP [Sardar JALALOGLU]; Civil Solidarity Party or CSP [Sabir RUSTAMKHANLI]; Civil Unity Party [Sabir HACIYEV]; Classic People's Front of Azerbaijan [Mirmahmud MIRALI-OGLU]; Democratic Reform Party [Asim MOLLAZADE]; Great Creation Party [Fazil Gazanfaroglu MUSTAFAYEV]; Hope (Umid) Party [Iqbal AGAZADE]; Justice Party [Ilyas ISMAYILOV]; Liberal Party of Azerbaijan [Lala Shovkat HACIYEVA]; Motherland Party [Fazail AGAMALI]; Musavat (Equality) [Isa GAMBAR, chairman]; Open Society Party [Rasul GULIYEV, in exile in the US]; Social Democratic Party of Azerbaijan or SDP [Araz ALIZADE and Ayaz MUTALIBOV (in exile)]; Social Welfare Party [Hussein KAZIMLI]; United Popular Azerbaijan Front Party or AXCP [Ali KARIMLI]; Whole Azerbaijan Popular Front Party [Gudrat HASANGULIYEV]; Yeni (New) Azerbaijan Party or YAP [President Ilham ALIYEV] |
| | *note:* opposition parties regularly factionalize and form new parties |
| **Bahamas, The** | Free National Movement or FNM [Hubert INGRAHAM]; Progressive Liberal Party or PLP [Perry CHRISTIE] |
| **Bahrain** | political parties prohibited but political societies were legalized per a July 2005 law |
| **Bangladesh** | Awami League or AL [Sheikh HASINA]; Communist Party of Bangladesh or CPB [Manjurul A. KHAN]; Bangladesh Nationalist Party or BNP [Khaleda ZIA]; Bikalpa Dhara Bangladesh or BDB [Badrudozza CHOWDHURY]; Islami Oikya Jote or IOJ [multiple leaders]; Jamaat-e-Islami Bangladesh or JIB [Matiur Rahman NIZAMI]; Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD]; Liberal Democratic Party or LDP [Oli AHMED] |
| **Barbados** | Barbados Labor Party or BLP [Owen ARTHUR]; Democratic Labor Party or DLP [Freundel STUART]; People's Empowerment Party or PEP [David COMISSIONG] |
| **Belarus** | *pro-government parties:* Belarusian Agrarian Party or AP [Mikhail SHIMANSKY]; Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Nikolay ULAKHOVICH, chairman]; Communist Party of Belarus or KPB [Tatsyana HOLUBEVA]; Liberal Democratic Party or LDP [Sergey GAYDUKEVICH]; Republican Party of Labor and Justice [Vasiliy ZADNEPRYANYY] |
| | *opposition parties:* Belarusian Christian Democracy Party [Pavel SEVERINETS] (unregistered); Belarusian Party of Communists or PKB [Sergey KALYAKIN]; Belarusian Party of Labor [Aleksandr BUKHVOSTOV] (unregistered); Belarusian Popular Front or BPF [Aleksey YANUKEVICH]; Belarusian Social-Democratic Hramada [Stanislav SHUSHKEVICH]; Belarusian Social Democratic Party Hramada ("Assembly") or BSDPH [Anatoliy LEVKOVICH]; Belarusian Social Democratic Party People's Assembly ("Narodnaya Hramada") [Nikolay STATKEVICH] (unregistered); Belarusian Women's Party Nadzeya ("Hope") [Yelena YESKOVA, chairperson]; Christian Conservative Party or BPF [Zyanon PAZNIAK]; European Belarus Campaign [Andrey SANNIKOV]; Party of Freedom and Progress [Vladimir NOVOSYAD] (unregistered); "Tell the Truth" Campaign [Vladimir NEKLYAYEV]; United Civic Party or UCP [Anatoliy LEBEDKO] |
| **Belgium** | *Flemish parties:* Christian Democratic and Flemish or CDV [Wouter BEKE]; Dedecker List or LDD [Lode VEREECK]; Flemish Liberals and Democrats or Open VLD [Alexander DE CROO]; Groen! [Wouter VAN BESIEN] (formerly AGALEV, Flemish Greens); New Flemish Alliance or N-VA [Bart DE WEVER]; Social Progressive Alternative or SP.A [Caroline GENNEZ]; Vlaams Belang (Flemish Interest) or VB [Bruno VALKENIERS] |
| | *Francophone parties:* Ecolo (Francophone Greens) [Jean-Michel JAVAUX, Sarah TURINE]; Humanist and Democratic Center or CDH [Joelle MILQUET]; Popular Party or PP [ Mischael MODRIKAMEN]; Reform Movement or MR [Didier REYNDERS]; Socialist Party or PS [Elio DI RUPO]; other minor parties |
| **Belize** | National Alliance for Belizean Rights or NABR; National Reform Party or NRP [Cornelius DUECK]; People's National Party or PNP [Wil MAHEIA]; People's United Party or PUP [John BRICENO]; United Democratic Party or UDP [Dean BARROW]; Vision Inspired by the People or VIP [Paul MORGAN]; We the People Reform Movement or WTP [Hipolito BAUTISTA] |
| **Benin** | African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Alliance for Dynamic Democracy or ADD; Alliance of Progress Forces or AFP; Benin Renaissance or RB [Rosine SOGLO]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Force Cowrie for an Emerging Benin or FCBE; Impulse for Progress and Democracy or IPD [Theophile NATA]; Key Force or FC [Lazare S?HOU?TO]; Movement for the People's Alternative or MAP [Olivier CAPO-CHICHI]; Rally for Democracy and Progress or RDP [Dominique HOUNGNINOU]; Social Democrat Party or PSD [Bruno AMOUSSOU]; Union for Democracy and National Solidarity or UDS [Sacca LAFIA]; Union for the Relief or UPR [Issa SALIFOU] |
| | *note:* approximately 20 additional minor parties |
| **Bermuda** | Progressive Labor Party or PLP [Ewart BROWN]; United Bermuda Party or UBP [Kim SWAN] |
| **Bhutan** | Bhutan Peace and Prosperity Party (Druk Phuensum Tshogpa) or DPT [Jigme THINLEY]; People's Democratic Party or PDP [Tshering TOBGAY] |
| **Bolivia** | Bolivia-National Convergence or PPB-CN [Manfred REYES VILLA]; Fearless Movement or MSM [Juan DE GRANADO Cosio]; Movement Toward Socialism or MAS [Juan Evo MORALES Ayma]; National Unity or UN [Samuel DORIA MEDINA Arana]; People or Gente [Roman LOAYZA]; Social Alliance or AS [Rene JOAQUINO] |
| **Bosnia and Herzegovina** | Alliance for a Better Future of BiH or SBB-BiH [Fahrudin RADONCIC]; Alliance of Independent Social Democrats or SNSD [Milorad DODIK]; Bosnian Party or BOSS [Mirnes AJANOVIC]; Bosnian Patriotic Party or BPS [Sefer HALILOVIC]; Civic Democratic Party or GDS [Ibrahim SPAHIC]; Croat Party of Rights or HSP [Zvonko JURISIC]; Croat Peasants' Party-New Croat Initiative or HSS-NHI [Ante COLAK]; Croatian Christian Democratic Union of Bosnia and Herzegovina or HKDU [Ivan MUSA]; Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BiH [Dragan COVIC]; Croatian Democratic Union 1990 or HDZ-1990 [Bozo LJUBIC]; Croatian Peoples Union [Milenko BRKIC]; Democratic National Union or DNZ [Rifat DOLIC]; Democratic Party or DP [Dragan CAVIC]; Democratic Peoples' Alliance or DNS [Marko PAVIC]; Liberal Democratic Party or LDS [Rasim KADIC]; Nasa Stranka or NS [NA; leadership elections late 2010/early 2011]; New Socialist Party or NSP [Zdravko KRSMANOVIC]; Party for Bosnia and Herzegovina or SBiH [Haris SILAJDZIC]; Party of Democratic Action or SDA [Sulejman TIHIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Peoples' Party of Work for Progress or NSRzB [Mladen IVANKOVIC-LIJANOVIC]; Serb Democratic Party or SDS [Mladen BOSIC]; Serb Radical Party of the Republika Srpska or SRS-RS [Milanko MIHAJLICA]; Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Mirko BLAGOJEVIC]; Social Democratic Party of BiH or SDP BiH [Zlatko LAGUMDZIJA]; Social Democratic Union or SDU [Nermin PECANAC]; Socialist Party of Republika Srpska or SPRS [Petar DJOKIC] |
| **Botswana** | Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO]; Botswana Congress Party or BCP [Gilson SALESHANDO]; Botswana Democratic Party or BDP [Daniel KWELAGOBE]; Botswana Movement for Democracy or BMD [Gomolemo MOTSWALEDI]; Botswana National Front or BNF [Otswoletse MOUPO]; Botswana Peoples Party or BPP [Bernard BALIKANI]; MELS Movement of Botswana or MELS [Themba JOINA]; New Democratic Front or NDF [Dick BAYFORD] |
| | *note:* a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats - includes the United Action Party [Ephraim Lepetu SETSHWAELO]; the Independence Freedom Party or IFP [Motsamai MPHO]; the Botswana Progressive Union [D. K. KWELE] |
| **Brazil** | Brazilian Democratic Movement Party or PMDB [Federal Deputy Michel TEMER]; Brazilian Labor Party or PTB [Roberto JEFFERSON]; Brazilian Renewal Labor Party or PRTB [Jose Levy FIDELIX da Cruz]; Brazilian Republican Party or PRB [Vitor Paulo Araujo DOS SANTOS]; Brazilian Social Democracy Party or PSDB [Senator Sergio GUERRA]; Brazilian Socialist Party or PSB [Governor Eduardo Henrique Accioly CAMPOS]; Christian Labor Party or PTC [Daniel TOURINHO]; Communist Party of Brazil or PCdoB [Jose Renato RABELO]; Democratic Labor Party or PDT [Carlos Roberto LUPI]; the Democrats or DEM [Federal Deputy Rodrigo MAIA] (formerly Liberal Front Party or PFL); Freedom and Socialism Party or PSOL [Heloisa HELENA]; Green Party or PV [Jose Luiz de Franca PENNA]; Humanist Party of Solidarity or PHS [Paulo Roberto MATOS]; Labor Party of Brazil or PTdoB [Luis Henrique de Oliveira RESENDE]; Liberal Front Party or PFL (now known as the Democrats or DEM); National Mobilization Party or PMN [Oscar Noronha FILHO]; Party of the Republic or PR [Sergio TAMER]; Popular Socialist Party or PPS [Federal Deputy Fernando CORUJA]; Progressive Party or PP [Francisco DORNELLES]; Social Christian Party or PSC [Vitor Jorge Abdala NOSSEIS]; Workers' Party or PT [Jose Eduardo DUTRA] |
| **British Virgin Islands** | Concerned Citizens Movement or CCM [Ethlyn SMITH]; National Democratic Party or NDP [Orlando SMITH]; United Party or UP [Gregory MADURO]; Virgin Islands Party or VIP [Ralph T. O'NEAL] |
| **Brunei** | National Development Party or NDP [YASSIN Affendi] |
| | *note:* Brunei National Solidarity Party or PPKB [Abdul LATIF bin Chuchu] and People's Awareness Party or PAKAR [Awang Haji MAIDIN bin Haji Ahmad] were deregistered in 2007; parties are small and have limited activity |
| **Bulgaria** | Agrarian National Union or ANU [Stefan LICHEV]; National Union Attack (Ataka) [Volen SIDEROV]; Blue Coalition [Ivan KOSTOV and Martin DIMITROV] (a coalition of center-right parties dominated by UDF and DSB); Bulgarian New Democracy [Borislav RALCHEV]; Bulgarian Socialist Party or BSP [Sergei STANISHEV]; Citizens for the European Development of Bulgaria or GERB [Boyko BORISSOV]; Coalition for Bulgaria or CfB [Sergei STANISHEV] (coalition of parties dominated by BSP); Democrats for a Strong Bulgaria or DSB [Ivan KOSTOV]; Gergyovden [Petar STOYANOVICH]; Internal Macedonian Revolutionary Organization or IMRO [Krasimir KARAKACHANOV]; Liberal Initiative for Democratic European Development or LIDER [Khristo KOVACHKI]; Movement for Rights and Freedoms or MRF [Ahmed DOGAN]; National Movement for Stability and Progress or NDSV [Hristina HRISTOVA] (formerly National Movement Simeon II or NMS2); New Time [Emil KOSHLUKOV]; Order, Law, Justice or RZS [Yane YANEV]; Union of Democratic Forces or UDF [Martin DIMITROV]; Union of Free Democrats or UFD [Stefan SOFIYANSKI]; United Agrarians [Anastasia MOZER] |
| **Burkina Faso** | African Democratic Rally-Alliance for Democracy and Federation or ADF-RDA [Gilbert OUEDRAOGO]; Citizen's Popular Rally or RPC [Antoine QUARE]; Coalition of Democratic Forces of Burkina or CFD-B [Amadou Diemdioda DICKO]; Congress for Democracy and Progress or CDP [Roch Marc-Christian KABORE]; Democratic and Popular Rally or RDP [Nana THIBAUT]; Movement for Tolerance and Progress or MTP [Nayabtigungou Congo KABORE]; Party for African Independence or PAI [Soumane TOURE]; Party for Democracy and Progress-Socialist Party or PDP-PS [Ali LANKOANDE]; Party for Democracy and Socialism or PDS [Felix SOUBEIGA]; Party for National Rebirth or PAREN [Jeanne TRAORE]; Rally for the Development of Burkina or RDB [Antoine KARGOUGOU]; Rally of Ecologists of Burkina Faso or RDEB [Ram OUEDRAGO]; Republican Party for Integration and Solidarity or PARIS; Union for Democracy and Social Progress or UDPS [Fidele HIEN]; Union for Rebirth - Sankarist Movement or UNIR-MS [Benewende STANISLAS]; Union for the Republic or UPR [Toussaint Abel COULIBALY]; Union of Sankarist Parties or UPS [Ernest Nongma OUEDRAOGO] |
| **Burma** | All Mon Region Democracy Party or AMRDP [NAING NGWE THEIN]; National Democratic Force or NDF [KHIN MAUNG SWE, Dr.THAN NYEIN]; National League for Democracy or NLD [AUNG SHWE, U TIN OO, AUNG SAN SUU KYI]; note - the party was deregisted because it did not register for the 2010 election, but it is still active; National Unity Party or NUP [TUN YE]; Rakhine Nationalities Development Party or RNDP [Dr. AYE MG]; Shan Nationalities Democratic Party [SAI AIKE PAUNG]; Shan Nationalities League for Democracy or SNLD [HKUN HTUN OO]; Union Solidarity and Development Party or USDP [SHWE MANN, HTAY OO]; numerous smaller parties |
| **Burundi** | *governing parties:* Burundi Democratic Front or FRODEBU [Leonce NGENDAKUMANA]; National Council for the Defense of Democracy - Front for the Defense of Democracy or CNDD-FDD [Jeremie NGENDAKUMANA]; Unity for National Progress or UPRONA [Bonaventure NIYOYANKANA] |
| | *note:* a multiparty system was introduced after 1998, included are: National Council for the Defense of Democracy or CNDD [Leonard NYANGOMA]; National Resistance Movement for the Rehabilitation of the Citizen or MRC-Rurenzangemero [Epitace BANYAGANAKANDI]; Party for National Redress or PARENA [Jean-Baptiste BAGAZA] |
| **Cambodia** | Cambodian People's Party or CPP [CHEA SIM]; Human Rights Party or HRP [KHEM SOKHA, also spelled KEM SOKHA]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [KEV PUT REAKSMEI]; Nationalist Party or NP [CHHIM SEAK LENG] (formerly the NRP); Sam Rangsi Party or SRP [SAM RANGSI, also spelled SAM RAINSY] |
| **Cameroon** | Cameroon People's Democratic Movement or CPDM [Paul BIYA]; Cameroonian Democratic Union or UDC [Adamou Ndam NJOYA]; Movement for the Defense of the Republic or MDR [Dakole DAISSALA]; Movement for the Liberation and Development of Cameroon or MLDC [Marcel YONDO]; National Union for Democracy and Progress or UNDP [Maigari BELLO BOUBA]; Progressive Movement or MP; Social Democratic Front or SDF [John FRU NDI]; Union of Peoples of Cameroon or UPC [Augustin Frederic KODOCK] |
| **Canada** | Bloc Quebecois [Louis PLAMONDON]; Conservative Party of Canada [Stephen HARPER]; Green Party [Elizabeth MAY]; Liberal Party [Robert RAE (interim)]; New Democratic Party [Nycole Turmel (interim)] |
| **Cape Verde** | African Party for Independence of Cape Verde or PAICV [Jose Maria Pereira NEVES, chairman]; Democratic and Independent Cape Verdean Union or UCID [Antonio MONTEIRO]; Democratic Christian Party or PDC [Manuel RODRIGUES]; Democratic Renovation Party or PRD [Victor FIDALGO]; Movement for Democracy or MPD [Jorge SANTOS]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO]; Party of Work and Solidarity or PTS [Isaias RODRIGUES]; Social Democratic Party or PSD [Joao ALEM] |
| **Cayman Islands** | People's Progressive Movement or PPM [Kurt TIBBETTS]; United Democratic Party or UDP [McKeeva BUSH] |
| **Central African Republic** | Alliance for Democracy and Progress or ADP [Jacques MBOLIEDAS]; Central African Democratic Rally or RDC [Andre KOLINGBA]; Civic Forum or FC [Gen. Timothee MALENDOMA]; Democratic Forum for Modernity or FODEM [Charles MASSI]; Liberal Democratic Party or PLD [Nestor KOMBO-NAGUEMON]; Londo Association or LONDO; Movement for Democracy and Development or MDD [David DACKO]; Movement for the Liberation of the Central African People or MLPC [Ange-Felix PATASSE] (the party of deposed president); National Convergence or KNK; National Unity Party or PUN [Jean-Paul NGOUPANDE]; New Alliance for Progress or NAP [Jean-Jacques DEMAFOUTH]; Patriotic Front for Progress or FPP [Abel GOUMBA]; People's Union for the Republic or UPR [Pierre Sammy MAKFOY]; Social Democratic Party or PSD [Enoch LAKOUE] |
| **Chad** | Alliance for the Renaissance of Chad or ART, an alliance among the ruling MPS, RDP, and Viva-RNDP; Federation Action for the Republic or FAR [Ngarledjy YORONGAR]; National Rally for Development and Progress or Viva-RNDP [Delwa Kassire KOUMAKOYE]; National Union for Democracy and Renewal or UNDR [Saleh KEBZABO]; Party for Liberty and Development or PLD [Ibni Oumar Mahamat SALEH]; Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman]; Rally for Democracy and Progress or RDP [Lol Mahamat CHOUA]; Union for Renewal and Democracy or URD [Gen. Wadal Abdelkader KAMOUGUE] |
| **Chile** | Broad Social Movement or MAS; Clean Chile Vote Happy or CLVF (including Broad Social Movement, Country Force, and Regionalist Party of Independents or PRI); Coalition for Change or CC (formerly known as the Alliance for Chile (Alianza) or APC) (including National Renewal or RN [Carlos LARRAIN Pena], Independent Democratic Union or UDI [Juan Antonio COLOMA Correa], and Chile First [Vlado MIROSEVIC]); Coalition of Parties for Democracy (Concertacion) or CPD (including Christian Democratic Party or PDC [Ignacio WALKER], Party for Democracy or PPD [Carolina TOHA Morales], Radical Social Democratic Party or PRSD [Jose Antonio GOMEZ Urrutia], and Socialist Party or PS [Osvaldo ANDRADE]); Partido Ecologista del Sur; Together We Can Do More (including Communist Party or PC [Guillermo TEILLIER del Valle], and Humanist Party or PH [Danilo MONTEVERDE]) |
| **China** | Chinese Communist Party or CCP [HU Jintao]; eight registered small parties controlled by CCP |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | Alternative Democratic Pole or PDA [Clara LOPEZ]; Conservative Party or PC [Fernando ARAUJO]; Green Party [Luis GARZON]; Liberal Party or PL [Rafael PARDO]; National Integration Party or PIN [Angel ALIRIO Moreno]; Radical Change or CR [German VARGAS Lleras]; Social National Unity Party or U Party [Juan Francisco LOZANO Ramirez] |
| | *note:* Colombia has seven major political parties, and numerous smaller movements |
| **Comoros** | Camp of the Autonomous Islands or CdIA (a coalition of parties organized by the islands' presidents in opposition to the Union President); Convention for the Renewal of the Comoros or CRC [AZALI Assowmani]; Front National pour la Justice or FNJ [Ahmed RACHID] (Islamic party in opposition); Mouvement pour la Democratie et le Progress or MDP-NGDC [Abbas DJOUSSOUF]; Parti Comorien pour la Democratie et le Progress or PCDP [Ali MROUDJAE]; Rassemblement National pour le Development or RND [Omar TAMOU, Abdoulhamid AFFRAITANE] |
| **Congo, Democratic Republic of the** | Christian Democrat Party or PDC [Jose ENDUNDO]; Congolese Rally for Democracy or RCD [Azarias RUBERWA]; Convention of Christian Democrats or CDC; Forces of Renewal or FR [Mbusa NYAMWISI]; Movement for the Liberation of the Congo or MLC [Jean-Pierre BEMBA]; People's Party for Reconstruction and Democracy or PPRD [Joseph KABILA]; Social Movement for Renewal or MSR [Pierre LUMBI]; Unified Lumumbist Party or PALU [Antoine GIZENGA]; Union for the Congolese Nation or UNC [Vital KAMERHE]; Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI]; Union of Mobutuist Democrats or UDEMO [MOBUTU Nzanga] |
| **Congo, Republic of the** | Action Movement for Renewal or MAR; Congolese Labour Party or PCT; Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA]; Movement for Solidarity and Development or MSD; Pan-African Union for Social Development or UPADS [Martin MBERI]; Rally for Democracy and the Republic or RDR [Raymond Damasge NGOLLO]; Rally for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president]; Rally of the Presidential Majority or RMP; Union for Democracy and Republic or UDR; United Democratic Forces or FDU [Sebastian EBAO]; many smaller parties |
| **Cook Islands** | Cook Islands Party or CIP [Henry PUNA]; Democratic Party or Demo [Dr. Terepai MAOATE] |
| **Costa Rica** | Accessibility Without Exclusion or PASE [Oscar Andres LOPEZ Arias]; Citizen Action Party or PAC [Alberto CANAS Escalante]; Costa Rican Renovation Party or PRC [Gerardo Justo OROZCO Alvarez]; Democratic Force Party or PFD [Marco GONZALEZ Nunez]; Frente Amplio [Jose MERINO del Rio]; Homeland First or PP (Patria Primero) [Juan Jose VARGAS Fallas]; Libertarian Movement Party or PML [Otto GUEVARA Guth]; National Democratic Alliance or ADN [Jose Miguel VILLALOBOS Umana]; National Integration Party or PIN [Walter MUNOZ Cespedes]; National Liberation Party or PLN [Francisco Antonio PACHECO Fernandez]; National Rescue Party or PRN [Fabio Enrique DELGADO Hernandez]; National Union Party or PUN [Arturo ACOSTA Mora]; Patriotic Alliance [Mariano FIGUERES Olsen]; Patriotic Union or UP [Jose Miguel CORRALES Bolanos]; Popular Vanguard [Trino BARRANTES Araya]; Social Christian Unity Party or PUSC [Luis FISHMAN Zonzinski]; Union for Change Party or UPC [Antonio ALVAREZ Desanti] |
| **Cote d'Ivoire** | Citizen's Democratic Union or UDCY [Theodore MEL EG]; Democratic Party of Cote d'Ivoire or PDCI [Henri Konan BEDIE]; Freedom and Democracy for the Republic or LIBRE [Mamadou KOULIBALY]; Ivorian Popular Front or FPI [vacant]; Ivorian Worker's Party or PIT [Francis WODIE]; Opposition Movement of the Future or MFA [Innocent Augustin ANAKY]; Rally of the Republicans or RDR [Alassane OUATTARA]; Union for Democracy and Peace in Cote d'Ivoire or UDPCI [Toikeuse MABRI]; over 144 smaller registered parties |
