CIA - The World Factbook -- Field Listing - Political parties and leaders

| Country | Political parties and leaders |
| **Antigua and Barbuda** | Antigua Labor Party or ALP [Lester Bryant BIRD]; Barbuda People's Movement or BPM [Thomas H. FRANK]; United Progressive Party or UPP [Baldwin SPENCER] (a coalition of three opposition parties - United National Democratic Party or UNDP, Antigua Caribbean Liberation Movement or ACLM, and Progressive Labor Movement or PLM) |
| **Argentina** | Action for the Republic or AR [Domingo CAVALLO]; Alternative for a Republic of Equals or ARI [Elisa CARRIO]; Federal Recreate Movement or RECREAR [Ricardo LOPEZ MURPHY]; Front for a Country in Solidarity or Frepaso (a four-party coalition) [Dario Pedro ALESSANDRO]; Interbloque Federal or IF (a broad coalition of approximately 12 parties including RECREAR) [leader NA]; Justicialist Party or PJ (Peronist umbrella political organization) [leader NA]; Radical Civic Union or UCR [Angel ROZAS]; Socialist Party or PS [Ruben GIUSTINIANI]; Union For All [Patricia BULLRICH]; several provincial parties |
| **Armenia** | Agro-Industrial Party [Vladimir BADALIAN]; Armenia Party [Myasnik MALKHASYAN]; Armenian National Movement or ANM [Alex ARZUMANYAN, chairman]; Armenian Ramkavar Liberal Party or HRAK [Harutyun MIRZAKHANYAN, chairman]; Armenian Revolutionary Federation ("Dashnak" Party) or ARF [Vahan HOVHANISSIAN]; Democratic Party [Aram SARKISYAN]; Justice Bloc (comprised of the Democratic Party, National Democratic Party, National Democratic Union, and the People's Party) [Stepan DEMIRCHYAN]; National Democratic Party [Shavarsh KOCHARIAN]; National Democratic Union or NDU [Vazgen MANUKIAN]; National Unity Party [Artashes GEGAMIAN, chairman]; People's Party of Armenia [Stepan DEMIRCHYAN]; Republic Party [Albert BAZEYAN and Aram SARKISYAN, chairmen]; Republican Party or RPA [Andranik MARKARYAN]; Rule of Law Party [Artur BAGDASARIAN, chairman]; Union of Constitutional Rights [Hrant KHACHATURYAN]; United Labor Party [Gurgen ARSENIAN] |
| **Aruba** | Aliansa/Aruban Social Movement or MSA [Robert WEVER]; Aruban Liberal Organization or OLA [Glenbert CROES]; Aruban Patriotic Movement or MPA [Monica ARENDS-KOCK]; Aruban Patriotic Party or PPA [Benny NISBET]; Aruban People's Party or AVP [Mike EMAN]; People's Electoral Movement Party or MEP [Nelson O. ODUBER]; Real Democracy or PDR [Andin BIKKER]; RED [Rudy LAMPE]; Workers Political Platform or PTT [Gregorio WOLFF] |
| **Australia** | Australian Democrats [Lyn ALLISON]; Australian Labor Party [Kim BEAZLEY]; Australian Progressive Alliance [Meg LEES]; Australian Greens [Bob BROWN]; Liberal Party [John Winston HOWARD]; The Nationals [Mark VAILE]; One Nation Party [Len HARRIS]; Family First Party [Steve FIELDING] |
| **Austria** | Alliance for the Future of Austria or BZOe [Joerg HAIDER]; Austrian People's Party or OeVP [Wolfgang SCHUESSEL]; Freedom Party of Austria or FPOe [Heinz Christian STRACHE]; Social Democratic Party of Austria or SPOe [Alfred GUSENBAUER]; The Greens [Alexander VAN DER BELLEN] |
| **Azerbaijan** | Azerbaijan Popular Front or APF [Ali KARIMLI, leader of "Reform" faction; Mirmahmud MIRALI-OGLU, leader of "Classic" faction]; Civic Solidarity Party or CSP [Sabir RUSTAMKHANLY]; Civic Union Party [Ayaz MUTALIBOV]; Communist Party of Azerbaijan or CPA [Ramiz AHMADOV]; Compatriot Party [Mais SAFARLI]; Democratic Party for Azerbaijan or DPA [Rasul QULIYEV, chairman]; Justice Party [Ilyas ISMAILOV]; Liberal Party of Azerbaijan [Lala Shovkat HACIYEVA]; Musavat [Isa GAMBAR, chairman]; New Azerbaijan Party or NAP [vacant]; Party for National Independence of Azerbaijan or PNIA [Etibar MAMMADLI, chairman]; Social Democratic Party of Azerbaijan or SDP [Araz ALIZADE and Ayaz MUTALIBOV] |
| | *note:* opposition parties regularly factionalize and form new parties |
| **Bahamas, The** | Free National Movement or FNM [Tommy TURNQUEST]; Progressive Liberal Party or PLP [Perry CHRISTIE] |
| **Bahrain** | political parties prohibited but politically oriented societies are allowed |
| **Bangladesh** | Awami League or AL [Sheikh HASINA]; Bangladesh Communist Party or BCP [Saifuddin Ahmed MANIK]; Bangladesh Nationalist Party or BNP [Khaleda ZIA, chairperson]; Islami Oikya Jote or IOJ [Mufti Fazlul Haq AMINI]; Jamaat-e-Islami or JI [Motiur Rahman NIZAMI]; Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD]; Jatiya Party (Manzur faction) [Naziur Rahman MANZUR] |
| **Barbados** | Barbados Labor Party or BLP [Owen ARTHUR]; Democratic Labor Party or DLP [Clyde Mascoll] |
| **Belarus** | Pro-government parties: Agrarian Party or AP [leader NA]; Belarusian Communist Party or KPB [leader NA]; Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Anatoliy BARANKEVICH, chairman]; Liberal Democratic Party of Belarus [Sergei GAYDUKEVICH]; Social-Sports Party [leader NA]; Opposition parties: Belarusian Popular Front or BNF [Vintsuk VYACHORKA]; Belarusian Social-Democrat Party Narodnaya Gromada or BSDP NG [Nikolay STATKEVICH, chairman]; Belarusian Social-Democratic Party Hromada [Stanislav SHUSHKEVICH, chairman]; United Civic Party or UCP [Anatol LEBEDKO]; Party of Communists Belarusian or PKB [Sergei KALYAKIN, chairman]; Women's Party "Nadezhda" [Valentina MATUSEVICH, chairperson] |
| | *note:* the opposition Belarusian Party of Labor [Aleksandr BUKHVOSTOV] was liquidated in August 2004, but remains active |
| **Belgium** | *Flemish parties:* Christian Democrats and Flemish or CD & V [Jo VANDEURZEN]; Flemish Liberal Democrats or VLD [Bart SOMERS]; GROEN! (formerly AGALEV, Flemish Greens) [Vera DUA]; New Flemish Alliance or NVA [Bart DE WEVER]; Socialist Party.Alternative or SP.A [Caroline GENNEZ]; Spirit [Geert LAMBERT] (new party now associated with SP.A); Vlaams Belang (Flemish Interest) or VB [Frank VANHECKE] |
| | *Francophone parties:* Ecolo (Francophone Greens) [Jean-Michel JAVAUX, Evelyne HUYTEBROECK, Claude BROUIR]; Humanist and Democratic Center of CDH [Joelle MILQUET]; National Front or FN [Daniel FERET]; Reformist Movement or MR [Didier REYNDERS]; Socialist Party or PS [Elio DI RUPO]; other minor parties |
| **Belize** | People's United Party or PUP [Said MUSA]; United Democratic Party or UDP [Dean BARROW, party leader; Douglas SINGH, party chairman] |
| **Benin** | African Congress for Renewal or DUNYA [Saka SALEY]; African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Alliance of the Social Democratic Party or PSD [Bruno AMOUSSOU]; Coalition of Democratic Forces [Gatien HOUNGBEDJI]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Front for Renewal and Development or FARD-ALAFIA [Jerome Sakia KINA]; Impulse for Progress and Democracy or IPD [Bertin BORNA]; Key Force or FC [leader NA]; Presidential Movement (UBF, MADEP, FC, IDP, and four small parties); Renaissance Party du Benin or PRB [Nicephore SOGLO]; The Star Alliance (Alliance E'toile) [Sacca LAFIA]; Union of Tomorrow's Benin or UBF [Bruno AMOUSSOU] |
| | *note:* approximately 20 additional minor parties |
| **Bermuda** | Progressive Labor Party or PLP [William Alexander SCOTT]; United Bermuda Party or UBP [Grant GIBBONS] |
| **Bhutan** | no legal parties |
| **Bolivia** | Bolivian Socialist Falange or FSB [Romel PANTOJA]; Civic Solidarity Union or UCS [Johnny FERNANDEZ]; Free Bolivia Movement or MBL [Franz BARRIOS]; Marshal of Ayacucho Institutional Vanguard or VIMA [Freddy ZABALA]; Movement of the Revolutionary Left or MIR [Jaime PAZ Zamora]; Movement Toward Socialism or MAS [Evo MORALES]; Movement Without Fear or MSM [Juan DEL GRANADO]; Nationalist Democratic Action or ADN [Jorge Fernando QUIROGA Ramirez]; Nationalist Revolutionary Movement or MNR [leader NA]; New Republican Force or NFR [Manfred REYES-VILLA]; Pachakuti Indigenous Movement or MIP [Felipe QUISPE]; Socialist Party or PS [Jeres JUSTINIANO] |
| **Bosnia and Herzegovina** | Alliance of Independent Social Democrats or SNSD [Milorad DODIK]; Bosnian Party or BOSS [Mirnes AJANOVIC]; Civic Democratic Party or GDS [Ibrahim SPAHIC]; Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BH [Barisa COLAK]; Croat Christian Democratic Union of Bosnia and Herzegovina or HKDU [Mijo IVANIC-LONIC]; Croat Party of Rights or HSP [Zdravko HRISTIC]; Croat Peasants Party or HSS [Marko TADIC]; Democratic National Union or DNZ [Fikret ABDIC]; Liberal Democratic Party or LDS [Rasim KADIC]; New Croat Initiative or NHI [Kresimir ZUBAK]; Party for Bosnia and Herzegovina or SBiH [Safet HALILOVIC]; Party of Democratic Action or SDA [Sulejman TIHIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Serb Democratic Party or SDS [Dragan CAVIC - acting]; Serb Radical Party of the Republika Srpska or SRS-RS [Milanko MIHAJLICA]; Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Radislav KANJERIC]; Social Democratic Party of BIH or SDP [Zlatko LAGUMDZIJA]; Social Democratic Union or SDU [Miro LAZOVIC]; Socialist Party of Republika Srpska or SPRS [Petar DJOKIC] |
| **Botswana** | Botswana Democratic Party or BDP [Festus G. MOGAE]; Botswana National Front or BNF [Otswoletse MOUPO]; Botswana Congress Party or BCP [Otlaadisa KOOSALETSE]; Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO] |
| | *note:* a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats; the BAM parties are: the United Action Party [Ephraim Lepetu SETSHWAELO]; the Independence Freedom Party or IFP [Motsamai MPHO]; and the Botswana Progressive Union [D. K. KWELE] |
| **Brazil** | Brazilian Democratic Movement Party or PMDB [Federal Deputy Michel TEMER]; Brazilian Labor Party or PTB [Federal Deputy Roberto JEFFERSON]; Brazilian Social Democracy Party or PSDB [Senator Eduardo AZAREDO]; Brazilian Socialist Party or PSB [Federal Deputy Miguel ARRAES]; Communist Party of Brazil or PCdoB [Renato RABELO]; Democratic Labor Party or PDT [Carlos LUPI]; Democratic Socialist Party or PSD [Pedro Miguel SANTANA LOPES]; Green Party or PV [Jose Luiz de Franca PENNA]; Liberal Front Party or PFL [Senator Jorge BORNHAUSEN]; Liberal Party or PL [Federal Deputy Valdemar COSTA Neto]; National Order Reconstruction Party or PRONA [Federal Deputy Dr. Eneas CARNEIRO]; Popular Socialist Party or PPS [Federal Deputy Roberto FREIRE]; Progressive Party or PP [Federal Deputy Pedro CORREA]; Social Christian Party or PSC [Vitor Jorge ABDALA NOSSEIS]; Worker's Party or PT [Jose GENOINO] |
| **British Virgin Islands** | Concerned Citizens Movement or CCM [Ethlyn SMITH]; National Democratic Party or NDP [Orlando SMITH]; United Party or UP [Gregory MADURO]; Virgin Islands Party or VIP [Ralph T. O'NEAL] |
| **Brunei** | National Development Party (NDP) [Yassin AFFENDI]; National Unity Party of Brunei (PPKB) [leader NA]; People's Awareness Party (PAKAR) [leader NA] |
| | *note:* parties are small and inactive (2005) |
| **Bulgaria** | Attack National Union [Volen Siderov]; ATAKA (Attack Coalition) (coalition of parties headed by the Attack National Union); Bulgarian Agrarian National Union-People's Union or BANU [Anastasia MOZER]; Bulgarian People's Union or BPU (coalition of UFD, IMRO, and BANU); Bulgarian Socialist Party or BSP [Sergei STANISHEV]; Coalition for Bulgaria or CfB (coalition of parties dominated by BSP) [Sergei STANISHEV]; Democrats for a Strong Bulgaria or DSB [Ivan KOSTOV]; Internal Macedonian Revolutionary Organization or IMRO [Krasimir KARAKACHANOV]; Movement for Rights and Freedoms or MRF [Ahmed DOGAN]; National Movement for Simeon II or NMS2 [Simeon SAXE-COBURG-GOTHA]; New Time [Emil KOSHLUKOV]; Union of Democratic Forces or UDF [Nadezhda MIKHAYLOVA]; Union of Free Democrats or UFD [Stefan SOFIYANSKI]; United Democratic Forces or UtDF (a coalition of center-right parties dominated by UDF) |
| **Burkina Faso** | African Democratic Rally-Alliance for Democracy and Federation or RDA-ADF [Herman YAMEOGO]; Confederation for Federation and Democracy or CFD [Amadou Diemdioda DICKO]; Congress for Democracy and Progress or CDP [Roch Marc-Christian KABORE]; Movement for Tolerance and Progress or MTP [Nayabtigungou Congo KABORE]; Party for African Independence or PAI [Philippe OUEDRAOGO]; Party for Democracy and Progress or PDP [Joseph KI-ZERBO]; Socialist Party or PS [leader NA]; Union of Greens for the Development of Burkina Faso or UVDB [Ram OVEDRAGO] |
| **Burma** | National League for Democracy or NLD [AUNG SHWE, chairman, AUNG SAN SUU KYI, general secretary]; National Unity Party or NUP (pro-government) [THA KYAW]; Shan Nationalities League for Democracy or SNLD [KHUN HTUN OO]; and other smaller parties |
| **Burundi** | *the three national, mainstream, governing parties are:* Unity for National Progress or UPRONA [Jean-Baptiste MANWANGARI, secretary general]; Burundi Democratic Front or FRODEBU [Jean MINANI, president]; National Council for the Defense of Democracy, Front for the Defense of Democracy of CNDD-FDD [Pierre NKURUNZIZA, president] |
| | *note:* a multiparty system was introduced after 1998, included are: National Resistance Movement for the Rehabilitation of the Citizen or MRC-Rurenzangemero [Epitace BANYAGANAKANDI]; Party for National Redress or PARENA [Jean-Baptiste BAGAZA] |
| **Cambodia** | Cambodian Pracheachon Party (Cambodian People's Party) or CPP [CHEA SIM]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [Prince NORODOM Ranariddh]; Sam Rangsi Party or SRP [SAM RANGSI] |
| **Cameroon** | Cameroonian Democratic Union or UDC [Adamou NDAM NJOYA]; Democratic Rally of the Cameroon People or RDCP [Paul BIYA]; Movement for the Defense of the Republic or MDR [Dakole DAISSALA]; Movement for the Liberation and Development of Cameroon or MLDC [leader Marcel YONDO]; Movement for the Youth of Cameroon or MYC [Dieudonne TINA]; National Union for Democracy and Progress or UNDP [Maigari BELLO BOUBA]; Social Democratic Front or SDF [John FRU NDI]; Union of Cameroonian Populations or UPC [Augustin Frederic KODOCK] |
| **Canada** | Bloc Quebecois [Gilles DUCEPPE]; Conservative Party of Canada (a merger of the Canadian Alliance and the Progressive Conservative Party) [Stephen HARPER]; Green Party [Jim HARRIS]; Liberal Party [Paul MARTIN]; New Democratic Party [Jack LAYTON] |
| **Cape Verde** | African Party for Independence of Cape Verde or PAICV [Jose Maria Pereira NEVES, chairman]; Democratic Alliance for Change or ADM [Dr. Eurico MONTEIRO] (a coalition of PCD, PTS, and UCID); Democratic Christian Party or PDC [Manuel RODRIGUES, chairman]; Democratic Renovation Party or PRD [Jacinto SANTOS, president]; Movement for Democracy or MPD [Agostinho LOPES, president]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO, president]; Party of Work and Solidarity or PTS [Isaias RODRIGUES, president]; Social Democratic Party or PSD [Joao ALEM, president] |
| **Cayman Islands** | no national teams (loose groupings of political organizations) were formed for the 2000 elections; United Democratic Party or UDP [leader McKeeva BUSH]; People's Progressive Movement or PPM [leader Kurt TIBBETTS] |
| **Central African Republic** | Alliance for Democracy and Progress or ADP [Jacques MBOLIEDAS]; Central African Democratic Assembly or RDC [Andre KOLINGBA]; Civic Forum or FC [Gen. Timothee MALENDOMA]; Democratic Forum for Modernity or FODEM [Charles MASSI]; Liberal Democratic Party or PLD [Nestor KOMBO-NAGUEMON]; Movement for Democracy and Development or MDD [David DACKO]; Movement for the Liberation of the Central African People or MLPC [the party of deposed president, Ange-Felix PATASSE]; Patriotic Front for Progress or FPP [Abel GOUMBA]; People's Union for the Republic or UPR [Pierre Sammy MAKFOY]; National Unity Party or PUN [Jean-Paul NGOUPANDE]; Social Democratic Party or PSD [Enoch LAKOUE] |
| **Chad** | Federation Action for the Republic or FAR [Ngarlejy YORONGAR]; National Rally for Development and Progress or RNDP [Mamadou BISSO]; National Union for Democracy and Renewal or UNDR [Saleh KEBZABO]; Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman]; Rally for Democracy and Progress or RDP [Lol Mahamat CHOUA]; Union for Renewal and Democracy or URD [Gen. Wadal Abdelkader KAMOUGUE]; Viva Rally for Development and Progress or Viva RNDP [Delwa Kassire COUMAKOYE] |
| **Chile** | Alliance for Chile ("Alianza") or APC (including National Renewal or RN [Sebastian PINERA] and Independent Democratic Union or UDI [Pablo LONGUEIRA]); Coalition of Parties for Democracy ("Concertacion") or CPD (including Christian Democratic Party or PDC [Adolfo ZALDIVAR], Socialist Party or PS [Gonzalo MARTNER], Party for Democracy or PPD [Victor BARRUETO], Radical Social Democratic Party or PRSD [Orlando CANTUARIAS]); Communist Party or PC [Gladys MARIN] |
| **China** | Chinese Communist Party or CCP [HU Jintao, General Secretary of the Central Committee]; eight registered small parties controlled by CCP |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | Colombian Communist Party or PCC [Jaime CAICEDO]; Conservative Party or PSC [Carlos HOLGUIN Sardi]; Democratic Pole or PDI [Samuel MORENO Rojas]; Liberal Party or PL [Juan Fernando CRISTO] |
| | *note:* Colombia has about 60 formally recognized political parties, most of which do not have a presence in either house of Congress |
| **Comoros** | Forces pour l'Action Republicaine or FAR [Col. Abdourazak ABDULHAMID]; Forum pour la Redressement National or FRN (alliance of 12 parties); Front Democratique or FD [Moustoifa Said CHEIKH]; Front National pour la Justice or FNJ (Islamic party in opposition) [Ahmed RACHID]; Movement des Citoyens pour la Republique or MCR [Mahamoud MRADABI]; Mouvement Populaire Anjouanais or MPA (Anjouan separatist movement) [leader NA]; Mouvement pour la Democratie et le Progress or MDP-NGDC [Abbas DJOUSSOUF]; Movement pour le Socialisme et la Democratie or MSD (splinter group of FD) [Abdou SOEFOU]; Parti Comorien pour la Democratie et le Progress or PCDP [Ali MROUDJAE]; Rassemblement National pour le Development or RND (party of the government) [Omar TAMOU, Abdoulhamid AFFRAITANE] |
| **Congo, Democratic Republic of the** | Democratic Social Christian Party or PDSC [Andre BO-BOLIKO]; Forces for Renovation for Union and Solidarity or FONUS [Joseph OLENGHANKOY]; National Congolese Lumumbist Movement or MNC [Francois LUMUMBA]; Popular Movement of the Revolution or MPR (three factions: MPR-Fait Prive [Catherine NZUZI wa Mbombo]; MPR/Vunduawe [Felix VUNDUAWE]; MPR/Mananga [MANANGA Dintoka Mpholo]); Unified Lumumbast Party or PALU [Antoine GIZENGA]; Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI wa Mulumba]; Union of Federalists and Independent Republicans or UFERI (two factions: UFERI [Lokambo OMOKOKO]; UFERI/OR [Adolph Kishwe MAYA]) |
| **Congo, Republic of the** | the most important of the many parties are the Democratic and Patriotic Forces or FDP (an alliance of Convention for Alternative Democracy, Congolese Labor Party or PCT, Liberal Republican Party, National Union for Democracy and Progress, Patriotic Union for the National Reconstruction, and Union for the National Renewal) [Denis SASSOU-NGUESSO, president]; Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA]; Pan-African Union for Social Development or UPADS [Martin MBERI]; Rally for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president]; Rally for Democracy and the Republic or RDR [Raymond Damasge NGOLLO]; Union for Democracy and Republic or UDR [leader NA]; Union of Democratic Forces or UFD [Sebastian EBAO] |
| **Cook Islands** | Cook Islands People's Party or CIP [Geoffrey HENRY]; Democratic Alliance Party or DAP [Terepai MAOATE]; New Alliance Party or NAP [Norman GEORGE]; Cook Islands National Party or CIN [Teariki HEATHER]; Demo Party Tumu [Robert WOONTON] |
| **Costa Rica** | Authentic Member from Heredia [Jose SALAS]; Citizen Action Party or PAC [Otton SOLIS]; Costa Rican Renovation Party or PRC [Justo OROZCO]; Democratic Force Party or PFD [Juan Carlos CHAVES Mora]; Democratic National Alliance [Emilia RODRIGUEZ]; General Union Party or PUGEN [Carlos Alberto FERNANDEZ Vega]; Homeland First [Juan Jose VARGAS]; Independent Worker Party or PIO [Jose Alberto CUBERO Carmona]; Libertarian Movement Party or PML [Otto GUEVARA Guth]; National Christian Alliance Party or ANC [Victor GONZALEZ]; National Integration Party or PIN [Walter MUNOZ Cespedes]; National Liberation Party or PLN [Francisco Antonio PACHECO]; National Patriotic Party or PPN [Daniel Enrique REYNOLDS Vargas]; National Rescue Party or PRN [Carlos VARGAS Solano]; Patriotic Union [Humberto ARCE]; Popular Vanguard [Trino BARRANTES Araya]; Social Christian Unity Party or PUSC [Lorena VASQUEZ Badilla] |
| **Cote d'Ivoire** | Citizen's Democratic Union or UDCY [Eg Theodore MEL]; Democratic Party of Cote d'Ivoire-African Democratic Rally or PDCI-RDA [Henri Konan BEDIE]; Ivorian Popular Front or FPI [Laurent GBAGBO]; Ivorian Worker's Party or PIT [Francis WODIE]; Rally of the Republicans or RDR [Alassane OUATTARA]; Union for Democracy and Peace or UDPCI [Paul Akoto YAO]; over 20 smaller parties |
