CIA - The World Factbook -- Field Listing - Political parties and leaders

| Country | Political parties and leaders |
| **Antigua and Barbuda** | Antigua Labor Party or ALP [Lester Bryant BIRD]; Barbudans for a Better Barbuda [Ordrick SAMUEL]; Barbuda People's Movement or BPM [Thomas H. FRANK]; Barbuda People's Movement for Change [Arthur NIBBS]; United Progressive Party or UPP [Baldwin SPENCER] (a coalition of three parties - Antigua Caribbean Liberation Movement or ACLM, Progressive Labor Movement or PLM, United National Democratic Party or UNDP) |
| **Argentina** | Affirmation for an Egalitarian Republic or ARI [Elisa CARRIO]; Front for Victory or FV [Nestor KIRCHNER]; Interbloque Federal or IF (a broad coalition of approximately 12 parties including PRO); Justicialist Front or FJ; Justicialist Party or PJ (Peronist umbrella political organization); Radical Civic Union or UCR [Gerardo MORALES]; Republican Proposal or PRO (including Federal Recreate Movement or RECREAR [Ricardo LOPEZ MURPHY] and Commitment for Change or CPC [Mauricio MACRI]); Socialist Party or PS [Ruben GIUSTINIANI]; Union For All [Patricia BULLRICH]; several provincial parties |
| **Armenia** | Agro-Industrial Party [Vladimir BADALYAN]; Armenia Party (Hayastan) [Myasnik MALKHASYAN]; Armenian National Movement or ANM [Artashes ZURABYAN]; Armenian Ramkavar Liberal Party or HRAK [Harutyun MIRZAKHANYAN, chairman]; Armenian Revolutionary Federation ("Dashnak" Party) or ARF [Hrant MARKARYAN]; Dashink [Gen. Samvel Babayan]; Democratic Party [Aram SARKISYAN]; Heritage Party [Raffi HOVHANNISYAN]; Justice Bloc [Stepan DEMIRCHYAN] (comprised of the Democratic Party, National Democratic Party, National Democratic Union, the People's Party, and the Republic Party); National Democratic Party [Shavarsh KOCHARIAN]; National Democratic Union or NDU [Vazgen MANUKIAN]; National Revival Party [Albert BAZEYAN]; National Unity Party [Artashes GEGHAMYAN]; People's Party of Armenia [Stepan DEMIRCHYAN]; Prosperous Armenia [Gagik TSAROUKYAN]; Republic Party [Aram SARKISYAN]; Republican Party of Armenia or HHK [Serzh SARGSYAN]; Rule of Law Party [Artur BAGHDASARYAN]; Union of Constitutional Rights [Hrant KHACHATURYAN]; United Labor Party [Gurgen ARSENYAN] |
| **Aruba** | Aliansa/Aruban Social Movement or MSA [Robert WEVER]; Aruban Liberal Organization or OLA [Glenbert CROES]; Aruban Patriotic Movement or MPA [Monica ARENDS-KOCK]; Aruban Patriotic Party or PPA [Benny NISBET]; Aruban People's Party or AVP [Mike EMAN]; People's Electoral Movement Party or MEP [Nelson O. ODUBER]; Real Democracy or PDR [Andin BIKKER]; RED [Rudy LAMPE]; Workers Political Platform or PTT [Gregorio WOLFF] |
| **Australia** | Australian Democrats [Lyn ALLISON]; Australian Greens [Bob BROWN]; Australian Labor Party [Kevin RUDD]; Country Liberal Party [Jodeen CARNEY]; Family First Party [Steve FIELDING]; Liberal Party [Brendan NELSON]; The Nationals [Warren TRUSS] |
| **Austria** | Alliance for the Future of Austria or BZOe [Peter WESTENTHALER]; Austrian People's Party or OeVP [Wilhelm MOLTERER]; Freedom Party of Austria or FPOe [Heinz Christian STRACHE]; Social Democratic Party of Austria or SPOe [Alfred GUSENBAUER]; The Greens [Alexander VAN DER BELLEN] |
| **Azerbaijan** | Azadliq coalition (Musavat, APF, and DPA); Azerbaijan Popular Front or APF [Ali KARIMLI, leader of "Reform" faction; Mirmahmud MIRALI-OGLU, leader of "Classic" faction]; Civic Solidarity Party or CSP [Sabir RUSTAMKHANLY]; Civic Union Party [Ayaz MUTALIBOV]; Communist Party of Azerbaijan or CPA [Ramiz AHMADOV]; Compatriot Party [Mais SAFARLI]; Democratic Party for Azerbaijan or DPA [Rasul QULIYEV]; Justice Party [Ilyas ISMAILOV]; Liberal Party of Azerbaijan [Lala Shovkat HACIYEVA]; Motherland Party; Musavat [Isa GAMBAR, chairman]; Yeni Azerbaijan Party; Party for National Independence of Azerbaijan or PNIA [Etibar MAMMADLI]; Social Democratic Party of Azerbaijan or SDP [Araz ALIZADE] |
| | *note:* opposition parties regularly factionalize and form new parties |
| **Bahamas, The** | Free National Movement or FNM [Hubert INGRAHAM]; Progressive Liberal Party or PLP [Perry CHRISTIE] |
| **Bahrain** | political parties prohibited but political societies were legalized per a July 2005 law |
| **Bangladesh** | Awami League or AL [Sheikh HASINA]; Bangladesh Communist Party or BCP [Saifuddin Ahmed MANIK]; Bangladesh Nationalist Party or BNP [Khaleda ZIA]; Islami Oikya Jote or IOJ [Mufti Fazlul Haq AMINI]; Jamaat-e-Islami Bangladesh or JIB [Matiur Rahman NIZAMI]; Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD]; Jatiya Party (Manzur faction) [Naziur Rahman MANZUR]; Liberal Democratic Party or LDP [Badrudozza CHOWDHURY and Oli AHMED] |
| **Barbados** | Barbados Labor Party or BLP [Owen ARTHUR]; Democratic Labor Party or DLP [David THOMPSON]; People's Empowerment Party or PEP [David COMISSIONG] |
| **Belarus** | *pro-government parties:* Agrarian Party or AP [Mikhail SHIMANSKY]; Belarusian Communist Party or KPB; Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Nikolai ULAKHOVICH, chairman]; Liberal Democratic Party of Belarus [Sergei GAYDUKEVICH]; Party of Labor and Justice [Viktor SOKOLOV]; Social-Sports Party [Vladimir ALEXANDROVICH] |
| | *opposition parties:* 10 Plus Coalition [Aleksandr MILINKEVICH], includes: Belarusian Party of Communists or PKB [Syarhey KALYAKIN]; Belarusian Party of Labor (unregistered) [Aleksandr BUKHVOSTOV, Leonid LEMESHONAK]; Belarusian Popular Front or BPF [Vintsyuk VYACHORKA]; Belarusian Social-Democratic Gramada [Stanislav SHUSHKEVICH]; Green Party [Oleg GROMYKO]; Party of Freedom and Progress (unregistered) [Vladimir NOVOSYAD]; United Civic Party or UCP [Anatol LYABEDKA]; Women's Party "Nadezhda" [Valentina MATUSEVICH, chairperson] |
| | *other opposition includes:* Belarusian Social-Democratic Party (People's Assembly) or BSDP NH [Aleksandr KOZULIN]; Christian Conservative BPF [Zyanon PAZNIAK]; Ecological Party of Greens [Mikhail KARTASH]; Party of Popular Accord [Sergei YERMAKK]; Republican Party [Vladimir BELAZOR] |
| **Belgium** | *Flemish parties:* Christian Democrats and Flemish or CDV [Jo VANDEURZEN]; Flemish Liberals and Democrats or Open VLD [Bart SOMERS]; GROEN! [Vera DUA] (formerly AGALEV, Flemish Greens); List Dedecker [Jean-Marie DEDECKER]; New Flemish Alliance or N-VA [Bart DE WEVER]; Social Progressive Alternative or SP.A [Johan Vande LANOTTE]; Spirit [Geert LAMBERT] (new party now associated with SP.A); Vlaams Belang (Flemish Interest) or VB [Frank VANHECKE] |
| | *Francophone parties:* Ecolo (Francophone Greens) [Jean-Michel JAVAUX, Isabelle DURANT, Claude BROUIR]; Humanist and Democratic Center of CDH [Joelle MILQUET]; National Front or FN [Daniel FERET]; Reform Movement or MR [Didier REYNDERS]; Socialist Party or PS [Elio DI RUPO]; other minor parties |
| **Belize** | National Alliance for Belizean Rights or NABR; National Reform Party or NRP [Cornelius DUECK]; People's United Party or PUP [Said MUSA]; United Democratic Party or UDP [Dean BARROW]; Vision Inspired by the People or VIP [Paul MORGAN]; We the People Reform Movement [Hipolito BAUTISTA] |
| **Benin** | Alliance for Dynamic Democracy or ADD [Nicephore SOGLO]; Alliance of Progress Forces or AFP; African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Force Cowrie for an Emerging Benin or FCBE; Impulse for Progress and Democracy or IPD; Key Force or FC; Movement for Development and Solidarity or MDS; Movement for Development by the Culture-Salute Party-Congress of People for Progress Alliance or Alliance MDC-PS-CPP; New Alliance or NA; Rally for Democracy and Progress or RDP; The Star Alliance (Alliance E'toile) [Sacca LAFIA]; Union of Tomorrow's Benin or UBF [Bruno AMOUSSOU] |
| | *note:* approximately 20 additional minor parties |
| **Bermuda** | Progressive Labor Party or PLP [Ewart BROWN]; United Bermuda Party or UBP [Wayne FURBERT] |
| **Bhutan** | no legal parties |
| **Bolivia** | Free Bolivia Movement or MBL [Franz BARRIOS]; Movement Toward Socialism or MAS [Juan Evo MORALES Ayma]; Movement Without Fear or MSM [Juan DEL GRANADO]; National Revolutionary Movement or MNR [Mirta QUEVEDO]; National Unity [Samuel DORIA MEDINA Arana]; Poder Democratico Nacional or PODEMOS [Jorge Fernando QUIROGA Ramirez]; Social Alliance [Rene JOAQUINO] |
| **Bosnia and Herzegovina** | Alliance of Independent Social Democrats or SNSD [Milorad DODIK]; Bosnian Party or BOSS [Mirnes AJANOVIC]; Civic Democratic Party or GDS [Ibrahim SPAHIC]; Croat Christian Democratic Union of Bosnia and Herzegovina or HKDU [Marin TOPIC]; Croat Party of Rights or HSP [Zvonko JURISIC]; Croat Peasants Party or HSS [Marko TADIC]; Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BH [Dragan COVIC]; Croatian Democratic Union 1990 or HDZ1990 [Bozo LJUBIC]; Croatian Peoples Union [Milenko BRKIC]; Democratic National Union or DNZ [Rifet DOLIC]; Democratic Peoples Alliance or DNS [Marko PAVIC]; Liberal Democratic Party or LDS [Rasim KADIC]; New Croat Initiative or NHI [Kresimir ZUBAK]; Party for Bosnia and Herzegovina or SBH [Haris SILAJDZIC]; Party for Democratic Action or SDA [Sulejman TIHIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Serb Democratic Party or SDS [Mladen BOSIC]; Serb Radical Party of the Republika Srpska or SRS-RS [Milanko MIHAJLICA]; Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Radislav KANJERIC]; Social Democratic Party of BIH or SDP [Zlatko LAGUMDZIJA]; Social Democratic Union or SDU [Sejfudin TOKIC]; Socialist Party of Republika Srpska or SPRS [Petar DJOKIC] |
| **Botswana** | Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO]; Botswana Congress Party or BCP [Otlaadisa KOOSALETSE]; Botswana Democratic Party or BDP [Festus G. MOGAE]; Botswana National Front or BNF [Otswoletse MOUPO]; Botswana Peoples Party or BPP; MELS Movement of Botswana or MELS; New Democratic Front or NDF |
| | *note:* a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats - includes the United Action Party [Ephraim Lepetu SETSHWAELO]; the Independence Freedom Party or IFP [Motsamai MPHO]; the Botswana Progressive Union [D. K. KWELE] |
| **Brazil** | Brazilian Democratic Movement Party or PMDB [Federal Deputy Michel TEMER]; Brazilian Labor Party or PTB [Roberto JEFFERSON]; Brazilian Renewal Labor Party or PRTB [Jose Levy FIDELIX da Cruz]; Brazilian Republican Party or PRB [Vitor Paulo Araujo DOS SANTOS]; Brazilian Social Democracy Party or PSDB [Senator Tasso JEREISSATI]; Brazilian Socialist Party or PSB [Governor Eduardo Henrique Accioly CAMPOS]; Communist Party of Brazil or PCdoB [Jose Renato RABELO]; Democratic Labor Party or PDT [Carlos Roberto LUPI]; Democratic Socialist Party or PSD [Luis Marques MENDES]; Freedom and Socialism Party or PSOL [Heloisa HELENA]; Green Party or PV [Jose Luiz de Franca PENNA]; Humanist Party of Solidarity or PHS; Liberal Front Party or PFL (now known as the Democrats Party or DEM); Liberal Party or PL; Partido Municipalista Renovador or PMR [Natal Wellington Rodrigues FURUCHO]; Party of the Republic or PR [Sergio TAMER]; Popular Socialist Party or PPS [Federal Deputy Roberto FREIRE]; Progressive Party or PP [Federal Deputy Pedro CORREA]; Social Christian Party or PSC; Workers' Party or PT [Ricardo Jose Ribeiro BERZOINI] |
| **British Virgin Islands** | Concerned Citizens Movement or CCM [Ethlyn SMITH]; National Democratic Party or NDP [Orlando SMITH]; United Party or UP [Gregory MADURO]; Virgin Islands Party or VIP [Ralph T. O'NEAL] |
| **Brunei** | Brunei National Solidarity Party or PPKB [Abdul LATIF bin Chuchu]; National Development Party or NDP [YASSIN Affendi] |
| | *note:* People's Awareness Party or PAKAR [Awang Haji MAIDIN bin Haji Ahmad] was deregistered in 2007; parties are small and have limited activity |
| **Bulgaria** | ATAKA (Attack Coalition) (coalition of parties headed by the Attack National Union); Attack National Union [Volen SIDEROV]; Bulgarian Agrarian National Union-People's Union or BANU [Anastasia MOZER]; Bulgarian People's Union or BPU (coalition of UFD, IMRO, and BANU); Bulgarian Socialist Party or BSP [Sergei STANISHEV]; Coalition for Bulgaria or CfB (coalition of parties dominated by BSP) [Sergei STANISHEV]; Democrats for a Strong Bulgaria or DSB [Ivan KOSTOV]; Internal Macedonian Revolutionary Organization or IMRO [Krasimir KARAKACHANOV]; Movement for Rights and Freedoms or MRF [Ahmed DOGAN]; National Movement for Simeon II or NMS2 [Simeon SAXE-COBURG-GOTHA]; New Time [Emil KOSHLUKOV]; Union of Democratic Forces or UDF [Petar STOYANOV]; Union of Free Democrats or UFD [Stefan SOFIYANSKI]; United Democratic Forces or UtDF (a coalition of center-right parties dominated by UDF) |
| **Burkina Faso** | African Democratic Rally-Alliance for Democracy and Federation or ADF-RDA [Gilbert OUEDRAOGO]; Citizen's Popular Rally or RPC; Confederation for Federation and Democracy or CFD [Amadou Diemdioda DICKO]; Congress for Democracy and Progress or CDP [Roch Marc-Christian KABORE]; Convention of the Democratic Forces of Burkina or CFD-B; Movement for Tolerance and Progress or MTP [Nayabtigungou Congo KABORE]; Party for African Independence or PAI [Philippe OUEDRAOGO]; Party for Democracy and Progress/Socialist Party or PDP/PS [Ali LANKOANDE]; Party for Democracy and Socialism or PDS; Party for National Rebirth or PAREN; Rally for the Development of Burkina or RDB; Rally of Ecologists of Burkina Faso or RDEB [Ram OUEDRAGO]; Republican Party for Integration and Solidarity or PARIS [Cyril GOUNGOUNGA]; Union for Democracy and Social Progress or UDPS; Union for Rebirth - Sankarist Movement or UNIR-MS; Union for the Republic or UPR [Toussaint Abel COULIBALY]; Union of Sankarist Parties or UPS |
| **Burma** | National League for Democracy or NLD [AUNG SHWE, AUNG SAN SUU KYI]; National Unity Party or NUP (pro-regime) [TUN YE]; Shan Nationalities League for Democracy or SNLD [HKUN HTUN OO]; and other smaller parties |
| **Burundi** | *governing parties:* Burundi Democratic Front or FRODEBU [Leonce NGENDAKUMANA]; National Council for the Defense of Democracy - Front for the Defense of Democracy or CNDD-FDD [Jeremie NGENDAKUMANA]; Unity for National Progress or UPRONA [Aloys RUBUKA] |
| | *note:* a multiparty system was introduced after 1998, included are: National Council for the Defense of Democracy or CNDD; National Resistance Movement for the Rehabilitation of the Citizen or MRC-Rurenzangemero [Epitace BANYAGANAKANDI]; Party for National Redress or PARENA [Jean-Baptiste BAGAZA] |
| **Cambodia** | Cambodian People's Party or CPP [CHEA SIM]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [KEV PUT REAKSMEI]; Norodom Ranariddh Party or NRP [Norodom RANARIDDH]; Sam Rangsi Party or SRP [SAM RANGSI] |
