CIA -- The World Factbook -- Political parties and leaders

| Country | Political parties and leaders |
| **Armenia** | Armenia Party [Myasnik ALKHASYAN]; Armenian Communist Party or ACP [Vladimir DARBINYAN]; Armenian Revolutionary Federation ("Dashnak" Party) or ARF [Hrant MARKARYAN]; Christian Democratic Union or CDU [Azat ARSHAKYN, chairman]; Democratic Liberal Party [Ramkavar AZATAKAN, chairman]; Free Armenian's Mission [Ruben MNATSANIAN, chairman]; Law and Unity Party [Artashes GEGAMIAN, chairman]; Law-Governed Party [Artur BAGDASARIAN, chairman]; Mission Party [Artush PAPOIAN, chairman]; National Democratic Union or NDU [Vazgen MANUKIAN]; National State Party [Samvel SHAGINIAN]; Pan-Armenian National Movement or PANM [Vano SIRADEGHYAN]; People's Party of Armenia [Stepan DEMIRCHYAN]; Republican Party or RPA [Andranik MARKARYAN]; Shamiram Women's Movement or SWM [Gayane SARUKHYAN]; Social Democratic (Hnchakian) Party [Ernst SOGOMONYAN]; Stability Group [Vartan AYVAZIAN, chairman]; Union of National Self-Determination or NSDU [Paruir HAIRIKIAN, chairman]; Unity Bloc [Stepan DEMIRCHIAN and Andranik MARKARYAN] (a coalition of the Republican Party and People's Party of Armenia) |
| **Aruba** | Aruba Solidarity Movement or MAS [leader NA]; Aruban Democratic Party or PDA [Leo BERLINSKI]; Aruban Liberal Party or OLA [Glenbert CROES]; Aruban Patriotic Party or PPA [Benny NISBET]; Aruban People's Party or AVP [Tico CROES]; Electoral Movement Party or MEP [Nelson ODUBER]; For a Restructured Aruba Now or PARA [leader NA]; National Democratic Action or ADN [Pedro Charro KELLY] |
| **Australia** | Australian Democratic Party [Meg LEES]; Australian Labor Party [Kim BEAZLEY]; Green Party [Bob BROWN]; Liberal Party [John Winston HOWARD]; National Party [John ANDERSON]; One Nation Party [Pauline HANSON] |
| **Austria** | Austrian People's Party or OeVP [Wolfgang SCHUESSEL]; Freedom Party of Austria or FPOe [Susanne RIESS-PASSER]; Social Democratic Party of Austria or SPOe [Alfred GUSENBAUER]; The Greens Alternative or GA [Alexander VAN DER BELLEN] |
| **Azerbaijan** | Alliance for Azerbaijan Party [Abutalyb SAMADOV]; Azerbaijani Democratic Party or ADP [Sardar JALAL]; Azerbaijani Independent Democratic Party or AMDP [Leyla YUNUSOVA]; Azerbaijan Popular Front or APF [Ali KERIMOV, leader of "reform faction"; Mirmahmud FATTAYEV, leader of "traditionalist" faction]; Civic Solidarity Party or CSP [Sabir RUSTAMKHANLY]; Civic Union Party [Ayaz MUTALIBOV]; Communist Party of Azerbaijan or CPA [Ramiz AHMADOV]; Communist Party of Azerbaijan or CPA-2 [Firudin HASANOV]; Compatriot Party [Mais SAFARLI]; Democratic Enlightenment Party [Mammadhanifu MUSAYEV]; Democratic Party for Azerbaijan or DPA [Ilyus ISMAILOV and Rasul QULIYEV, co-chairman]; Democratic World Party of Azerbaijan [Mamnad ALIZADE]; Liberal Party of Azerbaijan [Lala Shvkat HAJIYEVA]; Motherland Party [Fazail AGAMALI]; National Congress Party of Azerbaijan [Ihtiyar SHIRIN]; National Movement Party [Samir JAFAROV]; National Statehood Party [Sabir TARIVERDIYEV]; Musavat [Isa GAMBAR, chairman]; New Azerbaijan Party or NAP [Heydar ALIYEV, chairman]; Party for National Independence of Azerbaijan or PNIA [Etibar MAMMADOV, chairman]; People's Democratic Party of Azerbaijan or PDPA [Rafig TURABKHANOGLU]; Social Democratic Party of Azerbaijan or SDP [Zardusht ALIZADE, chairman] |
| | *note:*  opposition parties regularly factionalize and form new parties |
| **Bahamas, The** | Free National Movement or FNM [Hubert Alexander INGRAHAM]; Progressive Liberal Party or PLP [Perry CHRISTIE] |
| **Bahrain** | political parties prohibited |
| **Bangladesh** | Awami League or AL [Sheikh HASINA]; Bangladesh Communist Party or BCP [Saifuddin Ahmed MANIK]; Bangladesh Nationalist Party or BNP [Khaleda ZIAur Rahman]; Islami Oikya Jote or IOJ [Azizol HAQ]; Jamaat-E-Islami or JI [Motiur Rahman NIZAMI]; Jatiya Party or JP [Hussain Mohammad ERSHAD] |
| **Barbados** | Barbados Labor Party or BLP [Owen ARTHUR]; Democratic Labor Party or DLP [David THOMPSON]; National Democratic Party or NDP [Richard HAYNES] |
| **Belarus** | Agrarian Party or AP [Semyon SHARETSKY, chairman]; Belarusian Communist Party or KPB [Viktor CHIKIN, chairman]; Belarusian Ecological Green Party (merger of Belarusian Ecological Party and Green Party of Belarus) [leader NA]; Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Anatoliy BARANKEVICH, chairman]; Belarusian Popular Front or BNF [Vintsuk VYACHORKA]; Belarusian Social-Democrat or SDBP [Nikolay STATKEVICH, chairman]; Belarusian Social-Democratic Party Hromada [Stanislav SHUSHKEVICH, chairman]; Belarusian Socialist Party [Vyacheslav KUZNETSOV]; Civic Accord Bloc (United Civic Party) or CAB [Stanislav BOGDANKEVICH, chairman]; Liberal Democratic Party or LDPB [Sergei GAYDUKEVICH, chairman]; Party of Communists Belarusian or PKB [Sergei KALYAKIN, chairman]; Republican Party of Labor and Justice or RPPS [Anatoliy NETYLKIN, chairman]; Social-Democrat Party of Popular Accord or PPA [Leanid SECHKA]; Women's Party Nadezhda [Valentina POLEVIKOVA, chairperson] |
| **Belgium** | AGALEV (Flemish Greens) [Dos GEYSELS]; ECOLO (Francophone Greens) [no president]; Flemish Christian Democrats or CVP (Christian People's Party) [Stefaan DE CLERCK, president]; Flemish Liberal Democrats or VLD [Karel DE GUCHT, president]; Flemish Socialist Party or SP [Patrick JANSSENS, president]; Francophone Christian Democrats or PSC (Social Christian Party) [Joelle MILQUET, president]; Francophone Liberal Reformation Party or PRL [Daniel DUCARME, president]; Francophone Socialist Party or PS [Elio DI RUPO, president]; National Front or FN [Daniel FERET]; Vlaams Blok or VB [Frank VANHECKE]; Volksunie or VU [leader vacant]; other minor parties |
| **Belize** | People's United Party or PUP [Said MUSA]; United Democratic Party or UDP [Manuel ESQUIVEL, Dean BARROW, Doug SINGH] |
| **Benin** | African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Alliance for Democracy and Progress or ADP [Sylvain Adekpedjou AKINDES]; Alliance of the Social Democratic Party or PSD and the National Union for Solidarity and Progress or UNSP [Bruno AMOUSSOU]; Cameleon Alliance or AC [leader NA]; Car-DUNYA [Saka SALEY]; Communist Party of Benin or PCB [Pascal FANTONDJI, first secretary]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Front for Renewal and Development or FARD-ALAFIA [Jerome Sakia KINA]; Impulse for Progress and Democracy or IPD [Bertin BORNA]; Liberal Democrats' Rally for National Reconstruction-Vivoten or RDL-Vivoten [Severin ADJOVI]; Movement for Citizens' Commitment and Awakening or MERCI [Severin ADJOVI]; New Generation for the Republic or NGR [Paul DOSSOU]; Our Common Cause or NCC [Francois Odjo TANKPINON]; Party Democratique du Benin or PDB [Col. Soule DANKORO]; Rally for Democracy and Pan-Africanism or RDP [Dominique HOYMINOU, Dr. Giles Auguste MINONTIN]; Renaissance Party du Benin or RB [Nicephore SOGLO]; The Star Alliance (Alliance E'toile) [Sacca LAFIA]; Union for National Democracy and Solidarity or UDS [Adamou N'Diaye MAMA] |
| | *note:*  the Coalition of Democratic Forces is an alliance of parties and organizations supporting President KEREKOU [Gatien HOUNGBEDJI] |
| **Bermuda** | National Liberal Party or NLP [Dessaline WALDRON]; Progressive Labor Party or PLP [Jennifer SMITH]; United Bermuda Party or UBP [Pamela GORDON] |
| **Bhutan** | no legal parties |
| **Bolivia** | Christian Democratic Party or PDC [leader NA]; Civic Solidarity Union or UCS [Johnny FERNANDEZ]; Conscience of the Fatherland or CONDEPA [Remedios LOZA Alvarado]; Free Bolivia Movement or MBL [Antonio ARANIBAR]; Movement of the Revolutionary Left or MIR [Jaime PAZ Zamora]; Nationalist Democratic Action or ADN [Hugo BANZER Suarez]; Nationalist Revolutionary Movement or MNR [Gonzalo SANCHEZ DE LOZADA]; New Republican Force or NFR [leader NA]; Pachacuti Indigenous Movement [Filipe QUISPE]; United Left or IU [Marcos DOMIC] |
| | *note:*  the ADN, MIR, and UCS comprise the ruling coalition |
| **Bosnia and Herzegovina** | Bosnian Party or BOSS [Mirnes AJANOVIC]; Bosnian Patriotic Party or BPS [Sefer HALILOVIC]; Civic Democratic Party of BiH or GDS [Ibrahim SPAHIC]; Croat Christian Democratic Union or HKDU BiH [Ante PASALIC]; Croatian Democratic Union of BiH or HDZ-BiH [leader vacant]; Croatian Party of Rights or HSP [Zdravko HRSTIC]; Croatian Peasants Party of BiH or HSS-BiH [Ilija SIMIC]; Democratic Action Party or SDA [Alija IZETBEGOVIC]; Democratic National Alliance or DNS [Dragan KOSTIC]; Democratic Party of Pensioners or DPS [Alojz KNEZOVIC]; Democratic Party of RS or DSRS [Dragomir DUMIC]; Democratic Peoples Union or DNZ [Fikret ABDIC]; Democratic Socialist Party or DSP [Nebojsa RADMANOVIC]; Liberal Democratic Party or LDS [Rasim KADIC]; New Croatian Initiative or NHI [Kresimir ZUBAK]; Party for Bosnia and Herzegovina or SBH [Haris SILAJDZIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Party of Independent Social Democrats or SNSD [Milorad DODIK]; Pensioners' Party of FBiH [Husein VOJNIKOVIC]; Pensioners' Party of SR [Stojan BOGOSAVAC]; Republican Party of BiH or RP [Stjepan KLJUIC]; Serb Democratic Party or Serb Lands or SDS [Dragan KALINIC]; Serb National Alliance (Serb People's Alliance) or SNS [Biljana PLAVSIC]; Social Democratic Party BIH or SDP-BiH [Zlatko LAGUMDZIJA]; Socialist Party of Republika Srpska or SPRS [Zivko RADISIC] |
| **Botswana** | Botswana Democratic Party or BDP [Festus MOGAE]; Botswana National Front or BNF [Kenneth KOMA]; Botswana Congress Party or BCP [Michael DINGAKE]; Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO] |
| | *note:*  main parties are: BDP, BNF, BCP; other minor parties joined forces in 1999 to form the Botswana Alliance Movement or BAM [Ephraim SETSHWAELO, chairman] but did not capture any parliamentary seats; the BAM parties are: the United Action Party [Ephraim Lepetu SETSHWAELO], the Botswana Peoples Party, the Independence Freedom Party [Motsamai MPHO], and the Botswana Progressive Union [D. K. KWELE] |
| **Brazil** | Brazilian Democratic Movement Party or PMDB [Jader BARBALHO, president]; Brazilian Labor Party or PTB [Roberto JEFFERSON]; Brazilian Social Democracy Party or PSDB [Teotonio VILELA Filno]; Brazilian Socialist Party or PSB [Miguel ARRAES, president]; Brazilian Progressive Party or PPB [Paulo Salim MALUF]; Communist Party of Brazil or PCdoB [Sergio Roberto Gomes SOUZA, chairman]; Democratic Labor Party or PDT [Leonel BRIZOLA, president]; Liberal Front Party or PFL [Jorge BORNHAUSEN, president]; Liberal Party or PL [Francisco Teixeira de OLIVEIRA]; Popular Socialist Party or PPS [Ciro GOMEZ, president]; Worker's Party or PT [Jose DIRCEU, president] |
| **British Virgin Islands** | Concerned Citizens Movement or CCM [Ethlyn SMITH]; National Democratic Party or NDP [Orlando SMITH]; United Party or UP [Gregory MADURO]; Virgin Islands Party or VIP [Ralph T. O'NEAL] |
| **Brunei** | Brunei Solidarity National Party or PPKB in Malay [Haji Mohd HATTA bin Haji Zainal Abidin, president]; the PPKB is the only legal political party in Brunei; it was registered in 1985, but became largely inactive after 1988, it was revived in 1995 and again in 1998; it has less than 200 registered party members; other parties include Brunei People's Party or PRB (banned in 1962) and Brunei National Democratic Party (registered in May 1965, deregistered by the Brunei Government in 1988) |
| **Bulgaria** | Alliance for National Salvation or ANS (coalition led mainly by Movement for Rights and Freedoms or MRF) [Ahmed DOGAN]; Bulgarian Business Bloc or BBB [Georgi GANCHEV]; Bulgarian Socialist Party or BSP [Georgi PURVANOV, chairman]; Democratic Left or DL (bloc led by BSP, includes Ecoglasnost Political Club and Bulgarian Agrarian National Union) [leader NA]; Euro-left [Aleksandur TOMOV]; Internal Macedonian Revolutionary Organization or UMRO [Aleksander KARAKACHNOV]; Kingdom of Bulgaria Federation [leader NA]; Movement for Rights and Freedom or DPS [Ahmed DOGAN]; National Movement for Simeon II [Simeon II, former king]; New Civic Party for Bulgaria [Bogomil BONEV]; People's Union or PU (includes Bulgarian Agrarian People's Union and Democratic Party) [Anastasiya MOZER]; St. George's Day [Lyuben DILOV]; Union of Democratic Forces or UDF (an alliance of pro-democratic parties) [Ivan KOSTOV] |
| **Burkina Faso** | African Democratic Rally-Alliance for Democracy and Federation or RDA-ADF [Herman YAMEOGO]; Congress for Democracy and Progress or CDP [Roch Marc-Christian KABORE]; Movement for Tolerance and Progress or MTP [Noyabtigungu Congo KABORE]; Party for African Independence or PAI [Philippe OUEDRAOGO]; Party for Democracy and Progress or PDP [Joseph KI-ZERBO]; Union of Greens for the Development of Burkina Faso or UVDB [Ram OVEDRAGO] |
| **Burma** | National League for Democracy or NLD [AUNG SHWE, chairman, AUNG SAN SUU KYI, general secretary]; National Unity Party or NUP (proregime) [THA KYAW]; Shan Nationalities League for Democracy or SNLD [U KHUN TUN OO]; Union Solidarity and Development Association or USDA (proregime, a social and political organization) [THAN AUNG, general secretary]; and other smaller parties |
| **Burundi** | Two national, mainstream governing parties are: Unity for National Progress or UPRONA [Luc RUKINGAMA, president]; Burundi Democratic Front or FRODEBU [Jean MINANI, president] |
| | *note:*  A multiparty system was introduced after 1998, included are: Burundi African Alliance for the Salvation or ABASA [Terrence NSANZE]; Rally for Democracy and Economic and Social Development or RADDES [Joseph NZENZIMANA]; Party for National Redress or PARENA [Jean-Baptiste BAGAZA]; People's Reconciliation Party or PRP [Mathias HITIMANA] |
| **Cambodia** | Buddhist Liberal Party or BLP [IENG MOULY]; Cambodian Pracheachon Party or Cambodian People's Party or CPP [CHEA SIM]; Khmer Citizen Party or KCP [NGUON SOEUR]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [Prince NORODOM RANARIDDH]; Sam Rangsi Party or SRP (formerly Khmer Nation Party or KNP) [SAM RANGSI] |
| **Cameroon** | Cameroonian Democratic Union or UDC [Adamou NDAM NJOYA]; Democratic Rally of the Cameroon People or RDCP [Paul BIYA]; Movement for the Defense of the Republic or MDR [Dakole DAISSALA]; Movement for the Liberation and Development of Cameroon or MLDC [leader NA]; Movement for the Youth of Cameroon or MLJC [Marcel YONDO]; National Union for Democracy and Progress or UNDP [Maigari BELLO BOUBA, chairman]; Social Democratic Front or SDF [John FRU NDI]; Union of Cameroonian Populations has two sections UPC-N [Ndeh NTUMAZAH] and UPC-K [Augustin Frederic KODOCK] |
| **Canada** | Bloc Quebecois [Gilles DUCEPPE]; Canadian Alliance [Stockwell DAY]; Liberal Party [Jean CHRETIEN]; New Democratic Party [Alexa MCDONOUGH]; Progressive Conservative Party [Joe CLARK] |
| **Cape Verde** | African Party for Independence of Cape Verde or PAICV [Jose Maria NEVES, chairman]; Democratic Alliance for Change or ADM [Dr. Eurico MONTEIRO] (a coalition of PCD, PTS, and UCID); Democratic Renovation Party or PRD [Jacinto SANTOS, president]; Movement for Democracy or MPD [Antonio Gualberto do ROSARIO, president]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO, president]; Party of Work and Solidarity or PTS [Dr. Oresimo SILVEIRA, president]; Social Democratic Party or PSD [Joao ALEM, president]; Union for an Independent Democratic Cape Verde or UCID [Antonio MONTEIRO, president] |
| **Cayman Islands** | there are no formal political parties but the following loose groupings act as political organizations; National Team; Democratic Alliance; Team Cayman |
| **Central African Republic** | Alliance for Democracy and Progress or ADP [Francois PEHOUA]; Central African Democratic Assembly or RDC [Andre KOLINGBA]; Civic Forum or FC [Gen. Timothee MALENDOMA]; Democratic Forum or FODEM [Charles MASSI]; Liberal Democratic Party or PLD [Nestor KOMBO-NAGUEMON]; Movement for Democracy and Development or MDD [David DACKO]; Movement for the Liberation of the Central African People or MLPC [the party of the president, Ange-Felix PATASSE]; Patriotic Front for Progress or FPP [Abel GOUMBA]; People's Union for the Republic or UPR [leader NA]; National Unity Party or PUN [Jean-Paul NGOUPANDE]; Social Democratic Party or PSD [Enoch LAKOUE] |
| **Chad** | National Union for Development and Renewal or UNDR [Saleh KEBZABO]; Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman] (originally in opposition but now the party in power and the party of the president); Rally for Democracy and Progress or RDP [Lal Mahamat CHOUA]; Union for Renewal and Democracy or URD [Gen. Wadal Abdelkader KAMOUGUE] |
| **Chile** | Center-Center Union Party or UCCP [Francisco Javier ERRAZURIZ]; Christian Democratic Party or PDC [Ricardo HORMAZABAL]; Coalition of Parties for Democracy ("Concertacion") or CPD - including PDC, PS, PPD, PRSD; Independent Democratic Union or UDI [Pablo LONGUEIRA]; National Renewal or RN [Alberto CARDEMIL]; Party for Democracy or PPD [Guido GIRARDI]; Radical Social Democratic Party or PRSD [Anselmo SULE]; Socialist Party or PS [Ricardo NUNEZ] |
| **China** | Chinese Communist Party or CCP [JIANG Zemin, General Secretary of the Central Committee]; eight registered small parties controlled by CCP |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | Conservative Party or PSC [Ciro RAMIREZ Anzon]; Liberal Party or PL [Luis Guillermo VELEZ]; Patriotic Union or UP is a legal political party formed by Revolutionary Armed Forces of Colombia or FARC and Colombian Communist Party or PCC [Jaime CAICEDO]; 19 of April Movement or M-19 [Antonio NAVARRO Wolff] |
| **Comoros** | Front National pour la Justice or FNJ (Islamic party in opposition) [Ahmed Abdallah MOHAMED, Ahmed ABOUBACAR, Soidiki M'BAPANOZA]; Rassemblement National pour le Development or RND (party of the government) [Ali Bazi SELIM] |
| **Congo, Democratic Republic of the** | Democratic Social Christian Party or PDSC [Andre BO-BOLIKO]; Popular Movement of the Revolution or MPR [leader NA]; Unified Lumumbast Party or PALU [Antoine GIZENGA]; Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI wa Mulumba]; Union of Federalists and Independent Republicans or UFERI [Kouyoumba MUCHULI Mulembe] |
| **Congo, Republic of the** | the most important of the many parties are the Democratic and Patriotic Forces or FDP (an alliance of Convention for Alternative Democracy, Congolese Labor Party or PCT, Liberal Republican Party, National Union for Democracy and Progress, Patriotic Union for the National Reconstruction, and Union for the National Renewal) [Denis SASSOU-NGUESSO, president]; Association for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president]; Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA]; Pan-African Union for Social Development or UPADS [Martin MBERI]; Union of Democratic Forces or UFD [Sebastian EBAO] |
| **Cook Islands** | Cook Islands People's Party or CIP [Tai CARPENTER]; Democratic Alliance Party or DAP [Terepai MAOATE]; New Alliance Party or NAP [Norman GEORGE] |
| **Costa Rica** | Agricultural Labor Action or PALA [Carlos Alberto SOLIS Blanco]; Costa Rican Renovation Party or PRC [Justo OROZCO]; Democratic Force Party or PFD [Jose M. NUNEZ]; Libertarian Movement Party or PML [Otto GUEVARA Guth]; National Christian Alliance Party or ANC [Alejandro MADRIGAL]; National Independent Party or PNI [Jorge GONZALEZ Marten]; National Integration Party or PIN [Walter MUNOZ Cespedes]; National Liberation Party or PLN [Sonia PICADO]; Social Christian Unity Party or PUSC [Luis Manuel CHACON] |
| | *note:*  mainly a two-party system - PUSC and PLN; numerous small parties share less than 25% of population's support |
| **Cote d'Ivoire** | Democratic Party of Cote d'Ivoire-African Democratic Rally or PDCI-RDA [Aime Henri Konan BEDIE]; Ivorian Popular Front or FPI [Laurent GBAGBO]; Ivorian Worker's Party or PIT [Francis WODIE]; Rally of the Republicans or RDR [Henriette DAGRI-DIABATE]; Union for Democracy and Peace [Gen. Robert GUEI]; over 20 smaller parties |
| **Croatia** | Alliance of Croatian Coast and Mountains Department or PGS [Luciano SUSANJ]; Croatian Christian Democratic Union or HKDU [Marko VESELICA]; Croatian Democratic Union or HDZ [Ivo SANADER]; Croatian Party of Rights or HSP [Dobroslav PARAGA]; Croatian Peasant Party or HSS [Zlatko TOMCIC]; Croatian People's Party or HNS [Vesna PUSIC]; Croatian Social Liberal Party or HSLS [Drazen BUDISA]; Independent Democratic Serb Party or SDSS [Vojislav STANIMIROVIC]; Istrian Democratic Assembly or IDS [Ivan JAKOVCIC]; Liberal Party or LP [leader NA]; Social Democratic Party of Croatia or SDP [Ivica RACAN] |
| | *note:*  the Social Democratic Party or SDP and the Croatian Social Liberal Party or HSLS formed a coalition as did the HSS, HNS, LP, and IDS, which together defeated the Croatian Democratic Union or HDZ in the 2000 lower house parliamentary election |
| **Cuba** | only party - Cuban Communist Party or PCC [Fidel CASTRO Ruz, first secretary] |
| **Cyprus** | *Greek Cypriot area:* Democratic Party or DIKO [Tassos PAPADOPOULOS]; Democratic Rally or DISY [Nikos ANASTASIADHIS]; Restorative Party of the Working People or AKEL (Communist Party) [Dimitrios CHRISTOFIAS]; Social Democrats Movement or KISOS (formerly United Democratic Union of Cyprus or EDEK) [Vassos LYSSARIDIS]; United Democrats Movement or EDE (formerly Free Democrats Movement or KED) [George VASSILIOU]; Turkish Cypriot area: Communal Liberation Party or TKP [Mustafa AKINCI]; Democratic Party or DP [Salih COSAR]; National Birth Party or UDP [Enver EMIN]; National Unity Party or UBP [Dervis EROGLU]; Our Party or BP [Okyay SADIKOGLU]; Patriotic Unity Movement or YBH [Izzet IZCAN]; Republican Turkish Party or CTP [Mehmet ALI TALAT] |
| **Czech Republic** | Christian and Democratic Union-Czechoslovak People's Party or KDU-CSL [Jan KASAL, chairman]; Civic Democratic Alliance or ODA [Daniel KROUPA, chairman]; Civic Democratic Party or ODS [Vaclav KLAUS, chairman]; Communist Party of Bohemia and Moravia or KSCM [Miroslav GREBENICEK, chairman]; Communist Party of Czechoslovakia or KSC [Miroslav STEPAN, chairman]; Czech National Social Party of CSNS [Jan SULA, chairman]; Czech Social Democratic Party or CSSD [Milos ZEMAN, chairman]; Democratic Union or DEU [Ratibor MAJZLIK, chairman]; Freedom Union or US [Karel KUEHNL, chairman]; Quad Coalition [Cyril SVOBODA, chairman] (includes KDU-CSL, US, ODA, DEU); Republicans of Miroslav SLADEK or RMS [Miroslav SLADEK, chairman] |
| **Denmark** | Center Democratic Party [Mimi JAKOBSEN]; Christian People's Party [Jann SJURSEN]; Conservative Party (sometimes known as Conservative People's Party) [Bendt BENDTSEN]; Danish People's Party [Pia KJAERSGAARD]; Liberal Party [Anders Fogh RASMUSSEN]; Progress Party (now named Freedom 2000) [Kim BEHNKE]; Social Democratic Party [Poul Nyrup RASMUSSEN]; Social Liberal Party (sometimes called the Radical Left) [Marianne JELVED, leader; Johannes LEBECH, chairman]; Socialist People's Party [Holger K. NIELSEN]; Red-Green Unity List (bloc includes Left Socialist Party, Communist Party of Denmark, Socialist Workers' Party) [collective leadership] |
| **Djibouti** | Democratic National Party or PND [ADEN Robleh Awaleh]; Democratic Renewal Party or PRD [Abdillahi HAMARITEH]; People's Progress Assembly or RPP (governing party) [Ismail Omar GELLEH] |
| **Dominica** | Dominica Freedom Party or DFP [Charles SAVARIN]; Dominica Labor Party or DLP [Pierre CHARLES]; United Workers Party or UWP [Edison JAMES] |
| **Dominican Republic** | Dominican Liberation Party or PLD [Leonel FERNANDEZ Reyna]; Dominican Revolutionary Party or PRD [Hatuey DE CAMPS]; Social Christian Reformist Party or PRSC [Joaquin BALAGUER Ricardo] |
