CIA - The World Factbook -- Field Listing - Military service age and obligation

| Country | Military service age and obligation (years of age) |
| **Ecuador** | 20 years of age for selective conscript military service; 12-month service obligation (2006) |
| **Egypt** | 18-30 years of age for male conscript military service; service obligation 12-36 months, followed by a 9-year reserve obligation (2006) |
| **El Salvador** | 18 years of age for selective compulsory military service; 16 years of age for voluntary service; 12-month service obligation (2006) |
| **Equatorial Guinea** | 18 years of age (est.) (2004) |
| **Eritrea** | 18-40 years of age for male and female voluntary and compulsory military service; 16-month conscript service obligation (2006) |
| **Estonia** | compulsory military service for men between 19 and 28; conscription lasts 11 months for junior NCOs and reserve platoon leaders; reserve officers and designated specialists have a different conscript service obligation; Estonia has committed to retaining conscription for men up to 2010 and, unlike Latvia and Lithuania, has no plan to transition to a contract armed forces; 17 years of age for volunteers; reserve commitment up to the age of 60 (2006) |
| **Ethiopia** | 18 years of age for compulsory and voluntary military service (2001) |
| **Fiji** | 18 years of age for voluntary military service; reserve obligation to age 45 (2006) |
| **Finland** | 18 years of age for voluntary and compulsory military service (October 2004) |
| **France** | 17 years of age for voluntary military service; conscription ended in 1996; women serve in noncombat military posts (2005) |
| **Gabon** | 20 years of age for compulsory and voluntary military service (2007) |
| **Gambia, The** | 18 years of age for voluntary military service; no conscription (2001) |
| **Georgia** | 18 to 34 years of age for compulsory and voluntary active duty military service; conscript service obligation - 18 months (2005) |
| **Germany** | 18 years of age (conscripts serve a 9-month tour of compulsory military service) (2004) |
| **Ghana** | 18 years of age for compulsory and volunteer military service (2001) |
| **Greece** | 18 years of age for compulsory military service; during wartime the law allows for recruitment beginning January of the year of inductee's 18th birthday, thus including 17 year olds; 17 years of age for volunteers; conscript service obligation - 12 months for the Army, Air Force; 15 months for Navy; women are eligible for voluntary military service (2007) |
| **Guatemala** | all male citizens between the ages of 18 and 50 are liable for military service; conscript service obligation varies from 12 to 24 months; women can serve as officers (2007) |
| **Guinea** | 18 years of age for compulsory military service; 2-year conscript service obligation (2006) |
| **Guinea-Bissau** | 18 years of age for selective compulsory military service (2006) |
| **Honduras** | 18 years of age for voluntary 2 to 3-year military service (2004) |
| **Hong Kong** | 18 years of age (2004) |
| **Hungary** | 18 years of age for voluntary military service; conscription abolished in June 2004; 6-month service obligation, with reserve obligation to age 50 (2006) |
| **India** | 16 years of age for voluntary military service (2001) |
| **Indonesia** | 18 years of age for selective compulsory and voluntary military service; 2-year conscript service obligation, with reserve obligation to age 45 (2006) |
| **Iran** | 18 years of age for male compulsory military service; 16 years of age for volunteers; soldiers as young as 9 were recruited extensively during the Iran-Iraq War; conscript service obligation - 18 months (2004) |
| **Iraq** | 18-40 years of age for voluntary military service (2006) |
| **Ireland** | 17 years of age for voluntary military service; enlistees under the age of 17 can be recruited for specialist positions (2001) |
| **Israel** | *17 years of age for compulsory (Jews, Druzes) and voluntary (Christians, Muslims, Circassians) military service; both sexes are obligated to military service; conscript service obligation:* 36 months for men, 24 months for women, 48 months for officers; reserve obligation to age 41-54 for men and 24 for women (2007) |
| **Italy** | 18-27 year of age for voluntary military service; conscription abolished January 2005; women may serve in any military branch; 10-month service obligation, with a reserve obligation to age 45 (Army and Air Force) or 39 (Navy) (2006) |
| **Jamaica** | 18 years of age for voluntary military service; younger recruits may be conscripted with parental consent (2001) |
| **Japan** | 18 years of age for voluntary military service (2001) |
| **Jordan** | 17 years of age for voluntary military service; conscription at age 18 was suspended in 1999, although all males under age 37 are required to register; women not subject to conscription, but can volunteer to serve in non-combat military positions (2004) |
| **Kazakhstan** | 18 years of age for compulsory military service; conscript service obligation - 2 years; minimum age for volunteers NA (2004) |
| **Kenya** | 18 years of age (est.) for voluntary service, with a 9-year obligation (2007) |
| **Korea, North** | 17 years of age (2004) |
| **Korea, South** | 20-30 years of age for compulsory military service; conscript service obligation - 24-28 months, depending on the military branch involved (to be reduced by 6 months beginning 2014); 18 years of age for voluntary military service; women, in service since 1950, admitted to 7 service branches, including infantry, but excluded from artillery, armor, anti-air, and chaplaincy corps; some 4,000 women serve as commissioned and noncommissioned officers, approx. 2.3% of all officers (2007) |
| **Kuwait** | 18 years of age for compulsory and voluntary military service; reserve obligation to age 40 with 1 month annual training; women have served in police forces since 1999 (2006) |
| **Kyrgyzstan** | 18 years of age for compulsory military service (2001) |
| **Laos** | 15 years of age for compulsory military service; minimum 18-month conscript service obligation (2006) |
| **Latvia** | 18 years of age for voluntary military service; conscription abolished January 2007; under current law, every citizen is entitled to serve in the armed forces for life (2006) |
| **Lebanon** | 18-30 years of age for compulsory and voluntary military service; in May 2005, conscript service obligation reduced from 12 to 6 months over a 2-year period; conscripts eligible to volunteer for 5 years of military service upon completing 6 months of conscript service; Lebanon is moving toward a predominantly professional armed forces (2005) |
| **Lesotho** | 18 years of age (est.); no conscription (2001) |
| **Liberia** | 18 years of age for voluntary military service; no conscription (2001) |
| **Libya** | 17 years of age (2004) |
| **Lithuania** | 19-45 years of age for compulsory military service; 18 years of age for volunteers; 12-month conscript service obligation (2006) |
| **Luxembourg** | 17 years of age for voluntary military service; soldiers under 18 are not deployed into combat or with peacekeeping missions (2004) |
| **Macedonia** | 18 years of age for voluntary military service (2007) |
| **Madagascar** | 18-50 years of age for compulsory military service; 18-month conscript service obligation (either military or equivalent civil service) (2006) |
| **Malawi** | 18 years of age for voluntary military service; standard obligation is 2 years of active duty and 5 years of reserve service (2007) |
| **Malaysia** | 18 years of age for voluntary military service (2005) |
| **Maldives** | 18 years of age (est.) (2004) |
| **Mali** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 2 years (2004) |
| **Malta** | 18 years of age for voluntary military service; no conscription (2001) |
| **Mauritania** | 18 years of age (est.); conscript service obligation - 2 years; majority of servicemen believed to be volunteers; service in Air Force and Navy is voluntary (2006) |
| **Mexico** | 18 years of age for compulsory military service, conscript service obligation - 12 months; 16 years of age with consent for voluntary enlistment; conscripts serve only in the Army; Navy and Air Force service is all voluntary; women are eligible for voluntary military service (2007) |
| **Moldova** | 18 years of age for compulsory military service; 12-month service obligation (2006) |
| **Mongolia** | 18-25 years of age for compulsory military service; conscript service obligation - 12 months in land or air defense forces or police; a small portion of Mongolian land forces (2.5 percent) is comprised of contract soldiers; women cannot be deployed overseas for military operations (2006) |
| **Montenegro** | compulsory national military service abolished August 2006 |
| **Morocco** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 18 months (2004) |
| **Mozambique** | 18-30 years of age for compulsory military service; 2-year service obligation (2006) |
| **Namibia** | 18 years of age for voluntary military service (2001) |
| **Nepal** | 18 years of age for voluntary military service (2001) |
| **Netherlands** | 20 years of age for an all-volunteer force (2004) |
| **Netherlands Antilles** | 16 years of age for National Guard recruitment; no conscription (2004) |
| **New Zealand** | 17 years of age for voluntary military service; soldiers cannot be deployed until the age of 18 (2001) |
| **Nicaragua** | 17 years of age for voluntary military service; tour of duty 18-36 months (2007) |
| **Niger** | 18 years of age for compulsory military service; 2-year conscript service obligation (2006) |
| **Nigeria** | 18 years of age for voluntary military service (2006) |
| **Norway** | 18-44 years of age for male compulsory military service; 16 years of age in wartime; 17 years of age for male volunteers; 18 years of age for women; 12-month service obligation, in practice shortened to 8 to 9 months; although all males between ages of 18 and 44 are liable for service, in practice they are seldom called to duty after age 30; reserve obligation to age 35-60; 16 years of age for volunteers to the Home Guard, who serve 6-month duty tours (2006) |
| **Oman** | 18 years of age for voluntary military service (2001) |
| **Pakistan** | 16 years of age for voluntary military service; soldiers cannot be deployed for combat until age of 18; the Pakistani Air Force and Pakistani Navy have inducted their first female pilots and sailors (2006) |
| **Papua New Guinea** | 18 years of age (est.); no conscription (2001) |
| **Paraguay** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 12 months for Army, 24 months for Navy (2006) |
| **Peru** | 18-30 years of age for voluntary military service; conscription abolished in 1999 (2004) |
| **Philippines** | 18-25 years of age (officers 21-29) for compulsory and voluntary military service; applicants must be single male or female Philippine citizens (2007) |
| **Poland** | 17 years of age for male compulsory military service after January 1st of the year of 18th birthday; 17 years of age for voluntary military service; conscript service obligation shortened from 12 to 9 months in 2005; by 2008, plans call for at least 60% of military personnel to be volunteers; only soldiers who have completed their conscript service are allowed to volunteer for professional service; as of April 2004, women are only allowed to serve as officers and noncommissioned officers (2006) |
| **Portugal** | 18 years of age for voluntary military service; compulsory military service ended in 2004; women serve in the armed forces, on naval ships since 1993, but are prohibited from serving in some combatant specialties (2005) |
| **Qatar** | 18 years of age for voluntary military service; land forces enlisted personnel are largely unprofessional foreign nationals (2005) |
| **Romania** | 18 years of age for voluntary military service; conscription officially ended October 2006; all military inductees (including women) contract for an initial 5-year term of service; subsequent voluntary service contracts are for successive 3-year terms until the age of 36 (2006) |
| **Russia** | 18-27 years of age for compulsory or voluntary military service; males are registered for the draft at 17 years of age; service obligation - 1 year; reserve obligation to age 50 |
| | *note:* Russia has adopted a mixed conscript-contract force; 30% of Russian army personnel were contract servicemen at the end of 2005; planning calls for volunteer servicemen to compose 70% of armed forces by 2010 with the remaining servicemen consisting of conscripts; as of November 2006, the Armed Forces had more than 60 units manned with contract personnel totaling over 78,000 contract privates and sergeants; 88 Ministry of Defense units have been designated as permanent readiness units and are expected to become all-volunteer by the end of 2007; these include most air force, naval, and nuclear arms units, as well as all airborne and naval infantry units, most motorized rifle brigades, and all special forces detachments; all personnel on ships and submarines will be contract servicemen beginning in 2009; more than 92,000 females serve on active duty with the Russian Armed Forces (2007) |
| **Rwanda** | 16 years of age for voluntary military service; no conscription (2001) |
| **Saint Kitts and Nevis** | 18 years of age (est.) (2004) |
| **Sao Tome and Principe** | 18 years of age (est.) (2004) |
| **Saudi Arabia** | 18 years of age (est.); no conscription (2004) |
| **Senegal** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 2 years (2004) |
| **Serbia** | 19-35 years of age for compulsory military service; under a state of war or impending war, conscription can begin at age 16; conscription is to be abolished in 2010; 9-month service obligation, with a reserve obligation to age 60 for men and 50 for women (2007) |
| **Seychelles** | 18 years of age (est.); no conscription (2001) |
| **Sierra Leone** | 18 years of age (est.); no conscription (2001) |
| **Singapore** | 18 years of age for male compulsory military service; 16 years of age for volunteers; 2-year conscript service obligation, with a reserve obligation to age 40 for enlisted or age 50 for officers (2007) |
| **Slovakia** | 17 years of age for voluntary military service; conscription abolished in 2006; women are eligible to serve (2006) |
| **Slovenia** | 17 years of age for voluntary military service; conscription abolished in 2003 (2007) |
| **Somalia** | 18 years of age (est.) (2001) |
| **South Africa** | 18 years of age for voluntary military service; women have a long history of military service in noncombat roles dating back to World War I (2004) |
| **Spain** | 20 years of age (2004) |
| **Sri Lanka** | 18 years of age for voluntary military service (2007) |
| **Sudan** | 18-30 years of age for compulsory military service; 2-year service obligation (2006) |
| **Suriname** | 18 years of age (est.); no conscription |
| **Swaziland** | 18-30 years of age for voluntary military service; both sexes are eligible for military service (2005) |
| **Sweden** | *19 years of age for compulsory military service; conscript service obligation:* 7-15 months (Navy), 8-12 months (Air Force); after completing initial service, soldiers have a reserve commitment until age 47 (2006) |
| **Switzerland** | 19 years of age for male compulsory military service; 17 years of age for voluntary military service; the Swiss Constitution states that "every Swiss male is obliged to do military service"; every Swiss male has to serve for at least 260 days in the armed forces; conscripts receive 18 weeks of mandatory training, followed by seven 3-week intermittent recalls for training over the next 10 years; women are accepted on a voluntary basis but are not conscripted (2005) |
| **Syria** | 18 years of age for compulsory military service; conscript service obligation - 30 months (18 months in the Syrian Arab Navy); women are not conscripted but may volunteer to serve (2004) |
| **Taiwan** | 19-35 years of age for male compulsory military service; service obligation 16 months (to be shortened to 14 months as of July 2007 and to 12 months in 2008); women may enlist; women in Air Force service are restricted to noncombat roles; reserve obligation to age 30 (2007) |
| **Tajikistan** | 18 years of age for compulsory military service; 2-year conscript service obligation (2006) |
| **Tanzania** | 18 years of age for voluntary military service (2007) |
| **Thailand** | 21 years of age for compulsory military service; 18 years of age for voluntary military service; males are registered at 18 years of age; 2-year conscript service obligation (2006) |
| **Timor-Leste** | 18 years of age for voluntary military service (2001) |
| **Togo** | 18 years of age for selective compulsory and voluntary military service; 2-year service obligation (2006) |
| **Tonga** | 18 years of age (est.) (2004) |
| **Trinidad and Tobago** | 18 years of age for voluntary military service; no conscription (2001) |
| **Tunisia** | 20 years of age for compulsory military service; conscript service obligation - 12 months; 18 years of age for voluntary military service (2006) |
| **Turkey** | 20 years of age (2004) |
| **Turkmenistan** | 18-30 years of age for compulsory military service; 2-year conscript service obligation (2006) |
| **Uganda** | 18-26 years of age for compulsory and voluntary military duty; 18-30 years of age for professionals; 9-year service obligation; the government has stated that recruitment below 18 years of age could occur with proper consent and that "no person under the apparent age of 13 years shall be enrolled in the armed forces" (2007) |
| **Ukraine** | 18-25 years of age for compulsory and voluntary military service; conscript service obligation - 18 months for Army and Air Force, 24 months for Navy (2004) |
| **United Arab Emirates** | 18 years of age (est.); no conscription (2001) |
| **United Kingdom** | 16-33 years of age (officers 17-28) for voluntary military service (with parental consent under 18); women serve in military services, but are excluded from ground combat positions and some naval postings; must be citizen of the UK, Commonwealth, or Republic of Ireland; reservists serve a minimum of 3 years, to age 45 or 55 (2007) |
| **United States** | 18 years of age; 17 years of age with written parental consent (2006) |
| **Uruguay** | 18 years of age for voluntary and compulsory military service; enlistment is voluntary in peacetime, but the government has the authority to conscript in emergencies (2007) |
| **Uzbekistan** | 18 years of age for compulsory military service; conscript service obligation - 12 months (2004) |
| **Venezuela** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 30 months; all citizens of military service age (between 18 and 50 years old) are obligated to register for military service (2007) |
| **Vietnam** | 18 years of age (male) for compulsory military service; females may volunteer for active duty military service; conscript service obligation - 2 years (3 to 4 years in the navy); 18-45 years of age (male) or 18-40 years of age (female) for Militia Force or Self Defense Forces (2006) |
| **Yemen** | voluntary military service program authorized in 2001; 2-year service obligation (2006) |
| **Zambia** | 18 years of age (est.) (2004) |
| **Zimbabwe** | 18-24 years of age for compulsory military service; women are eligible to serve (2007) |

This page was last updated on 13 December, 2007
 
