CIA - The World Factbook -- Field Listing :: Military service age and obligation   

This entry gives the required ages for voluntary or conscript military service and the length of service obligation.

| Country | Military service age and obligation(years of age) |
| **Cuba** | 17-28 years of age for compulsory military service; 2-year service obligation; both sexes subject to military service (2006) |
| **Curacao** | no conscription (2010) |
| **Cyprus** | *Greek Cypriot National Guard (GCNG):* 18-50 years of age for compulsory military service for all Greek Cypriot males; 17 years of age for voluntary service; women may volunteer for a 3-year term; length of service is 25 months (2009) |
| **Czech Republic** | 18-28 years of age for male and female voluntary military service; no conscription (2011) |
| **Denmark** | 18 years of age for compulsory and voluntary military service; conscripts serve an initial training period that varies from 4 to 12 months according to specialization; reservists are assigned to mobilization units following completion of their conscript service; women eligible to volunteer for military service (2004) |
| **Djibouti** | 18 years of age for voluntary military service; 16-25 years of age for voluntary military training; no conscription (2008) |
| **Dominican Republic** | 16-21 years of age for compulsory military service; recruits must be Dominican Republic citizens; women may volunteer (2010) |
| **Ecuador** | 20 years of age for selective conscript military service; 12-month service obligation (2008) |
| **Egypt** | 18-30 years of age for male conscript military service; service obligation 12-36 months, followed by a 9-year reserve obligation (2008) |
| **El Salvador** | 18 years of age for selective compulsory military service; 16-22 years of age for voluntary male or female service; service obligation - 12 months, with 11 months for officers and NCOs (2009) |
| **Equatorial Guinea** | 18 years of age for selective compulsory military service; service obligation 2 years; women hold only administrative positions in the Coast Guard (2011) |
| **Eritrea** | 18-40 years of age for male and female voluntary and compulsory military service; 16-month conscript service obligation (2006) |
| **Estonia** | obligation for compulsory service ages 16-60, with conscription "likely" ages 18-27; service requirement 8-11 months (2009) |
| **Ethiopia** | 18 years of age for voluntary military service; no compulsory military service, but the military can conduct callups when necessary and compliance is compulsory (2011) |
| **Fiji** | 18 years of age for voluntary military service (2010) |
| **Finland** | 18 years of age for male voluntary and compulsory - and female voluntary - national military and nonmilitary service; service obligation 6-12 months; mandatory retirement at age 60 (2010) |
| **France** | 17-40 years of age for male and female voluntary military service (with parental consent); no conscription; 12-month service obligation; women serve in noncombat posts (2010) |
| **Gabon** | 20 years of age for voluntary military service; no conscription (2009) |
| **Gambia, The** | 18 years of age for male and female voluntary military service; no conscription (2010) |
| **Georgia** | 18 to 34 years of age for compulsory and voluntary active duty military service; conscript service obligation - 18 months (2005) |
| **Germany** | 17-23 years of age for male and female voluntary military service; conscription ended 1 July 2011; 1-2 year service obligation; women have been eligible for voluntary service in all military branches and positions since 2001 (2011) |
| **Ghana** | 18-26 years of age for voluntary military service, with basic education certificate; no conscription (2011) |
| **Greece** | 19-45 years of age for compulsory military service; during wartime the law allows for recruitment beginning January of the year of inductee's 18th birthday, thus including 17 year olds; 17 years of age for volunteers; conscript service obligation - 1 year for all services; women are eligible for voluntary military service (2008) |
| **Guatemala** | all male citizens between the ages of 18 and 50 are liable for military service; conscript service obligation varies from 12 to 24 months; women can serve as officers (2009) |
| **Guinea** | 18-25 years of age for compulsory and voluntary military service; 18-month conscript service obligation (2009) |
| **Guinea-Bissau** | 18-25 years of age for selective compulsory military service (Air Force service is voluntary); 16 years of age or younger with parental consent, for voluntary service (2010) |
| **Guyana** | 18-25 years of age for voluntary military service; no conscription (2008) |
| **Honduras** | 18 years of age for voluntary 2 to 3 year military service (2004) |
| **Hungary** | 18-25 years of age for voluntary military service; no conscription; 6-month service obligation (2010) |
| **India** | 17 years 6 months of age for voluntary military service; no conscription; women may join as officers, but for noncombat roles only (2010) |
| **Indonesia** | 18 years of age for selective compulsory and voluntary military service; 2-year conscript service obligation, with reserve obligation to age 45 (officers); Indonesian citizens only (2008) |
| **Iran** | 19 years of age for compulsory military service; 16 years of age for volunteers; 17 years of age for Law Enforcement Forces; 15 years of age for Basij Forces (Popular Mobilization Army); conscript military service obligation - 18 months; women exempt from military service (2008) |
| **Iraq** | 18-40 years of age for voluntary military service (2010) |
| **Ireland** | 17-25 years of age for male and female voluntary military service (17-27 years of age for the Naval Service); enlistees 16 years of age can be recruited for apprentice specialist positions; 17-35 years of age for the Reserve Defense Forces (RDF); maximum obligation 12 years (5 years IDF, 7 years RDF); EU citizenship or 5-year residence in Ireland required (2010) |
| **Israel** | 18 years of age for compulsory (Jews, Druzes) and voluntary (Christians, Muslims, Circassians) military service; both sexes are obligated to military service; conscript service obligation - 36 months for enlisted men, 21 months for enlisted women, 48 months for officers; pilots commit to 9 years service; reserve obligation to age 41-51 (men), 24 (women) (2010) |
| **Italy** | 18-27 year of age for voluntary military service; conscription abolished January 2005; women may serve in any military branch; 10-month service obligation, with a reserve obligation to age 45 (Army and Air Force) or 39 (Navy) (2006) |
| **Jamaica** | 18 years of age for voluntary military service; younger recruits may be conscripted with parental consent (2001) |
| **Japan** | 18 years of age for voluntary military service; Maritime Self-Defense Force mandatory retirement at age 54 (2011) |
| **Jordan** | 17 years of age for voluntary military service; conscription for males at age 18 was suspended in 1999, but reinstated in July 2007 in order to provide youth training necessary for job market needs; all males under age 37 are required to register; women not subject to conscription, but can volunteer to serve in non-combat military positions in the Royal Jordanian Arab Army Women's Corps (2010) |
| **Kazakhstan** | 18 years of age for compulsory military service; conscript service obligation - 2 years; minimum age for volunteers NA (2004) |
| **Kenya** | 18-26 years of age for male and female voluntary service (under 18 with parental consent), with a 9-year obligation (7 years for Kenyan Navy); applicants must be Kenyan citizens and provide a national identity card (obtained at age 18) and a school-leaving certificate; women serve under the same terms and conditions as men; mandatory retirement at age 55 (2011) |
| **Korea, North** | 17 years of age (2004) |
| **Korea, South** | 20-30 years of age for compulsory military service, with middle school education required; conscript service obligation - 21 months (Army, Marines), 23 months (Navy), 24 months (Air Force); 18-26 years of age for voluntary military service; women, in service since 1950, admitted to 7 service branches, including infantry, but excluded from artillery, armor, anti-air, and chaplaincy corps; HIV-positive individuals are exempt from military service (2011) |
| **Kuwait** | 18-30 years of age for compulsory and 18-25 years of age for voluntary military service; women age 18-30 may be subject to compulsory military service; conscription suspended in 2001 (2009) |
| **Kyrgyzstan** | 18-27 years of age for compulsory male military service in the armed forces or Interior Ministry; service obligation - 1 year, with optional fee-based 3-year service in the callup mobilization reserve; women may volunteer at age 19; 16-17 years of age for military cadets, who cannot take part in military operations (2011) |
| **Laos** | 18 years of age for compulsory military service; minimum 18-month service obligation (2010) |
| **Latvia** | 18 years of age for voluntary male and female military service; conscription abolished January 2007; under current law, every citizen is entitled to serve in the armed forces for life (2009) |
| **Lebanon** | 18-30 years of age for voluntary military service; no conscription (2007) |
| **Lesotho** | 18-24 years of age for voluntary military service; no conscription; women serve as commissioned officers (2009) |
| **Liberia** | 18 years of age for voluntary military service; no conscription (2010) |
| **Lithuania** | 18 years of age for volunteers; 12-month conscript service obligation suspended in 2008, all enlisted conscripts ending service by July 2009 (2011) |
| **Luxembourg** | 17-25 years of age for male and female voluntary military service; soldiers under 18 are not deployed into combat or with peacekeeping missions; no conscription; Luxembourg citizen or EU citizen with 3-year residence in Luxembourg (2010) |
| **Macedonia** | 18 years of age for voluntary military service; no conscription (2010) |
| **Madagascar** | 18-25 years of age for male-only voluntary military service; no conscription; service obligation - 18 months (either military or equivalent civil service); 20-30 years of age for National Gendarmerie recruits (35 years of age for those with military experience) (2010) |
| **Malawi** | 18 years of age for voluntary military service; standard obligation is 2 years of active duty and 5 years reserve service (2007) |
| **Malaysia** | 18 years of age for voluntary military service (2005) |
| **Maldives** | 18-28 years of age for voluntary military service; no conscription (2010) |
| **Mali** | 18 years of age for selective compulsory and voluntary military service; conscript service obligation - 2 years (2011) |
| **Malta** | 17 years 6 months of age for voluntary military service; no conscription (2010) |
| **Mauritania** | 18 years of age for obligatory consription of all males; conscript service obligation - 2 years; majority of servicemen believed to be volunteers; service in Air Force and Navy is voluntary (2011) |
| **Mexico** | 18 years of age for compulsory military service, conscript service obligation - 12 months; 16 years of age with consent for voluntary enlistment; conscripts serve only in the Army; Navy and Air Force service is all voluntary; women are eligible for voluntary military service (2007) |
| **Moldova** | 18 years of age for compulsory military service; 17 years of age for voluntary service; male registration required at age 16; 12-month service obligation (2009) |
| **Mongolia** | 18-25 years of age for compulsory military service; conscript service obligation - 12 months in land or air defense forces or police; a small portion of Mongolian land forces (2.5 percent) is comprised of contract soldiers; women cannot be deployed overseas for military operations (2006) |
| **Montenegro** | compulsory national military service abolished August 2006 |
| **Morocco** | 20 years of age for voluntary military service; no conscription; service obligation - 18 months (2011) |
| **Mozambique** | registration for military service is mandatory for all males and females at 18 years of age; 18-35 years of age for selective compulsory military service; 18 years of age for voluntary service; 2-year service obligation; women may serve as officers or enlisted (2010) |
| **Namibia** | 18 years of age for voluntary military service; no conscription (2010) |
| **Nepal** | 18 years of age for voluntary military service; 15 years of age for military training; no conscription (2011) |
| **Netherlands** | 20 years of age for an all-volunteer force (2004) |
| **New Zealand** | 17 years of age for voluntary military service; soldiers cannot be deployed until the age of 18; no conscription (2010) |
| **Nicaragua** | 18-30 years of age for voluntary military service; tour of duty 18-36 months; requires Nicaraguan nationality and 6th-grade education (2011) |
| **Niger** | 17-21 years of age for selective compulsory or voluntary military service; enlistees must be Nigerien citizens and unmarried; 2-year service term; women may serve in health care (2009) |
| **Nigeria** | 18 years of age for voluntary military service (2007) |
| **Norway** | 18-44 years of age for male compulsory military service; 16 years of age in wartime; 17 years of age for male volunteers; 18 years of age for women; 12-month service obligation, in practice shortened to 8 to 9 months; although all males between ages of 18 and 44 are liable for service, in practice they are seldom called to duty after age 30; reserve obligation to age 35-60; 16 years of age for volunteers to the Home Guard, who serve 6-month duty tours (2009) |
| **Oman** | 18-30 years of age for voluntary military service; no conscription (2010) |
| **Pakistan** | 17-23 years of age for voluntary military service; soldiers cannot be deployed for combat until age 18; the Pakistani Air Force and Pakistani Navy have inducted their first female pilots and sailors (2009) |
| **Papua New Guinea** | 16 years of age for voluntary military service (with parental consent); no conscription (2010) |
| **Paraguay** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 12 months for Army, 24 months for Navy; volunteers for the Air Force must be younger than 22 years of age with a secondary school diploma (2010) |
| **Peru** | 18-30 years of age for voluntary male and female military service; no conscription (2008) |
| **Philippines** | 18-25 years of age (officers 21-29) for compulsory and voluntary military service; applicants must be single male or female Philippine citizens (2010) |
| **Poland** | 18-28 years of age for male voluntary or compulsory military service; conscription suspended in 2009; reserve obligation to age 50 (2009) |
| **Portugal** | 18 years of age for voluntary military service; no compulsory military service; women serve in the armed forces, on naval ships since 1993, but are prohibited from serving in some combatant specialties; reserve obligation to age 35 (2010) |
| **Qatar** | 18 years of age for voluntary military service; no conscription (2010) |
| **Romania** | 18-35 years of age for male and female voluntary military service; conscription officially ended October 2006; all military inductees (including women) contract for an initial 5-year term of service, with subsequent successive contracts for 3-year terms until age 36 (2009) |
| **Russia** | 18-27 years of age for compulsory or voluntary military service; males are registered for the draft at 17 years of age; service obligation - 1 year (conscripts can only be sent to combat zones after 6 months training); reserve obligation to age 50 |
| | *note:* over 60% of draft-age Russian males receive some type of deferment - generally health related - each draft cycle (2011) |
| **Rwanda** | 18 years of age for voluntary military service; no conscription; Rwandan citizenship required (2011) |
| **Saint Kitts and Nevis** | 18 years of age for voluntary military service; no conscription (2010) |
| **San Marino** | 16-55 for voluntary service in Voluntary Military Force (2006) |
| **Sao Tome and Principe** | 18 years of age (est.) (2004) |
| **Saudi Arabia** | 18 years of age (est.); no conscription (2004) |
| **Senegal** | 18 years of age for voluntary military service; 20 years of age for selective conscript service; service obligation - 2 years; women have been accepted into military service since 2008 (2011) |
| **Serbia** | 18 years of age for voluntary military service; conscription abolished December 2010; 6-month service obligation, with a reserve obligation to age 60 for men and 50 for women (2011) |
| **Seychelles** | 18 years of age for voluntary military service (younger with parental consent); no conscription (2010) |
| **Sierra Leone** | 17 years 6 months of age for male and female voluntary military service (younger with parental consent); no conscription; candidates must be HIV negative (2009) |
| **Singapore** | 18-21 years of age for male compulsory military service; 16 years of age for volunteers; 2-year conscript service obligation, with a reserve obligation to age 40 (enlisted) or age 50 (officers) (2008) |
| **Sint Maarten** | no conscription (2010) |
| **Slovakia** | 18-30 years of age for voluntary military service; no conscription; women are eligible to serve (2011) |
| **Slovenia** | 18-25 years of age for voluntary military service; conscription abolished in 2003 (2010) |
| **Somalia** | *note:* since 2005, the UN has listed the Transitional Federal Government and its allied militias as persistent violators in recruiting children (2010) |
| **South Africa** | 18 years of age for voluntary military service; women are eligible to serve in noncombat roles; 2-year service obligation (2007) |
| **South Sudan** | the Government of South Sudan announced in August 2010 that anyone younger than 18 years of age would be mustered out of the army, but 900 children were estimated to still be active at the end of that year; in April 2011, a conscription program was being implemented to thwart recruitment of military-aged males into other armed groups (2011) |
| **Spain** | 20 years of age (2004) |
| **Sri Lanka** | 18 years of age for voluntary military service; 5-year service obligation (2010) |
| **Sudan** | 18-33 years of age for male and female compulsory and voluntary military service; 1-2 year service obligation; a requirement that completion of national sevice was mandatory before entering public or private sector employment has been cancelled (2011) |
| **Suriname** | 18 years of age (est.); recruitment is voluntary, with personnel drawn almost exclusively from the Creole community (2007) |
| **Swaziland** | 18-30 years of age for male and female voluntary military service; no conscription; compulsory HIV testing required, only HIV-negative applicants accepted (2011) |
| **Sweden** | *18-47 years of age for male and female voluntary military service; service obligation:* 7.5 months (Army), 7-15 months (Navy), 8-12 months (Air Force); the Swedish Parliament has abolished compulsory military service, with exclusively voluntary recruitment as of July 2010; conscription remains an option in emergencies; after completing initial service, soldiers have a reserve commitment until age 47 (2010) |
| **Switzerland** | 19-26 years of age for male compulsory military service; 18 years of age for voluntary male and female military service; every Swiss male has to serve at least 260 days in the armed forces; conscripts receive 18 weeks of mandatory training, followed by seven 3-week intermittent recalls for training during the next 10 years (2010) |
| **Syria** | 18 years of age for compulsory military service; conscript service obligation - 21 months (18 months in the Syrian Arab Navy); women are not conscripted but may volunteer to serve (2010) |
| **Taiwan** | 19-35 years of age for male compulsory military service; service obligation - 2 years; women may enlist; women in Air Force service are restricted to noncombat roles; reserve obligation to age 30 (Army); the Ministry of Defense is in the process of implementing a voluntary enlistment system over the period 2010-2015, although nonvolunteers will still be required to perform alternative service or go through 4 months of military training (2010) |
| **Tajikistan** | 18-27 years of age for compulsory military service; 2-year conscript service obligation (2011) |
| **Tanzania** | 18 years of age for voluntary military service (2007) |
| **Thailand** | 21 years of age for compulsory military service; 18 years of age for voluntary military service; males register at 18 years of age; 2-year conscript service obligation (2009) |
| **Timor-Leste** | 18 years of age for voluntary military service; no conscription; 18-month service obligation (2011) |
| **Togo** | 18 years of age for selective compulsory military service; 2-year service obligation (2011) |
| **Tonga** | 16 years of age for voluntary enlistment (with parental consent); no conscription (2010) |
| **Trinidad and Tobago** | 18 years of age for voluntary military service (16 years of age with parental consent); no conscription (2010) |
| **Tunisia** | 20 years of age for compulsory military service, 18 years of age for voluntary military service; 1-year conscript service obligation (2007) |
| **Turkey** | 19-41 years of age for male compulsory military service; 18 years of age for voluntary service; 15 months conscript obligation for non-university graduates, 6-12 months for university graduates; women serve in the Turkish Armed Forces only as officers; reserve obligation to age 41; under a law passed in November 2011, men aged 30 and older may pay $16,200 in lieu of mandatory military service (2011) |
| **Turkmenistan** | 18-30 years of age for compulsory military service; 2-year conscript service obligation (2009) |
| **Uganda** | 18-26 years of age for voluntary military duty; 18-30 years of age for professionals; no conscription; 9-year service obligation; the government has stated that recruitment under 18 years of age could occur with proper consent and that "no person under the apparent age of 13 years shall be enrolled in the armed forces"; Ugandan citizenship and secondary education required (2010) |
| **Ukraine** | 18-25 years of age for compulsory and voluntary military service; conscript service obligation - 12 months for Army and Air Force, 18 months for Navy (2010) |
| **United Arab Emirates** | 18 years of age for voluntary military service; 18 years of age for officers and women; no conscription; 16-22 years of age for candidates for the UAE Naval College (2011) |
| **United Kingdom** | 16-33 years of age (officers 17-28) for voluntary military service (with parental consent under 18); women serve in military services, but are excluded from ground combat positions and some naval postings; as of October 2009, women comprised 12.1% of officers and 9% of enlisted personnel in the regular forces; must be citizen of the UK, Commonwealth, or Republic of Ireland; reservists serve a minimum of 3 years, to age 45 or 55; 16 years of age for voluntary military service by Nepalese citizens in the Brigade of Gurkhas; 16-34 years of age for voluntary military service by Papua New Guinean citizens (2009) |
| **United States** | 18 years of age (17 years of age with parental consent) for male and female voluntary service; maximum enlistment age 42 (Army), 27 (Air Force), 34 (Navy), 28 (Marines); service obligation 8 years, including 2-5 years active duty (Army), 2 years active (Navy), 4 years active (Air Force, Marines) (2010) |
| **Uruguay** | 18-30 years of age for voluntary military service; up to 40 years of age for specialists; enlistment is voluntary in peacetime, but the government has the authority to conscript in emergencies; minimum 6-year education (2009) |
| **Uzbekistan** | 18 years of age for compulsory military service; 1-year conscript service obligation; moving toward a professional military, but conscription will continue; the military cannot accommodate everyone who wishes to enlist, and competition for entrance into the military is similar to the competition for admission to universities (2009) |
| **Venezuela** | 18-30 years of age for compulsory and voluntary military service; 30-month conscript service obligation; Navy requires 6th-grade education for enlisted personnel; all citizens of military service age (18-60 years old) are obligated to register for military service (2011) |
| **Vietnam** | 18 years of age for male compulsory military service; females may volunteer for active duty military service; conscript service obligation - 2 years (3 to 4 years in the navy); 18-45 years of age (male) or 18-40 years of age (female) for Militia Force or Self Defense Forces (2006) |
| **Yemen** | voluntary military service program authorized in 2001; 2-year service obligation (2006) |
| **Zambia** | 18-27 years of age for male and female voluntary military service (16 years of age with parental consent); no conscription; Zambian citizenship required; mandatory HIV testing upon enlistment; mandatory retirement for officers at age 65 (Army, Air Force) (2011) |
| **Zimbabwe** | 18-24 years of age for compulsory military service; women are eligible to serve (2010) |
