Field Listing :: Military equipment inventories and acquisitions :: The World Factbook

This entry provides basic information on each country’s military equipment inventories, as well as how they acquire their equipment; it is intended to show broad trends in major military equipment holdings, such as tanks and other armored vehicles, air defense systems, artillery, naval ships, helicopters, and fixed-wing aircraft. Arms acquisition information is an overview of major arms suppliers over a specific period of time, including second-hand arms delivered as aid, with a focus on major weapons systems. It is based on the type and number of weapon systems ordered and delivered and the financial value of the deal. For some countries, general information on domestic defense industry capabilities is provided.

| Country | Military equipment inventories and acquisitions |
| **Cameroon** | the FAC inventory includes a mix of mostly older or second-hand Chinese, Russian, and Western equipment, with a limited quantity of more modern weapons; since 2010, the top suppliers to the FAC are China, Russia, Spain, and the US (2019 est.) |
| **Canada** | the CAF's inventory is a mix of domestically-produced equipment and imported weapons systems from Australia, Europe, Israel, and the US; since 2010, the leading supplier is the US; Canada's defense industry develops, maintains, and produces a range of equipment, including aircraft, combat vehicles, naval vessels, and associated components (2019 est.) |
| **Central African Republic** | the FACA is armed mostly with second-hand equipment from China, Russia, and Ukraine (2020 ) |
| **Chad** | the ANT is mostly armed with older or second-hand equipment from Belgium, France, Russia, and the former Soviet Union; since 2010, the leading suppliers are China, Italy, and Ukraine; the US has also donated equipment (2019 ) |
| **Chile** | the Chilean military inventory is comprised of a mix of mostly European and US equipment and a limited number of domestically-produced systems; since 2010, France, Germany, the Netherlands, and the US are the leading suppliers; Chile's defense industry produces some military vehicles and naval craft (2019 est.) |
| **China** | the PLA is outfitted primarily with a mix of older and modern domestically-produced systems heavily influenced by technology derived from other countries; Russia is the top supplier of foreign military equipment since 2010, followed by France and Ukraine (2019) |
| **Colombia** | the Colombian military inventory includes a wide mix of equipment from a variety of suppliers, including Brazil, Canada, Europe, Israel, South Korea, and the US; Germany, Israel, and the US are the leading suppliers of military hardware since 2010; Colombia's defense industry is active in producing air, land, and naval platforms (2019 est.) |
| **Congo, Democratic Republic of the** | the FARDC is equipped mostly with a mix of second-hand Russian and Soviet-era weapons acquired from Ukraine and other former Warsaw Pact nations, as well as some equipment provided by Brazil and France; most equipment was acquired between 1970 and 2000; since 2010, Ukraine is the largest supplier of arms to the FARDC (2019 est.) |
| **Congo, Republic of the** | the FAC is armed with mostly ageing Russian/former Soviet Union weapons, with some French and South African equipment; the leading suppliers of arms to the FAC since 2010 are Russia and South Africa (2019 est.) |
| **Costa Rica** | the Public Forces' inventory includes mostly second-hand US equipment; since 2000, the only reported major equipment deliveries were from the US (light helicopters in 2012 and 2014 and second-hand coast guard cutters in 2018) (2019 est.) |
| **Cote d'Ivoire** | the FACI is mostly equipped with second-hand weapons and equipment of Russian origin; the leading suppliers since 2000 are Belarus, Bulgaria, and Romania (2019 est.) |
| **Croatia** | the inventory of the Croatian Armed Forces consists mostly of Soviet-era equipment, although in recent years, it has attempted to acquire more modern weapon systems from Western suppliers; since 2010, the leading suppliers of military equipment to Croatia are Finland, Germany, and the US (2019 est.) |
| **Cuba** | the Cuban military inventory is comprised of Russian and Soviet-era equipment; the last recorded arms delivery to Cuba was by Russia in 2004 (2019 est.) |
| **Cyprus** | the inventory of the Cypriot National Guard is a mix of Soviet-era and some more modern weapons systems; since 2010, it has received equipment from France, Israel, Italy, Oman, and Russia (2019 est.) |
| **Czechia** | the Czech military has a mix of Soviet-era and more modern equipment, mostly of European origin; since 2010, the leading suppliers of military equipment to Czechia are Austria and Spain (2019 ) |
| **Denmark** | the Danish military inventory is comprised of a mix of modern European, US, and domestically-produced equipment; the US is the largest supplier of military equipment to Denmark since 2010, followed by Germany and the Netherlands; the Danish defense industry is mainly active in the production of naval vessels, defense electronics, and subcomponents of larger weapons systems, such as the US F-35 fighter aircraft (2019 est.) |
| **Djibouti** | the FAD is armed mostly with older French and Soviet-era weapons systems; since 2010, it has received limited amounts of newer equipment, with China and the US as the largest suppliers (2019 est.) |
| **Dominican Republic** | the military's inventory consists mostly of older US equipment with limited quantities of Brazilian, European, and Israeli material; since 2010, Brazil and Israel are the leading suppliers of armaments to the Dominican Republic (2019 est.) |
| **Ecuador** | the military's equipment inventory is mostly older and derived from a wide variety of sources; since 2010, the leading suppliers of military hardware are Brazil, the Netherlands, South Africa, and Spain (2019 est.) |
| **Egypt** | the EAF's inventory is comprised of a mix of domestically produced, Soviet-era, and more modern, particularly US, weapons systems; in recent years, the EAF has embarked on an extensive equipment modernization program with major purchases from a variety of suppliers; since 2010, the leading suppliers of military hardware to Egypt are France, Germany, Russia, and the US; Egypt has an established defense industry that produces a range of products from small arms to armored vehicles and naval vessels; it also has licensed and co-production agreements with several countries, including France (naval frigates) and the US (tanks) (2019 ) |
| **El Salvador** | the FAES is dependent on a mix of imported Cold War-era platforms, largely from the US; since 2000, the FAES has received limited amounts of equipment from Chile, Israel, and the US (2019 est.) |
| **Equatorial Guinea** | the FAGE is armed with mostly second-hand Russian and Soviet-era weapons; Ukraine is the leading provider of equipment since 2010 followed by Israel (2019 est.) |
| **Eritrea** | the Eritrean Defense Forces inventory is comprised primarily of Soviet-era systems; Eritrea was under a UN arms embargo from 2009 to 2018; prior to 2009, Belarus, Bulgaria, and Russia were the leading arms suppliers (2019 est.) |
| **Estonia** | the Estonian Defense Forces have a limited inventory of Soviet-era and more modern Western weapons systems; France and the Netherlands are the leading suppliers of armaments to Estonia since 2010 (2019 est.) |
| **Eswatini** | the inventory of the UEDF consists mostly of equipment from South Africa; the only publicly recorded military acquisitions since 2010 were two secondhand helicopters from Taiwan in 2019 (2020) |
| **Ethiopia** | the ENDF's inventory is comprised mostly of Soviet-era equipment; since 2010, Russia and Ukraine are the leading suppliers of largely second-hand weapons and equipment to the ENDF, followed by China and Hungary; Ethiopia has a modest industrial defense base centered on small arms and licensed production of light-armored vehicles (2019 est.) |
| **Fiji** | the RFMF's small inventory is a mix of equipment from Australia, New Zealand, Russia, Singapore, South Korea, the UK, and the US; since 2010, the only recorded arms deliveries were from Australia; China has donated some non-lethal material since 2018 (2019 est.) |
| **Finland** | the inventory of the Finnish Defense Forces consists of a wide mix of mostly modern Western and domestically-produced weapons systems, as well as a limited quantity of Soviet-era equipment, particularly artillery and armored personnel carriers; since 2010, France, Italy, the Netherlands, Norway, and the US are the leading foreign suppliers of armaments to Finland; the Finish defense industry produces a variety of military equipment, including wheeled armored vehicles and naval vessels (2019 est.) |
| **France** | the French military's inventory consists almost entirely of domestically-produced weapons systems, including some jointly-produced with other European countries; there is a limited mix of armaments from other Western countries, particularly the US; since 2010, the US is the leading foreign supplier of military hardware to France; France has a defense industry capable of manufacturing the full spectrum of air, land, and naval military weapons systems (2019 est.) |
| **Gabon** | the FDG's inventory is comprised mostly of Brazilian, French, and South African equipment; since 2010, the leading suppliers are France and South Africa (2019 est.) |
| **Gambia, The** | the GNA has a limited equipment inventory; the only reported weapons deliveries to the GNA since 2000 are second-hand patrol boats from Taiwan (2009) and one aircraft from Georgia (2004) (2019 est.) |
| **Gaza Strip** | the military wing of HAMAS is armed with light weapons, including an inventory of improvised rocket, anti-tank missile, and mortar capabilities; HAMAS acquires its weapons through smuggling or local construction; Iran provides military support to HAMAS (2019 est.) |
| **Georgia** | the Georgian Defense Forces are equipped mostly with older Russian and Soviet-era weapons; since 2010, it has received limited quantities of equipment from Bulgaria, France, and the US (2019 ) |
| **Germany** | the German Federal Armed Forces inventory is mostly comprised of weapons systems produced domestically or jointly with other European countries; since 2010, the US is the leading foreign supplier of armaments to Germany, followed by the Netherlands and Switzerland; Germany's defense industry is capable of manufacturing the full spectrum of air, land, and naval military weapons systems (2019 est.) |
| **Ghana** | the inventory of the Ghana Armed Forces is a mix of Russian, Chinese, and Western equipment; the top suppliers of armaments since 2010 are China, Germany, Spain, and Russia (2019 est.) |
| **Greece** | the inventory of the Hellenic Armed Forces consists mostly of a mix of imported weapons from Europe and the US, as well as a limited number of domestically produced systems, particularly naval vessels; Germany is the leading supplier of weapons systems to Greece since 2010, followed by France and the US; Greece's defense industry is capable of producing naval vessels and associated subsystems (2019 est.) |
| **Guatemala** | the Guatemalan military inventory is small and mostly comprised of older US equipment; since 2010, Guatemala has received limited amounts of equipment from Canada, Colombia, Spain, Taiwan, and the US (2019 est.) |
| **Guinea** | the inventory of the Guinean military consists largely of ageing and outdated (mostly Soviet-era) equipment; since 2010, it has received a limited amount of equipment from France, Russia, and South Africa (2019 est.) |
| **Guinea-Bissau** | the inventory of the FARP consists of Soviet-era equipment; the only reported deliveries of military equipment to Guinea Bissau since 2015 were patrol boats from Spain in 2017 and non-lethal equipment from China in 2015 (2019 est.) |
| **Guyana** | the Guyana Defense Force's limited inventory is mostly comprised of second-hand platforms from a variety of foreign suppliers, including Brazil, China, the former Soviet Union, the UK, and the US; since 2000, Guyana has received limited amounts of military equipment from Brazil, China, Costa Rica, and the UK (2019 est.) |
| **Haiti** | N/A |
| **Honduras** | the FFAA's inventory is comprised of mostly older imported equipment from Israel, the UK, and the US; since 2010, Honduras has received limited amounts of military equipment from Colombia, Israel, Netherlands, Taiwan, and the US (2019 est.) |
| **Hungary** | the inventory of the Hungarian Defense Forces consists largely of Soviet-era weapons, with a smaller mix of more modern European and US equipment; since 2010, Hungary has received limited quantities of equipment from Czechia, Finland, France, Germany, Russia, Sweden, and the US (2019 est.) |
| **Iceland** | the Icelandic Coast Guard's inventory consists of equipment from European suppliers (2019 est.) |
| **India** | the inventory of the Indian Armed Forces consists mostly of Russian-origin equipment, along with a smaller mix of Western and domestically-produced arms; since 2010, Russia is the leading supplier of arms to India, followed by France, Israel, the UK, and the US; India's defense industry is capable of producing a range of air, land, missile, and naval weapons systems (2019) |
| **Indonesia** | the Indonesian military inventory is comprised of equipment from a wide variety of sources; since 2010, the top suppliers are China, Germany, the Netherlands, Russia, South Korea, the UK, and the US (2019) |
| **Iran** | the Iranian military's inventory includes a mix of domestically-produced and mostly older foreign equipment largely of Chinese, Russian, Soviet, and US origin (US equipment acquired prior to the Islamic Revolution in 1979); weapons imports from Western countries are restricted by international sanctions; since 2010, Iran has received equipment from Belarus, China, and Russia; Iran has a defense industry with the capacity to develop, produce, support, and sustain air, land, missile, and naval weapons programs (2020) |
| **Iraq** | the Iraqi military inventory is comprised of Russian and Soviet-era equipment combined with newer European- and US-sourced platforms; since 2010, Russia and the US are the leading suppliers of military hardware to Iraq (2019 est.) |
| **Ireland** | the Irish Defense Forces have a small inventory of imported weapons systems from a variety of European countries, as well as South Africa and the US; the UK is the leading supplier of military hardware to Ireland since 2010 (2019 est.) |
| **Israel** | the majority of the IDF's inventory is comprised of weapons that are domestically-produced or imported from Europe and the US; since 2010, Germany and the US are the leading suppliers of weapons to Israel; Israel has a broad defense industrial base that can develop, produce, support, and sustain a wide variety of weapons systems for both domestic use and export, particularly armored vehicles, unmanned aerial systems, air defense, and guided missiles (2019 est.) |
| **Italy** | the Italian Armed Forces' inventory includes a mix of domestically-produced, jointly-produced, and imported European and US weapons systems; the US is the leading supplier of weapons to Italy since 2010, followed by Germany; the Italian defense industry is capable of producing equipment across all the military domains with particular strengths in naval vessels and aircraft; it also participates in joint development and production of advanced weapons systems with other European countries and the US (2019) |
| **Jamaica** | the Jamaica Defense Force's inventory is limited and features mostly older equipment imported from a variety of foreign suppliers, including the UK and US; since 2010, Jamaica has received limited quantities of military equipment from Australia, Austria, the Netherlands, and the US (2019 est.) |
| **Japan** | the JSDF is equipped with a mix of imported and domestically-produced equipment; Japan is capable of producing a wide range of air, ground, and naval weapons systems; the majority of its weapons imports are from the US and some domestically-produced weapons are US-origin and manufactured under license (2019) |
| **Jordan** | the JAF inventory is comprised of a wide mix of imported weapons, mostly second-hand equipment from Europe and the US; some of the equipment is received from third-party suppliers such as the United Arab Emirates; since 2010, the Netherlands and the US are the leading suppliers of military hardware to Jordan (2019) |
| **Kazakhstan** | the Kazakh military's inventory is comprised of mostly older Russian and Soviet-era equipment; since 2010, Russia remains by far the leading supplier of weapons systems, but Kazakhstan has also received weapons systems from China, Germany, Israel, South Africa, Turkey, Ukraine, and the US (2019 est.) |
| **Kenya** | the KDF's inventory traditionally carried mostly older or second-hand Western weapons systems, particularly from France, the UK, and the US; however, since the 2000s it has sought to modernize and diversify its imports; top suppliers since 2010 include China, Italy, Jordan, Serbia, South Africa, Spain, Ukraine, and the US (2019 est.) |
| **Korea, North** | the KPA is equipped mostly with older weapon systems originally acquired from the former Soviet Union, Russia, and China; North Korea manufactures copies and provides some upgrades to these weapon systems; it also has a robust domestic ballistic missile program based largely on missiles acquired from the former Soviet Union; since 2010, there were no publicly-reported transfers of weapons to North Korea; between 2000 and 2010, Russia was the only recorded provider of arms (2019 est.) |
| **Korea, South** | the Republic of Korea Armed Forces are equipped with a mix of domestically-produced and imported weapons systems; domestic production includes armored fighting vehicles, artillery, aircraft, and naval ships; the top foreign weapons supplier is the US and some domestically-produced systems are built under US license; Germany is the second largest supplier of armaments since 2010 (2019 est.) |
| **Kosovo** | the Kosovo Security Force is equipped with small arms and light vehicles only; its only recorded delivery since 2010 was light-armored patrol vehicles from Turkey (2019 est.) |
| **Kuwait** | the inventory of the Kuwaiti Armed Forces consists of a range of European- and US-sourced weapons systems; the US is the leading supplier of arms to Kuwait since 2010 (2019 est.) |
| **Kyrgyzstan** | the Kyrgyz Armed Forces' inventory is comprised of older Russian and Soviet-era equipment; outside of a small delivery by China in 2019, Russia continues to be the only supplier of weapons systems to Kyrgyzstan (2020) |
| **Laos** | the LPAF is armed largely with weapons from the former Soviet Union with a smaller mix of more modern weapons from China, Russia, and Ukraine; since 2010, China and Russia are the top suppliers of military hardware to Laos (2019 est.) |
| **Latvia** | the Latvian military's inventory is limited and consists of a European, Israeli, and US weapons systems; since 2010, it has received mostly second-hand equipment from Austria, Denmark, Germany, the Netherlands, Sweden, the UK, and the US (2019 est.) |
| **Lebanon** | the LAF inventory includes a wide mix of mostly older equipment, largely from the US and European countries, particularly France and Germany; since 2010, the US is the leading supplier of armaments (mostly second hand equipment) to Lebanon (2019 est.) |
| **Lesotho** | the LDF's inventory consists of older equipment from a variety of countries; the only reported delivery to the LDF since 2007 was two helicopters from France in 2017 (2019 est.) |
| **Liberia** | the AFL has almost no significant combat hardware as nearly all aircraft, equipment, materiel, and facilities were damaged or destroyed during the country's civil war; it has received little new equipment outside of ammunition, small arms, and trucks from China in 2008 and boats donated to the Coast Guard by the US in 2011 and 2016 (2019) |
| **Libya** | both the forces of the Government of National Accord and the Libyan National Army are largely equipped with weapons of Russian or Soviet origin (2020) |
| **Lithuania** | the Lithuanian Armed Forces' inventory is mostly a mix of Western weapons systems and Soviet-era equipment (primarily aircraft and helicopters); Germany and the UK are the leading suppliers of armaments to Lithuania since 2010 (2019 est.) |
| **Luxembourg** | the inventory of Luxembourg's Army is a small mix of European and US equipment; since 2010, it has received small quantities of equipment from Germany, Norway, and Sweden (2019 est.) |
| **Madagascar** | the PAF's inventory consists mostly of ageing Soviet-era equipment; since 2010, it has received limited amounts of second-hand equipment from South Africa and France (2019) |
| **Malawi** | the Malawi Defense Force inventory is comprised of mostly obsolescent or second-hand equipment from France, Germany, South Africa, and the UK; since 2010, it has taken deliveries of additional second-hand equipment from South Africa (2012-15) and the UK (2015), as well as new patrol boats from China (2019) and non-lethal equipment donated by the US (2019) (2019) |
| **Malaysia** | the Malaysian Armed Forces field a diverse mix of imported weapons systems; the chief suppliers since 2010 are Germany, South Korea, Spain, and Turkey (2019) |
| **Maldives** | India has provided most of the equipment in the MNDF's inventory (2020) |
| **Mali** | the FAMa's inventory consists primarily of Soviet-era equipment, although in recent years it has received limited quantities of mostly second-hand armaments from a variety of countries; since 2010, the leading suppliers have been Brazil, Bulgaria, France, Russia, South Africa, Spain, and the United Arab Emirates (2019 est.) |
| **Malta** | the small inventory of the Armed Forces of Malta consists of equipment from a mix of European countries, particularly Italy, and the US; since 2010, Italy and the US are the only providers of military equipment to Malta (2019 est.) |
| **Mauritania** | the Mauritanian Armed Forces' inventory is limited and made up largely of older French and Soviet-era equipment; since 2010, Mauritania has received mostly secondhand military equipment from a variety of suppliers, including Brazil, China, France, and Turkey (2019 est.) |
| **Mauritius** | the Special Mobile Force's inventory includes mostly second-hand equipment from France and the UK; since 2014, India has provided the majority of the Coast Guard's equipment, including patrol boats and aircraft (2019 est.) |
| **Mexico** | the Mexican military inventory includes a mix of domestically-produced and imported equipment from a variety of mostly Western suppliers; since 2010, France, Spain, and the US are the leading suppliers of military hardware to Mexico; Mexico's defense industry produces naval vessels and light armored vehicles (2019 est.) |
| **Moldova** | the Moldovan military's inventory is limited and almost entirely comprised of older Russian and Soviet-era equipment; since 2000, it has received small amounts of donated material from other nations, including the US (2019 est.) |
| **Mongolia** | the MAF are armed with Soviet-era equipment supplemented by deliveries of second-hand Russian weapons; since 2010, Russia is the sole provider of armaments to Mongolia (2019 est.) |
| **Montenegro** | the inventory of the Armed Forces of Montenegro is small and consists mostly of equipment inherited from the former Yugoslavia military, with a limited mix of other imported systems, such as French-made helicopters; since 2010, it has received small quantities of equipment from Austria, Turkey, and the US (2019 est.) |
| **Morocco** | the Moroccan military's inventory is comprised of mostly older French and US equipment; since 2010, France and the US are the leading suppliers of weapons to Morocco, followed by China and the Netherlands (2019 est.) |
| **Mozambique** | the FADM's inventory consists primarily of Soviet-era equipment, although in recent years it has received limited quantities of newer equipment, particularly aircraft and maritime patrol craft (mostly as aid/donations); India is the leading supplier since 2010 (2019 ) |
| **Namibia** | the inventory of the Namibian Defense Force consists mostly of Soviet-era equipment; China is the leading supplier of weapons to Namibia since 2010 (2019 est.) |
| **Nepal** | the Army's inventory includes a mix of older equipment largely of British, Chinese, Indian, Russian, and South African origin; since 2010, China, Italy, and Russia are the top suppliers of military hardware to Nepal (2019 est.) |
| **Netherlands** | the inventory of the Netherlands Armed Forces consists of a mix of domestically-produced and modern European- and US-sourced equipment; since 2010, the US is the leading supplier of weapons systems to the Netherlands, followed by Germany, Italy, and Sweden; the Netherlands has an advanced domestic defense industry that focuses on armored vehicles, naval ships, and air defense systems; it also participates with the US and other European countries on joint development and production of advanced weapons systems (2019) |
| **New Zealand** | NZDF is equipped mostly with imported weapons and equipment from Western suppliers; Australia, France, and the US are the leading suppliers since 2010 (2019 est.) |
| **Nicaragua** | the Nicaraguan military's inventory includes mostly Russian/Soviet-era equipment; since 2010, Russia is the leading arms supplier to Nicaragua (2019 est.) |
| **Niger** | the FAN's inventory consists of a wide variety of foreign-supplied weapons, including Chinese, French, German, Russian, and US; since 2015, the FAN has received limited amounts of equipment from China, France, Russia, Sweden, and the US, some of which were donations (2019 est.) |
| **Nigeria** | the Nigerian Armed Forces' inventory consists of a wide variety of imported weapons systems of Chinese, European, Middle Eastern, Russian (including Soviet-era), and US origin; since 2010, the leading suppliers include China, France, Italy, Russia, South Korea, Ukraine, and the US; Nigeria has been the largest arms importer in sub-Saharan Africa since 2014; Nigeria is also developing a defense-industry capacity, including small arms, armored personnel vehicle, and small-scale naval production (2019) |
| **North Macedonia** | the inventory of North Macedonia's Army consists mostly of Soviet-era equipment; since 2010, it has received small amounts of equipment from Ireland and Turkey (2019 est.) |
| **Norway** | the Norwegian Armed Forces inventory includes mostly imported European and US weapons systems, as well as a limited mix of domestically-produced equipment, particularly small naval craft; since 2010, the US is the leading supplier of weapons systems to Norway, followed by France, Italy, South Korea, and Spain (2019 est.) |
| **Oman** | the SAF's inventory includes mostly a mix of older and some more modern British and US weapons systems, with smaller quantities of equipment from South Africa and a variety of European countries; since 2010, the UK and the US are the leading suppliers of armaments to Oman (2019 est.) |
| **Pakistan** | the Pakistan military inventory includes a broad mix of equipment, primarily from China, France, Ukraine, the UK, and the US; since 2010, China and the US are the leading suppliers of arms to Pakistan; Pakistan also has a large domestic defense industry capable of upgrading existing air, land, and sea weapons systems (2019 est.) |
| **Palau** | since 2018, Australia and Japan have provided patrol boats to the Palau's Division of Marine Law Enforcement (2020) |
| **Panama** | Panama's security forces do not maintain heavy military equipment, instead focusing on light air transport, patrol, and surveillance capabilities; since 2010, Italy and the US have been the leading suppliers to the security forces (2019 est.) |
| **Papua New Guinea** | the PNGDF has a limited inventory consisting of a diverse mix of foreign-supplied weapons and equipment; Papau New Guinea receives most of its military assistance from Australia; since 2010, it has also received equipment from China and New Zealand (2019 est.) |
| **Paraguay** | the Paraguayan military forces inventory is comprised of mostly older equipment from a variety of foreign suppliers, particularly Brazil and the US; since 2010, Paraguay has acquired limited quantities of mostly second-hand military equipment from Argentina, Brazil, Israel, Spain, Taiwan, and the US (2019 est.) |
| **Peru** | the Peruvian military's inventory is a mix of mostly older equipment from a wide variety of suppliers, including Brazil, Europe, the former Soviet Union, and the US; the leading suppliers of military equipment since 2010 are Italy, Russia, and South Korea (2019 est.) |
| **Philippines** | the AFP is equipped with a mix of imported weapons systems, particularly second-hand equipment from the US; since 2014, its top weapons suppliers are Brazil, Indonesia, South Korea, and the US (2019) |
| **Poland** | the inventory of the Polish Armed Forces consists of a mix of Soviet-era and more modern Western weapons systems; since 2010, the leading suppliers of armaments to Poland are Finland, Germany, Italy, and the US (2019 est.) |
| **Portugal** | the Portuguese Armed Forces inventory includes mostly European and US-origin weapons systems along with a smaller mix of domestically-produced equipment; since 2010, Germany and the US are the leading suppliers of armaments to Portugal; Portugal's defense industry is primarily focused on shipbuilding (2019 est.) |
| **Qatar** | the Qatari military's inventory includes a mix of older and modern weapons systems, mostly from the US and Europe, particularly France, Germany, and the UK; the leading providers of armaments to Qatar since 2010 are France, Germany, and the US; Qatar is scheduled to receive several ships from Italy beginning in 2021 and a large shipment of fighter aircraft from the UK in 2022 (2019 est.) |
