CIA - The World Factbook --  Dependency ratios   

Dependency ratios are a measure of the age structure of a population. They relate the number of individuals that are likely to be economically "dependent" on the support of others. Dependency ratios contrast the ratio of youths (ages 0-14) and the elderly (ages 65+) to the number of those in the working-age group (ages 15-64). Changes in the dependency ratio provide an indication of potential social support requirements resulting from changes in population age structures. As fertility levels decline, the dependency ratio initially falls because the proportion of youths decreases while the proportion of the population of working age increases. As fertility levels continue to decline, dependency ratios eventually increase because the proportion of the population of working age starts to decline and the proportion of elderly persons continues to increase.
| total dependency ratio - The total dependency ratio is the ratio of combined youth population (ages 0-14) and elderly population (ages 65+) per 100 people of working age (ages 15-64). A high total dependency ratio indicates that the working-age population and the overall economy face a greater burden to support and provide social services for youth and elderly persons, who are often economically dependent. |
| youth dependency ratio - The youth dependency ratio is the ratio of the youth population (ages 0-14) per 100 people of working age (ages 15-64). A high youth dependency ratio indicates that a greater investment needs to be made in schooling and other services for children. |
| elderly dependency ratio - The elderly dependency ratio is the ratio of the elderly population (ages 65+) per 100 people of working age (ages 15-64). Increases in the elderly dependency ratio put added pressure on governments to fund pensions and healthcare. |
| potential support ratio - The potential support ratio is the number of working-age people (ages 15-64) per one elderly person (ages 65+). As a population ages, the potential support ratio tends to fall, meaning there are fewer potential workers to support the elderly. |
| Rank | country | Dependency ratios | Date of Information |
| 35 | Cameroon | 85.80 | 2013 |
| 36 | Ethiopia | 85.50 | 2013 |
| 37 | Liberia | 84.90 | 2013 |
| 38 | Congo, Republic of the | 84.90 | 2013 |
| 39 | Burundi | 84.00 | 2013 |
| 40 | Benin | 84.00 | 2013 |
| 41 | Qatar | 83.90 | 2013 |
| 42 | South Sudan | 83.80 | 2013 |
| 43 | Nigeria | 83.80 | 2013 |
| 44 | Eritrea | 83.20 | 2013 |
| 45 | Guinea | 83.20 | 2013 |
| 46 | Rwanda | 82.80 | 2013 |
| 47 | Madagascar | 82.50 | 2013 |
| 48 | Sao Tome and Principe | 81.80 | 2013 |
| 49 | Guatemala | 81.80 | 2013 |
| 50 | Comoros | 81.60 | 2013 |
| 51 | Kenya | 81.50 | 2013 |
| 52 | Senegal | 81.30 | 2013 |
| 53 | Togo | 80.50 | 2013 |
| 54 | Cote d'Ivoire | 80.20 | 2013 |
| 55 | Sudan | 79.90 | 2013 |
| 56 | Cameroon | 79.80 | 2013 |
| 57 | Guinea-Bissau | 79.70 | 2013 |
| 58 | Liberia | 79.30 | 2013 |
| 59 | Sierra Leone | 79.30 | 2013 |
| 60 | Ethiopia | 79.20 | 2013 |
| 61 | Eritrea | 79.10 | 2013 |
| 62 | Benin | 78.70 | 2013 |
| 63 | Congo, Republic of the | 78.70 | 2013 |
| 64 | Rwanda | 78.50 | 2013 |
| 65 | Guinea | 77.50 | 2013 |
| 66 | Central African Republic | 77.50 | 2013 |
| 67 | South Sudan | 77.40 | 2013 |
| 68 | Madagascar | 77.40 | 2013 |
| 69 | Gabon | 77.40 | 2013 |
| 70 | Solomon Islands | 77.10 | 2013 |
| 71 | Kenya | 76.60 | 2013 |
| 72 | Zimbabwe | 76.40 | 2013 |
| 73 | Comoros | 76.40 | 2013 |
| 74 | Mauritania | 76.30 | 2013 |
| 75 | Iraq | 76.20 | 2013 |
| 76 | Tonga | 75.70 | 2013 |
| 77 | West Bank | 75.60 | 2013 |
| 78 | Yemen | 75.60 | 2013 |
| 79 | Sao Tome and Principe | 75.60 | 2013 |
| 80 | Gaza Strip | 75.60 | 2013 |
| 81 | Togo | 75.50 | 2013 |
| 82 | Samoa | 75.10 | 2013 |
| 83 | Guinea-Bissau | 74.50 | 2013 |
| 84 | Cote d'Ivoire | 74.50 | 2013 |
| 85 | Sierra Leone | 74.50 | 2013 |
| 86 | Sudan | 74.10 | 2013 |
| 87 | Guatemala | 73.50 | 2013 |
| 88 | Ghana | 72.20 | 2013 |
| 89 | Equatorial Guinea | 71.40 | 2013 |
| 90 | Solomon Islands | 71.20 | 2013 |
| 91 | Mauritania | 70.70 | 2013 |
| 92 | Central African Republic | 70.70 | 2013 |
| 93 | Yemen | 70.60 | 2013 |
| 94 | Iraq | 70.60 | 2013 |
| 95 | Gaza Strip | 70.40 | 2013 |
| 96 | Swaziland | 70.40 | 2013 |
| 97 | West Bank | 70.40 | 2013 |
| 98 | Zimbabwe | 69.60 | 2013 |
| 99 | Vanuatu | 69.50 | 2013 |
| 100 | Papua New Guinea | 69.30 | 2013 |
| 101 | Gabon | 68.30 | 2013 |
| 102 | Lesotho | 68.30 | 2013 |
| 103 | Equatorial Guinea | 66.60 | 2013 |
| 104 | Ghana | 66.20 | 2013 |
| 105 | Samoa | 66.10 | 2013 |
| 106 | Nepal | 66.10 | 2013 |
| 107 | Bolivia | 66.00 | 2013 |
| 108 | Honduras | 65.80 | 2013 |
| 109 | Namibia | 65.50 | 2013 |
| 110 | Tonga | 65.40 | 2013 |
| 111 | Guyana | 65.30 | 2013 |
| 112 | Haiti | 65.20 | 2013 |
| 113 | Swaziland | 64.40 | 2013 |
| 114 | Micronesia, Federated States of | 64.40 | 2013 |
| 115 | Papua New Guinea | 64.30 | 2013 |
| 116 | Syria | 64.30 | 2013 |
| 117 | Tajikistan | 64.10 | 2013 |
| 118 | Laos | 63.80 | 2013 |
| 119 | Vanuatu | 62.80 | 2013 |
| 120 | Israel | 62.50 | 2013 |
| 121 | Pakistan | 61.80 | 2013 |
| 122 | Japan | 61.60 | 2013 |
| 123 | Philippines | 61.40 | 2013 |
| 124 | Lesotho | 61.20 | 2013 |
| 125 | Paraguay | 61.00 | 2013 |
| 126 | Belize | 60.90 | 2013 |
| 127 | Djibouti | 60.50 | 2013 |
| 128 | Jordan | 60.20 | 2013 |
| 129 | Nicaragua | 59.90 | 2013 |
| 130 | Namibia | 59.60 | 2013 |
| 131 | Guyana | 59.60 | 2013 |
| 132 | Botswana | 59.10 | 2013 |
| 133 | El Salvador | 59.00 | 2013 |
| 134 | Tajikistan | 58.90 | 2013 |
| 135 | Egypt | 58.50 | 2013 |
| 136 | Honduras | 58.40 | 2013 |
| 137 | Virgin Islands | 58.10 | 2013 |
| 138 | Bolivia | 57.90 | 2013 |
| 139 | Haiti | 57.80 | 2013 |
| 140 | Syria | 57.70 | 2013 |
| 141 | Micronesia, Federated States of | 57.70 | 2013 |
| 142 | Nepal | 57.60 | 2013 |
| 143 | Laos | 57.60 | 2013 |
| 144 | Dominican Republic | 57.50 | 2013 |
| 145 | Ecuador | 57.40 | 2013 |
| 146 | Cambodia | 57.30 | 2013 |
| 147 | Sweden | 56.80 | 2013 |
| 148 | France | 56.50 | 2013 |
| 149 | Kiribati | 56.20 | 2013 |
| 150 | Uruguay | 56.20 | 2013 |
| 151 | Panama | 55.10 | 2013 |
| 152 | Philippines | 55.10 | 2013 |
| 153 | Finland | 55.00 | 2013 |
| 154 | Denmark | 55.00 | 2013 |
| 155 | Pakistan | 54.70 | 2013 |
| 156 | Belize | 54.50 | 2013 |
| 157 | Jordan | 54.50 | 2013 |
| 158 | Italy | 54.30 | 2013 |
| 159 | Argentina | 54.30 | 2013 |
| 160 | Peru | 54.20 | 2013 |
| 161 | Djibouti | 54.10 | 2013 |
| 162 | United Kingdom | 54.00 | 2013 |
| 163 | Jamaica | 54.00 | 2013 |
| 164 | South Africa | 53.90 | 2013 |
| 165 | Belgium | 53.80 | 2013 |
| 166 | Mexico | 53.60 | 2013 |
| 167 | Cabo Verde | 53.50 | 2013 |
| 168 | Botswana | 53.30 | 2013 |
| 169 | Bangladesh | 53.30 | 2013 |
| 170 | Venezuela | 53.20 | 2013 |
| 171 | Kyrgyzstan | 52.70 | 2013 |
| 172 | Norway | 52.60 | 2013 |
| 173 | Nicaragua | 52.50 | 2013 |
| 174 | India | 52.40 | 2013 |
| 175 | Guam | 52.30 | 2013 |
| 176 | Greece | 52.30 | 2013 |
| 177 | Paraguay | 52.20 | 2013 |
| 178 | Fiji | 52.20 | 2013 |
| 179 | Libya | 52.10 | 2013 |
| 180 | Germany | 52.00 | 2013 |
| 181 | New Zealand | 51.90 | 2013 |
| 182 | Indonesia | 51.80 | 2013 |
| 183 | Netherlands | 51.70 | 2013 |
| 184 | Suriname | 51.60 | 2013 |
| 185 | Grenada | 51.30 | 2013 |
| 186 | Colombia | 51.20 | 2013 |
| 187 | Estonia | 51.20 | 2013 |
| 188 | Ireland | 50.80 | 2013 |
| 189 | Maldives | 50.80 | 2013 |
| 190 | Sri Lanka | 50.70 | 2013 |
| 191 | Portugal | 50.50 | 2013 |
| 192 | United States | 50.40 | 2013 |
| 193 | Iceland | 50.40 | 2013 |
| 194 | Australia | 50.20 | 2013 |
| 195 | Latvia | 50.20 | 2013 |
| 196 | Curacao | 50.10 | 2013 |
| 197 | Puerto Rico | 50.10 | 2013 |
| 198 | Kiribati | 49.80 | 2013 |
| 199 | Croatia | 49.60 | 2013 |
| 200 | Spain | 49.50 | 2013 |
| 201 | Egypt | 49.40 | 2013 |
| 202 | Turkey | 49.30 | 2013 |
| 203 | Bulgaria | 49.20 | 2013 |
| 204 | Uzbekistan | 49.00 | 2013 |
| 205 | Austria | 48.90 | 2013 |
| 206 | Cambodia | 48.90 | 2013 |
| 207 | Bhutan | 48.90 | 2013 |
| 208 | Morocco | 48.90 | 2013 |
| 209 | Saint Lucia | 48.60 | 2013 |
| 210 | New Caledonia | 48.30 | 2013 |
| 211 | Turkmenistan | 48.30 | 2013 |
| 212 | Switzerland | 48.10 | 2013 |
| 213 | Kazakhstan | 48.00 | 2013 |
| 214 | Algeria | 47.90 | 2013 |
| 215 | Georgia | 47.70 | 2013 |
| 216 | Saint Vincent and the Grenadines | 47.60 | 2013 |
| 217 | El Salvador | 47.60 | 2013 |
| 218 | Dominican Republic | 47.60 | 2013 |
| 219 | Ecuador | 47.20 | 2013 |
| 220 | Antigua and Barbuda | 47.20 | 2013 |
| 221 | Saudi Arabia | 46.90 | 2013 |
| 222 | Hungary | 46.80 | 2013 |
| 223 | Montenegro | 46.70 | 2013 |
| 224 | Luxembourg | 46.50 | 2013 |
| 225 | Kyrgyzstan | 46.40 | 2013 |
| 226 | Canada | 46.30 | 2013 |
| 227 | Brazil | 46.20 | 2013 |
| 228 | Czech Republic | 46.10 | 2013 |
| 229 | Jersey | 46.00 | 2013 |
| 230 | Slovenia | 46.00 | 2013 |
| 231 | Guernsey | 46.00 | 2013 |
| 232 | Bangladesh | 46.00 | 2013 |
| 233 | Malaysia | 45.90 | 2013 |
| 234 | Albania | 45.70 | 2013 |
| 235 | Bosnia and Herzegovina | 45.50 | 2013 |
| 236 | South Africa | 45.40 | 2013 |
| 237 | Cabo Verde | 45.30 | 2013 |
| 238 | Korea, North | 45.20 | 2013 |
| 239 | Israel | 45.10 | 2013 |
| 240 | Mongolia | 45.10 | 2013 |
| 241 | Chile | 45.00 | 2013 |
| 242 | Malta | 44.90 | 2013 |
| 243 | Libya | 44.80 | 2013 |
| 244 | Lithuania | 44.60 | 2013 |
| 245 | Peru | 44.40 | 2013 |
| 246 | Aruba | 44.30 | 2013 |
| 247 | India | 44.30 | 2013 |
| 248 | Armenia | 44.10 | 2013 |
| 249 | Serbia | 44.00 | 2013 |
| 250 | Costa Rica | 44.00 | 2013 |
| 251 | Panama | 43.90 | 2013 |
| 252 | Fiji | 43.90 | 2013 |
| 253 | Indonesia | 43.80 | 2013 |
| 254 | Venezuela | 43.70 | 2013 |
| 255 | Mexico | 43.70 | 2013 |
| 256 | Tunisia | 43.60 | 2013 |
| 257 | Romania | 43.30 | 2013 |
| 258 | Maldives | 43.30 | 2013 |
| 259 | Burma | 43.10 | 2013 |
| 260 | Saudi Arabia | 42.60 | 2013 |
| 261 | Seychelles | 42.60 | 2013 |
| 262 | Uzbekistan | 42.60 | 2013 |
| 263 | Trinidad and Tobago | 42.50 | 2013 |
| 264 | French Polynesia | 42.40 | 2013 |
| 265 | Barbados | 42.30 | 2013 |
| 266 | Turkmenistan | 42.20 | 2013 |
| 267 | Brunei | 42.00 | 2013 |
| 268 | Colombia | 41.90 | 2013 |
| 269 | Cuba | 41.90 | 2013 |
| 270 | Ukraine | 41.90 | 2013 |
| 271 | Jamaica | 41.80 | 2013 |
| 272 | Bhutan | 41.80 | 2013 |
| 273 | Lebanon | 41.80 | 2013 |
| 274 | Poland | 41.60 | 2013 |
| 275 | Morocco | 41.50 | 2013 |
| 276 | Suriname | 41.50 | 2013 |
| 277 | Vietnam | 41.40 | 2013 |
| 278 | Cyprus | 41.30 | 2013 |
| 279 | Western Sahara | 41.20 | 2013 |
| 280 | Algeria | 41.10 | 2013 |
| 281 | Belarus | 41.10 | 2013 |
| 282 | Iran | 41.00 | 2013 |
| 283 | Macedonia | 40.90 | 2013 |
| 284 | Bahamas, The | 40.90 | 2013 |
| 285 | Grenada | 40.50 | 2013 |
| 286 | Russia | 40.50 | 2013 |
| 287 | Japan | 40.50 | 2013 |
| 288 | Guam | 39.90 | 2013 |
| 289 | Mauritius | 39.80 | 2013 |
| 290 | Mongolia | 39.60 | 2013 |
| 291 | Slovakia | 38.90 | 2013 |
| 292 | Moldova | 38.80 | 2013 |
| 293 | Thailand | 38.60 | 2013 |
| 294 | Azerbaijan | 38.50 | 2013 |
| 295 | Turkey | 38.30 | 2013 |
| 296 | Malaysia | 38.10 | 2013 |
| 297 | Kazakhstan | 38.10 | 2013 |
| 298 | Sri Lanka | 37.90 | 2013 |
| 299 | Western Sahara | 37.50 | 2013 |
| 300 | Argentina | 37.40 | 2013 |
| 301 | Saint Vincent and the Grenadines | 37.30 | 2013 |
| 302 | Kuwait | 37.20 | 2013 |
| 303 | Korea, South | 37.10 | 2013 |
| 304 | China | 36.80 | 2013 |
| 305 | Antigua and Barbuda | 36.70 | 2013 |
| 306 | Brunei | 36.00 | 2013 |
| 307 | Oman | 35.70 | 2013 |
| 308 | Burma | 35.70 | 2013 |
| 309 | Saint Lucia | 35.60 | 2013 |
| 310 | Singapore | 35.60 | 2013 |
| 311 | Brazil | 35.20 | 2013 |
| 312 | Hong Kong | 34.60 | 2013 |
| 313 | Bahrain | 34.30 | 2013 |
| 314 | Uruguay | 34.10 | 2013 |
| 315 | Kuwait | 34.00 | 2013 |
| 316 | Costa Rica | 33.90 | 2013 |
| 317 | New Caledonia | 33.60 | 2013 |
| 318 | Iran | 33.60 | 2013 |
| 319 | Tunisia | 33.30 | 2013 |
| 320 | Virgin Islands | 32.70 | 2013 |
| 321 | Ireland | 32.60 | 2013 |
| 322 | Italy | 32.60 | 2013 |
| 323 | French Polynesia | 32.20 | 2013 |
| 324 | Vietnam | 32.10 | 2013 |
| 325 | Germany | 32.10 | 2013 |
| 326 | Oman | 31.90 | 2013 |
| 327 | Seychelles | 31.60 | 2013 |
| 328 | Korea, North | 31.50 | 2013 |
| 329 | Kuwait | 31.30 | 2013 |
| 330 | Iceland | 31.10 | 2013 |
| 331 | Azerbaijan | 30.80 | 2013 |
| 332 | New Zealand | 30.70 | 2013 |
| 333 | Chile | 30.60 | 2013 |
| 334 | Bahrain | 30.30 | 2013 |
| 335 | Sweden | 30.30 | 2013 |
| 336 | Albania | 30.10 | 2013 |
| 337 | Bahamas, The | 30.00 | 2013 |
| 338 | Greece | 29.90 | 2013 |
| 339 | Trinidad and Tobago | 29.60 | 2013 |
| 340 | Lebanon | 29.50 | 2013 |
| 341 | Finland | 29.50 | 2013 |
| 342 | United States | 29.40 | 2013 |
| 343 | Puerto Rico | 29.30 | 2013 |
| 344 | Armenia | 29.20 | 2013 |
| 345 | Curacao | 29.00 | 2013 |
| 346 | Bulgaria | 28.80 | 2013 |
| 347 | Australia | 28.60 | 2013 |
| 348 | Norway | 28.50 | 2013 |
| 349 | France | 28.50 | 2013 |
| 350 | Portugal | 28.20 | 2013 |
| 351 | Aruba | 28.00 | 2013 |
| 352 | Latvia | 27.90 | 2013 |
| 353 | France | 27.90 | 2013 |
| 354 | Denmark | 27.70 | 2013 |
| 355 | Belgium | 27.70 | 2013 |
| 356 | Mauritius | 27.60 | 2013 |
| 357 | Montenegro | 27.50 | 2013 |
| 358 | Croatia | 27.40 | 2013 |
| 359 | Austria | 27.30 | 2013 |
| 360 | Bahrain | 27.30 | 2013 |
| 361 | Estonia | 27.30 | 2013 |
| 362 | Denmark | 27.20 | 2013 |
| 363 | United Kingdom | 27.10 | 2013 |
| 364 | Western Sahara | 27.00 | 2013 |
| 365 | Barbados | 26.90 | 2013 |
| 366 | United Kingdom | 26.90 | 2013 |
| 367 | Spain | 26.60 | 2013 |
| 368 | Sweden | 26.50 | 2013 |
| 369 | Georgia | 26.40 | 2013 |
| 370 | Oman | 26.20 | 2013 |
| 371 | Switzerland | 26.20 | 2013 |
| 372 | Belgium | 26.10 | 2013 |
| 373 | Netherlands | 25.90 | 2013 |
| 374 | Netherlands | 25.80 | 2013 |
| 375 | Macau | 25.80 | 2013 |
| 376 | Luxembourg | 25.70 | 2013 |
| 377 | Finland | 25.50 | 2013 |
| 378 | Virgin Islands | 25.30 | 2013 |
| 379 | Hungary | 25.30 | 2013 |
| 380 | Slovenia | 25.20 | 2013 |
| 381 | Thailand | 25.20 | 2013 |
| 382 | China | 24.70 | 2013 |
| 383 | Czech Republic | 24.40 | 2013 |
| 384 | Jersey | 24.20 | 2013 |
| 385 | Guernsey | 24.20 | 2013 |
| 386 | Norway | 24.10 | 2013 |
| 387 | Eritrea | 24.10 | 2013 |
| 388 | Canada | 24.00 | 2013 |
| 389 | Cyprus | 24.00 | 2013 |
| 390 | Estonia | 23.90 | 2013 |
| 391 | Malta | 23.60 | 2013 |
| 392 | Saudi Arabia | 23.60 | 2013 |
| 393 | Macedonia | 23.50 | 2013 |
| 394 | Serbia | 23.40 | 2013 |
| 395 | Cuba | 23.00 | 2013 |
| 396 | Rwanda | 23.00 | 2013 |
| 397 | Moldova | 23.00 | 2013 |
| 398 | Spain | 23.00 | 2013 |
| 399 | Bosnia and Herzegovina | 22.90 | 2013 |
| 400 | Lithuania | 22.70 | 2013 |
| 401 | Bosnia and Herzegovina | 22.70 | 2013 |
| 402 | Latvia | 22.30 | 2013 |
| 403 | Croatia | 22.30 | 2013 |
| 404 | Greece | 22.30 | 2013 |
| 405 | Russia | 22.20 | 2013 |
| 406 | Portugal | 22.20 | 2013 |
| 407 | Canada | 22.20 | 2013 |
| 408 | Burundi | 22.00 | 2013 |
| 409 | Uruguay | 22.00 | 2013 |
| 410 | Lithuania | 22.00 | 2013 |
| 411 | Switzerland | 21.90 | 2013 |
| 412 | Jersey | 21.80 | 2013 |
| 413 | Guernsey | 21.80 | 2013 |
| 414 | Singapore | 21.80 | 2013 |
| 415 | Czech Republic | 21.70 | 2013 |
| 416 | Afghanistan | 21.70 | 2013 |
| 417 | Italy | 21.70 | 2013 |
| 418 | Romania | 21.70 | 2013 |
| 419 | Gambia, The | 21.60 | 2013 |
| 420 | Belarus | 21.60 | 2013 |
| 421 | Austria | 21.60 | 2013 |
| 422 | Romania | 21.60 | 2013 |
| 423 | Hungary | 21.50 | 2013 |
| 424 | Australia | 21.50 | 2013 |
| 425 | Ukraine | 21.40 | 2013 |
| 426 | Burkina Faso | 21.30 | 2013 |
| 427 | Malta | 21.30 | 2013 |
| 428 | Georgia | 21.30 | 2013 |
| 429 | New Zealand | 21.20 | 2013 |
| 430 | Poland | 21.20 | 2013 |
| 431 | Japan | 21.10 | 2013 |
| 432 | Curacao | 21.00 | 2013 |
| 433 | United States | 21.00 | 2013 |
| 434 | Equatorial Guinea | 21.00 | 2013 |
| 435 | Slovakia | 20.90 | 2013 |
| 436 | Slovenia | 20.90 | 2013 |
| 437 | Puerto Rico | 20.90 | 2013 |
| 438 | Sierra Leone | 20.90 | 2013 |
| 439 | Angola | 20.90 | 2013 |
| 440 | Luxembourg | 20.80 | 2013 |
| 441 | Serbia | 20.70 | 2013 |
| 442 | Kenya | 20.60 | 2013 |
| 443 | Ukraine | 20.50 | 2013 |
| 444 | Korea, South | 20.40 | 2013 |
| 445 | Poland | 20.40 | 2013 |
| 446 | Chad | 20.40 | 2013 |
| 447 | Bulgaria | 20.40 | 2013 |
| 448 | Uganda | 20.30 | 2013 |
| 449 | Papua New Guinea | 20.30 | 2013 |
| 450 | Togo | 20.10 | 2013 |
| 451 | Germany | 19.90 | 2013 |
| 452 | Yemen | 19.80 | 2013 |
| 453 | Madagascar | 19.50 | 2013 |
| 454 | Belarus | 19.50 | 2013 |
| 455 | Zambia | 19.40 | 2013 |
| 456 | Iceland | 19.30 | 2013 |
| 457 | Nigeria | 19.30 | 2013 |
| 458 | Comoros | 19.30 | 2013 |
| 459 | Guinea-Bissau | 19.30 | 2013 |
| 460 | Gaza Strip | 19.20 | 2013 |
| 461 | Montenegro | 19.20 | 2013 |
| 462 | West Bank | 19.20 | 2013 |
| 463 | Tajikistan | 19.10 | 2013 |
| 464 | Cuba | 18.90 | 2013 |
| 465 | Hong Kong | 18.90 | 2013 |
| 466 | Benin | 18.80 | 2013 |
| 467 | United Arab Emirates | 18.60 | 2013 |
| 468 | Russia | 18.30 | 2013 |
| 469 | Ireland | 18.20 | 2013 |
| 470 | Congo, Democratic Republic of the | 18.20 | 2013 |
| 471 | Niger | 18.10 | 2013 |
| 472 | Mongolia | 18.10 | 2013 |
| 473 | United Arab Emirates | 18.10 | 2013 |
| 474 | Slovakia | 18.00 | 2013 |
| 475 | Mali | 17.90 | 2013 |
| 476 | Senegal | 17.90 | 2013 |
| 477 | Mauritania | 17.90 | 2013 |
| 478 | Iraq | 17.80 | 2013 |
| 479 | Liberia | 17.80 | 2013 |
| 480 | Guyana | 17.70 | 2013 |
| 481 | Somalia | 17.70 | 2013 |
| 482 | Jordan | 17.60 | 2013 |
| 483 | Guinea | 17.50 | 2013 |
| 484 | Cote d'Ivoire | 17.50 | 2013 |
| 485 | Israel | 17.40 | 2013 |
| 486 | Macedonia | 17.40 | 2013 |
| 487 | Cyprus | 17.30 | 2013 |
| 488 | Botswana | 17.30 | 2013 |
| 489 | Qatar | 17.20 | 2013 |
| 490 | Sudan | 17.10 | 2013 |
| 491 | Namibia | 17.00 | 2013 |
| 492 | Argentina | 16.90 | 2013 |
| 493 | Solomon Islands | 16.80 | 2013 |
| 494 | Swaziland | 16.80 | 2013 |
| 495 | Cameroon | 16.70 | 2013 |
| 496 | Korea, South | 16.70 | 2013 |
| 497 | Ghana | 16.70 | 2013 |
| 498 | Turkmenistan | 16.50 | 2013 |
| 499 | Brunei | 16.40 | 2013 |
| 500 | Aruba | 16.40 | 2013 |
| 501 | Sao Tome and Principe | 16.30 | 2013 |
| 502 | Tanzania | 16.20 | 2013 |
| 503 | Malawi | 16.10 | 2013 |
| 504 | Laos | 16.10 | 2013 |
| 505 | Qatar | 16.00 | 2013 |
| 506 | Philippines | 15.90 | 2013 |
| 507 | Congo, Republic of the | 15.90 | 2013 |
| 508 | Hong Kong | 15.80 | 2013 |
| 509 | Moldova | 15.80 | 2013 |
| 510 | Ethiopia | 15.80 | 2013 |
| 511 | Uzbekistan | 15.70 | 2013 |
| 512 | Djibouti | 15.70 | 2013 |
| 513 | Kyrgyzstan | 15.70 | 2013 |
| 514 | Macau | 15.60 | 2013 |
| 515 | Albania | 15.60 | 2013 |
| 516 | Mozambique | 15.60 | 2013 |
| 517 | Belize | 15.60 | 2013 |
| 518 | South Sudan | 15.60 | 2013 |
| 519 | Kiribati | 15.50 | 2013 |
| 520 | Timor-Leste | 15.50 | 2013 |
| 521 | Barbados | 15.50 | 2013 |
| 522 | Syria | 15.00 | 2013 |
| 523 | Vanuatu | 15.00 | 2013 |
| 524 | Micronesia, Federated States of | 14.90 | 2013 |
| 525 | Armenia | 14.90 | 2013 |
| 526 | New Caledonia | 14.70 | 2013 |
| 527 | Algeria | 14.70 | 2013 |
| 528 | Central African Republic | 14.70 | 2013 |
| 529 | Zimbabwe | 14.70 | 2013 |
| 530 | Chile | 14.50 | 2013 |
| 531 | Lesotho | 14.10 | 2013 |
| 532 | Pakistan | 14.10 | 2013 |
| 533 | Bhutan | 14.00 | 2013 |
| 534 | Singapore | 13.80 | 2013 |
| 535 | Korea, North | 13.70 | 2013 |
| 536 | Libya | 13.70 | 2013 |
| 537 | Honduras | 13.60 | 2013 |
| 538 | Bangladesh | 13.60 | 2013 |
| 539 | Nicaragua | 13.50 | 2013 |
| 540 | Morocco | 13.50 | 2013 |
| 541 | Thailand | 13.50 | 2013 |
| 542 | Iran | 13.40 | 2013 |
| 543 | Haiti | 13.40 | 2013 |
| 544 | Maldives | 13.40 | 2013 |
| 545 | Burma | 13.40 | 2013 |
| 546 | Saint Lucia | 13.00 | 2013 |
| 547 | Trinidad and Tobago | 12.90 | 2013 |
| 548 | Azerbaijan | 12.90 | 2013 |
| 549 | Malaysia | 12.80 | 2013 |
| 550 | Sri Lanka | 12.80 | 2013 |
| 551 | Indonesia | 12.60 | 2013 |
| 552 | India | 12.40 | 2013 |
