CIA -- The World Factbook -- Electricity - exports

| Country | Electricity - exports |
| **Saint Pierre and Miquelon** | 0 kWh (1999) |
| **Saint Vincent and the Grenadines** | 0 kWh (1999) |
| **Samoa** | 0 kWh (1999) |
| **San Marino** | 0 kWh |
| | *note:*  electric power supplied by Italy (1999) |
| **Sao Tome and Principe** | 0 kWh (1999) |
| **Saudi Arabia** | 0 kWh (1999) |
| **Senegal** | 0 kWh (1999) |
| **Seychelles** | 0 kWh (1999) |
| **Sierra Leone** | 0 kWh (1999) |
| **Singapore** | 0 kWh (1999) |
| **Slovakia** | 930 million kWh (1999) |
| **Slovenia** | 2.2 billion kWh (1999) |
| **Solomon Islands** | 0 kWh (1999) |
| **Somalia** | 0 kWh (1999) |
| **South Africa** | 3.884 billion kWh (1999) |
| **Spain** | 6.23 billion kWh (1999) |
| **Sri Lanka** | 0 kWh (1999) |
| **Sudan** | 0 kWh (1999) |
| **Suriname** | 0 kWh (1999) |
| **Swaziland** | 852 million kWh (1999) |
| **Sweden** | 15.9 billion kWh (1999) |
| **Switzerland** | 31.955 billion kWh (1999) |
| **Syria** | 0 kWh (1999) |
| **Tajikistan** | 3.9 billion kWh (1999) |
| **Tanzania** | 0 kWh (1999) |
| **Thailand** | 200 million kWh (1999) |
| **Togo** | 0 kWh (1999) |
| **Tonga** | 0 kWh (1999) |
| **Trinidad and Tobago** | 0 kWh (1999) |
| **Tunisia** | 19 million kWh (1999) |
| **Turkey** | 350 million kWh (2000 est.) |
| **Turkmenistan** | 4.1 billion kWh (1999) |
| **Turks and Caicos Islands** | 0 kWh (1999) |
| **Uganda** | 174 million kWh (1999) |
| **Ukraine** | 2.3 billion kWh (1999) |
| **United Arab Emirates** | 0 kWh (1999) |
| **United Kingdom** | 265 million kWh (1999) |
| **United States** | 14 billion kWh (1999) |
| **Uruguay** | 215 million kWh (1999) |
| **Uzbekistan** | 3.92 billion kWh (1999) |
| **Vanuatu** | 0 kWh (1999) |
| **Venezuela** | 0 kWh (1999) |
| **Vietnam** | 0 kWh (1999) |
| **Virgin Islands** | 0 kWh (1999) |
| **Western Sahara** | 0 kWh (1999) |
| **Yemen** | 0 kWh (1999) |
| **Yugoslavia** | 960 million kWh (1999) |
| **Zambia** | 1.6 billion kWh (1999) |
| **Zimbabwe** | 0 kWh (1999) |
| **Taiwan** | 0 kWh (1999) |


