CIA - The World Factbook -- Field Listing :: Electricity - exports   

This entry is the total exported electricity in kilowatt-hours.

| Country | Electricity - exports(kWh) |
| **Czech Republic** | 22.23 billion kWh (2009 est.) |
| **Denmark** | 10.88 billion kWh (2009 est.) |
| **Djibouti** | 0 kWh (2009 est.) |
| **Dominica** | 0 kWh (2009 est.) |
| **Dominican Republic** | 0 kWh (2009 est.) |
| **Ecuador** | 21 million kWh (2008 est.) |
| **Egypt** | 1.022 billion kWh (2008 est.) |
| **El Salvador** | 78.7 million kWh (2009 est.) |
| **Equatorial Guinea** | 0 kWh (2009 est.) |
| **Eritrea** | 0 kWh (2009 est.) |
| **Estonia** | 2.943 billion kWh (2009 est.) |
| **Ethiopia** | 0 kWh (2009 est.) |
| **European Union** | NA kWh |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (2009 est.) |
| **Faroe Islands** | 0 kWh (2009 est.) |
| **Fiji** | 0 kWh (2009 est.) |
| **Finland** | 3.375 billion kWh (2009 est.) |
| **France** | 44.91 billion kWh (2009 est.) |
| **French Polynesia** | 0 kWh (2009 est.) |
| **Gabon** | 0 kWh (2009 est.) |
| **Gambia, The** | 0 kWh (2009 est.) |
| **Gaza Strip** | 0 kWh (2008 est.) |
| **Georgia** | 675 million kWh (2008 est.) |
| **Germany** | 54.13 billion kWh (2009 est.) |
| **Ghana** | 538 million kWh (2008 est.) |
| **Gibraltar** | 0 kWh (2009 est.) |
| **Greece** | 3.233 billion kWh (2009 est.) |
| **Greenland** | 0 kWh (2009 est.) |
| **Grenada** | 0 kWh (2009 est.) |
| **Guam** | 0 kWh (2009 est.) |
| **Guatemala** | 76 million kWh (2008 est.) |
| **Guernsey** | 0 kWh (2002) |
| **Guinea** | 0 kWh (2009 est.) |
| **Guinea-Bissau** | 0 kWh (2009 est.) |
| **Guyana** | 0 kWh (2009 est.) |
| **Haiti** | NA kWh (2010 est.) |
| **Honduras** | 0 kWh (2009 est.) |
| **Hong Kong** | 2.23 billion kWh (2010 est.) |
| **Hungary** | 4.703 billion kWh (2010 est.) |
| **Iceland** | 0 kWh (2009 est.) |
| **India** | 810 million kWh (2009 est.) |
| **Indonesia** | 0 kWh (2009 est.) |
| **Iran** | 6.15 billion kWh (2009 est.) |
| **Iraq** | 0 kWh (2009 est.) |
| **Ireland** | 290 million kWh (2010 est.) |
| **Israel** | 3.666 billion kWh (2008 est.) |
| **Italy** | 2.121 billion kWh (2009 est.) |
| **Jamaica** | 0 kWh (2009 est.) |
| **Japan** | 0 kWh (2009 est.) |
| **Jordan** | 323 million kWh (2008 est.) |
| **Kazakhstan** | 2.483 billion kWh (2008 est.) |
| **Kenya** | 41 million kWh (2008 est.) |
| **Kiribati** | 0 kWh (2009 est.) |
| **Korea, North** | 0 kWh (2009 est.) |
| **Korea, South** | 0 kWh (2010) |
| **Kuwait** | 0 kWh (2009 est.) |
| **Kyrgyzstan** | 913 million kWh (2009 est.) |
| **Laos** | 341 million kWh (2010 est.) |
| **Latvia** | 2.605 billion kWh (2009 est.) |
| **Lebanon** | 0 kWh (2009 est.) |
| **Lesotho** | 0 kWh (2009 est.) |
| **Liberia** | 0 kWh (2009 est.) |
| **Libya** | 117 million kWh (2008 est.) |
| **Lithuania** | 7.715 billion kWh (2009 est.) |
| **Luxembourg** | 2.604 billion kWh (2009 est.) |
| **Macau** | 0 kWh (2010 est.) |
| **Macedonia** | 0 kWh (2010 est.) |
| **Madagascar** | 0 kWh (2009 est.) |
| **Malawi** | 0 kWh (2009 est.) |
| **Malaysia** | 91.7 million kWh (2009 est.) |
| **Maldives** | 0 kWh (2009 est.) |
| **Mali** | 0 kWh |
| | *note:* Mali may be providing electricity to Senegal and Mauritania (2009 est.) |
| **Malta** | 0 kWh (2009 est.) |
| **Mauritania** | 0 kWh (2009 est.) |
| **Mauritius** | 0 kWh (2009 est.) |
| **Mexico** | 1.32 billion kWh (2009 est.) |
| **Micronesia, Federated States of** | 0 kWh (2002) |
| **Moldova** | 0 kWh (2008 est.) |
| **Mongolia** | 20.7 million kWh (2010) |
| **Montenegro** | 0 kWh (2009 est.) |
| **Montserrat** | 0 kWh (2009 est.) |
| **Morocco** | 0 kWh (2009 est.) |
| **Mozambique** | 11.21 billion kWh (2008 est.) |
| **Namibia** | 47 million kWh (2008 est.) |
| **Nauru** | 0 kWh (2009 est.) |
| **Nepal** | 0 kWh (2010 est.) |
| **Netherlands** | 10.56 billion kWh (2009 est.) |
| **New Caledonia** | 0 kWh (2009 est.) |
| **New Zealand** | 0 kWh (2009 est.) |
| **Nicaragua** | 0 kWh (2009 est.) |
| **Niger** | 0 kWh (2009 est.) |
| **Nigeria** | 0 kWh (2009 est.) |
| **Niue** | 0 kWh (2009 est.) |
| **Northern Mariana Islands** | 0 kWh (January 2009 est.) |
| **Norway** | 14.63 billion kWh (2009 est.) |
| **Oman** | 0 kWh (2009 est.) |
| **Pakistan** | 0 kWh (2009 est.) |
| **Panama** | 95 million kWh (2009 est.) |
| **Papua New Guinea** | 0 kWh (2009 est.) |
| **Paraguay** | 45.13 billion kWh (2009 est.) |
| **Peru** | 111.9 million kWh (2010 est.) |
| **Philippines** | 0 kWh (2009 est.) |
| **Poland** | 9.594 billion kWh (2009) |
| **Portugal** | 2.822 billion kWh (2009 est.) |
| **Puerto Rico** | 0 kWh (2009 est.) |
| **Qatar** | 0 kWh (2009 est.) |
| **Romania** | 2.946 billion kWh (2009 est.) |
| **Russia** | 17.7 billion kWh (2009 est.) |
| **Rwanda** | 2 million kWh (2008 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 kWh (2009 est.) |
| **Saint Kitts and Nevis** | 0 kWh (2009 est.) |
| **Saint Lucia** | 0 kWh (2009 est.) |
| **Saint Pierre and Miquelon** | 0 kWh (2009 est.) |
| **Saint Vincent and the Grenadines** | 0 kWh (2009 est.) |
| **Samoa** | 0 kWh (2009 est.) |
| **Sao Tome and Principe** | 0 kWh (2009) |
| **Saudi Arabia** | 0 kWh (2009 est.) |
| **Senegal** | 0 kWh (2009 est.) |
| **Serbia** | 1.3 billion kWh (2010 est.) |
| **Seychelles** | 0 kWh (2009 est.) |
| **Sierra Leone** | 0 kWh (2009 est.) |
| **Singapore** | 0 kWh (2009 est.) |
| **Slovakia** | 7.682 billion kWh (2009 est.) |
| **Slovenia** | 9.197 billion kWh (2009 est.) |
| **Solomon Islands** | 0 kWh (2009 est.) |
| **Somalia** | 0 kWh (2009 est.) |
| **South Africa** | 14.05 billion kWh (2009 est.) |
| **Spain** | 14.86 billion kWh (2009 est.) |
| **Sri Lanka** | 0 kWh (2009 est.) |
| **Sudan** | 0 kWh (2009 est.) |
| **Suriname** | 0 kWh (2009 est.) |
| **Swaziland** | 0 kWh (2009) |
| **Sweden** | 9.085 billion kWh (2009 est.) |
| **Switzerland** | 33.53 billion kWh (2009 est.) |
| **Syria** | 0 kWh (2009 est.) |
| **Taiwan** | 0 kWh (2009 est.) |
| **Tajikistan** | 4.421 billion kWh (2008 est.) |
| **Tanzania** | 0 kWh (2009 est.) |
| **Thailand** | 1.979 billion kWh (2009 est.) |
| **Timor-Leste** | 0 kWh (2009 est.) |
| **Togo** | 0 kWh (2009 est.) |
| **Tonga** | 0 kWh (2009) |
| **Trinidad and Tobago** | 0 kWh (2009 est.) |
| **Tunisia** | 129 million kWh (2008 est.) |
| **Turkey** | 1.55 billion kWh (2009 est.) |
| **Turkmenistan** | 2.5 billion kWh (2009 est.) |
| **Turks and Caicos Islands** | 0 kWh (2009 est.) |
| **Uganda** | 82.04 million kWh (2009) |
| **Ukraine** | 4 billion kWh (2009 est.) |
| **United Arab Emirates** | 0 kWh (2009 est.) |
| **United Kingdom** | 3.748 billion kWh (2009 est.) |
| **United States** | 18.11 billion kWh (2009 est.) |
| **Uruguay** | 711.4 million kWh (2010 est.) |
| **Uzbekistan** | 11.52 billion kWh (2009 est.) |
| **Vanuatu** | 0 kWh (2009 est.) |
| **Venezuela** | 633 million kWh (2009 est.) |
| **Vietnam** | 535 million kWh (2009 est.) |
| **Virgin Islands** | 0 kWh (2009 est.) |
| **Wallis and Futuna** | 0 kWh (2002) |
| **West Bank** | 0 kWh (2009) |
| **Western Sahara** | 0 kWh (2009 est.) |
| **World** | 565.1 billion kWh (2009 est.) |
| **Yemen** | 0 kWh (2009 est.) |
| **Zambia** | 96 million kWh (2008) |
| **Zimbabwe** | 54 million kWh (2008 est.) |
