CIA - The World Factbook -- Field Listing - Electricity - exports

| Country | Electricity - exports (kWh) |
| **Morocco** | 0 kWh (2007 est.) |
| **Mozambique** | 12.83 billion kWh (2006 est.) |
| **Namibia** | 40 million kWh (2007 est.) |
| **Nauru** | 0 kWh (2007 est.) |
| **Nepal** | 165 million kWh (2007 est.) |
| **Netherlands** | 5.565 billion kWh (2007 est.) |
| **Netherlands Antilles** | 0 kWh (2007 est.) |
| **New Caledonia** | 0 kWh (2007 est.) |
| **New Zealand** | 0 kWh (2007 est.) |
| **Nicaragua** | 0 kWh (2007 est.) |
| **Niger** | 0 kWh (2007 est.) |
| **Nigeria** | 0 kWh (2007 est.) |
| **Niue** | 0 kWh (2007 est.) |
| **Northern Mariana Islands** | 0 kWh (2007 est.) |
| **Norway** | 15.32 billion kWh (2007 est.) |
| **Oman** | 0 kWh (2007 est.) |
| **Pakistan** | 0 kWh (2007 est.) |
| **Panama** | 124.9 million kWh (2007 est.) |
| **Papua New Guinea** | 0 kWh (2007 est.) |
| **Paraguay** | 64 billion kWh (2007) |
| **Peru** | 0 kWh (2007 est.) |
| **Philippines** | 0 kWh (2007 est.) |
| **Poland** | 13.11 billion kWh (2007) |
| **Portugal** | 2.153 billion kWh (2007 est.) |
| **Puerto Rico** | 0 kWh (2007 est.) |
| **Qatar** | 0 kWh (2007 est.) |
| **Romania** | 3.362 billion kWh (2007 est.) |
| **Russia** | 15.81 billion kWh (2007 est.) |
| **Rwanda** | 10 million kWh (2007 est.) |
| **Saint Helena** | 0 kWh (2007 est.) |
| **Saint Kitts and Nevis** | 0 kWh (2007 est.) |
| **Saint Lucia** | 0 kWh (2007 est.) |
| **Saint Pierre and Miquelon** | 0 kWh (2007 est.) |
| **Saint Vincent and the Grenadines** | 0 kWh (2007 est.) |
| **Samoa** | 0 kWh (2007 est.) |
| **Sao Tome and Principe** | 0 kWh (2007) |
| **Saudi Arabia** | 0 kWh (2007 est.) |
| **Senegal** | 0 kWh (2007 est.) |
| **Serbia** | 12.05 billion kWh (2004 est.) |
| **Seychelles** | 0 kWh (2007 est.) |
| **Sierra Leone** | 0 kWh (2007 est.) |
| **Singapore** | 0 kWh (2007 est.) |
| **Slovakia** | 11.85 billion kWh (2007 est.) |
| **Slovenia** | 5.894 billion kWh (2007 est.) |
| **Solomon Islands** | 0 kWh (2007 est.) |
| **Somalia** | 0 kWh (2007 est.) |
| **South Africa** | 13.77 billion kWh (2006 est.) |
| **Spain** | 14.52 billion kWh (2007 est.) |
| **Sri Lanka** | 0 kWh (2007 est.) |
| **Sudan** | 0 kWh (2007 est.) |
| **Suriname** | 0 kWh (2007 est.) |
| **Swaziland** | 0 kWh (2007) |
| **Sweden** | 14.74 billion kWh (2007) |
| **Switzerland** | 36.88 billion kWh (2007 est.) |
| **Syria** | 986 million kWh (2006 est.) |
| **Taiwan** | 0 kWh (2007 est.) |
| **Tajikistan** | 4.259 billion kWh (2007 est.) |
| **Tanzania** | 0 kWh (2007 est.) |
| **Thailand** | 731 million kWh (2007 est.) |
| **Timor-Leste** | 0 kWh (2007 est.) |
| **Togo** | 0 kWh (2007 est.) |
| **Tonga** | 0 kWh (2007) |
| **Trinidad and Tobago** | 0 kWh (2007 est.) |
| **Tunisia** | 135 million kWh (2006 est.) |
| **Turkey** | 2.576 billion kWh (2007 est.) |
| **Turkmenistan** | 1.34 billion kWh (2006 est.) |
| **Turks and Caicos Islands** | 0 kWh (2007 est.) |
| **Uganda** | 180 million kWh (2006) |
| **Ukraine** | 12.52 billion kWh (2006 est.) |
| **United Arab Emirates** | 0 kWh (2007 est.) |
| **United Kingdom** | 3.398 billion kWh (2007 est.) |
| **United States** | 20.14 billion kWh (2007 est.) |
| **Uruguay** | 995.4 million kWh (2007 est.) |
| **Uzbekistan** | 11.52 billion kWh (2006 est.) |
| **Vanuatu** | 0 kWh (2007 est.) |
| **Venezuela** | 542 million kWh (2006 est.) |
| **Vietnam** | 0 kWh (2007 est.) |
| **Virgin Islands** | 0 kWh (2007 est.) |
| **Wallis and Futuna** | 0 kWh (2002) |
| **Western Sahara** | 0 kWh (2007) |
| **World** | 655.6 billion kWh (2007 est.) |
| **Yemen** | 0 kWh (2007 est.) |
| **Zambia** | 255 million kWh (2006) |
| **Zimbabwe** | 34 million kWh (2006 est.) |

This page was last updated on 18 December 2008
 
