FIELD LISTING :: ELECTRICITY - EXPORTS

This entry is the total exported electricity in kilowatt-hours.

| Country | ELECTRICITY - EXPORTS(KWH) |
| **Russia** | 15.7 billion kWh (2013 est.) |
| **Rwanda** | 5 million kWh (2011 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 kWh (2013 est.) |
| **Saint Kitts and Nevis** | 0 kWh (2013 est.) |
| **Saint Lucia** | 0 kWh (2013 est.) |
| **Saint Pierre and Miquelon** | 0 kWh (2013 est.) |
| **Saint Vincent and the Grenadines** | 0 kWh (2013 est.) |
| **Samoa** | 0 kWh (2013 est.) |
| **Sao Tome and Principe** | 0 kWh (2013) |
| **Saudi Arabia** | 0 kWh (2013 est.) |
| **Senegal** | 0 kWh (2013 est.) |
| **Serbia** | 4.806 billion kWh (2014 est.) |
| **Seychelles** | 0 kWh (2013 est.) |
| **Sierra Leone** | 0 kWh (2013 est.) |
| **Singapore** | 0 kWh (2014 est.) |
| **Slovakia** | 11.86 billion kWh (2014 est.) |
| **Slovenia** | 8.684 billion kWh (2013 est.) |
| **Solomon Islands** | 0 kWh (2013 est.) |
| **Somalia** | 0 kWh (2013 est.) |
| **South Africa** | 13.93 billion kWh (2013 est.) |
| **South Sudan** | 0 kWh (2012 est.) |
| **Spain** | 17 billion kWh (2013 est.) |
| **Sri Lanka** | 0 kWh (2013 est.) |
| **Sudan** | 0 kWh (2012 est.) |
| **Suriname** | 0 kWh (2013 est.) |
| **Swaziland** | 0 kWh (2013) |
| **Sweden** | 22.68 billion kWh (2013 est.) |
| **Switzerland** | 31.8 billion kWh (2013 est.) |
| **Syria** | 1.192 billion kWh (2011 est.) |
| **Taiwan** | 0 kWh (2013 est.) |
| **Tajikistan** | 1 billion kWh (2013 est.) |
| **Tanzania** | 0 kWh (2013 est.) |
| **Thailand** | 1.375 billion kWh (2013 est.) |
| **Timor-Leste** | 0 kWh (2012 est.) |
| **Togo** | 0 kWh (2013 est.) |
| **Tonga** | 0 kWh (2013) |
| **Trinidad and Tobago** | 0 kWh (2013 est.) |
| **Tunisia** | 172 million kWh (2012 est.) |
| **Turkey** | 1.236 billion kWh (2013 est.) |
| **Turkmenistan** | 2.9 billion kWh (2014 est.) |
| **Turks and Caicos Islands** | 0 kWh (2013 est.) |
| **Tuvalu** | 0 kWh (2014 est.) |
| **Uganda** | 70 million kWh (2011) |
| **Ukraine** | 6 billion kWh (2012 est.) |
| **United Arab Emirates** | 8.147 billion kWh (2011 est.) |
| **United Kingdom** | 2.72 billion kWh (2014 est.) |
| **United States** | 11.28 billion kWh (2013 est.) |
| **Uruguay** | 194 million kWh (2012 est.) |
| **Uzbekistan** | 12.25 billion kWh (2011 est.) |
| **Vanuatu** | 0 kWh (2013 est.) |
| **Venezuela** | 249 million kWh (2011 est.) |
| **Vietnam** | 1.073 billion kWh (2011 est.) |
| **Virgin Islands** | 0 kWh (2013 est.) |
| **West Bank** | 0 kWh (2013) |
| **Western Sahara** | 0 kWh (2013 est.) |
| **World** | 639.6 billion kWh (2013 est.) |
| **Yemen** | 0 kWh (2013 est.) |
| **Zambia** | 586 million kWh (2011 est.) |
| **Zimbabwe** | 1.085 billion kWh (2011 est.) |
