FIELD LISTING :: ELECTRICITY - EXPORTS

This entry is the total exported electricity in kilowatt-hours.

| Country | ELECTRICITY - EXPORTS(KWH) |
| **Russia** | 8.12 billion kWh (2014 est.) |
| **Rwanda** | 3 million kWh (2014 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 kWh (2013 est.) |
| **Saint Kitts and Nevis** | 0 kWh (2013 est.) |
| **Saint Lucia** | 0 kWh (2013 est.) |
| **Saint Pierre and Miquelon** | 0 kWh (2013 est.) |
| **Saint Vincent and the Grenadines** | 0 kWh (2013 est.) |
| **Samoa** | 0 kWh (2013 est.) |
| **Sao Tome and Principe** | 0 kWh (2013) |
| **Saudi Arabia** | 0 kWh (2013 est.) |
| **Senegal** | 0 kWh (2013 est.) |
| **Serbia** | 4.806 billion kWh (2014 est.) |
| **Seychelles** | 0 kWh (2013 est.) |
| **Sierra Leone** | 0 kWh (2013 est.) |
| **Singapore** | 0 kWh (2014 est.) |
| **Slovakia** | 11.86 billion kWh (2014 est.) |
| **Slovenia** | 10 billion kWh (2014 est.) |
| **Solomon Islands** | 0 kWh (2013 est.) |
| **Somalia** | 0 kWh (2013 est.) |
| **South Africa** | 14 billion kWh (2014 est.) |
| **South Sudan** | 0 kWh (2013 est.) |
| **Spain** | 16 billion kWh (2014 est.) |
| **Sri Lanka** | 0 kWh (2013 est.) |
| **Sudan** | 0 kWh (2013 est.) |
| **Suriname** | 0 kWh (2013 est.) |
| **Swaziland** | 0 kWh (2013) |
| **Sweden** | 29 billion kWh (2014 est.) |
| **Switzerland** | 34 billion kWh (2014 est.) |
| **Syria** | 100 million kWh (2014 est.) |
| **Taiwan** | 0 kWh (2015 est.) |
| **Tajikistan** | 1.3 billion kWh (2014 est.) |
| **Tanzania** | 0 kWh (2013 est.) |
| **Thailand** | 1.6 billion kWh (2014 est.) |
| **Timor-Leste** | 0 kWh (2014 est.) |
| **Togo** | 0 kWh (2013 est.) |
| **Tonga** | 0 kWh (2013) |
| **Trinidad and Tobago** | 0 kWh (2015 est.) |
| **Tunisia** | 600 million kWh (2014 est.) |
| **Turkey** | 2.7 billion kWh (2014 est.) |
| **Turkmenistan** | 3.2 billion kWh (2014 est.) |
| **Turks and Caicos Islands** | 0 kWh (2013 est.) |
| **Tuvalu** | 0 kWh (2014 est.) |
| **Uganda** | 100 million kWh (2014) |
| **Ukraine** | 8.5 billion kWh (2014 est.) |
| **United Arab Emirates** | 0 kWh (2013 est.) |
| **United Kingdom** | 2.72 billion kWh (2014 est.) |
| **United States** | 13 billion kWh (2014 est.) |
| **Uruguay** | 1.3 billion kWh (2014 est.) |
| **Uzbekistan** | 13 billion kWh (2014 est.) |
| **Vanuatu** | 0 kWh (2013 est.) |
| **Venezuela** | 705 million kWh (2012 est.) |
| **Vietnam** | 1.5 billion kWh (2014 est.) |
| **Virgin Islands** | 0 kWh (2013 est.) |
| **West Bank** | 0 kWh (2013) |
| **Western Sahara** | 0 kWh (2013 est.) |
| **World** | 695.6 billion kWh (2013 est.) |
| **Yemen** | 0 kWh (2013 est.) |
| **Zambia** | 1.3 billion kWh (2014 est.) |
| **Zimbabwe** | 1.2 billion kWh (2014 est.) |
