CIA - The World Factbook --  Airports - with paved runways   

This entry gives the total number of airports with paved runways (concrete or asphalt surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with paved runways | Date of Information |
| 119 | Korea, North | 37.00 | 2009 |
| 120 | Sweden | 36.00 | 2009 |
| 121 | Belarus | 35.00 | 2009 |
| 122 | Egypt | 35.00 | 2009 |
| 123 | Venezuela | 35.00 | 2009 |
| 124 | Philippines | 35.00 | 2009 |
| 125 | Indonesia | 35.00 | 2009 |
| 126 | French Polynesia | 34.00 | 2009 |
| 127 | Iran | 34.00 | 2009 |
| 128 | Turkey | 33.00 | 2009 |
| 129 | Uzbekistan | 33.00 | 2009 |
| 130 | Italy | 32.00 | 2009 |
| 131 | Morocco | 32.00 | 2009 |
| 132 | United Kingdom | 32.00 | 2009 |
| 133 | Lithuania | 32.00 | 2009 |
| 134 | Saudi Arabia | 31.00 | 2009 |
| 135 | Angola | 30.00 | 2009 |
| 136 | Israel | 30.00 | 2009 |
| 137 | Panama | 30.00 | 2009 |
| 138 | Poland | 30.00 | 2009 |
| 139 | Italy | 30.00 | 2009 |
| 140 | Algeria | 29.00 | 2009 |
| 141 | Syria | 29.00 | 2009 |
| 142 | Mexico | 29.00 | 2009 |
| 143 | Denmark | 28.00 | 2009 |
| 144 | Iran | 28.00 | 2009 |
| 145 | Philippines | 28.00 | 2009 |
| 146 | Japan | 28.00 | 2009 |
| 147 | Azerbaijan | 27.00 | 2009 |
| 148 | Brazil | 27.00 | 2009 |
| 149 | Saudi Arabia | 27.00 | 2009 |
| 150 | Madagascar | 27.00 | 2009 |
| 151 | Japan | 27.00 | 2009 |
| 152 | France | 27.00 | 2009 |
| 153 | Cuba | 27.00 | 2009 |
| 154 | Belgium | 27.00 | 2009 |
| 155 | Argentina | 26.00 | 2009 |
| 156 | Congo, Democratic Republic of the | 26.00 | 2009 |
| 157 | Kazakhstan | 26.00 | 2009 |
| 158 | Finland | 26.00 | 2009 |
| 159 | Austria | 25.00 | 2009 |
| 160 | Norway | 25.00 | 2009 |
| 161 | Ecuador | 25.00 | 2009 |
| 162 | China | 25.00 | 2009 |
| 163 | Iran | 25.00 | 2009 |
| 164 | New Zealand | 25.00 | 2009 |
| 165 | Sweden | 25.00 | 2009 |
| 166 | Romania | 25.00 | 2009 |
| 167 | United Arab Emirates | 24.00 | 2009 |
| 168 | Thailand | 24.00 | 2009 |
| 169 | Spain | 24.00 | 2009 |
| 170 | Chile | 24.00 | 2009 |
| 171 | Ukraine | 24.00 | 2009 |
| 172 | Bahamas, The | 23.00 | 2009 |
| 173 | Spain | 23.00 | 2009 |
| 174 | Libya | 23.00 | 2009 |
| 175 | Mozambique | 23.00 | 2009 |
| 176 | Croatia | 23.00 | 2009 |
| 177 | Libya | 23.00 | 2009 |
| 178 | Belarus | 22.00 | 2009 |
| 179 | Turkmenistan | 22.00 | 2009 |
| 180 | Korea, South | 22.00 | 2009 |
| 181 | Korea, South | 22.00 | 2009 |
| 182 | Korea, North | 22.00 | 2009 |
| 183 | Finland | 22.00 | 2009 |
| 184 | Costa Rica | 22.00 | 2009 |
| 185 | Chile | 22.00 | 2009 |
| 186 | Chile | 22.00 | 2009 |
| 187 | Papua New Guinea | 21.00 | 2009 |
| 188 | Namibia | 21.00 | 2009 |
| 189 | Greece | 20.00 | 2009 |
| 190 | Turkey | 20.00 | 2009 |
| 191 | Peru | 20.00 | 2009 |
| 192 | Netherlands | 20.00 | 2009 |
| 193 | Slovakia | 20.00 | 2009 |
| 194 | India | 20.00 | 2009 |
| 195 | Latvia | 20.00 | 2009 |
| 196 | Hungary | 20.00 | 2009 |
| 197 | Canada | 19.00 | 2009 |
| 198 | Zimbabwe | 19.00 | 2009 |
| 199 | Lithuania | 19.00 | 2009 |
| 200 | Iraq | 19.00 | 2009 |
| 201 | Pakistan | 19.00 | 2009 |
| 202 | Venezuela | 19.00 | 2009 |
| 203 | Sudan | 19.00 | 2009 |
| 204 | Bulgaria | 18.00 | 2009 |
| 205 | Ecuador | 18.00 | 2009 |
| 206 | Georgia | 18.00 | 2009 |
| 207 | Yemen | 18.00 | 2009 |
| 208 | Tajikistan | 18.00 | 2009 |
| 209 | Spain | 18.00 | 2009 |
| 210 | Spain | 18.00 | 2009 |
| 211 | Kyrgyzstan | 18.00 | 2009 |
| 212 | Indonesia | 18.00 | 2009 |
| 213 | Greece | 18.00 | 2009 |
| 214 | Czech Republic | 18.00 | 2009 |
| 215 | Canada | 18.00 | 2009 |
| 216 | Congo, Democratic Republic of the | 17.00 | 2009 |
| 217 | Madagascar | 17.00 | 2009 |
| 218 | Pakistan | 17.00 | 2009 |
| 219 | Turkey | 17.00 | 2009 |
| 220 | Switzerland | 17.00 | 2009 |
| 221 | Puerto Rico | 17.00 | 2009 |
| 222 | Panama | 17.00 | 2009 |
| 223 | Norway | 17.00 | 2009 |
| 224 | Kazakhstan | 17.00 | 2009 |
| 225 | Italy | 17.00 | 2009 |
| 226 | Ireland | 17.00 | 2009 |
| 227 | Ethiopia | 17.00 | 2009 |
| 228 | Cuba | 17.00 | 2009 |
| 229 | Afghanistan | 16.00 | 2009 |
| 230 | Bolivia | 16.00 | 2009 |
| 231 | Turkey | 16.00 | 2009 |
| 232 | Tunisia | 16.00 | 2009 |
| 233 | Syria | 16.00 | 2009 |
| 234 | Saudi Arabia | 16.00 | 2009 |
| 235 | Pakistan | 16.00 | 2009 |
| 236 | Kenya | 16.00 | 2009 |
| 237 | Dominican Republic | 16.00 | 2009 |
| 238 | Bangladesh | 15.00 | 2009 |
| 239 | Colombia | 15.00 | 2009 |
| 240 | Bulgaria | 15.00 | 2009 |
| 241 | Egypt | 15.00 | 2009 |
| 242 | Egypt | 15.00 | 2009 |
| 243 | Greece | 15.00 | 2009 |
| 244 | Jordan | 15.00 | 2009 |
| 245 | Thailand | 15.00 | 2009 |
| 246 | Australia | 14.00 | 2009 |
| 247 | Sri Lanka | 14.00 | 2009 |
| 248 | Finland | 14.00 | 2009 |
| 249 | France | 14.00 | 2009 |
| 250 | Paraguay | 14.00 | 2009 |
| 251 | Papua New Guinea | 14.00 | 2009 |
| 252 | Vietnam | 14.00 | 2009 |
| 253 | Switzerland | 14.00 | 2009 |
| 254 | Peru | 14.00 | 2009 |
| 255 | Mongolia | 14.00 | 2009 |
| 256 | India | 14.00 | 2009 |
| 257 | Austria | 14.00 | 2009 |
| 258 | Burma | 14.00 | 2009 |
| 259 | Azerbaijan | 13.00 | 2009 |
| 260 | Namibia | 13.00 | 2009 |
| 261 | Uzbekistan | 13.00 | 2009 |
| 262 | Portugal | 13.00 | 2009 |
| 263 | Peru | 13.00 | 2009 |
| 264 | Norway | 13.00 | 2009 |
| 265 | Korea, South | 13.00 | 2009 |
| 266 | Italy | 13.00 | 2009 |
| 267 | Guatemala | 13.00 | 2009 |
| 268 | Germany | 13.00 | 2009 |
| 269 | Gabon | 13.00 | 2009 |
| 270 | Estonia | 13.00 | 2009 |
| 271 | Cyprus | 13.00 | 2009 |
| 272 | Australia | 13.00 | 2009 |
| 273 | Angola | 12.00 | 2009 |
| 274 | Costa Rica | 12.00 | 2009 |
| 275 | Ukraine | 12.00 | 2009 |
| 276 | Sweden | 12.00 | 2009 |
| 277 | Spain | 12.00 | 2009 |
| 278 | South Africa | 12.00 | 2009 |
| 279 | New Zealand | 12.00 | 2009 |
| 280 | Norway | 12.00 | 2009 |
| 281 | Nigeria | 12.00 | 2009 |
| 282 | New Caledonia | 12.00 | 2009 |
| 283 | Mexico | 12.00 | 2009 |
| 284 | Korea, South | 12.00 | 2009 |
| 285 | Jamaica | 12.00 | 2009 |
| 286 | Honduras | 12.00 | 2009 |
| 287 | Denmark | 12.00 | 2009 |
| 288 | Czech Republic | 12.00 | 2009 |
| 289 | United Arab Emirates | 11.00 | 2009 |
| 290 | Algeria | 11.00 | 2009 |
| 291 | Australia | 11.00 | 2009 |
| 292 | Algeria | 11.00 | 2009 |
| 293 | Bahamas, The | 11.00 | 2009 |
| 294 | Burma | 11.00 | 2009 |
| 295 | Taiwan | 11.00 | 2009 |
| 296 | Thailand | 11.00 | 2009 |
| 297 | Romania | 11.00 | 2009 |
| 298 | Portugal | 11.00 | 2009 |
| 299 | Nicaragua | 11.00 | 2009 |
| 300 | Nepal | 11.00 | 2009 |
| 301 | Nigeria | 11.00 | 2009 |
| 302 | Morocco | 11.00 | 2009 |
| 303 | Mongolia | 11.00 | 2009 |
| 304 | Kyrgyzstan | 11.00 | 2009 |
| 305 | Cameroon | 11.00 | 2009 |
| 306 | Armenia | 10.00 | 2009 |
| 307 | Argentina | 10.00 | 2009 |
| 308 | Finland | 10.00 | 2009 |
| 309 | Guyana | 10.00 | 2009 |
| 310 | Macedonia | 10.00 | 2009 |
| 311 | Turkmenistan | 10.00 | 2009 |
| 312 | Senegal | 10.00 | 2009 |
| 313 | South Africa | 10.00 | 2009 |
| 314 | Philippines | 10.00 | 2009 |
| 315 | Romania | 10.00 | 2009 |
| 316 | Serbia | 10.00 | 2009 |
| 317 | Niger | 10.00 | 2009 |
| 318 | New Caledonia | 10.00 | 2009 |
| 319 | Mozambique | 10.00 | 2009 |
| 320 | Malaysia | 10.00 | 2009 |
| 321 | Oman | 10.00 | 2009 |
| 322 | Morocco | 10.00 | 2009 |
| 323 | Slovakia | 10.00 | 2009 |
| 324 | Kazakhstan | 10.00 | 2009 |
| 325 | Israel | 10.00 | 2009 |
| 326 | Greenland | 10.00 | 2009 |
| 327 | Angola | 9.00 | 2009 |
| 328 | Botswana | 9.00 | 2009 |
| 329 | Colombia | 9.00 | 2009 |
| 330 | Cape Verde | 9.00 | 2009 |
| 331 | Portugal | 9.00 | 2009 |
| 332 | Nepal | 9.00 | 2009 |
| 333 | Netherlands | 9.00 | 2009 |
| 334 | Kazakhstan | 9.00 | 2009 |
| 335 | Italy | 9.00 | 2009 |
| 336 | Croatia | 9.00 | 2009 |
| 337 | Greece | 9.00 | 2009 |
| 338 | Gabon | 9.00 | 2009 |
| 339 | Czech Republic | 9.00 | 2009 |
| 340 | Cuba | 9.00 | 2009 |
| 341 | Burma | 9.00 | 2009 |
| 342 | Belgium | 9.00 | 2009 |
| 343 | Zimbabwe | 9.00 | 2009 |
| 344 | Zambia | 9.00 | 2009 |
| 345 | Yemen | 9.00 | 2009 |
| 346 | Vietnam | 9.00 | 2009 |
| 347 | Vietnam | 9.00 | 2009 |
| 348 | Uruguay | 9.00 | 2009 |
| 349 | United Kingdom | 9.00 | 2009 |
| 350 | Tanzania | 9.00 | 2009 |
| 351 | Turkmenistan | 9.00 | 2009 |
| 352 | Sudan | 9.00 | 2009 |
| 353 | Mauritania | 9.00 | 2009 |
| 354 | Laos | 9.00 | 2009 |
| 355 | Belgium | 8.00 | 2009 |
| 356 | Hungary | 8.00 | 2009 |
| 357 | Iraq | 8.00 | 2009 |
| 358 | Latvia | 8.00 | 2009 |
| 359 | Malaysia | 8.00 | 2009 |
| 360 | Philippines | 8.00 | 2009 |
| 361 | Venezuela | 8.00 | 2009 |
| 362 | Taiwan | 8.00 | 2009 |
| 363 | Taiwan | 8.00 | 2009 |
| 364 | Thailand | 8.00 | 2009 |
| 365 | Singapore | 8.00 | 2009 |
| 366 | Seychelles | 8.00 | 2009 |
| 367 | Pakistan | 8.00 | 2009 |
| 368 | Mali | 8.00 | 2009 |
| 369 | Macedonia | 8.00 | 2009 |
| 370 | Korea, North | 8.00 | 2009 |
| 371 | Jordan | 8.00 | 2009 |
| 372 | Chile | 8.00 | 2009 |
| 373 | Chad | 8.00 | 2009 |
| 374 | Afghanistan | 7.00 | 2009 |
| 375 | Taiwan | 7.00 | 2009 |
| 376 | Tunisia | 7.00 | 2009 |
| 377 | Somalia | 7.00 | 2009 |
| 378 | Senegal | 7.00 | 2009 |
| 379 | Puerto Rico | 7.00 | 2009 |
| 380 | Poland | 7.00 | 2009 |
| 381 | Nigeria | 7.00 | 2009 |
| 382 | Lithuania | 7.00 | 2009 |
| 383 | Jamaica | 7.00 | 2009 |
| 384 | Japan | 7.00 | 2009 |
| 385 | Cote d'Ivoire | 7.00 | 2009 |
| 386 | Guyana | 7.00 | 2009 |
| 387 | Ghana | 7.00 | 2009 |
| 388 | Georgia | 7.00 | 2009 |
| 389 | French Polynesia | 7.00 | 2009 |
| 390 | Ethiopia | 7.00 | 2009 |
| 391 | Estonia | 7.00 | 2009 |
| 392 | Malaysia | 7.00 | 2009 |
| 393 | Malaysia | 7.00 | 2009 |
| 394 | Morocco | 7.00 | 2009 |
| 395 | Denmark | 7.00 | 2009 |
| 396 | Cuba | 7.00 | 2009 |
| 397 | Sri Lanka | 7.00 | 2009 |
| 398 | Brazil | 7.00 | 2009 |
| 399 | Belarus | 7.00 | 2009 |
| 400 | Bosnia and Herzegovina | 7.00 | 2009 |
| 401 | Azerbaijan | 6.00 | 2009 |
| 402 | Sri Lanka | 6.00 | 2009 |
| 403 | Israel | 6.00 | 2009 |
| 404 | Israel | 6.00 | 2009 |
| 405 | Iran | 6.00 | 2009 |
| 406 | Iceland | 6.00 | 2009 |
| 407 | Croatia | 6.00 | 2009 |
| 408 | Greenland | 6.00 | 2009 |
| 409 | Micronesia, Federated States of | 6.00 | 2009 |
| 410 | Equatorial Guinea | 6.00 | 2009 |
| 411 | Ireland | 6.00 | 2009 |
| 412 | Turks and Caicos Islands | 6.00 | 2009 |
| 413 | Tajikistan | 6.00 | 2009 |
| 414 | Thailand | 6.00 | 2009 |
| 415 | Niger | 6.00 | 2009 |
| 416 | Malaysia | 6.00 | 2009 |
| 417 | Malawi | 6.00 | 2009 |
| 418 | Madagascar | 6.00 | 2009 |
| 419 | Libya | 6.00 | 2009 |
| 420 | Libya | 6.00 | 2009 |
| 421 | Kenya | 6.00 | 2009 |
| 422 | Iraq | 6.00 | 2009 |
| 423 | Israel | 6.00 | 2009 |
| 424 | Venezuela | 6.00 | 2009 |
| 425 | Uzbekistan | 6.00 | 2009 |
| 426 | Uzbekistan | 6.00 | 2009 |
| 427 | Ukraine | 6.00 | 2009 |
| 428 | Slovenia | 6.00 | 2009 |
| 429 | South Africa | 6.00 | 2009 |
| 430 | Seychelles | 6.00 | 2009 |
| 431 | Peru | 6.00 | 2009 |
| 432 | Paraguay | 6.00 | 2009 |
| 433 | Cyprus | 6.00 | 2009 |
| 434 | Congo, Republic of the | 6.00 | 2009 |
| 435 | Cambodia | 6.00 | 2009 |
| 436 | Botswana | 6.00 | 2009 |
| 437 | Bahamas, The | 6.00 | 2009 |
| 438 | Bangladesh | 6.00 | 2009 |
| 439 | Belgium | 6.00 | 2009 |
| 440 | Algeria | 5.00 | 2009 |
| 441 | Switzerland | 5.00 | 2009 |
| 442 | Syria | 5.00 | 2009 |
| 443 | Kenya | 5.00 | 2009 |
| 444 | Jordan | 5.00 | 2009 |
| 445 | Iraq | 5.00 | 2009 |
| 446 | Guinea | 5.00 | 2009 |
| 447 | Greece | 5.00 | 2009 |
| 448 | Ethiopia | 5.00 | 2009 |
| 449 | Ireland | 5.00 | 2009 |
| 450 | Egypt | 5.00 | 2009 |
| 451 | Cuba | 5.00 | 2009 |
| 452 | Cameroon | 5.00 | 2009 |
| 453 | Chile | 5.00 | 2009 |
| 454 | Sudan | 5.00 | 2009 |
| 455 | Puerto Rico | 5.00 | 2009 |
| 456 | Portugal | 5.00 | 2009 |
| 457 | Portugal | 5.00 | 2009 |
| 458 | Panama | 5.00 | 2009 |
| 459 | Paraguay | 5.00 | 2009 |
| 460 | Netherlands Antilles | 5.00 | 2009 |
| 461 | Suriname | 5.00 | 2009 |
| 462 | Netherlands | 5.00 | 2009 |
| 463 | Zimbabwe | 5.00 | 2009 |
| 464 | Vietnam | 5.00 | 2009 |
| 465 | Saint Vincent and the Grenadines | 5.00 | 2009 |
| 466 | Uganda | 5.00 | 2009 |
| 467 | Nigeria | 5.00 | 2009 |
| 468 | Mozambique | 5.00 | 2009 |
| 469 | Oman | 5.00 | 2009 |
| 470 | Mauritania | 5.00 | 2009 |
| 471 | Moldova | 5.00 | 2009 |
| 472 | Latvia | 5.00 | 2009 |
| 473 | Lebanon | 5.00 | 2009 |
| 474 | Kazakhstan | 5.00 | 2009 |
| 475 | Bolivia | 5.00 | 2009 |
| 476 | Austria | 5.00 | 2009 |
| 477 | Angola | 5.00 | 2009 |
| 478 | United Arab Emirates | 4.00 | 2009 |
| 479 | Afghanistan | 4.00 | 2009 |
| 480 | United Arab Emirates | 4.00 | 2009 |
| 481 | Albania | 4.00 | 2009 |
| 482 | Angola | 4.00 | 2009 |
| 483 | Zambia | 4.00 | 2009 |
| 484 | Yemen | 4.00 | 2009 |
| 485 | Uzbekistan | 4.00 | 2009 |
| 486 | Uzbekistan | 4.00 | 2009 |
| 487 | Uruguay | 4.00 | 2009 |
| 488 | Tanzania | 4.00 | 2009 |
| 489 | Taiwan | 4.00 | 2009 |
| 490 | Turkey | 4.00 | 2009 |
| 491 | Tunisia | 4.00 | 2009 |
| 492 | Tajikistan | 4.00 | 2009 |
| 493 | Switzerland | 4.00 | 2009 |
| 494 | Syria | 4.00 | 2009 |
| 495 | Somalia | 4.00 | 2009 |
| 496 | Singapore | 4.00 | 2009 |
| 497 | Saudi Arabia | 4.00 | 2009 |
| 498 | Rwanda | 4.00 | 2009 |
| 499 | Philippines | 4.00 | 2009 |
| 500 | Romania | 4.00 | 2009 |
| 501 | Marshall Islands | 4.00 | 2009 |
| 502 | Papua New Guinea | 4.00 | 2009 |
| 503 | Poland | 4.00 | 2009 |
| 504 | Poland | 4.00 | 2009 |
| 505 | Peru | 4.00 | 2009 |
| 506 | Suriname | 4.00 | 2009 |
| 507 | Mozambique | 4.00 | 2009 |
| 508 | Oman | 4.00 | 2009 |
| 509 | Mauritania | 4.00 | 2009 |
| 510 | Morocco | 4.00 | 2009 |
| 511 | Mali | 4.00 | 2009 |
| 512 | Malawi | 4.00 | 2009 |
| 513 | Laos | 4.00 | 2009 |
| 514 | Kosovo | 4.00 | 2009 |
| 515 | Kuwait | 4.00 | 2009 |
| 516 | Kiribati | 4.00 | 2009 |
| 517 | Kiribati | 4.00 | 2009 |
| 518 | Korea, North | 4.00 | 2009 |
| 519 | Kenya | 4.00 | 2009 |
| 520 | Cote d'Ivoire | 4.00 | 2009 |
| 521 | Indonesia | 4.00 | 2009 |
| 522 | Hungary | 4.00 | 2009 |
| 523 | Hungary | 4.00 | 2009 |
| 524 | Croatia | 4.00 | 2009 |
| 525 | Honduras | 4.00 | 2009 |
| 526 | Haiti | 4.00 | 2009 |
| 527 | Guatemala | 4.00 | 2009 |
| 528 | Georgia | 4.00 | 2009 |
| 529 | Georgia | 4.00 | 2009 |
| 530 | French Polynesia | 4.00 | 2009 |
| 531 | Micronesia, Federated States of | 4.00 | 2009 |
| 532 | Fiji | 4.00 | 2009 |
| 533 | El Salvador | 4.00 | 2009 |
| 534 | Eritrea | 4.00 | 2009 |
| 535 | Ireland | 4.00 | 2009 |
| 536 | Dominican Republic | 4.00 | 2009 |
| 537 | Dominican Republic | 4.00 | 2009 |
| 538 | Dominican Republic | 4.00 | 2009 |
| 539 | Denmark | 4.00 | 2009 |
| 540 | Comoros | 4.00 | 2009 |
| 541 | Congo, Democratic Republic of the | 4.00 | 2009 |
| 542 | Bolivia | 4.00 | 2009 |
| 543 | Bosnia and Herzegovina | 4.00 | 2009 |
| 544 | Belize | 4.00 | 2009 |
| 545 | Bangladesh | 4.00 | 2009 |
| 546 | Bahamas, The | 4.00 | 2009 |
| 547 | Austria | 4.00 | 2009 |
| 548 | Argentina | 4.00 | 2009 |
| 549 | Armenia | 4.00 | 2009 |
| 550 | Azerbaijan | 4.00 | 2009 |
| 551 | Bolivia | 4.00 | 2009 |
| 552 | United Arab Emirates | 3.00 | 2009 |
| 553 | Belgium | 3.00 | 2009 |
| 554 | Bahrain | 3.00 | 2009 |
| 555 | Bolivia | 3.00 | 2009 |
| 556 | Cambodia | 3.00 | 2009 |
| 557 | Congo, Republic of the | 3.00 | 2009 |
| 558 | Comoros | 3.00 | 2009 |
| 559 | Ecuador | 3.00 | 2009 |
| 560 | Ecuador | 3.00 | 2009 |
| 561 | Dominican Republic | 3.00 | 2009 |
| 562 | Djibouti | 3.00 | 2009 |
| 563 | Denmark | 3.00 | 2009 |
| 564 | Cyprus | 3.00 | 2009 |
| 565 | Cyprus | 3.00 | 2009 |
| 566 | Cape Verde | 3.00 | 2009 |
| 567 | Cape Verde | 3.00 | 2009 |
| 568 | Northern Mariana Islands | 3.00 | 2009 |
| 569 | Zimbabwe | 3.00 | 2009 |
| 570 | Yemen | 3.00 | 2009 |
| 571 | Western Sahara | 3.00 | 2009 |
| 572 | Western Sahara | 3.00 | 2009 |
| 573 | Namibia | 3.00 | 2009 |
| 574 | Namibia | 3.00 | 2009 |
| 575 | Saint Vincent and the Grenadines | 3.00 | 2009 |
| 576 | Uganda | 3.00 | 2009 |
| 577 | Tunisia | 3.00 | 2009 |
| 578 | Turks and Caicos Islands | 3.00 | 2009 |
| 579 | Tajikistan | 3.00 | 2009 |
| 580 | Tajikistan | 3.00 | 2009 |
| 581 | Trinidad and Tobago | 3.00 | 2009 |
| 582 | Switzerland | 3.00 | 2009 |
| 583 | Syria | 3.00 | 2009 |
| 584 | Sweden | 3.00 | 2009 |
| 585 | Sudan | 3.00 | 2009 |
| 586 | Puerto Rico | 3.00 | 2009 |
| 587 | Marshall Islands | 3.00 | 2009 |
