CIA - The World Factbook --  Telephones - main lines in use   

This entry gives the total number of main telephone lines in use.

| Rank | country | Telephones - main lines in use | Date of Information |
| 71 | Korea, North | 1,180,000 | 2008 |
| 72 | Cuba | 1,164,000 | 2010 |
| 73 | Moldova | 1,161,000 | 2010 |
| 74 | Slovakia | 1,099,000 | 2010 |
| 75 | Nigeria | 1,050,000 | 2010 |
| 76 | Yemen | 1,046,000 | 2010 |
| 77 | Dominican Republic | 1,010,000 | 2010 |
| 78 | El Salvador | 1,000,000 | 2010 |
| 79 | Bosnia and Herzegovina | 998,600 | 2010 |
| 80 | Uruguay | 962,200 | 2010 |
| 81 | Slovenia | 913,600 | 2010 |
| 82 | Ethiopia | 908,900 | 2010 |
| 83 | Bangladesh | 900,000 | 2010 |
| 84 | Puerto Rico | 891,900 | 2010 |
| 85 | Lebanon | 887,800 | 2010 |
| 86 | Bolivia | 848,200 | 2010 |
| 87 | Nepal | 841,700 | 2010 |
| 88 | Lithuania | 733,700 | 2010 |
| 89 | Honduras | 669,500 | 2010 |
| 90 | Burma | 604,700 | 2010 |
| 91 | Georgia | 597,000 | 2010 |
| 92 | Armenia | 589,900 | 2010 |
| 93 | Kuwait | 566,300 | 2010 |
| 94 | Panama | 553,100 | 2010 |
| 95 | Latvia | 532,100 | 2010 |
| 96 | Turkmenistan | 520,000 | 2010 |
| 97 | Kyrgyzstan | 502,200 | 2010 |
| 98 | Cameroon | 496,500 | 2010 |
| 99 | Jordan | 485,000 | 2010 |
| 100 | Estonia | 482,200 | 2010 |
| 101 | Kenya | 460,100 | 2010 |
| 102 | Cyprus | 414,700 | NA |
| 103 | Macedonia | 413,100 | 2010 |
| 104 | Paraguay | 405,000 | 2010 |
| 105 | Mauritius | 387,700 | 2010 |
| 106 | Zimbabwe | 379,000 | 2010 |
| 107 | Sudan | 374,700 | 2010 |
| 108 | Tajikistan | 367,700 | 2010 |
| 109 | Cambodia | 358,800 | 2010 |
| 110 | Senegal | 341,900 | 2010 |
| 111 | West Bank | 337,000 | 2010 |
| 112 | Gaza Strip | 337,000 | 2010 |
| 113 | Albania | 331,500 | 2010 |
| 114 | Uganda | 327,100 | 2010 |
| 115 | Angola | 303,200 | 2010 |
| 116 | Qatar | 298,100 | 2010 |
| 117 | Trinidad and Tobago | 293,300 | 2010 |
| 118 | Oman | 283,900 | 2010 |
| 119 | Ghana | 277,900 | 2010 |
| 120 | Luxembourg | 272,400 | 2010 |
| 121 | Jamaica | 263,100 | 2010 |
| 122 | Nicaragua | 258,000 | 2010 |
| 123 | Malta | 247,300 | 2010 |
| 124 | Bahrain | 228,000 | 2010 |
| 125 | Cote d'Ivoire | 223,200 | 2010 |
| 126 | Togo | 213,800 | 2010 |
| 127 | Iceland | 204,000 | 2010 |
| 128 | Mongolia | 193,200 | 2010 |
| 129 | Tanzania | 174,500 | 2010 |
| 130 | Madagascar | 172,200 | 2010 |
| 131 | Montenegro | 169,500 | 2010 |
| 132 | Macau | 167,500 | 2011 |
| 133 | Malawi | 160,100 | 2010 |
| 134 | Namibia | 152,000 | 2010 |
| 135 | Guyana | 149,900 | 2010 |
| 136 | Burkina Faso | 144,000 | 2010 |
| 137 | Afghanistan | 140,000 | 2010 |
| 138 | Barbados | 137,500 | 2010 |
| 139 | Botswana | 137,400 | 2010 |
| 140 | Fiji | 137,000 | 2010 |
| 141 | Benin | 133,400 | 2010 |
| 142 | Bahamas, The | 129,300 | 2010 |
| 143 | Papua New Guinea | 121,200 | 2010 |
| 144 | Mali | 114,400 | 2010 |
| 145 | Kosovo | 106,300 | 2006 |
| 146 | Laos | 103,100 | 2010 |
| 147 | Somalia | 100,000 | 2010 |
| 148 | Zambia | 90,100 | 2010 |
| 149 | Mozambique | 88,100 | 2010 |
| 150 | Suriname | 85,000 | 2010 |
| 151 | Niger | 83,600 | 2010 |
| 152 | Brunei | 79,900 | 2010 |
| 153 | Virgin Islands | 75,800 | 2010 |
| 154 | Jersey | 73,800 | 2010 |
| 155 | New Caledonia | 72,200 | 2010 |
| 156 | Cape Verde | 72,000 | 2010 |
| 157 | Mauritania | 71,600 | 2010 |
| 158 | Bermuda | 57,800 | 2010 |
| 159 | French Polynesia | 54,900 | 2010 |
| 160 | Eritrea | 54,200 | 2010 |
| 161 | Chad | 51,200 | 2010 |
| 162 | Isle of Man | 51,000 | 1999 |
| 163 | Haiti | 50,000 | 2010 |
| 164 | Gambia, The | 48,800 | 2010 |
| 165 | Maldives | 48,000 | 2010 |
| 166 | Guernsey | 45,100 | 2010 |
| 167 | Swaziland | 44,000 | 2010 |
| 168 | Congo, Democratic Republic of the | 42,000 | 2010 |
| 169 | Antigua and Barbuda | 41,700 | 2010 |
| 170 | Saint Lucia | 41,100 | 2010 |
| 171 | Rwanda | 39,700 | 2010 |
| 172 | Lesotho | 38,800 | 2010 |
| 173 | Andorra | 38,200 | 2010 |
| 174 | Cayman Islands | 37,400 | 2010 |
| 175 | Samoa | 35,300 | 2010 |
| 176 | Aruba | 35,000 | 2010 |
| 177 | Monaco | 34,100 | 2010 |
| 178 | Burundi | 32,600 | 2010 |
| 179 | Tonga | 31,000 | 2010 |
| 180 | Gabon | 30,400 | 2010 |
| 181 | Belize | 30,300 | 2010 |
| 182 | Grenada | 28,400 | 2010 |
| 183 | Bhutan | 26,300 | 2010 |
| 184 | Northern Mariana Islands | 25,500 | 2010 |
| 185 | Gibraltar | 24,000 | 2010 |
| 186 | Seychelles | 22,000 | 2010 |
| 187 | Greenland | 21,800 | 2010 |
| 188 | Saint Vincent and the Grenadines | 21,700 | 2010 |
| 189 | San Marino | 21,700 | 2010 |
| 190 | Comoros | 21,000 | 2010 |
| 191 | Saint Kitts and Nevis | 20,600 | 2010 |
| 192 | Faroe Islands | 20,200 | 2010 |
| 193 | British Virgin Islands | 20,100 | 2010 |
| 194 | Liechtenstein | 19,600 | 2010 |
| 195 | Djibouti | 18,500 | 2010 |
| 196 | Guinea | 18,000 | 2010 |
| 197 | Dominica | 15,500 | 2010 |
| 198 | Sierra Leone | 14,000 | 2010 |
| 199 | Equatorial Guinea | 13,500 | 2010 |
| 200 | Central African Republic | 12,000 | 2010 |
| 201 | American Samoa | 10,400 | 2010 |
| 202 | Congo, Republic of the | 9,800 | 2010 |
| 203 | Micronesia, Federated States of | 8,500 | 2010 |
| 204 | Solomon Islands | 8,400 | 2010 |
| 205 | Sao Tome and Principe | 7,700 | 2010 |
| 206 | Cook Islands | 7,200 | 2010 |
| 207 | Palau | 7,000 | 2010 |
| 208 | Anguilla | 6,300 | 2010 |
| 209 | Liberia | 5,900 | 2010 |
| 210 | Sint Maarten | 5,153 | 2001 |
| 211 | Holy See (Vatican City) | 5,120 | 2005 |
| 212 | Guinea-Bissau | 5,000 | 2010 |
| 213 | Vanuatu | 5,000 | 2010 |
| 214 | Saint Pierre and Miquelon | 4,800 | 2010 |
| 215 | Marshall Islands | 4,400 | 2010 |
| 216 | Kiribati | 4,100 | 2010 |
| 217 | Turks and Caicos Islands | 3,700 | 2010 |
| 218 | Wallis and Futuna | 3,100 | 2010 |
| 219 | Saint Helena, Ascension, and Tristan da Cunha | 3,000 | 2010 |
| 220 | Montserrat | 2,600 | 2010 |
| 221 | Norfolk Island | 2,532 | 2004 |
| 222 | Timor-Leste | 2,400 | 2010 |
| 223 | Falkland Islands (Islas Malvinas) | 2,000 | 2010 |
| 224 | Nauru | 1,900 | 2009 |
| 225 | Tuvalu | 1,600 | 2010 |
| 226 | Niue | 1,200 | 2010 |
| 227 | Tokelau | 300 | 2010 |
| 228 | Cocos (Keeling) Islands | 287 | 1992 |
| 229 | Pitcairn Islands | 1 | 2004 |
