CIA - The World Factbook --  Electricity - installed generating capacity   

Electricity - installed generating capacity is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | country | (kW) | Date of Information |
| 84 | Kyrgyzstan | 3,640,000 | 2010 est. |
| 85 | Armenia | 3,472,000 | 2010 est. |
| 86 | Slovenia | 3,351,000 | 2012 est. |
| 87 | Laos | 3,217,000 | 2013 est. |
| 88 | Bahrain | 3,169,000 | 2010 est. |
| 89 | Jordan | 3,138,000 | 2010 est. |
| 90 | Turkmenistan | 2,852,000 | 2010 est. |
| 91 | Costa Rica | 2,800,000 | 2010 est. |
| 92 | Estonia | 2,751,000 | 2010 est. |
| 93 | Guatemala | 2,745,000 | 2010 est. |
| 94 | Sri Lanka | 2,685,000 | 2010 est. |
| 95 | Uruguay | 2,588,000 | 2010 est. |
| 96 | Iceland | 2,579,000 | 2010 est. |
| 97 | Congo, Democratic Republic of the | 2,437,000 | 2010 est. |
| 98 | Mozambique | 2,428,000 | 2010 est. |
| 99 | Lebanon | 2,314,000 | 2010 est. |
| 100 | Latvia | 2,166,000 | 2010 est. |
| 101 | Sudan | 2,083,000 | 2010 est. |
| 102 | Ethiopia | 2,061,000 | 2010 est. |
| 103 | Zimbabwe | 2,035,000 | 2010 est. |
| 104 | Ghana | 1,985,000 | 2010 est. |
| 105 | Panama | 1,976,000 | 2010 est. |
| 106 | Macedonia | 1,953,000 | 2013 est. |
| 107 | Albania | 1,726,000 | 2012 est. |
| 108 | Luxembourg | 1,723,000 | 2010 est. |
| 109 | Burma | 1,713,000 | 2010 est. |
| 110 | Honduras | 1,701,000 | 2010 est. |
| 111 | Kenya | 1,698,000 | 2010 est. |
| 112 | Zambia | 1,679,000 | 2010 est. |
| 113 | Trinidad and Tobago | 1,605,000 | 2010 est. |
| 114 | Yemen | 1,530,000 | 2011 est. |
| 115 | Kosovo | 1,526,000 | NA |
| 116 | Bhutan | 1,505,000 | 2010 est. |
| 117 | Cyprus | 1,493,000 | 2012 est. |
| 118 | El Salvador | 1,491,000 | 2010 est. |
| 119 | Bolivia | 1,365,000 | 2012 est. |
| 120 | Nicaragua | 1,275,000 | 2013 est. |
| 121 | Cote d'Ivoire | 1,222,000 | 2010 est. |
| 122 | Jamaica | 1,175,000 | 2010 est. |
| 123 | Angola | 1,155,000 | 2010 est. |
| 124 | Cameroon | 1,115,000 | 2010 est. |
| 125 | Mauritius | 900,200 | 2010 est. |
| 126 | Montenegro | 868,000 | 2010 est. |
| 127 | Tanzania | 841,000 | 2010 est. |
| 128 | Mongolia | 833,200 | 2010 est. |
| 129 | Brunei | 759,000 | 2010 est. |
| 130 | Nepal | 721,000 | 2010 est. |
| 131 | Papua New Guinea | 700,000 | 2010 est. |
| 132 | Senegal | 638,000 | 2010 est. |
| 133 | Congo, Republic of the | 559,000 | 2012 est. |
| 134 | Guam | 552,000 | 2010 est. |
| 135 | Uganda | 539,000 | 2010 est. |
| 136 | Malta | 530,000 | 2013 est. |
| 137 | Andorra | 520,000 | NA |
| 138 | New Caledonia | 499,000 | 2010 est. |
| 139 | Bahamas, The | 493,000 | 2010 est. |
| 140 | Afghanistan | 489,100 | 2010 est. |
| 141 | Namibia | 487,000 | 2013 est. |
| 142 | Macau | 472,000 | 2013 est. |
| 143 | Moldova | 439,900 | 2013 est. |
| 144 | Madagascar | 430,000 | 2010 est. |
| 145 | Gabon | 415,000 | 2010 est. |
| 146 | Suriname | 410,000 | 2010 est. |
| 147 | Guinea | 395,000 | 2010 est. |
| 148 | Guyana | 362,500 | 2010 est. |
| 149 | Cambodia | 359,900 | 2010 est. |
| 150 | Virgin Islands | 323,000 | 2010 est. |
| 151 | Mali | 304,000 | 2010 est. |
| 152 | Malawi | 287,000 | 2010 est. |
| 153 | Aruba | 266,000 | 2010 est. |
| 154 | Mauritania | 263,000 | 2010 est. |
| 155 | South Sudan | 255,200 | 2010 est. |
| 156 | Burkina Faso | 252,000 | 2010 est. |
| 157 | Fiji | 245,100 | 2010 est. |
| 158 | Barbados | 239,000 | 2010 est. |
| 159 | Liberia | 197,000 | 2010 est. |
| 160 | French Polynesia | 186,000 | 2010 est. |
| 161 | Belize | 178,100 | 2010 est. |
| 162 | Bermuda | 165,000 | 2011 est. |
| 163 | Cayman Islands | 151,000 | 2010 est. |
| 164 | Swaziland | 149,000 | 2010 est. |
| 165 | Eritrea | 140,800 | 2010 est. |
| 166 | West Bank | 140,000 | 2010 est. |
| 167 | Greenland | 137,000 | 2010 est. |
| 168 | Niger | 134,000 | 2010 est. |
| 169 | Botswana | 132,000 | 2011 est. |
| 170 | Djibouti | 130,000 | 2010 est. |
| 171 | Haiti | 130,000 | 2012 est. |
| 172 | Sierra Leone | 102,000 | 2010 est. |
| 173 | Faroe Islands | 100,100 | 2010 est. |
| 174 | Dominica | 97,000 | 2010 est. |
| 175 | Cabo Verde | 89,800 | 2010 est. |
| 176 | Seychelles | 89,000 | 2010 est. |
| 177 | Togo | 85,000 | 2010 est. |
| 178 | Somalia | 80,000 | 2010 est. |
| 179 | Saint Lucia | 76,000 | 2010 est. |
| 180 | Lesotho | 76,000 | 2010 est. |
| 181 | Maldives | 62,080 | 2010 est. |
| 182 | Gambia, The | 62,000 | 2010 est. |
| 183 | Benin | 61,000 | 2010 est. |
| 184 | American Samoa | 60,000 | 2010 est. |
| 185 | Western Sahara | 58,000 | 2010 est. |
| 186 | Rwanda | 57,250 | 2010 est. |
| 187 | Saint Kitts and Nevis | 55,000 | 2010 est. |
| 188 | Burundi | 52,000 | 2010 est. |
| 189 | Turks and Caicos Islands | 50,000 | 2010 est. |
| 190 | Grenada | 49,700 | 2010 est. |
| 191 | Saint Vincent and the Grenadines | 47,000 | 2010 est. |
| 192 | British Virgin Islands | 44,000 | 2010 est. |
| 193 | Central African Republic | 44,000 | 2010 est. |
| 194 | Gibraltar | 43,000 | 2010 est. |
| 195 | Samoa | 41,100 | 2010 est. |
| 196 | Equatorial Guinea | 38,000 | 2010 est. |
| 197 | Solomon Islands | 36,000 | 2010 est. |
| 198 | Chad | 31,000 | 2010 est. |
| 199 | Vanuatu | 28,000 | 2010 est. |
| 200 | Antigua and Barbuda | 27,000 | 2010 est. |
| 201 | Saint Pierre and Miquelon | 26,600 | 2010 est. |
| 202 | Guinea-Bissau | 26,000 | 2010 est. |
| 203 | Sao Tome and Principe | 14,000 | 2010 est. |
| 204 | Tonga | 12,000 | 2010 est. |
| 205 | Falkland Islands (Islas Malvinas) | 10,000 | 2010 est. |
| 206 | Montserrat | 10,000 | 2010 est. |
| 207 | Cook Islands | 8,090 | 2010 est. |
| 208 | Comoros | 6,000 | 2010 est. |
| 209 | Saint Helena, Ascension, and Tristan da Cunha | 5,000 | 2010 est. |
| 210 | Kiribati | 5,000 | 2010 est. |
| 211 | Nauru | 1,000 | 2010 est. |
| 212 | Niue | 1,000 | 2010 est. |


