CIA - The World Factbook --  ELECTRICITY - INSTALLED GENERATING CAPACITY

Electricity - installed generating capacity is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | Country | (KW) | Date of Information |
| 101 | Panama | 2,396,000 | 2012 est. |
| 102 | Kenya | 2,281,000 | 2015 est. |
| 103 | Lebanon | 2,260,000 | 2012 est. |
| 104 | Latvia | 2,245,000 | 2012 est. |
| 105 | Trinidad and Tobago | 2,104,000 | 2012 est. |
| 106 | Sudan | 2,083,000 | 2012 est. |
| 107 | Zimbabwe | 2,038,000 | 2012 est. |
| 108 | Macedonia | 2,011,000 | 2014 est. |
| 109 | Zambia | 1,888,000 | 2012 est. |
| 110 | Albania | 1,878,000 | 2013 est. |
| 111 | Honduras | 1,877,000 | 2012 est. |
| 112 | Luxembourg | 1,790,000 | 2012 est. |
| 113 | Cyprus | 1,658,000 | 2012 est. |
| 114 | Bolivia | 1,649,000 | 2012 est. |
| 115 | Kosovo | 1,589,000 | 2012 est. |
| 116 | Yemen | 1,535,000 | 2012 est. |
| 117 | Angola | 1,530,000 | 2012 est. |
| 118 | Cote d'Ivoire | 1,522,000 | 2012 est. |
| 119 | El Salvador | 1,507,000 | 2012 est. |
| 120 | Bhutan | 1,499,000 | 2014 est. |
| 121 | Nicaragua | 1,331,000 | 2015 est. |
| 122 | Namibia | 1,087,000 | 2013 est. |
| 123 | Cameroon | 1,009,000 | 2012 est. |
| 124 | Cambodia | 949,000 | 2013 est. |
| 125 | Jamaica | 917,500 | 2012 est. |
| 126 | Montenegro | 885,500 | 2013 est. |
| 127 | Tanzania | 845,000 | 2012 est. |
| 128 | Mongolia | 833,300 | 2012 est. |
| 129 | Mauritius | 778,200 | 2013 est. |
| 130 | Brunei | 777,000 | 2014 est. |
| 131 | Nepal | 763,000 | 2012 est. |
| 132 | Uganda | 711,400 | 2014 est. |
| 133 | Papua New Guinea | 700,000 | 2012 est. |
| 134 | Senegal | 623,000 | 2012 est. |
| 135 | Afghanistan | 621,000 | 2012 est. |
| 136 | Malta | 620,000 | 2014 est. |
| 137 | Guam | 552,000 | 2012 est. |
| 138 | Madagascar | 544,200 | 2012 est. |
| 139 | Andorra | 520,000 | 2010 est. |
| 140 | New Caledonia | 499,200 | 2012 est. |
| 141 | Bahamas, The | 493,000 | 2012 est. |
| 142 | Macau | 472,000 | 2013 est. |
| 143 | Moldova | 439,900 | 2013 est. |
| 144 | Gabon | 415,000 | 2012 est. |
| 145 | Suriname | 412,000 | 2012 est. |
| 146 | Guinea | 398,000 | 2012 est. |
| 147 | Guyana | 376,500 | 2012 est. |
| 148 | Aruba | 320,000 | 2012 est. |
| 149 | Virgin Islands | 316,000 | 2012 est. |
| 150 | Mali | 304,000 | 2012 est. |
| 151 | Malawi | 302,000 | 2012 est. |
| 152 | Mauritania | 293,000 | 2012 est. |
| 153 | Haiti | 267,800 | 2012 est. |
| 154 | Fiji | 259,000 | 2012 est. |
| 155 | South Sudan | 255,200 | 2012 est. |
| 156 | Barbados | 239,000 | 2012 est. |
| 157 | Burkina Faso | 238,000 | 2012 est. |
| 158 | Congo, Republic of the | 238,000 | 2012 est. |
| 159 | French Polynesia | 224,000 | 2012 est. |
| 160 | Belize | 194,100 | 2012 est. |
| 161 | Bermuda | 167,400 | 2014 est. |
| 162 | Equatorial Guinea | 164,000 | 2012 est. |
| 163 | Benin | 163,000 | 2015 est. |
| 164 | Cayman Islands | 150,000 | 2012 est. |
| 165 | Swaziland | 149,000 | 2012 est. |
| 166 | Eritrea | 140,800 | 2012 est. |
| 167 | West Bank | 140,000 | 2012 est. |
| 168 | Niger | 134,000 | 2012 est. |
| 169 | Botswana | 132,000 | 2012 est. |
| 170 | Djibouti | 131,400 | 2012 est. |
| 171 | Cabo Verde | 108,500 | 2012 est. |
| 172 | Faroe Islands | 108,100 | 2012 est. |
| 173 | Greenland | 106,000 | 2012 est. |
| 174 | Sierra Leone | 100,000 | 2015 est. |
| 175 | Rwanda | 99,000 | 2012 est. |
| 176 | Saint Lucia | 89,000 | 2012 est. |
| 177 | Seychelles | 89,000 | 2012 est. |
| 178 | Togo | 83,000 | 2012 est. |
| 179 | Somalia | 80,000 | 2012 est. |
| 180 | Lesotho | 80,000 | 2012 est. |
| 181 | Maldives | 77,000 | 2012 est. |
| 182 | Gambia, The | 62,000 | 2012 est. |
| 183 | Western Sahara | 58,000 | 2012 est. |
| 184 | Burundi | 55,000 | 2012 est. |
| 185 | Antigua and Barbuda | 55,000 | 2012 est. |
| 186 | Grenada | 48,700 | 2012 est. |
| 187 | Turks and Caicos Islands | 48,000 | 2012 est. |
| 188 | Saint Vincent and the Grenadines | 47,000 | 2012 est. |
| 189 | Saint Kitts and Nevis | 46,200 | 2012 est. |
| 190 | American Samoa | 45,000 | 2012 est. |
| 191 | Central African Republic | 44,000 | 2012 est. |
| 192 | British Virgin Islands | 44,000 | 2012 est. |
| 193 | Gibraltar | 43,000 | 2012 est. |
| 194 | Samoa | 42,000 | 2012 est. |
| 195 | Guinea-Bissau | 39,000 | 2015 est. |
| 196 | Solomon Islands | 36,000 | 2012 est. |
| 197 | Dominica | 33,200 | 2012 est. |
| 198 | Chad | 31,000 | 2012 est. |
| 199 | Vanuatu | 28,000 | 2012 est. |
| 200 | Saint Pierre and Miquelon | 26,600 | 2012 est. |
| 201 | Pakistan | 24,380 | FY2014 est. |
| 202 | Liberia | 23,000 | 2012 est. |
| 203 | Comoros | 22,000 | 2012 est. |
| 204 | Micronesia, Federated States of | 18,000 | 2015 est. |
| 205 | Sao Tome and Principe | 16,000 | 2012 est. |
| 206 | Tonga | 14,000 | 2012 est. |
| 207 | Montserrat | 10,000 | 2012 est. |
| 208 | Falkland Islands (Islas Malvinas) | 10,000 | 2012 est. |
| 209 | Cook Islands | 8,040 | 2012 est. |
| 210 | Nauru | 6,000 | 2012 est. |
| 211 | Tuvalu | 5,100 | 2011 |
| 212 | Kiribati | 5,000 | 2012 est. |
| 213 | Saint Helena, Ascension, and Tristan da Cunha | 5,000 | 2012 est. |
| 214 | Niue | 1,000 | 2012 est. |


