CIA - The World Factbook --  Electricity - installed generating capacity   

This entry is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | country | (kW) | Date of Information |
| 43 | Philippines | 15,580,000 | 2009 est. |
| 44 | Chile | 15,520,000 | 2009 est. |
| 45 | Vietnam | 15,190,000 | 2009 est. |
| 46 | Greece | 14,360,000 | 2009 est. |
| 47 | Colombia | 13,540,000 | 2009 est. |
| 48 | Denmark | 13,420,000 | 2009 est. |
| 49 | Hong Kong | 12,620,000 | 2009 est. |
| 50 | Israel | 12,070,000 | 2009 est. |
| 51 | Bulgaria | 12,000,000 | 2010 est. |
| 52 | Uzbekistan | 11,580,000 | 2009 est. |
| 53 | Kuwait | 10,940,000 | 2009 est. |
| 54 | Singapore | 10,470,000 | 2009 est. |
| 55 | Algeria | 10,380,000 | 2009 est. |
| 56 | Iraq | 10,110,000 | 2012 est. |
| 57 | Hungary | 9,900,000 | 2011 est. |
| 58 | Korea, North | 9,500,000 | 2009 est. |
| 59 | New Zealand | 9,482,000 | 2009 est. |
| 60 | Paraguay | 8,816,000 | 2009 est. |
| 61 | Serbia | 8,359,000 | 2009 est. |
| 62 | Syria | 8,200,000 | 2009 est. |
| 63 | Belarus | 8,032,000 | 2009 est. |
| 64 | Peru | 7,982,000 | 2009 est. |
| 65 | Ireland | 7,401,000 | 2009 est. |
| 66 | Slovakia | 7,155,000 | 2009 est. |
| 67 | Libya | 6,766,000 | 2009 est. |
| 68 | Morocco | 6,164,000 | 2009 est. |
| 69 | Nigeria | 5,898,000 | 2009 est. |
| 70 | Bangladesh | 5,819,000 | 2009 est. |
| 71 | Azerbaijan | 5,798,000 | 2009 est. |
| 72 | Cuba | 5,522,000 | 2009 est. |
| 73 | Puerto Rico | 5,515,000 | 2009 est. |
| 74 | Ecuador | 4,939,000 | 2009 est. |
| 75 | Georgia | 4,538,000 | 2009 est. |
| 76 | Tajikistan | 4,426,000 | 2009 est. |
| 77 | Bosnia and Herzegovina | 4,341,000 | 2009 est. |
| 78 | Oman | 4,202,000 | 2009 est. |
| 79 | Croatia | 4,021,000 | 2009 est. |
| 80 | Qatar | 3,893,000 | 2009 est. |
| 81 | Lithuania | 3,820,000 | 2011 est. |
| 82 | Tunisia | 3,648,000 | 2009 est. |
| 83 | Kyrgyzstan | 3,640,000 | 2009 est. |
| 84 | Slovenia | 3,400,000 | 2010 est. |
| 85 | Armenia | 3,173,000 | 2009 est. |
| 86 | Bahrain | 3,168,000 | 2009 est. |
| 87 | Sri Lanka | 3,088,000 | 2010 est. |
| 88 | Dominican Republic | 2,973,000 | 2009 est. |
| 89 | Turkmenistan | 2,852,000 | 2009 est. |
| 90 | Guatemala | 2,673,000 | 2009 est. |
| 91 | Estonia | 2,661,000 | 2009 est. |
| 92 | Jordan | 2,616,000 | 2009 est. |
| 93 | Iceland | 2,571,000 | 2009 est. |
| 94 | Uruguay | 2,516,000 | 2009 est. |
| 95 | Costa Rica | 2,490,000 | 2009 est. |
| 96 | Congo, Democratic Republic of the | 2,475,000 | 2009 est. |
| 97 | Mozambique | 2,428,000 | 2009 est. |
| 98 | Sudan | 2,338,000 | 2009 est. |
| 99 | Lebanon | 2,314,000 | 2009 est. |
| 100 | Latvia | 2,164,000 | 2009 est. |
| 101 | Zimbabwe | 2,005,000 | 2009 est. |
| 102 | Ghana | 1,985,000 | 2009 est. |
| 103 | Burma | 1,860,000 | 2009 est. |
| 104 | Laos | 1,855,000 | 2009 est. |
| 105 | Panama | 1,815,000 | 2009 est. |
| 106 | Kenya | 1,706,000 | 2009 est. |
| 107 | Luxembourg | 1,702,000 | 2009 est. |
| 108 | Honduras | 1,697,000 | 2009 est. |
| 109 | Zambia | 1,679,000 | 2009 est. |
| 110 | Albania | 1,610,000 | 2009 est. |
| 111 | Macedonia | 1,540,000 | 2009 est. |
| 112 | Bolivia | 1,539,000 | 2009 est. |
| 113 | Bhutan | 1,505,000 | 2009 est. |
| 114 | El Salvador | 1,501,000 | 2009 est. |
| 115 | Trinidad and Tobago | 1,429,000 | 2009 est. |
| 116 | Cyprus | 1,392,000 | 2009 est. |
| 117 | Yemen | 1,330,000 | 2009 est. |
| 118 | Cote d'Ivoire | 1,222,000 | 2009 est. |
| 119 | Jamaica | 1,198,000 | 2009 est. |
| 120 | Ethiopia | 1,180,000 | 2009 est. |
| 121 | Angola | 1,155,000 | 2009 est. |
| 122 | Cameroon | 1,115,000 | 2009 est. |
| 123 | Nicaragua | 1,104,000 | 2009 est. |
| 124 | Tanzania | 957,000 | 2009 est. |
| 125 | Mauritius | 885,200 | 2009 est. |
| 126 | Montenegro | 868,000 | 2009 est. |
| 127 | Mongolia | 833,200 | 2009 est. |
| 128 | Brunei | 759,000 | 2009 est. |
| 129 | Nepal | 717,000 | 2009 est. |
| 130 | Papua New Guinea | 700,000 | 2009 est. |
| 131 | Senegal | 638,000 | 2009 est. |
| 132 | Malta | 573,000 | 2010 est. |
| 133 | Guam | 553,000 | 2009 est. |
| 134 | Moldova | 551,000 | 2009 est. |
| 135 | Uganda | 529,000 | 2009 est. |
| 136 | Bahamas, The | 493,000 | 2009 est. |
| 137 | Afghanistan | 489,100 | 2009 est. |
| 138 | Macau | 472,000 | 2009 est. |
| 139 | New Caledonia | 421,000 | 2009 est. |
| 140 | Gabon | 415,000 | 2009 est. |
| 141 | Madagascar | 406,000 | 2009 est. |
| 142 | Namibia | 393,000 | 2009 est. |
| 143 | Guinea | 393,000 | 2009 est. |
| 144 | Cambodia | 390,900 | 2009 est. |
| 145 | Suriname | 389,000 | 2009 est. |
| 146 | Guyana | 343,000 | 2009 est. |
| 147 | Virgin Islands | 323,000 | 2009 est. |
| 148 | Mali | 304,000 | 2009 est. |
| 149 | Malawi | 299,500 | 2009 est. |
| 150 | Aruba | 266,000 | 2009 est. |
| 151 | Mauritania | 253,000 | 2009 est. |
| 152 | Burkina Faso | 252,000 | 2009 est. |
| 153 | Haiti | 240,000 | 2009 est. |
| 154 | Barbados | 239,100 | 2009 est. |
| 155 | Fiji | 219,100 | 2009 est. |
| 156 | Liberia | 197,000 | 2009 est. |
| 157 | Bermuda | 165,000 | 2009 est. |
| 158 | Cayman Islands | 152,600 | 2009 est. |
| 159 | Congo, Republic of the | 148,000 | 2009 est. |
| 160 | Niger | 145,000 | 2009 est. |
| 161 | West Bank | 140,000 | 2009 est. |
| 162 | French Polynesia | 140,000 | 2009 est. |
| 163 | Eritrea | 139,000 | 2009 est. |
| 164 | Greenland | 137,000 | 2009 est. |
| 165 | Botswana | 132,000 | 2009 est. |
| 166 | Swaziland | 130,000 | 2009 est. |
| 167 | Djibouti | 130,000 | 2009 est. |
| 168 | Belize | 102,100 | 2009 est. |
| 169 | Faroe Islands | 100,100 | 2009 est. |
| 170 | Seychelles | 95,000 | 2009 est. |
| 171 | Cape Verde | 89,800 | 2009 est. |
| 172 | Togo | 85,000 | 2009 est. |
| 173 | Somalia | 80,000 | 2009 est. |
| 174 | Saint Lucia | 76,000 | 2009 est. |
| 175 | Lesotho | 76,000 | 2009 est. |
| 176 | Maldives | 62,010 | 2009 est. |
| 177 | Benin | 60,000 | 2009 est. |
| 178 | American Samoa | 60,000 | 2009 est. |
| 179 | Western Sahara | 58,000 | 2009 est. |
| 180 | Rwanda | 56,250 | 2009 est. |
| 181 | Gambia, The | 53,000 | 2009 est. |
| 182 | Burundi | 52,000 | 2009 est. |
| 183 | Sierra Leone | 52,000 | 2009 est. |
| 184 | Turks and Caicos Islands | 50,000 | 2009 est. |
| 185 | Saint Vincent and the Grenadines | 49,000 | 2009 est. |
| 186 | Central African Republic | 46,000 | 2009 est. |
| 187 | Samoa | 41,100 | 2009 est. |
| 188 | Gibraltar | 36,000 | 2009 est. |
| 189 | Grenada | 33,000 | 2009 est. |
| 190 | Equatorial Guinea | 31,000 | 2009 est. |
| 191 | Chad | 31,000 | 2009 est. |
| 192 | Antigua and Barbuda | 27,000 | 2009 est. |
| 193 | Saint Pierre and Miquelon | 27,000 | 2009 est. |
| 194 | Dominica | 22,200 | 2009 est. |
| 195 | Saint Kitts and Nevis | 22,000 | 2009 est. |
| 196 | Guinea-Bissau | 21,000 | 2009 est. |
| 197 | Solomon Islands | 14,000 | 2009 est. |
| 198 | Sao Tome and Principe | 14,000 | 2009 est. |
| 199 | Tonga | 12,000 | 2009 est. |
| 200 | Vanuatu | 12,000 | 2009 est. |
| 201 | Nauru | 11,000 | 2009 est. |
| 202 | British Virgin Islands | 10,000 | 2009 est. |
| 203 | Montserrat | 10,000 | 2009 est. |
| 204 | Falkland Islands (Islas Malvinas) | 10,000 | 2009 est. |
| 205 | Cook Islands | 8,090 | 2009 est. |
| 206 | Comoros | 6,000 | 2009 est. |
| 207 | Kiribati | 6,000 | 2009 est. |
| 208 | Saint Helena, Ascension, and Tristan da Cunha | 4,000 | 2009 est. |
| 209 | Niue | 1,000 | 2009 est. |
