CIA - The World Factbook --  Electricity - installed generating capacity   

This entry is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | country | (kW) | Date of Information |
| 112 | Bolivia | 1,655,000 | 2010 est. |
| 113 | Albania | 1,621,000 | 2010 est. |
| 114 | Trinidad and Tobago | 1,605,000 | 2010 est. |
| 115 | Cyprus | 1,527,000 | 2010 est. |
| 116 | Bhutan | 1,505,000 | 2010 est. |
| 117 | El Salvador | 1,491,000 | 2010 est. |
| 118 | Yemen | 1,334,000 | 2010 est. |
| 119 | Cote d'Ivoire | 1,222,000 | 2010 est. |
| 120 | Jamaica | 1,175,000 | 2010 est. |
| 121 | Angola | 1,155,000 | 2010 est. |
| 122 | Cameroon | 1,115,000 | 2010 est. |
| 123 | Nicaragua | 1,108,000 | 2011 est. |
| 124 | Mauritius | 900,200 | 2010 est. |
| 125 | Montenegro | 868,000 | 2010 est. |
| 126 | Tanzania | 841,000 | 2010 est. |
| 127 | Mongolia | 833,200 | 2010 est. |
| 128 | Brunei | 759,000 | 2010 est. |
| 129 | Nepal | 721,000 | 2010 est. |
| 130 | Papua New Guinea | 700,000 | 2010 est. |
| 131 | Senegal | 638,000 | 2010 est. |
| 132 | Malta | 572,600 | 2010 est. |
| 133 | Congo, Republic of the | 559,000 | 2012 est. |
| 134 | Moldova | 552,000 | 2010 est. |
| 135 | Guam | 552,000 | 2010 est. |
| 136 | Uganda | 539,000 | 2010 est. |
| 137 | Namibia | 508,000 | 2012 est. |
| 138 | New Caledonia | 499,000 | 2010 est. |
| 139 | Bahamas, The | 493,000 | 2010 est. |
| 140 | Afghanistan | 489,100 | 2010 est. |
| 141 | Macau | 472,000 | 2012 est. |
| 142 | Madagascar | 430,000 | 2010 est. |
| 143 | Gabon | 415,000 | 2010 est. |
| 144 | Suriname | 410,000 | 2010 est. |
| 145 | Guinea | 395,000 | 2010 est. |
| 146 | Guyana | 362,500 | 2010 est. |
| 147 | Cambodia | 359,900 | 2010 est. |
| 148 | Virgin Islands | 323,000 | 2010 est. |
| 149 | Mali | 304,000 | 2010 est. |
| 150 | Malawi | 287,000 | 2010 est. |
| 151 | Aruba | 266,000 | 2010 est. |
| 152 | Mauritania | 263,000 | 2010 est. |
| 153 | South Sudan | 255,200 | 2010 est. |
| 154 | Burkina Faso | 252,000 | 2010 est. |
| 155 | Fiji | 245,100 | 2010 est. |
| 156 | Barbados | 239,000 | 2010 est. |
| 157 | Liberia | 197,000 | 2010 est. |
| 158 | French Polynesia | 186,000 | 2010 est. |
| 159 | Belize | 178,100 | 2010 est. |
| 160 | Bermuda | 165,000 | 2011 est. |
| 161 | Cayman Islands | 151,000 | 2010 est. |
| 162 | Swaziland | 149,000 | 2010 est. |
| 163 | Eritrea | 140,800 | 2010 est. |
| 164 | West Bank | 140,000 | 2010 est. |
| 165 | Greenland | 137,000 | 2010 est. |
| 166 | Niger | 134,000 | 2010 est. |
| 167 | Botswana | 132,000 | 2011 est. |
| 168 | Djibouti | 130,000 | 2010 est. |
| 169 | Haiti | 130,000 | 2012 est. |
| 170 | Sierra Leone | 102,000 | 2010 est. |
| 171 | Faroe Islands | 100,100 | 2010 est. |
| 172 | Dominica | 97,000 | 2010 est. |
| 173 | Cabo Verde | 89,800 | 2010 est. |
| 174 | Seychelles | 89,000 | 2010 est. |
| 175 | Togo | 85,000 | 2010 est. |
| 176 | Somalia | 80,000 | 2010 est. |
| 177 | Saint Lucia | 76,000 | 2010 est. |
| 178 | Lesotho | 76,000 | 2010 est. |
| 179 | Maldives | 62,080 | 2010 est. |
| 180 | Gambia, The | 62,000 | 2010 est. |
| 181 | Benin | 61,000 | 2010 est. |
| 182 | American Samoa | 60,000 | 2010 est. |
| 183 | Western Sahara | 58,000 | 2010 est. |
| 184 | Rwanda | 57,250 | 2010 est. |
| 185 | Saint Kitts and Nevis | 55,000 | 2010 est. |
| 186 | Burundi | 52,000 | 2010 est. |
| 187 | Turks and Caicos Islands | 50,000 | 2010 est. |
| 188 | Grenada | 49,700 | 2010 est. |
| 189 | Saint Vincent and the Grenadines | 47,000 | 2010 est. |
| 190 | Central African Republic | 44,000 | 2010 est. |
| 191 | British Virgin Islands | 44,000 | 2010 est. |
| 192 | Gibraltar | 43,000 | 2010 est. |
| 193 | Samoa | 41,100 | 2010 est. |
| 194 | Equatorial Guinea | 38,000 | 2010 est. |
| 195 | Solomon Islands | 36,000 | 2010 est. |
| 196 | Chad | 31,000 | 2010 est. |
| 197 | Vanuatu | 28,000 | 2010 est. |
| 198 | Antigua and Barbuda | 27,000 | 2010 est. |
| 199 | Saint Pierre and Miquelon | 26,600 | 2010 est. |
| 200 | Guinea-Bissau | 26,000 | 2010 est. |
| 201 | Sao Tome and Principe | 14,000 | 2010 est. |
| 202 | Tonga | 12,000 | 2010 est. |
| 203 | Falkland Islands (Islas Malvinas) | 10,000 | 2010 est. |
| 204 | Montserrat | 10,000 | 2010 est. |
| 205 | Cook Islands | 8,090 | 2010 est. |
| 206 | Comoros | 6,000 | 2010 est. |
| 207 | Saint Helena, Ascension, and Tristan da Cunha | 5,000 | 2010 est. |
| 208 | Kiribati | 5,000 | 2010 est. |
| 209 | Nauru | 1,000 | 2010 est. |
| 210 | Niue | 1,000 | 2010 est. |


