CIA - The World Factbook --  ELECTRICITY - INSTALLED GENERATING CAPACITY

Electricity - installed generating capacity is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | Country | (KW) | Date of Information |
| 101 | Lebanon | 2,313,000 | 2011 est. |
| 102 | Latvia | 2,226,000 | 2011 est. |
| 103 | Ethiopia | 2,127,000 | 2011 est. |
| 104 | Trinidad and Tobago | 2,104,000 | 2011 est. |
| 105 | Sudan | 2,083,000 | 2010 est. |
| 106 | Macedonia | 2,011,000 | 2014 est. |
| 107 | Zimbabwe | 1,966,000 | 2011 est. |
| 108 | Albania | 1,878,000 | 2013 est. |
| 109 | Zambia | 1,819,000 | 2011 est. |
| 110 | Kenya | 1,816,000 | 2011 est. |
| 111 | Honduras | 1,815,000 | 2011 est. |
| 112 | Luxembourg | 1,740,000 | 2011 est. |
| 113 | Angola | 1,657,000 | 2011 est. |
| 114 | Yemen | 1,533,000 | 2011 est. |
| 115 | Kosovo | 1,526,000 | 2012 est. |
| 116 | Cote d'Ivoire | 1,522,000 | 2011 est. |
| 117 | El Salvador | 1,507,000 | 2011 est. |
| 118 | Bhutan | 1,499,000 | 2013 est. |
| 119 | Bolivia | 1,365,000 | 2012 est. |
| 120 | Nicaragua | 1,275,000 | 2013 est. |
| 121 | Cyprus | 1,110,000 | 2011 est. |
| 122 | Namibia | 1,087,000 | 2013 est. |
| 123 | Cameroon | 1,007,000 | 2011 est. |
| 124 | Cambodia | 949,000 | 2013 est. |
| 125 | Jamaica | 922,700 | 2011 est. |
| 126 | Montenegro | 885,500 | 2013 est. |
| 127 | Tanzania | 845,000 | 2011 est. |
| 128 | Mongolia | 833,200 | 2011 est. |
| 129 | Mauritius | 778,200 | 2013 est. |
| 130 | Brunei | 759,000 | 2011 est. |
| 131 | Nepal | 746,000 | 2011 est. |
| 132 | Uganda | 711,400 | 2014 est. |
| 133 | Papua New Guinea | 700,000 | 2011 est. |
| 134 | Rwanda | 684,000 | 2011 est. |
| 135 | Malta | 653,200 | 2014 est. |
| 136 | Senegal | 623,000 | 2011 est. |
| 137 | Congo, Republic of the | 559,000 | 2012 est. |
| 138 | Guam | 552,000 | 2011 est. |
| 139 | Andorra | 520,000 | 2010 est. |
| 140 | Madagascar | 512,200 | 2011 est. |
| 141 | New Caledonia | 499,000 | 2011 est. |
| 142 | Bahamas, The | 493,000 | 2011 est. |
| 143 | Afghanistan | 489,100 | 2011 est. |
| 144 | Macau | 472,000 | 2013 est. |
| 145 | Moldova | 439,900 | 2013 est. |
| 146 | Gabon | 415,000 | 2011 est. |
| 147 | Suriname | 412,000 | 2011 est. |
| 148 | Guinea | 398,000 | 2011 est. |
| 149 | Guyana | 363,500 | 2011 est. |
| 150 | Virgin Islands | 323,000 | 2011 est. |
| 151 | Aruba | 320,000 | 2011 est. |
| 152 | Mali | 304,000 | 2011 est. |
| 153 | Malawi | 301,000 | 2011 est. |
| 154 | Mauritania | 293,000 | 2011 est. |
| 155 | South Sudan | 255,200 | 2010 est. |
| 156 | Fiji | 245,100 | 2011 est. |
| 157 | Barbados | 239,000 | 2011 est. |
| 158 | Burkina Faso | 238,000 | 2011 est. |
| 159 | French Polynesia | 224,000 | 2011 est. |
| 160 | Liberia | 197,000 | 2011 est. |
| 161 | Belize | 186,600 | 2011 est. |
| 162 | Benin | 171,000 | 2011 est. |
| 163 | Bermuda | 167,400 | 2014 est. |
| 164 | Cayman Islands | 151,200 | 2011 est. |
| 165 | Swaziland | 149,000 | 2011 est. |
| 166 | Eritrea | 140,800 | 2011 est. |
| 167 | West Bank | 140,000 | 2011 est. |
| 168 | Niger | 134,000 | 2011 est. |
| 169 | Botswana | 132,000 | 2011 est. |
| 170 | Haiti | 130,000 | 2012 est. |
| 171 | Djibouti | 130,000 | 2011 est. |
| 172 | Cabo Verde | 121,300 | 2011 est. |
| 173 | Greenland | 106,000 | 2011 est. |
| 174 | Faroe Islands | 100,100 | 2011 est. |
| 175 | Dominica | 98,000 | 2011 est. |
| 176 | Seychelles | 89,000 | 2011 est. |
| 177 | Togo | 83,000 | 2011 est. |
| 178 | Sierra Leone | 81,000 | 2011 est. |
| 179 | Lesotho | 80,000 | 2011 est. |
| 180 | Somalia | 80,000 | 2011 est. |
| 181 | Maldives | 77,080 | 2011 est. |
| 182 | Saint Lucia | 76,000 | 2011 est. |
| 183 | Gambia, The | 62,000 | 2011 est. |
| 184 | Western Sahara | 58,000 | 2011 est. |
| 185 | Antigua and Barbuda | 55,000 | 2011 est. |
| 186 | Burundi | 52,000 | 2011 est. |
| 187 | Grenada | 50,700 | 2011 est. |
| 188 | Turks and Caicos Islands | 48,000 | 2011 est. |
| 189 | Saint Vincent and the Grenadines | 47,000 | 2011 est. |
| 190 | Saint Kitts and Nevis | 46,200 | 2011 est. |
| 191 | American Samoa | 45,000 | 2011 est. |
| 192 | Central African Republic | 44,000 | 2011 est. |
| 193 | British Virgin Islands | 44,000 | 2011 est. |
| 194 | Gibraltar | 43,000 | 2011 est. |
| 195 | Samoa | 42,100 | 2011 est. |
| 196 | Equatorial Guinea | 41,000 | 2011 est. |
| 197 | Solomon Islands | 36,000 | 2011 est. |
| 198 | Chad | 31,000 | 2011 est. |
| 199 | Vanuatu | 28,000 | 2011 est. |
| 200 | Saint Pierre and Miquelon | 26,600 | 2011 est. |
| 201 | Guinea-Bissau | 26,000 | 2011 est. |
| 202 | Comoros | 22,000 | 2011 est. |
| 203 | Micronesia, Federated States of | 18,000 | 2015 est. |
| 204 | Sao Tome and Principe | 16,000 | 2011 est. |
| 205 | Tonga | 15,300 | 2011 est. |
| 206 | Montserrat | 10,000 | 2011 est. |
| 207 | Falkland Islands (Islas Malvinas) | 10,000 | 2011 est. |
| 208 | Cook Islands | 8,090 | 2011 est. |
| 209 | Nauru | 6,040 | FY10/11 est. |
| 210 | Tuvalu | 5,100 | 2011 |
| 211 | Kiribati | 5,000 | 2011 est. |
| 212 | Saint Helena, Ascension, and Tristan da Cunha | 5,000 | 2011 est. |
| 213 | Niue | 1,000 | 2011 est. |


