CIA - The World Factbook --  CARBON DIOXIDE EMISSIONS FROM CONSUMPTION OF ENERGY

| Rank | Country | (MT) | Date of Information |
| 136 | Namibia | 3,716,000 | 2012 est. |
| 137 | Nepal | 3,638,000 | 2012 est. |
| 138 | Iceland | 3,505,000 | 2012 est. |
| 139 | Papua New Guinea | 3,385,000 | 2012 est. |
| 140 | New Caledonia | 3,071,000 | 2012 est. |
| 141 | Zambia | 3,054,000 | 2012 est. |
| 142 | West Bank | 3,008,000 | 2012 est. |
| 143 | Madagascar | 2,886,000 | 2012 est. |
| 144 | Tajikistan | 2,618,000 | 2013 est. |
| 145 | Uganda | 2,548,000 | 2012 est. |
| 146 | Congo, Democratic Republic of the | 2,481,000 | 2012 est. |
| 147 | Mauritania | 2,408,000 | 2012 est. |
| 148 | Suriname | 2,268,000 | 2012 est. |
| 149 | Haiti | 2,094,000 | 2012 est. |
| 150 | South Sudan | 2,016,000 | 2011 est. |
| 151 | Malawi | 1,910,000 | 2012 est. |
| 152 | Djibouti | 1,796,000 | 2012 est. |
| 153 | Guam | 1,775,000 | 2012 est. |
| 154 | Malta | 1,697,000 | 2013 est. |
| 155 | Macau | 1,694,000 | 2012 est. |
| 156 | Guyana | 1,661,000 | 2012 est. |
| 157 | Togo | 1,630,000 | 2012 est. |
| 158 | Laos | 1,623,000 | 2012 est. |
| 159 | Fiji | 1,543,000 | 2012 est. |
| 160 | Niger | 1,411,000 | 2012 est. |
| 161 | Burkina Faso | 1,406,000 | 2012 est. |
| 162 | Guinea | 1,388,000 | 2012 est. |
| 163 | Barbados | 1,312,000 | 2012 est. |
| 164 | Sierra Leone | 1,311,000 | 2012 est. |
| 165 | Seychelles | 1,304,000 | 2012 est. |
| 166 | Maldives | 1,123,000 | 2012 est. |
| 167 | French Polynesia | 1,071,000 | 2012 est. |
| 168 | Swaziland | 936,900 | 2012 est. |
| 169 | Aruba | 876,400 | 2012 est. |
| 170 | Somalia | 855,800 | 2012 est. |
| 171 | Mali | 773,900 | 2012 est. |
| 172 | Rwanda | 769,300 | 2012 est. |
| 173 | Faroe Islands | 753,400 | 2012 est. |
| 174 | Eritrea | 739,500 | 2012 est. |
| 175 | Belize | 675,200 | 2012 est. |
| 176 | Bermuda | 614,200 | 2012 est. |
| 177 | American Samoa | 607,000 | 2012 est. |
| 178 | Greenland | 604,900 | 2012 est. |
| 179 | Antigua and Barbuda | 586,400 | 2012 est. |
| 180 | Liberia | 541,600 | 2012 est. |
| 181 | Timor-Leste | 496,300 | 2012 est. |
| 182 | Cayman Islands | 473,000 | 2012 est. |
| 183 | Gambia, The | 472,200 | 2012 est. |
| 184 | Guinea-Bissau | 460,100 | 2012 est. |
| 185 | Central African Republic | 435,000 | 2012 est. |
| 186 | Grenada | 431,300 | 2012 est. |
| 187 | Saint Lucia | 415,700 | 2012 est. |
| 188 | Cabo Verde | 385,700 | 2012 est. |
| 189 | Bhutan | 320,800 | 2012 est. |
| 190 | Western Sahara | 316,100 | 2012 est. |
| 191 | Burundi | 315,100 | 2012 est. |
| 192 | Lesotho | 270,100 | 2012 est. |
| 193 | Saint Vincent and the Grenadines | 268,900 | 2012 est. |
| 194 | Solomon Islands | 266,000 | 2012 est. |
| 195 | Chad | 264,300 | 2012 est. |
| 196 | Saint Kitts and Nevis | 250,700 | 2012 est. |
| 197 | Tonga | 188,800 | 2012 est. |
| 198 | Nauru | 168,700 | 2012 est. |
| 199 | Vanuatu | 166,100 | 2012 est. |
| 200 | Samoa | 161,000 | 2012 est. |
| 201 | British Virgin Islands | 160,100 | 2012 est. |
| 202 | Turks and Caicos Islands | 159,400 | 2012 est. |
| 203 | Comoros | 157,400 | 2012 est. |
| 204 | Saint Pierre and Miquelon | 151,100 | 2012 est. |
| 205 | Cook Islands | 150,300 | 2012 est. |
| 206 | Sao Tome and Principe | 137,800 | 2012 est. |
| 207 | Dominica | 132,100 | 2012 est. |
| 208 | Montserrat | 88,010 | 2012 est. |
| 209 | Kiribati | 58,450 | 2012 est. |
| 210 | Falkland Islands (Islas Malvinas) | 45,570 | 2012 est. |
| 211 | Saint Helena, Ascension, and Tristan da Cunha | 12,080 | 2012 est. |
| 212 | Niue | 3,520 | 2012 est. |
| 213 | Micronesia, Federated States of | 105 | 2010 est. |


