CIA - The World Factbook --  Labor force   

This entry contains the total labor force figure.

| Rank | country | Labor force | Date of Information |
| 96 | Austria | 3,630,000 | 2010 est. |
| 97 | Somalia | 3,447,000 | 2007 |
| 98 | Honduras | 3,394,000 | 2010 est. |
| 99 | Serbia | 3,250,000 | 2010 est. |
| 100 | Mali | 3,241,000 | 2007 est. |
| 101 | Singapore | 3,090,000 | 2010 est. |
| 102 | Israel | 3,080,000 | 2010 est. |
| 103 | Paraguay | 3,038,000 | 2010 est. |
| 104 | El Salvador | 2,940,000 | 2010 est. |
| 105 | Denmark | 2,820,000 | 2010 est. |
| 106 | Finland | 2,680,000 | 2010 est. |
| 107 | Slovakia | 2,673,000 | 2010 est. |
| 108 | Bulgaria | 2,610,000 | 2010 est. |
| 109 | Togo | 2,595,000 | 2007 |
| 110 | Norway | 2,590,000 | 2010 est. |
| 111 | Kyrgyzstan | 2,344,000 | 2007 |
| 112 | Nicaragua | 2,343,000 | 2010 est. |
| 113 | New Zealand | 2,320,000 | 2010 est. |
| 114 | Turkmenistan | 2,300,000 | 2008 est. |
| 115 | Sierra Leone | 2,207,000 | 2007 est. |
| 116 | Ireland | 2,180,000 | 2010 est. |
| 117 | Costa Rica | 2,170,000 | 2010 est. |
| 118 | Kuwait | 2,154,000 | 2010 est. |
| 119 | Tajikistan | 2,100,000 | 2009 |
| 120 | Eritrea | 1,935,000 | 2007 |
| 121 | Central African Republic | 1,926,000 | 2007 |
| 122 | Georgia | 1,918,000 | 2007 est. |
| 123 | Bosnia and Herzegovina | 1,863,000 | 2007 |
| 124 | Croatia | 1,762,000 | 2010 est. |
| 125 | Libya | 1,729,000 | 2010 est. |
| 126 | Jordan | 1,719,000 | 2010 est. |
| 127 | Uruguay | 1,637,000 | 2010 est. |
| 128 | Lithuania | 1,633,000 | 2010 est. |
| 129 | Congo, Republic of the | 1,514,000 | 2007 |
| 130 | Panama | 1,490,000 | 2010 est. |
| 131 | Armenia | 1,481,000 | 2007 est. |
| 132 | Lebanon | 1,481,000 | 2007 est. |
| 133 | Puerto Rico | 1,479,000 | 2007 |
| 134 | Liberia | 1,372,000 | 2007 |
| 135 | Mauritania | 1,318,000 | 2007 |
| 136 | Jamaica | 1,317,000 | 2010 est. |
| 137 | Qatar | 1,254,000 | 2010 est. |
| 138 | Moldova | 1,203,000 | 2010 est. |
| 139 | Latvia | 1,178,000 | 2010 est. |
| 140 | Albania | 1,100,000 | 2009 est. |
| 141 | Mongolia | 1,068,000 | 2008 |
| 142 | Oman | 968,800 | 2007 |
| 143 | Macedonia | 942,000 | 2010 est. |
| 144 | Slovenia | 930,000 | 2010 est. |
| 145 | Lesotho | 854,600 | 2007 est. |
| 146 | Gambia, The | 777,100 | 2007 |
| 147 | Namibia | 729,000 | 2010 est. |
| 148 | Gabon | 712,000 | 2010 est. |
| 149 | West Bank | 694,000 | 2009 |
| 150 | Estonia | 688,000 | 2010 est. |
| 151 | Botswana | 685,300 | 2007 |
| 152 | Guinea-Bissau | 632,700 | 2007 |
| 153 | Trinidad and Tobago | 631,000 | 2010 est. |
| 154 | Bahrain | 611,000 | 2010 est. |
| 155 | Mauritius | 597,000 | 2010 est. |
| 156 | Swaziland | 457,900 | 2007 |
| 157 | Timor-Leste | 414,200 | 2007 |
| 158 | Cyprus | 400,000 | 2010 est. |
| 159 | Djibouti | 351,700 | 2007 |
| 160 | Gaza Strip | 339,000 | 2009 |
| 161 | Fiji | 335,000 | 2007 est. |
| 162 | Guyana | 333,900 | 2007 est. |
| 163 | Macau | 322,000 | 2009 est. |
| 164 | Bhutan | 299,900 | 2008 |
| 165 | Comoros | 268,500 | 2007 est. |
| 166 | Montenegro | 259,100 | 2004 |
| 167 | Luxembourg | 206,000 | 2010 est. |
| 168 | Solomon Islands | 202,500 | 2007 |
| 169 | Cape Verde | 196,100 | 2007 |
| 170 | Equatorial Guinea | 195,200 | 2007 |
| 171 | Brunei | 188,800 | 2008 est. |
| 172 | Iceland | 188,000 | 2010 est. |
| 173 | Bahamas, The | 184,000 | 2009 |
| 174 | Barbados | 175,000 | 2007 est. |
| 175 | Malta | 174,000 | 2009 est. |
| 176 | Suriname | 165,600 | 2007 |
| 177 | Maldives | 144,000 | 2009 |
| 178 | Western Sahara | 144,000 | 2005 est. |
| 179 | Belize | 120,500 | 2008 est. |
| 180 | French Polynesia | 116,000 | 2007 |
| 181 | Vanuatu | 115,900 | 2007 |
| 182 | New Caledonia | 102,600 | 2007 |
| 183 | Saint Lucia | 79,700 | 2007 |
| 184 | Samoa | 66,270 | 2007 est. |
| 185 | Curacao | 63,000 | NA |
| 186 | Saint Vincent and the Grenadines | 57,520 | 2007 est. |
| 187 | Jersey | 53,560 | June 2006 |
| 188 | Sao Tome and Principe | 52,490 | 2007 |
| 189 | Virgin Islands | 49,820 | 2007 est. |
| 190 | Mayotte | 44,560 | 2002 |
| 191 | Monaco | 44,000 | 2005 est. |
| 192 | Grenada | 42,300 | 1996 |
| 193 | Andorra | 42,220 | 2008 |
| 194 | Aruba | 41,500 | 2004 est. |
| 195 | Tonga | 39,960 | 2007 |
| 196 | Isle of Man | 39,690 | 2001 |
| 197 | Seychelles | 39,560 | 2006 |
| 198 | Cayman Islands | 39,000 | 2007 |
| 199 | Northern Mariana Islands | 38,450 | 2005 est. |
| 200 | Bermuda | 38,360 | 2004 |
| 201 | Faroe Islands | 34,680 | November 2008 |
| 202 | Liechtenstein | 32,440 | 2008 |
| 203 | Guernsey | 31,470 | March 2006 |
| 204 | Antigua and Barbuda | 30,000 | 1991 |
| 205 | Greenland | 28,240 | January 2009 |
| 206 | Dominica | 25,000 | 2000 est. |
| 207 | Sint Maarten | 23,200 | 2008 est. |
| 208 | San Marino | 22,660 | 2008 |
| 209 | Saint Kitts and Nevis | 18,170 | June 1995 |
| 210 | American Samoa | 17,630 | 2005 |
| 211 | Micronesia, Federated States of | 16,360 | 2008 |
| 212 | Marshall Islands | 14,680 | 2000 |
| 213 | British Virgin Islands | 12,770 | 2004 |
| 214 | Gibraltar | 12,690 | 2001 |
| 215 | Palau | 9,777 | 2005 |
| 216 | Kiribati | 7,870 | 2001 est. |
| 217 | Cook Islands | 6,820 | 2001 |
| 218 | Anguilla | 6,049 | 2001 |
| 219 | Turks and Caicos Islands | 4,848 | 1990 est. |
| 220 | Tuvalu | 3,615 | 2004 est. |
| 221 | Saint Pierre and Miquelon | 3,450 | 2005 |
| 222 | Wallis and Futuna | 3,104 | 2003 |
| 223 | Saint Helena, Ascension, and Tristan da Cunha | 2,486 | 1998 est. |
| 224 | Falkland Islands (Islas Malvinas) | 1,724 | 1996 |
| 225 | Svalbard | 1,234 | 2003 |
| 226 | Norfolk Island | 978 | 2006 |
| 227 | Niue | 663 | 2001 |
| 228 | Tokelau | 440 | 2001 |
| 229 | Pitcairn Islands | 15 | 2004 |
