CIA - The World Factbook --  LABOR FORCE

Labor force compares the total labor force figure.

| Rank | Country | LABOR FORCE | Date of Information |
| 65 | Yemen | 7,324,000 | 2015 est. |
| 66 | Zambia | 6,895,000 | 2015 est. |
| 67 | Senegal | 6,521,000 | 2015 est. |
| 68 | Niger | 6,300,000 | 2015 est. |
| 69 | Mali | 6,096,000 | 2015 est. |
| 70 | Rwanda | 5,852,000 | 2015 est. |
| 71 | Malawi | 5,747,000 | 2007 est. |
| 72 | Czechia | 5,517,000 | 2015 est. |
| 73 | Chad | 5,268,000 | 2015 est. |
| 74 | Belgium | 5,247,000 | 2015 est. |
| 75 | Sweden | 5,224,000 | 2015 est. |
| 76 | Guinea | 5,199,000 | 2015 est. |
| 77 | Portugal | 5,195,000 | 2015 est. |
| 78 | Burundi | 5,119,000 | 2015 est. |
| 79 | Cuba | 5,111,000 | 2015 est. |
| 80 | Switzerland | 5,105,000 | 2015 est. |
| 81 | United Arab Emirates | 5,087,000 | 2015 est. |
| 82 | Dominican Republic | 5,012,000 | 2015 est. |
| 83 | Bolivia | 4,915,000 | 2015 est. |
| 84 | Azerbaijan | 4,899,000 | 2015 est. |
| 85 | Ecuador | 4,873,000 | 2015 est. |
| 86 | Greece | 4,791,000 | 2015 est. |
| 87 | Haiti | 4,594,000 | 2014 est. |
| 88 | Belarus | 4,546,000 | 2013 est. |
| 89 | Guatemala | 4,528,000 | 2015 est. |
| 90 | Hungary | 4,519,000 | 2015 est. |
| 91 | Papua New Guinea | 4,267,000 | 2015 est. |
| 92 | Tunisia | 4,014,000 | 2015 est. |
| 93 | Hong Kong | 3,926,000 | 2015 est. |
| 94 | Austria | 3,889,000 | 2015 est. |
| 95 | Israel | 3,846,000 | 2015 est. |
| 96 | Benin | 3,662,000 | 2007 est. |
| 97 | Singapore | 3,611,000 | 2015 est. |
| 98 | Syria | 3,577,000 | 2015 est. |
| 99 | Honduras | 3,573,000 | 2015 est. |
| 100 | Laos | 3,438,000 | 2015 est. |
| 101 | Paraguay | 3,247,000 | 2015 est. |
| 102 | Somalia | 3,109,000 | 2013 est. |
| 103 | Nicaragua | 2,980,000 | 2015 est. |
| 104 | Serbia | 2,900,000 | 2015 est. |
| 105 | Denmark | 2,801,000 | 2015 est. |
| 106 | El Salvador | 2,774,000 | 2015 est. |
| 107 | Norway | 2,772,000 | 2015 est. |
| 108 | Kyrgyzstan | 2,732,000 | 2015 est. |
| 109 | Slovakia | 2,719,000 | 2015 est. |
| 110 | Finland | 2,689,000 | 2015 est. |
| 111 | Togo | 2,595,000 | 2007 est. |
| 112 | Sierra Leone | 2,560,000 | 2015 est. |
| 113 | Bulgaria | 2,552,000 | 2015 est. |
| 114 | Eritrea | 2,542,000 | 2015 est. |
| 115 | New Zealand | 2,501,000 | 2015 est. |
| 116 | Kuwait | 2,473,000 | 2015 est. |
| 117 | Central African Republic | 2,358,000 | 2015 est. |
| 118 | Turkmenistan | 2,305,000 | 2013 est. |
| 119 | Costa Rica | 2,268,000 | 2015 est. |
| 120 | Tajikistan | 2,209,000 | 2013 est. |
| 121 | Ireland | 2,171,000 | 2015 est. |
| 122 | Jordan | 2,055,000 | 2015 est. |
| 123 | Georgia | 1,959,000 | 2011 est. |
| 124 | Congo, Republic of the | 1,807,000 | 2013 est. |
| 125 | Uruguay | 1,725,000 | 2015 est. |
| 126 | Croatia | 1,677,000 | 2015 est. |
| 127 | Qatar | 1,644,000 | 2015 est. |
| 128 | Lebanon | 1,628,000 | 2013 est. |
| 129 | Liberia | 1,604,000 | 2015 est. |
| 130 | Panama | 1,587,000 | 2015 est. |
| 131 | Armenia | 1,560,000 | 2015 est. |
| 132 | Bosnia and Herzegovina | 1,470,000 | 2015 est. |
| 133 | Lithuania | 1,469,000 | 2015 est. |
| 134 | Mauritania | 1,318,000 | 2015 est. |
| 135 | Jamaica | 1,309,000 | 2015 est. |
| 136 | Moldova | 1,228,000 | 2015 est. |
| 137 | Libya | 1,193,000 | 2015 est. |
| 138 | Namibia | 1,188,000 | 2015 est. |
| 139 | Mongolia | 1,164,000 | 2015 est. |
| 140 | Botswana | 1,155,000 | 2015 est. |
| 141 | Puerto Rico | 1,139,000 | December 2014 est. |
| 142 | Albania | 1,122,000 | 2015 est. |
| 143 | Gaza Strip | 1,106,000 | 2015 est. |
| 144 | Latvia | 973,700 | 2015 est. |
| 145 | Oman | 968,800 | 2007 est. |
| 146 | Macedonia | 954,900 | 2015 est. |
| 147 | Slovenia | 917,400 | 2015 est. |
| 148 | Lesotho | 905,600 | 2015 est. |
| 149 | West Bank | 828,000 | 2015 est. |
| 150 | Bahrain | 786,100 | 2015 est. |
| 151 | Gambia, The | 777,100 | 2007 est. |
| 152 | Guinea-Bissau | 731,300 | 2013 est. |
| 153 | Estonia | 683,200 | 2015 est. |
| 154 | Gabon | 660,900 | 2015 est. |
| 155 | Trinidad and Tobago | 649,100 | 2015 est. |
| 156 | Mauritius | 614,300 | 2015 est. |
| 157 | Kosovo | 483,200 | 2013 est. |
| 158 | Swaziland | 446,100 | 2013 est. |
| 159 | Cyprus | 424,400 | 2015 est. |
| 160 | Macau | 403,500 | 2015 est. |
| 161 | Bhutan | 348,800 | 2015 est. |
| 162 | Guyana | 313,800 | 2013 est. |
| 163 | Djibouti | 294,600 | 2012 |
| 164 | Montenegro | 263,200 | 2014 est. |
| 165 | Luxembourg | 260,700 | 2015 est. |
| 166 | Timor-Leste | 259,800 | 2013 est. |
| 167 | Comoros | 245,200 | 2013 est. |
| 168 | Brunei | 203,600 | 2014 est. |
| 169 | Solomon Islands | 202,500 | 2007 est. |
| 170 | Bahamas, The | 196,900 | 2013 est. |
| 171 | Malta | 196,600 | 2015 est. |
| 172 | Cabo Verde | 196,100 | 2007 est. |
| 173 | Equatorial Guinea | 195,200 | 2007 est. |
| 174 | Maldives | 195,100 | 2014 |
| 175 | Iceland | 191,400 | 2015 est. |
| 176 | Suriname | 165,600 | 2007 est. |
| 177 | Western Sahara | 144,000 | 2010 est. |
| 178 | Barbados | 142,000 | 2015 est. |
| 179 | Belize | 120,500 | 2008 est. |
| 180 | Vanuatu | 115,900 | 2007 est. |
| 181 | French Polynesia | 114,300 | 2012 est. |
| 182 | New Caledonia | 106,400 | 2010 est. |
| 183 | Saint Lucia | 79,700 | 2012 est. |
| 184 | Curacao | 73,010 | 2013 |
| 185 | Guam | 70,490 | 2013 est. |
| 186 | Sao Tome and Principe | 68,640 | 2015 est. |
| 187 | Grenada | 59,900 | 2013 est. |
| 188 | Saint Vincent and the Grenadines | 57,520 | 2007 est. |
| 189 | Jersey | 53,380 | June 2012 |
| 190 | Monaco | 52,000 | 2014 est. |
| 191 | Aruba | 51,610 | 2007 est. |
| 192 | Virgin Islands | 50,580 | 2012 est. |
| 193 | Samoa | 49,180 | 2013 est. |
| 194 | Isle of Man | 41,790 | 2006 |
| 195 | Seychelles | 39,560 | 2006 est. |
| 196 | Kiribati | 39,000 | 2010 est. |
| 197 | Cayman Islands | 39,000 | 2007 est. |
| 198 | Micronesia, Federated States of | 37,920 | 2010 est. |
| 199 | Andorra | 36,060 | 2012 |
| 200 | Liechtenstein | 35,830 | 2012 est. |
| 201 | Tonga | 33,800 | 2011 est. |
| 202 | Bermuda | 33,490 | 2014 est. |
| 203 | Guernsey | 31,470 | March 2006 |
| 204 | Antigua and Barbuda | 30,000 | 1991 |
| 205 | Northern Mariana Islands | 27,970 | 2010 est. |
| 206 | Greenland | 26,990 | 2012 est. |
| 207 | Dominica | 25,000 | 2000 est. |
| 208 | Faroe Islands | 25,000 | 2015 est. |
| 209 | Sint Maarten | 23,200 | 2008 est. |
| 210 | Gibraltar | 22,910 | 2013 est. |
| 211 | San Marino | 21,960 | September 2013 est. |
| 212 | Saint Kitts and Nevis | 18,170 | June 1995 est. |
| 213 | Saint Martin | 17,300 | |
| 214 | American Samoa | 16,090 | 2013 |
| 215 | British Virgin Islands | 12,770 | 2004 |
| 216 | Marshall Islands | 10,670 | 2013 est. |
| 217 | Palau | 10,470 | 2014 |
| 218 | Cook Islands | 6,820 | 2001 |
| 219 | Anguilla | 6,049 | 2001 |
| 220 | Turks and Caicos Islands | 4,848 | 1990 est. |
| 221 | Montserrat | 4,521 | 2012 |
| 222 | Tuvalu | 3,615 | 2004 est. |
| 223 | Saint Pierre and Miquelon | 3,194 | 2006 |
| 224 | Wallis and Futuna | 3,104 | 2003 |
| 225 | Holy See (Vatican City) | 2,885 | December 2011 |
| 226 | Saint Helena, Ascension, and Tristan da Cunha | 2,486 | 1998 est. |
| 227 | Falkland Islands (Islas Malvinas) | 1,944 | 2012 est. |
| 228 | Svalbard | 1,590 | 2013 |
| 229 | Norfolk Island | 978 | 2006 |
| 230 | Niue | 663 | 2001 |
| 231 | Tokelau | 440 | 2001 |
| 232 | Fiji | 348 | 2015 est. |
| 233 | Pitcairn Islands | 15 | 2004 |


