CIA - The World Factbook --  LABOR FORCE

Labor force compares the total labor force figure.

| Rank | Country | LABOR FORCE | Date of Information |
| 40 | Malaysia | 14,700,000 | 2016 est. |
| 41 | Venezuela | 14,160,000 | April, 2016 est. |
| 42 | Korea, North | 14,000,000 | 2014 est. |
| 43 | Australia | 12,740,000 | 2016 est. |
| 44 | Madagascar | 12,610,000 | 2016 est. |
| 45 | Mozambique | 12,500,000 | 2016 est. |
| 46 | Ghana | 12,130,000 | 2016 est. |
| 47 | Algeria | 12,120,000 | 2016 est. |
| 48 | Angola | 12,100,000 | 2016 est. |
| 49 | Saudi Arabia | 12,020,000 | 2016 est. |
| 50 | Sudan | 11,920,000 | 2007 est. |
| 51 | Morocco | 11,750,000 | 2016 est. |
| 52 | Taiwan | 11,730,000 | 2016 est. |
| 53 | Cameroon | 9,659,000 | 2016 est. |
| 54 | Kazakhstan | 8,999,000 | 2016 est. |
| 55 | Romania | 8,979,000 | 2016 est. |
| 56 | Iraq | 8,900,000 | 2010 est. |
| 57 | Sri Lanka | 8,805,000 | 2016 est. |
| 58 | Chile | 8,762,000 | 2016 est. |
| 59 | Cote d'Ivoire | 8,542,000 | 2016 est. |
| 60 | Burkina Faso | 8,501,000 | 2014 est. |
| 61 | Afghanistan | 7,983,000 | 2013 est. |
| 62 | Netherlands | 7,936,000 | 2016 est. |
| 63 | Ecuador | 7,874,000 | 2016 est. |
| 64 | Cambodia | 7,777,000 | 2016 est. |
| 65 | Zimbabwe | 7,701,000 | 2016 est. |
| 66 | Yemen | 7,418,000 | 2016 est. |
| 67 | Malawi | 7,000,000 | 2013 est. |
| 68 | Senegal | 6,737,000 | 2016 est. |
| 69 | Zambia | 6,690,000 | 2016 est. |
| 70 | Niger | 6,614,000 | 2016 est. |
| 71 | Guatemala | 6,530,000 | 2016 est. |
| 72 | Mali | 6,272,000 | 2016 est. |
| 73 | Guinea | 6,138,000 | 2016 est. |
| 74 | Rwanda | 6,011,000 | 2016 est. |
| 75 | Chad | 5,443,000 | 2016 est. |
| 76 | Czechia | 5,350,000 | 2016 est. |
| 77 | Belgium | 5,291,000 | 2016 est. |
| 78 | Sweden | 5,276,000 | 2016 est. |
| 79 | United Arab Emirates | 5,242,000 | 2016 est. |
| 80 | Portugal | 5,178,000 | 2016 est. |
| 81 | Switzerland | 5,119,000 | 2016 est. |
| 82 | Azerbaijan | 5,032,000 | 2016 est. |
| 83 | Bolivia | 4,992,000 | 2016 est. |
| 84 | Burundi | 4,842,000 | 2016 est. |
| 85 | Greece | 4,785,000 | 2016 est. |
| 86 | Cuba | 4,686,000 | 2016 est. |
| 87 | Dominican Republic | 4,639,000 | 2016 est. |
| 88 | Haiti | 4,594,000 | 2014 est. |
| 89 | Hungary | 4,586,000 | 2016 est. |
| 90 | Belarus | 4,381,000 | 2016 est. |
| 91 | Somalia | 4,154,000 | 2013 est. |
| 92 | Tunisia | 4,022,000 | 2016 est. |
| 93 | Austria | 3,944,000 | 2016 est. |
| 94 | Israel | 3,925,000 | 2016 est. |
| 95 | Hong Kong | 3,915,000 | 2016 est. |
| 96 | Syria | 3,871,000 | 2016 est. |
| 97 | Honduras | 3,677,000 | 2016 est. |
| 98 | Singapore | 3,673,000 | 2016 est. |
| 99 | Benin | 3,662,000 | 2007 est. |
| 100 | Papua New Guinea | 3,598,000 | 2016 est. |
| 101 | Laos | 3,521,000 | 2016 est. |
| 102 | Paraguay | 3,383,000 | 2016 est. |
| 103 | Nicaragua | 3,013,000 | 2016 est. |
| 104 | Denmark | 2,953,000 | 2016 est. |
| 105 | Serbia | 2,910,000 | 2016 est. |
| 106 | Sierra Leone | 2,863,000 | 2016 est. |
| 107 | Kyrgyzstan | 2,787,000 | 2016 est. |
| 108 | Norway | 2,780,000 | 2016 est. |
| 109 | El Salvador | 2,760,000 | 2016 est. |
| 110 | Slovakia | 2,759,000 | 2016 est. |
| 111 | Finland | 2,685,000 | 2016 est. |
| 112 | Eritrea | 2,623,000 | 2016 est. |
| 113 | Kuwait | 2,612,000 | 2016 est. |
| 114 | New Zealand | 2,598,000 | 2016 est. |
| 115 | Togo | 2,595,000 | 2007 est. |
| 116 | Bulgaria | 2,556,000 | 2016 est. |
| 117 | Turkmenistan | 2,305,000 | 2013 est. |
| 118 | Tajikistan | 2,295,000 | 2016 est. |
| 119 | Costa Rica | 2,206,000 | 2016 est. |
| 120 | Jordan | 2,205,000 | 2016 est. |
| 121 | Central African Republic | 2,194,000 | 2016 est. |
| 122 | Ireland | 2,193,000 | 2016 est. |
| 123 | Lebanon | 2,166,000 | 2013 est. |
| 124 | Congo, Republic of the | 2,055,000 | 2013 est. |
| 125 | Georgia | 1,998,000 | 2015 est. |
| 126 | Qatar | 1,896,000 | 2016 est. |
| 127 | Uruguay | 1,736,000 | 2016 est. |
| 128 | Liberia | 1,632,000 | 2016 est. |
| 129 | Croatia | 1,617,000 | 2016 est. |
| 130 | Panama | 1,610,000 | 2016 est. |
| 131 | Armenia | 1,514,000 | 2016 est. |
| 132 | Lithuania | 1,478,000 | 2016 est. |
| 133 | Bosnia and Herzegovina | 1,401,000 | 2016 est. |
| 134 | Albania | 1,358,000 | 2016 est. |
| 135 | Jamaica | 1,321,000 | 2016 est. |
| 136 | Moldova | 1,273,000 | 2016 est. |
| 137 | Mongolia | 1,240,000 | 2016 est. |
| 138 | West Bank | 1,202,000 | 2015 est. |
| 139 | Gaza Strip | 1,202,000 | 2016 est. |
| 140 | Botswana | 1,187,000 | 2016 est. |
| 141 | Mauritania | 1,186,000 | 2016 est. |
| 142 | Libya | 1,155,000 | 2016 est. |
| 143 | Puerto Rico | 1,139,000 | December 2014 est. |
| 144 | Latvia | 988,600 | 2016 est. |
| 145 | Oman | 968,800 | 2007 est. |
| 146 | Macedonia | 948,600 | 2016 est. |
| 147 | Namibia | 939,600 | 2016 est. |
| 148 | Lesotho | 922,400 | 2016 est. |
| 149 | Slovenia | 920,400 | 2016 est. |
| 150 | Bahrain | 808,900 | 2016 est. |
| 151 | Gambia, The | 777,100 | 2007 est. |
| 152 | Guinea-Bissau | 731,300 | 2013 est. |
| 153 | Estonia | 691,400 | 2016 est. |
| 154 | Trinidad and Tobago | 627,400 | 2016 est. |
| 155 | Mauritius | 623,300 | 2016 est. |
| 156 | Gabon | 546,300 | 2016 est. |
| 157 | Kosovo | 483,200 | 2013 est. |
| 158 | Swaziland | 427,900 | 2013 est. |
| 159 | Cyprus | 422,300 | 2016 est. |
| 160 | Macau | 397,800 | 2016 est. |
| 161 | Bhutan | 353,000 | 2015 est. |
| 162 | Fiji | 351,300 | 2016 est. |
| 163 | Guyana | 313,800 | 2013 est. |
| 164 | Djibouti | 294,600 | 2012 |
| 165 | Timor-Leste | 286,700 | 2013 est. |
| 166 | Comoros | 278,500 | 2013 est. |
| 167 | Luxembourg | 266,900 | 2016 est. |
| 168 | Montenegro | 263,200 | 2014 est. |
| 169 | Brunei | 203,600 | 2014 est. |
| 170 | Solomon Islands | 202,500 | 2007 est. |
| 171 | Malta | 201,300 | 2016 est. |
| 172 | Bahamas, The | 196,900 | 2013 est. |
| 173 | Iceland | 196,500 | 2016 est. |
| 174 | Cabo Verde | 196,100 | 2007 est. |
| 175 | Equatorial Guinea | 195,200 | 2007 est. |
| 176 | Maldives | 195,100 | 2014 |
| 177 | Suriname | 144,000 | 2014 est. |
| 178 | Western Sahara | 144,000 | 2010 est. |
| 179 | Barbados | 142,500 | 2016 est. |
| 180 | French Polynesia | 126,300 | 2016 est. |
| 181 | Belize | 120,500 | 2008 est. |
| 182 | New Caledonia | 119,500 | 2016 est. |
| 183 | Vanuatu | 115,900 | 2007 est. |
| 184 | Saint Lucia | 79,700 | 2012 est. |
| 185 | Curacao | 73,010 | 2013 |
| 186 | Guam | 70,490 | 2013 est. |
| 187 | Sao Tome and Principe | 67,870 | 2016 est. |
| 188 | Grenada | 59,900 | 2013 est. |
| 189 | Saint Vincent and the Grenadines | 57,520 | 2007 est. |
| 190 | Jersey | 53,380 | June 2012 |
| 191 | Monaco | 52,000 | 2014 est. |
| 192 | Aruba | 51,610 | 2007 est. |
| 193 | Samoa | 50,700 | 2013 est. |
| 194 | Virgin Islands | 50,580 | 2012 est. |
| 195 | Isle of Man | 41,790 | 2006 |
| 196 | Andorra | 39,750 | 2016 |
| 197 | Seychelles | 39,560 | 2006 est. |
| 198 | Cayman Islands | 39,000 | 2007 est. |
| 199 | Kiribati | 39,000 | 2010 est. |
| 200 | Liechtenstein | 38,520 | 2015 est. |
| 201 | Micronesia, Federated States of | 37,920 | 2010 est. |
| 202 | Tonga | 33,800 | 2011 est. |
| 203 | Bermuda | 33,490 | 2014 est. |
| 204 | Guernsey | 31,470 | March 2006 |
| 205 | Antigua and Barbuda | 30,000 | 1991 |
| 206 | Faroe Islands | 28,900 | 2015 est. |
| 207 | Northern Mariana Islands | 27,970 | 2010 est. |
| 208 | Greenland | 26,840 | 2015 est. |
| 209 | Dominica | 25,000 | 2000 est. |
| 210 | Gibraltar | 24,420 | 2014 est. |
| 211 | Sint Maarten | 23,200 | 2008 est. |
| 212 | San Marino | 21,960 | September 2013 est. |
| 213 | Saint Kitts and Nevis | 18,170 | June 1995 est. |
| 214 | Saint Martin | 17,300 | |
| 215 | American Samoa | 16,090 | 2013 |
| 216 | British Virgin Islands | 12,770 | 2004 |
| 217 | Palau | 11,610 | 2016 |
| 218 | Marshall Islands | 10,670 | 2013 est. |
| 219 | Cook Islands | 6,820 | 2001 |
| 220 | Anguilla | 6,049 | 2001 |
| 221 | Turks and Caicos Islands | 4,848 | 1990 est. |
| 222 | Holy See (Vatican City) | 4,822 | 2016 |
| 223 | Montserrat | 4,521 | 2012 |
| 224 | Tuvalu | 3,615 | 2004 est. |
| 225 | Saint Pierre and Miquelon | 3,194 | 2006 |
| 226 | Wallis and Futuna | 3,104 | 2003 |
| 227 | Saint Helena, Ascension, and Tristan da Cunha | 2,486 | 1998 est. |
| 228 | Falkland Islands (Islas Malvinas) | 1,944 | 2012 est. |
| 229 | Svalbard | 1,590 | 2013 |
| 230 | Norfolk Island | 978 | 2006 |
| 231 | Niue | 663 | 2001 |
| 232 | Tokelau | 440 | 2001 |
| 233 | Pitcairn Islands | 15 | 2004 |


