CIA - The World Factbook --  Labor force   

Labor force compares the total labor force figure.

| Rank | country | Labor force | Date of Information |
| 115 | Kyrgyzstan | 2,344,000 | 2007 |
| 116 | Turkmenistan | 2,300,000 | 2008 est. |
| 117 | Costa Rica | 2,222,000 | 2013 est. |
| 118 | Tajikistan | 2,209,000 | 2013 est. |
| 119 | Sierra Leone | 2,207,000 | 2007 est. |
| 120 | Ireland | 2,161,000 | 2013 est. |
| 121 | Central African Republic | 2,082,000 | 2011 est. |
| 122 | Georgia | 1,959,000 | 2011 est. |
| 123 | Jordan | 1,898,000 | 2013 est. |
| 124 | Croatia | 1,715,000 | 2013 est. |
| 125 | Serbia | 1,703,000 | 2013 est. |
| 126 | Uruguay | 1,700,000 | 2013 est. |
| 127 | Libya | 1,644,000 | 2013 est. |
| 128 | Panama | 1,540,000 | 2013 est. |
| 129 | Bosnia and Herzegovina | 1,490,000 | 2012 est. |
| 130 | Lebanon | 1,481,000 | 2007 est. |
| 131 | Lithuania | 1,452,000 | 2013 est. |
| 132 | Qatar | 1,424,000 | 2013 est. |
| 133 | Armenia | 1,394,000 | 2013 est. |
| 134 | Liberia | 1,372,000 | 2007 |
| 135 | Mauritania | 1,318,000 | 2007 |
| 136 | Botswana | 1,308,000 | 2013 est. |
| 137 | Puerto Rico | 1,286,000 | March 2012 |
| 138 | Jamaica | 1,261,000 | 2013 est. |
| 139 | Moldova | 1,206,000 | 2013 est. |
| 140 | Albania | 1,098,000 | 2013 est. |
| 141 | Mongolia | 1,037,000 | 2011 est. |
| 142 | West Bank | 1,025,000 | 2013 est. |
| 143 | Latvia | 1,022,000 | 2013 est. |
| 144 | Oman | 968,800 | 2007 |
| 145 | Macedonia | 960,700 | 2013 est. |
| 146 | Slovenia | 913,400 | 2013 est. |
| 147 | Namibia | 880,400 | 2013 est. |
| 148 | Lesotho | 874,200 | 2013 est. |
| 149 | Kosovo | 800,000 | 2011 est. |
| 150 | Gambia, The | 777,100 | 2007 |
| 151 | Bahrain | 716,500 | 2013 est. |
| 152 | Estonia | 692,900 | 2013 est. |
| 153 | Mauritius | 637,600 | 2013 est. |
| 154 | Guinea-Bissau | 632,700 | 2007 |
| 155 | Gabon | 629,100 | 2013 est. |
| 156 | Trinidad and Tobago | 621,000 | 2013 est. |
| 157 | Cyprus | 443,500 | 2013 est. |
| 158 | Swaziland | 424,100 | 2011 est. |
| 159 | Timor-Leste | 418,200 | 2009 |
| 160 | Macau | 367,800 | 2013 est. |
| 161 | Gaza Strip | 348,200 | 2010 est. |
| 162 | Bhutan | 336,400 | 2012 |
| 163 | Fiji | 335,000 | 2007 est. |
| 164 | Guyana | 313,100 | 2009 est. |
| 165 | Djibouti | 294,600 | 2012 |
| 166 | Montenegro | 251,300 | 2011 est. |
| 167 | Comoros | 233,500 | 2011 est. |
| 168 | Luxembourg | 208,800 | 2013 est. |
| 169 | Brunei | 205,800 | 2011 est. |
| 170 | Solomon Islands | 202,500 | 2007 |
| 171 | Bahamas, The | 196,900 | 2013 est. |
| 172 | Cabo Verde | 196,100 | 2007 |
| 173 | Equatorial Guinea | 195,200 | 2007 |
| 174 | Malta | 190,400 | 2013 est. |
| 175 | Iceland | 181,100 | 2013 est. |
| 176 | Suriname | 165,600 | 2007 |
| 177 | Maldives | 159,700 | 2012 |
| 178 | Western Sahara | 144,000 | 2010 est. |
| 179 | Barbados | 141,800 | 2013 est. |
| 180 | Belize | 120,500 | 2008 est. |
| 181 | French Polynesia | 116,000 | 2007 |
| 182 | Vanuatu | 115,900 | 2007 |
| 183 | New Caledonia | 106,400 | 2010 |
| 184 | Saint Lucia | 79,700 | 2012 |
| 185 | Curacao | 73,010 | 2013 |
| 186 | Guam | 69,390 | 2010 est. |
| 187 | Grenada | 59,900 | 2013 est. |
| 188 | Saint Vincent and the Grenadines | 57,520 | 2007 est. |
| 189 | Jersey | 53,380 | June 2012 |
| 190 | Sao Tome and Principe | 52,490 | 2007 |
| 191 | Monaco | 52,490 | 2012 est. |
| 192 | Aruba | 51,610 | 2007 est. |
| 193 | Virgin Islands | 49,820 | 2007 est. |
| 194 | Samoa | 47,930 | 2011 est. |
| 195 | Isle of Man | 41,790 | 2006 |
| 196 | Tonga | 39,960 | 2007 |
| 197 | Seychelles | 39,560 | 2006 |
| 198 | Cayman Islands | 39,000 | 2007 |
| 199 | Northern Mariana Islands | 38,450 | 2005 est. |
| 200 | Bermuda | 37,400 | 2011 |
| 201 | Andorra | 36,060 | 2012 |
| 202 | Liechtenstein | 35,830 | 2012 |
| 203 | Faroe Islands | 34,710 | November 2010 |
| 204 | Guernsey | 31,470 | March 2006 |
| 205 | Antigua and Barbuda | 30,000 | 1991 |
| 206 | Greenland | 28,600 | 2011 |
| 207 | Dominica | 25,000 | 2000 est. |
| 208 | Sint Maarten | 23,200 | 2008 est. |
| 209 | San Marino | 21,960 | September 2013 |
| 210 | Saint Kitts and Nevis | 18,170 | June 1995 |
| 211 | American Samoa | 17,630 | 2005 |
| 212 | Saint Martin | 17,300 | NA |
| 213 | Micronesia, Federated States of | 15,920 | 2011 |
| 214 | British Virgin Islands | 12,770 | 2004 |
| 215 | Gibraltar | 12,690 | 2001 |
| 216 | Marshall Islands | 10,480 | 2011 est. |
| 217 | Palau | 9,777 | 2005 |
| 218 | Kiribati | 7,870 | 2001 |
| 219 | Cook Islands | 6,820 | 2001 |
| 220 | Anguilla | 6,049 | 2001 |
| 221 | Falkland Islands (Islas Malvinas) | 5,246 | 2006 |
| 222 | Turks and Caicos Islands | 4,848 | 1990 est. |
| 223 | Montserrat | 4,521 | 2012 |
| 224 | Tuvalu | 3,615 | 2004 est. |
| 225 | Saint Pierre and Miquelon | 3,194 | 2006 |
| 226 | Wallis and Futuna | 3,104 | 2003 |
| 227 | Holy See (Vatican City) | 2,832 | December 2011 |
| 228 | Saint Helena, Ascension, and Tristan da Cunha | 2,486 | 1998 est. |
| 229 | Svalbard | 1,234 | 2003 |
| 230 | Norfolk Island | 978 | 2006 |
| 231 | Niue | 663 | 2001 |
| 232 | Tokelau | 440 | 2001 |
| 233 | Pitcairn Islands | 15 | 2004 |


