CIA - The World Factbook --  Stock of quasi money   

This entry comprises the total quantity of time and savings deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. When added together with "M1" the total money supply is known as "M2." The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | country | Stock of quasi money | Date of Information |
| 94 | Eritrea | $ 1,053,000,000 | 31 December 2008 |
| 95 | Suriname | $ 1,018,000,000 | 31 December 2008 |
| 96 | Armenia | $ 950,100,000 | 31 December 2008 |
| 97 | Antigua and Barbuda | $ 939,900,000 | 31 December 2008 |
| 98 | Aruba | $ 890,300,000 | 31 December 2008 |
| 99 | Guyana | $ 817,600,000 | 31 December 2008 |
| 100 | Saint Lucia | $ 800,100,000 | 31 December 2008 |
| 101 | El Salvador | $ 788,700,000 | 31 December 2008 |
| 102 | Cape Verde | $ 721,300,000 | 31 December 2008 |
| 103 | Saint Kitts and Nevis | $ 680,600,000 | 31 December 2008 |
| 104 | Madagascar | $ 667,200,000 | 31 December 2008 |
| 105 | Belize | $ 653,800,000 | 31 December 2008 |
| 106 | Grenada | $ 578,100,000 | 31 December 2008 |
| 107 | Tajikistan | $ 544,000,000 | 31 December 2008 |
| 108 | Maldives | $ 487,800,000 | 31 December 2008 |
| 109 | Anguilla | $ 449,500,000 | 31 December 2008 |
| 110 | Swaziland | $ 441,500,000 | 31 December 2008 |
| 111 | Vanuatu | $ 430,000,000 | 31 December 2008 |
| 112 | Djibouti | $ 338,000,000 | 31 December 2008 |
| 113 | Saint Vincent and the Grenadines | $ 302,700,000 | 31 December 2008 |
| 114 | Dominica | $ 289,900,000 | 31 December 2008 |
| 115 | Rwanda | $ 227,400,000 | 31 December 2005 |
| 116 | Burundi | $ 189,900,000 | 31 December 2008 |
| 117 | Seychelles | $ 188,500,000 | 31 December 2008 |
| 118 | Samoa | $ 162,800,000 | 31 December 2008 |
| 119 | Lesotho | $ 108,100,000 | 31 December 2008 |
| 120 | Tonga | $ 100,700,000 | 31 December 2008 |
| 121 | Solomon Islands | $ 96,790,000 | 31 December 2008 |
| 122 | Timor-Leste | $ 89,880,000 | 31 December 2008 |
| 123 | Montserrat | $ 45,420,000 | 31 December 2008 |
| 124 | Comoros | $ 41,740,000 | 31 December 2008 |
| 125 | Sao Tome and Principe | $ 36,950,000 | 31 December 2008 |
