CIA - The World Factbook --  Stock of quasi money   

| Rank | country | Stock of quasi money | Date of Information |
| 98 | Macedonia | $ 3,132,000,000 | 31 December 2009 |
| 99 | Cote d'Ivoire | $ 2,117,000,000 | 31 December 2008 |
| 100 | Moldova | $ 1,928,000,000 | 31 December 2008 |
| 101 | Nicaragua | $ 1,810,000,000 | 31 December 2008 |
| 102 | Cameroon | $ 1,756,000,000 | 31 December 2008 |
| 103 | Mozambique | $ 1,752,000,000 | 31 December 2008 |
| 104 | Papua New Guinea | $ 1,726,000,000 | 31 December 2008 |
| 105 | Zambia | $ 1,618,000,000 | 31 December 2008 |
| 106 | Georgia | $ 1,606,000,000 | 31 December 2008 |
| 107 | Paraguay | $ 1,599,000,000 | 31 December 2008 |
| 108 | Senegal | $ 1,599,000,000 | 31 December 2008 |
| 109 | Mongolia | $ 1,545,000,000 | 31 December 2009 |
| 110 | Uganda | $ 1,485,000,000 | 31 December 2008 |
| 111 | Montenegro | $ 1,406,000,000 | 31 December 2008 |
| 112 | Afghanistan | $ 1,219,000,000 | 31 December 2008 |
| 113 | Namibia | $ 1,158,000,000 | 31 December 2008 |
| 114 | Laos | $ 1,080,000,000 | 31 December 2009 |
| 115 | Eritrea | $ 1,053,000,000 | 31 December 2008 |
| 116 | Suriname | $ 1,018,000,000 | 31 December 2008 |
| 117 | Fiji | $ 1,012,000,000 | 31 December 2008 |
| 118 | Armenia | $ 950,100,000 | 31 December 2008 |
| 119 | Congo, Democratic Republic of the | $ 947,800,000 | 31 December 2008 |
| 120 | Antigua and Barbuda | $ 939,900,000 | 31 December 2008 |
| 121 | Aruba | $ 890,300,000 | 31 December 2008 |
| 122 | Guyana | $ 817,600,000 | 31 December 2008 |
| 123 | Saint Lucia | $ 800,100,000 | 31 December 2008 |
| 124 | El Salvador | $ 788,700,000 | 31 December 2008 |
| 125 | Gabon | $ 777,800,000 | 31 December 2008 |
| 126 | Burkina Faso | $ 751,300,000 | 31 December 2008 |
| 127 | Benin | $ 742,800,000 | 31 December 2008 |
| 128 | Cape Verde | $ 721,300,000 | 31 December 2008 |
| 129 | Saint Kitts and Nevis | $ 680,600,000 | 31 December 2008 |
| 130 | Madagascar | $ 667,200,000 | 31 December 2008 |
| 131 | Belize | $ 653,800,000 | 31 December 2008 |
| 132 | Grenada | $ 578,100,000 | 31 December 2008 |
| 133 | Mali | $ 561,000,000 | 31 December 2008 |
| 134 | Malawi | $ 491,100,000 | 31 December 2008 |
| 135 | Maldives | $ 488,000,000 | 31 October 2009 |
| 136 | Anguilla | $ 449,500,000 | 31 December 2008 |
| 137 | Swaziland | $ 441,500,000 | 31 December 2008 |
| 138 | Vanuatu | $ 430,000,000 | 31 December 2008 |
| 139 | Togo | $ 414,900,000 | 31 December 2008 |
| 140 | Djibouti | $ 338,000,000 | 31 December 2008 |
| 141 | Saint Vincent and the Grenadines | $ 302,700,000 | 31 December 2008 |
| 142 | Dominica | $ 289,900,000 | 31 December 2008 |
| 143 | Congo, Republic of the | $ 268,400,000 | 31 December 2008 |
| 144 | Tajikistan | $ 235,300,000 | 31 December 2008 |
| 145 | Rwanda | $ 227,400,000 | 31 December 2005 |
| 146 | Niger | $ 226,800,000 | 31 December 2008 |
| 147 | Sierra Leone | $ 215,200,000 | 31 December 2008 |
| 148 | Burundi | $ 189,900,000 | 31 December 2008 |
| 149 | Seychelles | $ 185,200,000 | 31 December 2008 |
| 150 | Gambia, The | $ 176,200,000 | 31 December 2008 |
| 151 | Samoa | $ 162,800,000 | 31 December 2008 |
| 152 | Equatorial Guinea | $ 132,100,000 | 31 December 2008 |
| 153 | Lesotho | $ 108,100,000 | 31 December 2008 |
| 154 | Tonga | $ 100,700,000 | 31 December 2008 |
| 155 | Solomon Islands | $ 96,790,000 | 31 December 2008 |
| 156 | Timor-Leste | $ 89,880,000 | 31 December 2008 |
| 157 | Micronesia, Federated States of | $ 76,800,000 | 31 December 2008 |
| 158 | Liberia | $ 65,360,000 | 31 December 2008 |
| 159 | Chad | $ 63,420,000 | 31 December 2008 |
| 160 | Central African Republic | $ 51,650,000 | 31 December 2008 |
| 161 | Montserrat | $ 45,420,000 | 31 December 2008 |
| 162 | Comoros | $ 41,740,000 | 31 December 2008 |
| 163 | Sao Tome and Principe | $ 36,950,000 | 31 December 2008 |
| 164 | Guinea-Bissau | $ 17,990,000 | 31 December 2008 |
