FIELD LISTING :: CONSTITUTION

| Country | CONSTITUTION |
| **Montserrat** | previous 1960; latest effective 1 September 2010; amended 2011 (2016) |
| **Morocco** | several previous; latest drafted 17 June 2011, approved by referendum 1 July 2011; note - sources disagree on whether the 2011 referendum was for a new constitution or for reforms to the previous constitution (2016) |
| **Mozambique** | previous 1975, 1990; latest adopted 16 November 2004, effective 21 December 2004; amended 2007; note - amendments drafted in late 2013 were rejected by parliament in late 2015 (2016) |
| **Namibia** | drafted 9 February 1990, signed 16 March 1990, entered into force 21 March 1990; amended 1998, 2010, 2014 (2016) |
| **Nauru** | effective 29 January 1968; amended 1968, 2009, 2014 (2016) |
| **Nepal** | several previous; latest adopted 20 September 2015; amended January 2016 |
| **Netherlands** | *history:* previous 1597, 1798; latest adopted 24 August 1815 (substantially revised in 1848) |
| | *amendments:* proposed as an “Act of Parliament” by or on behalf of the king or by the Second Chamber of the States General; the Second Chamber is dissolved after its first reading of the “Act”; passage requires a second reading by both the First Chamber and newly elected Second Chamber, followed by at least two-thirds majority vote of both chambers, and ratification by the king; amended many times, last in 2010 (2016) |
| **New Caledonia** | 4 October 1958 (French Constitution with changes as reflected in Noumea Accord of 5 May 1998) (2016) |
| **New Zealand** | Constitution Act 1986 (the principal formal charter) adopted and effective 1 January 1987; amended 1999, 2005, 2014 (2016) |
| **Nicaragua** | several previous; latest adopted 19 November 1986, effective 9 January 1987; amended several times, last in 2014 (2016) |
| **Nigeria** | several previous; latest adopted 5 May 1999, effective 29 May 1999; amended several times, last in 2012 (2016) |
| **Niger** | several previous; passed by referendum 31 October 2010, entered into force 25 November 2010 (2016) |
| **Niue** | several previous (New Zealand colonial statutes); latest 19 October 1974 (Niue Constitution Act 1974); amended 1992, 2007 (2016) |
| **Norfolk Island** | previous 1913, 1957; latest effective 7 August 1979; amended many times, last in 2015 (2016) |
| **Northern Mariana Islands** | partially effective 9 January 1978 (Constitution of the Commonwealth of the Northern Mariana Islands); fully effective 4 November 1986 (Covenant Agreement); amended several times, last in 2012 (2016) |
| **Norway** | *history:* drafted spring 1814, adopted 16 May 1814, signed by Constituent Assembly 17 May 1814 |
| | *amendments:* proposals submitted by members of Parliament or by the government within the first three years of Parliament's four-year term; passage requires two-thirds majority vote of a two-thirds quorum in the next elected Parliament; amended over 400 times, last in 2015 |
| **Oman** | 1996 (the Basic Law of the Sultanate of Oman serves as the constitution); amended by royal decree in 2011 (2016) |
| **Pakistan** | several previous; latest endorsed 12 April 1973, passed 19 April 1973, entered into force 14 August 1973 (suspended and restored several times); amended many times, last in 2015 (2016) |
| **Palau** | ratified 9 July 1980, effective 1 January 1981; amended 1992, 2004, 2008 (2016) |
| **Panama** | several previous; latest effective 11 October 1972; amended several times, last in 2004 (2016) |
| **Papua New Guinea** | adopted 15 August 1975, effective at independence 16 September 1975; amended many times, last in 2013; note - in September 2015, the Supreme Court nullified the 2013 constitutional amendment that increased the grace period on motions of no confidence (2016) |
| **Paraguay** | several previous; latest approved and promulgated 20 June 1992; amended 2011, 2014 (2016) |
| **Peru** | several previous; latest promulgated 29 December 1993, enacted 31 December 1993; amended several times, last in 2015 (2016) |
| **Philippines** | several previous; latest ratified 2 February 1987, effective 11 February 1987 (2016) |
| **Pitcairn Islands** | several previous; latest drafted 10 February 2010, presented 17 February 2010, effective 4 March 2010 (2016) |
| **Poland** | *history:* several previous; latest adopted 2 April 1997, approved by referendum 25 May 1997, effective 17 October 1997 |
| | *amendments:* proposed by at least one-fifth of Sejm deputies, by the Senate, or by the president of the republic; passage requires at least two-thirds majority vote in the Sejm and absolute majority vote in the Senate; amendments to articles relating to sovereignty, personal freedoms, and constitutional amendment procedures also require passage by majority vote in a referendum; amended 2006, 2009, 2015 (2016) |
| **Portugal** | *history:* several previous; latest adopted 2 April 1976, effective 25 April 1976 |
| | *amendments:* proposed by the Assembly of the Republic; adoption requires two-thirds majority vote of Assembly members; amended several times, last in 2005 (2016) |
| **Puerto Rico** | previous 1900 (Organic Act, or Foraker Act); latest ratified 3 March 1952, approved 3 July 1952, effective 25 July 1952 (2016) |
| **Qatar** | previous 1972 (provisional); latest drafted 2 July 2002, approved by referendum 29 April 2003, endorsed 8 June 2004, effective 9 June 2005 (2016) |
| **Romania** | *history:* several previous; latest adopted 21 November 1991, approved by referendum and effective 8 December 1991 |
| | *amendments:* initiated by the president of Romania through a proposal by the government, by at least one-fourth of deputies or senators in Parliament, or by petition of eligible voters representing at least one-half of Romania’s counties; passage requires at least two-thirds majority vote by both chambers or – if mediation is required - by three-fourths majority vote in a joint session, followed by approval in a referendum; articles including those on national sovereignty, form of government, political pluralism, and fundamental rights and freedoms cannot be amended; amended 2003 (2016) |
| **Russia** | several previous (during Russian Empire and Soviet eras); latest drafted 12 July 1993, adopted by referendum 12 December 1993, effective 25 December 1993; amended 2008, 2014 (2016) |
| **Rwanda** | several previous; latest adopted by referendum 26 May 2003, effective 4 June 2003; amended several times, last in 2015 (2016) |
| **Saint Barthelemy** | a4 October 1958 (French Constitution) |
| **Saint Helena, Ascension, and Tristan da Cunha** | several previous; latest effective 1 September 2009 (The St. Helena, Ascension and Tristan da Cunha Constitution Order 2009) (2016) |
| **Saint Kitts and Nevis** | several previous (preindependence); latest presented 22 June 1983, effective 23 June 1983 (2016) |
| **Saint Lucia** | previous 1958, 1960 (preindependence); latest presented 20 December 1978, effective 22 February 1979; note - in mid-2015, an amendment was proposed to replace the London-based Privy Council with the Caribbean Court of Justice as the country's highest appellate court (2016) |
| **Saint Martin** | 4 October 1958 (French Constitution) |
| **Saint Pierre and Miquelon** | 4 October 1958 (French Constitution) |
| **Saint Vincent and the Grenadines** | several previous; latest passed by the House of Assembly 3 September 2009 (The Saint Vincent and The Grenadines Constitution Act, 2009) (2016) |
| **Samoa** | several previous (preindependence); latest 1 January 1962; amended several times, last in 2015 (2016) |
| **San Marino** | *history:* consists of several legislative instruments, chief among them the Statutes (Leges Statuti) of 1600 and the Declaration of Citizen Rights of 1974 |
| | *amendments:* proposed by the Great and General Council; passage requires two-thirds majority Council vote; Council passage by absolute majority vote also requires passage in a referendum; Declaration of Civil Rights amended several times, last in 2012 (2016) |
| **Sao Tome and Principe** | approved 5 November 1975; revised several times, last in 2006 (2016) |
| **Saudi Arabia** | 1 March 1992 - Basic Law of Government, issued by royal decree, serves as the constitutional framework and is based on the Qur'an and the life and tradition of the Prophet Muhammad |
| **Senegal** | previous 1959 (preindependence), 1963; latest adopted by referendum 7 January 2001, promulgated 22 January 2001; amended many times, last in 2016 (2016) |
| **Serbia** | *history:* many previous; latest adopted 30 September 2006, approved by referendum 28-29 October 2006, effective 8 November 2006 |
| | *amendments:* proposed by at least one-third of deputies in the National Assembly, by the president of the republic, by the government, or by petition of at least 150,000 voters; passage of proposals and draft amendments each requires at least two-thirds majority vote in the Assembly; amendments to constitutional articles including the preamble, constitutional principles, and human and minority rights and freedoms also require a referendum with passage by simple majority vote (2016) |
| **Seychelles** | previous 1970, 1979; latest drafted May 1993, approved by referendum 18 June 1993, effective 23 June 1993; amended several times, last in 2011 (2016) |
| **Sierra Leone** | several previous; latest in effect 1 October 1991; amended several times, last in 2013 (2016) |
| **Singapore** | several previous; latest adopted 22 December 1965; amended many times, last in 2015 (2016) |
| **Sint Maarten** | Staatsregeling, 10 October 2010; revised Kingdom Charter pending previous 1947, 1955; latest adopted 21 July 2010, entered into force 10 October 2010 (regulates governance of Sint Maarten but is subordinate to the Charter for the Kingdom of the Netherlands); note - in October 2010, with the dissolution of the Netherlands Antilles, Sint Maarten became a constituent country within the Kingdom of the Netherlands |
| **Slovakia** | *history:* several previous (preindependence); latest passed by the National Council 1 September 1992, signed 3 September 1992, effective 1 October 1992 |
| | *amendments:* proposed by the National Council; passage requires at least three-fifths majority vote of Council members; amended many times, last in 2015 (2016) |
| **Slovenia** | *history:* previous 1974 (preindependence); latest passed by Parliament 23 December 1991 |
| | *amendments:* proposed by at least 20 National Assembly members, by the government, or by petition of at least 30,000 voters; passage of amendments requires at least two-thirds majority vote by Assembly members; referendum required if agreed upon by at least 30 Assembly members; passage in a referendum requires a simple majority vote if a majority of eligible voters participated; amended several times, last in 2015 (2016) |
| **Solomon Islands** | adopted 31 May 1978, effective 7 July 1978; new constitution drafted in 2014 (2016) |
| **Somalia** | previous 1961, 1979; latest drafted 12 June 2012, approved 1 August 2012 (provisional) (2016) |
| **South Africa** | several previous; latest drafted 8 May 1996, approved 4 December 1996, effective 4 February 1997; amended many times, last in 2013 (2016) |
| **South Sudan** | previous 2005 (preindependence); latest signed 7 July 2011, effective 9 July 2011 (Transitional Constitution of the Republic of South Sudan, 2011); amended 2013, 2015 (2016) |
| **Spain** | *history:* previous 1812; latest approved by the General Courts 31 October 1978, passed by referendum 6 December 1978, signed by the king 27 December 1978, effective 29 December 1978 |
| | *amendments:* proposed by the government, by the General Courts (the Congress or the Senate), or by the self-governing communities submitted through the government; passage requires three-fifths majority vote by both houses and passage by referendum if required by one-tenth of the members of either house within 15 days of passage; proposals disapproved by both houses are submitted to a joint committee, which submits an agreed upon text for another vote; passage requires two-thirds vote in Congress and simple majority vote in the Senate; amended 1992, 2007, 2011 (2016) |
| **Sri Lanka** | several previous; latest adopted 16 August 1978, certified 31 August 1978; amended many times, last in 2015 (2016) |
| **Sudan** | previous 1998; latest adopted 6 July 2005, effective 9 July 2005 (interim constitution); amended 2015; note - in 2011, the Government of Sudan initiated a process for drafting a new constitution (2016) |
| **Suriname** | previous 1975; latest ratified 30 September 1987, effective 30 October 1987; amended 1992 (2016) |
| **Swaziland** | previous 1968, 1978; latest signed by the king 26 July 2005, effective 8 February 2006 (2016) |
| **Sweden** | *history:* several previous; latest adopted 1 January 1975 |
| | *amendments:* proposed by Parliament; passage requires simple majority vote in two consecutive parliamentary terms with an intervening general election; passage also requires approval by simple majority vote in a referendum if Parliament approves a motion for a referendum by one-third of its members; amended several times, last in 2014 (changes to the "Instrument of Government") (2016) |
| **Switzerland** | *history:* previous 1848, 1874; latest adopted by referendum 18 April 1999, effective 1 January 2000 |
| | *amendments:* proposed by the two houses of the Federal Assembly or by petition of at least one million voters (called the "federal popular initiative"); passage of proposals requires majority vote in a referendum; following drafting of an amendment by the Assembly, its passage requires approval by majority vote in a referendum and approval by the majority of cantons; amended many times, last in 2016 (2016) |
| **Syria** | several previous; latest issued 15 February 2012, passed by referendum 26 February 2012 (2016) |
| **Taiwan** | previous 1912, 1931; latest adopted 25 December 1946, promulgated 1 January 1947, effective 25 December 1947; revised several times, last in 2005 (2016) |
| **Tajikistan** | several previous; latest adopted 6 November 1994; amended 1999, 2003, 2014 (2016) |
| **Tanzania** | several previous; latest adopted 25 April 1977; amended many times, last in 2012; note - in 2012, the Tanzania Constitutional Review Commission was formed, and in June 2013, completed the first draft of a new constitution and a second version in December; a 640-member Constituent Assembly, formed in February 2014, passed a new constitution draft in October; a national referendum planned for April 2015 has been postponed (2016) |
| **Thailand** | many previous; interim constitution - replacing the 2007 permanent constitution - signed by the king 22 July 2014; first draft of new constitution completed 17 April 2015, rejected by drafting committee 6 September 2015; final draft completed by new drafting committee 29 March 2016, passed by referendum 7 August 2016 (2016) |
| **Timor-Leste** | drafted 2001, approved 22 March 2002, entered into force 20 May 2002 (2016) |
| **Togo** | several previous; latest adopted 27 September 1992, effective 14 October 1992; amended 2002, 2007 (2016) |
| **Tokelau** | many previous; latest effective 1 January 1949 (Tokelau Islands Act 1948); amended many times, last in 2007 (2016) |
| **Tonga** | adopted 4 November 1875, revised 1988; amended many times, last in 2014 (2016) |
| **Trinidad and Tobago** | previous 1962; latest 1976; amended many times, last in 2007 (2016) |
| **Tunisia** | several previous; latest approved by Constituent Assembly 26 January 2014, signed by president on 27 January 2014 (2016) |
| **Turkey** | *history:* several previous; latest ratified 9 November 1982 |
| | *amendments:* proposed by written consent of at least one-third of Grand National Assembly (GNA) members; adoption of draft amendments requires two debates in plenary GNA session and three-fifths majority vote of all GNA members; the president of the republic can request GNA reconsideration of the amendment and, if readopted by two-thirds majority GNA vote, the president may submit the amendment to a referendum; passage by referendum requires absolute majority vote; amended several times, last in 2016 (2016) |
| **Turkmenistan** | adopted 18 May 1992; amended several times, last in 2016 (2016) |
| **Turks and Caicos Islands** | several previous; latest signed 7 August 2012, effective 15 October 2012 (Turks and Caicos Constitution Order 2011) (2016) |
| **Tuvalu** | previous 1978 (at independence); latest effective 1 October 1986; amended 2007, 2010, 2013 (2016) |
| **Uganda** | several previous; latest adopted 27 September 1995, promulgated 8 October 1995; amended many times, last in 2015 (2016) |
| **Ukraine** | *history:* several previous; latest adopted and ratified 28 June 1996 |
| | *amendments:* proposed by the president of Ukraine or by at least one-third of the Supreme Council members; adoption requires simple majority vote by the Council and at least two-thirds majority vote in its next regular session; adoption of proposals relating to general constitutional principles, elections, and amendment procedures requires two-thirds majority vote by the Council and approval in a referendum; constitutional articles on personal rights and freedoms, national independence, and territorial integrity cannot be amended; amended 2004, 2010, 2015 (2016) |
| **United Arab Emirates** | previous 1971 (provisional); latest drafted in 1979, became permanent May 1996; amended 2009 (2016) |
| **United Kingdom** | *history:* unwritten; partly statutes, partly common law and practice |
| | *amendments:* proposed as a “bill” for an “Act of Parliament” by the government or by members of the House of Commons or by the House of Lords; passage requires agreement by both houses and by the monarch (Royal Assent); note - recent additions include the Human Rights Act of 1998, the Constitutional Reform and Governance Act 2010, the Parliamentary Voting System and Constituencies Act 2011, the Fixed-term Parliaments Act 2011, and the House of Lords (Expulsion and Suspension) Act 2015 (2016) |
| **United States** | previous 1781 (Articles of Confederation and Perpetual Union); latest drafted July - September 1787, submitted to the Congress of the Confederation 20 September 1787, submitted for states' ratification 28 September 1787, ratification completed by nine states 21 June 1788, effective 4 March 1789; amended many times, last in 1992 (2016) |
| **Uruguay** | several previous; latest approved by plebiscite 27 November 1966, effective 15 February 1967; amended several times, last in 2004 (2016) |
| **Uzbekistan** | several previous; latest adopted 8 December 1992; amended several times, last in 2014 (2016) |
| **Vanuatu** | effective 30 July 1980; amended several times, last in 2013 (2016) |
| **Venezuela** | many previous; latest adopted 15 December 1999, effective 30 December 1999; amended 2009 (2016) |
| **Vietnam** | several previous; latest adopted 15 April 1992, effective 1 January 1995; amended 2001, 2013 (2016) |
| **Virgin Islands** | 22 July 1954 - the Revised Organic Act of the Virgin Islands functions as a constitution for this territory of the US; revised 1962, 2000 (2016) |
| **Wallis and Futuna** | 4 October 1958 (French Constitution) |
| **Yemen** | adopted by referendum 16 May 1991 (following unification); amended several times, last in 2009; note - after the National Dialogue ended in January 2015, a presidentially-appointed Constitutional Drafting Committee worked to prepare a new draft constitution that was expected to be put to a national referendum before being adopted; however, the president’s resignation in January 2015 and the subsequent conflict interrupted the process (2016) |
| **Zambia** | several previous; latest adopted 24 August 1991, promulgated 30 August 1991; amended 1996, 2015 (2016) |
| **Zimbabwe** | previous 1965 (at Rhodesian independence), 1979 (Lancaster House Agreement), 1980 (at Zimbabwean independence); latest final draft completed January 2013, approved by referendum 16 March 2013, approved by Parliament 9 May 2013; amended many times in 2013; note - significant amendments proposed in early 2015 (2016) |
