Field Listing :: HIV/AIDS - deaths :: The World Factbook

This entry gives an estimate of the number of adults and children who died of AIDS during a given calendar year.

| Country | HIV/AIDS - deaths |
| **Montserrat** | NA |
| **Morocco** | <500 (2019 est.) |
| **Mozambique** | 51,000 (2019 est.) |
| **Namibia** | 3,000 (2019 est.) |
| **Nauru** | NA |
| **Nepal** | <1000 (2019 est.) |
| **Netherlands** | <200 (2019 est.) |
| **New Caledonia** | NA |
| **New Zealand** | <100 (2019 est.) |
| **Nicaragua** | <200 (2019 est.) |
| **Niger** | 1,100 (2019 est.) |
| **Nigeria** | 45,000 (2019 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **North Macedonia** | 300 (2018 est.) |
| **Northern Mariana Islands** | NA |
| **Norway** | <100 (2018 est.) |
| **Oman** | <100 (2019) |
| **Pakistan** | 6,800 (2019 est.) |
| **Palau** | NA |
| **Panama** | <500 (2018 est.) |
| **Papua New Guinea** | <1000 (2019 est.) |
| **Paraguay** | <1000 (2019 est.) |
| **Peru** | <1000 (2019 est.) |
| **Philippines** | 1,600 (2019 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | NA |
| **Portugal** | <500 (2018 est.) |
| **Puerto Rico** | NA |
| **Qatar** | <100 (2017 est.) |
| **Romania** | <500 (2019 est.) |
| **Russia** | NA |
| **Rwanda** | 2,800 (2019 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | NA |
| **Saint Kitts and Nevis** | <100 (2018) |
| **Saint Lucia** | <100 (2018) |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | <100 (2018) |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | <100 (2018) |
| **Saudi Arabia** | <500 (2016 est.) |
| **Senegal** | 1,200 (2019 est.) |
| **Serbia** | <100 (2019 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 2,600 (2019 est.) |
| **Singapore** | <100 (2019 est.) |
| **Sint Maarten** | NA |
| **Slovakia** | <100 (2018 est.) |
| **Slovenia** | <100 (2018 est.) |
| **Solomon Islands** | NA |
| **Somalia** | <1000 (2019 est.) |
| **South Africa** | 72,000 (2019 est.) |
| **South Sudan** | 9,100 (2019 est.) |
| **Spain** | <1000 (2019) |
| **Sri Lanka** | <200 (2019 est.) |
| **Sudan** | 2,300 (2019 est.) |
| **Suriname** | <200 (2019 est.) |
| **Sweden** | NA |
| **Switzerland** | <100 (2019) |
| **Syria** | <100 (2019) |
| **Taiwan** | NA |
| **Tajikistan** | <500 (2019 est.) |
| **Tanzania** | 27,000 (2019 est.) |
| **Thailand** | 14,000 (2019 est.) |
| **Timor-Leste** | <100 (2019) |
| **Togo** | 3,000 (2019 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | <200 (2019 est.) |
| **Tunisia** | <500 (2019 est.) |
| **Turkey** | NA |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
| **Uganda** | 21,000 (2019 est.) |
| **Ukraine** | 5,900 (2019 est.) |
| **United Arab Emirates** | NA |
| **United Kingdom** | NA |
| **United States** | NA |
| **Uruguay** | <200 (2018 est.) |
| **Uzbekistan** | <1000 (2019 est.) |
| **Vanuatu** | NA |
| **Venezuela** | NA |
| **Vietnam** | 5,000 (2019 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **World** | 690,000 (2019 est.) |
| **Yemen** | <500 (2019 est.) |
| **Zambia** | 17,000 (2019 est.) |
| **Zimbabwe** | 20,000 (2019 est.) |

