CIA - The World Factbook -- Field Listing - Government type

| Country | Government type |
| **Honduras** | democratic constitutional republic |
| **Hong Kong** | limited democracy |
| **Hungary** | parliamentary democracy |
| **Iceland** | constitutional republic |
| **India** | federal republic |
| **Indonesia** | republic |
| **Iran** | theocratic republic |
| **Iraq** | parliamentary democracy |
| **Ireland** | republic, parliamentary democracy |
| **Isle of Man** | parliamentary democracy |
| **Israel** | parliamentary democracy |
| **Italy** | republic |
| **Jamaica** | constitutional parliamentary democracy |
| **Japan** | constitutional monarchy with a parliamentary government |
| **Jersey** | parliamentary democracy |
| **Jordan** | constitutional monarchy |
| **Kazakhstan** | republic; authoritarian presidential rule, with little power outside the executive branch |
| **Kenya** | republic |
| **Kiribati** | republic |
| **Korea, North** | Communist state one-man dictatorship |
| **Korea, South** | republic |
| **Kosovo** | republic |
| **Kuwait** | constitutional emirate |
| **Kyrgyzstan** | republic |
| **Laos** | Communist state |
| **Latvia** | parliamentary democracy |
| **Lebanon** | republic |
| **Lesotho** | parliamentary constitutional monarchy |
| **Liberia** | republic |
| **Libya** | Jamahiriya (a state of the masses) in theory, governed by the populace through local councils; in practice, an authoritarian state |
| **Liechtenstein** | constitutional monarchy |
| **Lithuania** | parliamentary democracy |
| **Luxembourg** | constitutional monarchy |
| **Macau** | limited democracy |
| **Macedonia** | parliamentary democracy |
| **Madagascar** | republic |
| **Malawi** | multiparty democracy |
| **Malaysia** | constitutional monarchy |
| | *note:* nominally headed by paramount ruler and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; all Peninsular Malaysian states have hereditary rulers except Melaka and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls); Sabah holds 25 seats in House of Representatives; Sarawak has 31 seats |
| **Maldives** | republic |
| **Mali** | republic |
| **Malta** | republic |
| **Marshall Islands** | constitutional government in free association with the US; the Compact of Free Association entered into force 21 October 1986 and the Amended Compact entered into force in May 2004 |
| **Mauritania** | Democratic Republic |
| **Mauritius** | parliamentary democracy |
| **Mayotte** | NA |
| **Mexico** | federal republic |
| **Micronesia, Federated States of** | constitutional government in free association with the US; the Compact of Free Association entered into force 3 November 1986 and the Amended Compact entered into force May 2004 |
| **Moldova** | republic |
| **Monaco** | constitutional monarchy |
| **Mongolia** | mixed parliamentary/presidential |
| **Montenegro** | republic |
| **Montserrat** | NA |
| **Morocco** | constitutional monarchy |
| **Mozambique** | republic |
| **Namibia** | republic |
| **Nauru** | republic |
| **Nepal** | democratic republic |
| **Netherlands** | constitutional monarchy |
| **Netherlands Antilles** | parliamentary |
| **New Caledonia** | NA |
| **New Zealand** | parliamentary democracy |
| **Nicaragua** | republic |
| **Niger** | republic |
| **Nigeria** | federal republic |
| **Niue** | self-governing parliamentary democracy |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | commonwealth; self-governing with locally elected governor, lieutenant governor, and legislature |
| **Norway** | constitutional monarchy |
| **Oman** | monarchy |
| **Pakistan** | federal republic |
| **Palau** | constitutional government in free association with the US; the Compact of Free Association entered into force 1 October 1994 |
| **Panama** | constitutional democracy |
| **Papua New Guinea** | constitutional parliamentary democracy |
| **Paraguay** | constitutional republic |
| **Peru** | constitutional republic |
| **Philippines** | republic |
| **Pitcairn Islands** | NA |
| **Poland** | republic |
| **Portugal** | republic; parliamentary democracy |
| **Puerto Rico** | commonwealth |
| **Qatar** | emirate |
| **Romania** | republic |
| **Russia** | federation |
| **Rwanda** | republic; presidential, multiparty system |
| **Saint Helena** | NA |
| **Saint Kitts and Nevis** | parliamentary democracy |
| **Saint Lucia** | parliamentary democracy |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | parliamentary democracy |
| **Samoa** | parliamentary democracy |
| **San Marino** | republic |
| **Sao Tome and Principe** | republic |
| **Saudi Arabia** | monarchy |
| **Senegal** | republic |
| **Serbia** | republic |
| **Seychelles** | republic |
| **Sierra Leone** | constitutional democracy |
| **Singapore** | parliamentary republic |
| **Slovakia** | parliamentary democracy |
| **Slovenia** | parliamentary republic |
| **Solomon Islands** | parliamentary democracy |
| **Somalia** | no permanent national government; transitional, parliamentary federal government |
| **South Africa** | republic |
| **Spain** | parliamentary monarchy |
| **Sri Lanka** | republic |
| **Sudan** | Government of National Unity (GNU) - the National Congress Party (NCP) and Sudan People's Liberation Movement (SPLM) formed a power-sharing government under the 2005 Comprehensive Peace Agreement (CPA); the NCP, which came to power by military coup in 1989, is the majority partner; the agreement stipulates national elections in 2009 |
| **Suriname** | constitutional democracy |
| **Svalbard** | NA |
| **Swaziland** | monarchy |
| **Sweden** | constitutional monarchy |
| **Switzerland** | formally a confederation but similar in structure to a federal republic |
| **Syria** | republic under an authoritarian military-dominated regime |
| **Taiwan** | multiparty democracy |
| **Tajikistan** | republic |
| **Tanzania** | republic |
| **Thailand** | constitutional monarchy |
| **Timor-Leste** | republic |
| **Togo** | republic under transition to multiparty democratic rule |
| **Tokelau** | NA |
| **Tonga** | constitutional monarchy |
| **Trinidad and Tobago** | parliamentary democracy |
| **Tunisia** | republic |
| **Turkey** | republican parliamentary democracy |
| **Turkmenistan** | republic; authoritarian presidential rule, with little power outside the executive branch |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | constitutional monarchy with a parliamentary democracy |
| **Uganda** | republic |
| **Ukraine** | republic |
| **United Arab Emirates** | federation with specified powers delegated to the UAE federal government and other powers reserved to member emirates |
| **United Kingdom** | constitutional monarchy |
| **United States** | Constitution-based federal republic; strong democratic tradition |
| **Uruguay** | constitutional republic |
| **Uzbekistan** | republic; authoritarian presidential rule, with little power outside the executive branch |
| **Vanuatu** | parliamentary republic |
| **Venezuela** | federal republic |
| **Vietnam** | Communist state |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **Western Sahara** | legal status of territory and issue of sovereignty unresolved; territory contested by Morocco and Polisario Front (Popular Front for the Liberation of the Saguia el Hamra and Rio de Oro), which in February 1976 formally proclaimed a government-in-exile of the Sahrawi Arab Democratic Republic (SADR), led by President Mohamed ABDELAZIZ; territory partitioned between Morocco and Mauritania in April 1976, with Morocco acquiring northern two-thirds; Mauritania, under pressure from Polisario guerrillas, abandoned all claims to its portion in August 1979; Morocco moved to occupy that sector shortly thereafter and has since asserted administrative control; the Polisario's government-in-exile was seated as an Organization of African Unity (OAU) member in 1984; guerrilla activities continued sporadically until a UN-monitored cease-fire was implemented on 6 September 1991 (Security Council Resolution 690) by the United Nations Mission for the Referendum in Western Sahara or MINURSO |
| **Yemen** | republic |
| **Zambia** | republic |
| **Zimbabwe** | parliamentary democracy |

This page was last updated on 18 December 2008
 
