CIA - The World Factbook 2000 -- Population below poverty line

| Country | Population below poverty line |
| **Mongolia** | 40% (1999 est.) |
| **Montserrat** | NA% |
| **Morocco** | 13.1% (1990-91 est.) |
| **Mozambique** | NA% |
| **Namibia** | NA% |
| **Nauru** | NA% |
| **Nepal** | 42% (1995-96 est.) |
| **Netherlands** | NA% |
| **Netherlands Antilles** | NA% |
| **New Caledonia** | NA% |
| **New Zealand** | NA% |
| **Nicaragua** | 50% (1999 est.) |
| **Niger** | NA% |
| **Nigeria** | 34.1% (1992-93 est.) |
| **Niue** | NA% |
| **Norfolk Island** | NA% |
| **Northern Mariana Islands** | NA% |
| **Norway** | NA% |
| **Oman** | NA% |
| **Pakistan** | 34% (1991 est.) |
| **Palau** | NA% |
| **Panama** | NA% |
| **Papua New Guinea** | NA% |
| **Paraguay** | 32% (1997-98 est.) |
| **Peru** | 54% (1991 est.) |
| **Philippines** | 32% (1997 est.) |
| **Pitcairn Islands** | NA% |
| **Poland** | 23.8% (1993 est.) |
| **Portugal** | NA% |
| **Puerto Rico** | NA% |
| **Qatar** | NA% |
| **Reunion** | NA% |
| **Romania** | 21.5% (1994 est.) |
| **Russia** | 40% (1999 est.) |
| **Rwanda** | 51.2% (1993 est.) |
| **Saint Helena** | NA% |
| **Saint Kitts and Nevis** | NA% |
| **Saint Lucia** | NA% |
| **Saint Pierre and Miquelon** | NA% |
| **Saint Vincent and the Grenadines** | NA% |
| **Samoa** | NA% |
| **San Marino** | NA% |
| **Sao Tome and Principe** | NA% |
| **Saudi Arabia** | NA% |
| **Senegal** | NA% |
| **Serbia and Montenegro** | NA% |
| **Seychelles** | NA% |
| **Sierra Leone** | 68% (1989 est.) |
| **Singapore** | NA% |
| **Slovakia** | NA% |
| **Slovenia** | NA% |
| **Solomon Islands** | NA% |
| **Somalia** | NA% |
| **South Africa** | NA% |
| **Spain** | NA% |
| **Sri Lanka** | 22% (1997 est.) |
| **Sudan** | NA% |
| **Suriname** | NA% |
| **Svalbard** | NA% |
| **Swaziland** | NA% |
| **Sweden** | NA% |
| **Switzerland** | NA% |
| **Syria** | 15%-25% |
| **Tajikistan** | NA% |
| **Tanzania** | 51.1% (1991 est.) |
| **Thailand** | 12.5% (1998 est.) |
| **Togo** | 32% (1987-89 est.) |
| **Tokelau** | NA% |
| **Tonga** | NA% |
| **Trinidad and Tobago** | 21% (1992 est.) |
| **Tunisia** | 14.1% (1990 est.) |
| **Turkey** | NA% |
| **Turkmenistan** | NA% |
| **Turks and Caicos Islands** | NA% |
| **Tuvalu** | NA% |
| **Uganda** | 55% (1993 est.) |
| **Ukraine** | 50% (1999 est.) |
| **United Arab Emirates** | NA% |
| **United Kingdom** | 17% |
| **United States** | 12.7% (1999 est.) |
| **Uruguay** | NA% |
| **Uzbekistan** | NA% |
| **Vanuatu** | NA% |
| **Venezuela** | 67% (1997 est.) |
| **Vietnam** | 37% (1998 est.) |
| **Virgin Islands** | NA% |
| **Wallis and Futuna** | NA% |
| **West Bank** | NA% |
| **Western Sahara** | NA% |
| **Yemen** | NA% |
| **Zambia** | 86% (1993 est.) |
| **Zimbabwe** | 60% (1999 est.) |
| **Taiwan: | 1% (1999 est.)** | 



