CIA - The World Factbook 2002 -- Field Listing - Population below poverty line

| Country | Population below poverty line (%) |
| **Martinique** | NA% |
| **Mauritania** | 50% (2001 est.) |
| **Mauritius** | 10% (2001 est.) |
| **Mayotte** | NA% |
| **Mexico** | 40% (2001 est.) |
| **Micronesia, Federated States of** | NA% |
| **Moldova** | 80% (2001 est.) |
| **Monaco** | NA% |
| **Mongolia** | 36% (2001 est.) |
| **Montserrat** | NA% |
| **Morocco** | 19% (1999 est.) |
| **Mozambique** | 70% (2001 est.) |
| **Namibia** | NA% |
| **Nauru** | NA% |
| **Nepal** | 42% (FY95/96 est. ) |
| **Netherlands** | NA% |
| **Netherlands Antilles** | NA% |
| **New Caledonia** | NA% |
| **New Zealand** | NA% |
| **Nicaragua** | 50% (2001 est.) |
| **Niger** | 63% (1993 est.) |
| **Nigeria** | 45% (2000 est.) |
| **Niue** | NA% |
| **Norfolk Island** | NA% |
| **Northern Mariana Islands** | NA% |
| **Norway** | NA% |
| **Oman** | NA% |
| **Pakistan** | 35% (2001 est.) |
| **Palau** | NA% |
| **Panama** | 37% (1999 est.) |
| **Papua New Guinea** | 37% |
| **Paraguay** | 36% (2001 est.) |
| **Peru** | 50% (2000 est.) |
| **Philippines** | 40% (2001 est.) |
| **Pitcairn Islands** | NA% |
| **Poland** | 18% (2000 est.) |
| **Portugal** | NA% |
| **Puerto Rico** | NA% |
| **Qatar** | NA% |
| **Reunion** | NA% |
| **Romania** | 45% (2000) |
| **Russia** | 40% (1999 est.) |
| **Rwanda** | 70% (2000 est.) |
| **Saint Helena** | NA% |
| **Saint Kitts and Nevis** | NA% |
| **Saint Lucia** | NA% |
| **Saint Pierre and Miquelon** | NA% |
| **Saint Vincent and the Grenadines** | NA% |
| **Samoa** | NA% |
| **San Marino** | NA% |
| **Sao Tome and Principe** | NA% |
| **Saudi Arabia** | NA% |
| **Senegal** | 54% (2001 est.) |
| **Serbia and Montenegro** | 30% |
| **Seychelles** | NA% |
| **Sierra Leone** | 68% (1989 est.) |
| **Singapore** | NA% |
| **Slovakia** | NA% |
| **Slovenia** | NA% |
| **Solomon Islands** | NA% |
| **Somalia** | NA% |
| **South Africa** | 50% (2000 est.) |
| **Spain** | NA% |
| **Sri Lanka** | 22% (1997 est.) |
| **Sudan** | NA% |
| **Suriname** | NA% |
| **Svalbard** | NA% |
| **Swaziland** | NA% |
| **Sweden** | NA% |
| **Switzerland** | NA% |
| **Syria** | 15%-25% |
| **Taiwan** | 1% (2000 est.) |
| **Tajikistan** | 80% (2001 est.) |
| **Tanzania** | 51% (1991 est.) |
| **Thailand** | 13% (1998 est.) |
| **Togo** | 32% (1989 est.) |
| **Tokelau** | NA% |
| **Tonga** | NA% |
| **Trinidad and Tobago** | 21% (1992 est.) |
| **Tunisia** | 6% (2000 est.) |
| **Turkey** | NA% |
| **Turkmenistan** | 34% (2001 est.) |
| **Turks and Caicos Islands** | NA% |
| **Tuvalu** | NA% |
| **Uganda** | 35% (2001 est.) |
| **Ukraine** | 29% (2001 est.) |
| **United Arab Emirates** | NA% |
| **United Kingdom** | 17% |
| **United States** | 13% (2001 est.) |
| **Uruguay** | 6% (1997) |
| **Uzbekistan** | NA% |
| **Vanuatu** | NA% |
| **Venezuela** | 67% (1997 est.) |
| **Vietnam** | 37% (1998 est.) |
| **Virgin Islands** | NA% |
| **Wallis and Futuna** | NA% |
| **West Bank** | 50% (2001 est.) |
| **Western Sahara** | NA% |
| **Yemen** | NA |
| **Zambia** | 86% (1993 est.) |
| **Zimbabwe** | 60% (1999 est.) |

This page was last updated on 19 March 2003
 
