CIA -- The World Factbook -- Population below poverty line

| Country | Background |
| **Mexico** | 27% (1998 est.) |
| **Micronesia, Federated States of** | NA% |
| **Moldova** | 75% (1999 est.) |
| **Monaco** | NA% |
| **Mongolia** | 40% (2000 est.) |
| **Montserrat** | NA% |
| **Morocco** | 19% (1999 est.) |
| **Mozambique** | 70% (2000 est.) |
| **Namibia** | NA% |
| **Nauru** | NA% |
| **Nepal** | 42% (FY95/96 est.) |
| **Netherlands** | NA% |
| **Netherlands Antilles** | NA% |
| **New Caledonia** | NA% |
| **New Zealand** | NA% |
| **Nicaragua** | 50% (2000 est.) |
| **Niger** | 63% (1993 est.) |
| **Nigeria** | 45% (2000 est.) |
| **Niue** | NA% |
| **Norfolk Island** | NA% |
| **Northern Mariana Islands** | NA% |
| **Norway** | NA% |
| **Oman** | NA% |
| **Pakistan** | 40% (2000 est.) |
| **Palau** | NA% |
| **Panama** | 37% (1999 est.) |
| **Papua New Guinea** | 37% |
| **Paraguay** | 36% (2000 est.) |
| **Peru** | 49% (1994 est.) |
| **Philippines** | 41% (1997 est.) |
| **Pitcairn Islands** | NA% |
| **Poland** | 18.4% (2000 est.) |
| **Portugal** | NA% |
| **Puerto Rico** | NA% |
| **Qatar** | NA% |
| **Reunion** | NA% |
| **Romania** | 44.5% (2000) |
| **Russia** | 40% (1999 est.) |
| **Rwanda** | 70% (2000 est.) |
| **Saint Helena** | NA% |
| **Saint Kitts and Nevis** | NA% |
| **Saint Lucia** | NA% |
| **Saint Pierre and Miquelon** | NA% |
| **Saint Vincent and the Grenadines** | NA% |
| **Samoa** | NA% |
| **San Marino** | NA% |
| **Sao Tome and Principe** | NA% |
| **Saudi Arabia** | NA% |
| **Senegal** | NA% |
| **Seychelles** | NA% |
| **Sierra Leone** | 68% (1989 est.) |
| **Singapore** | NA% |
| **Slovakia** | NA% |
| **Slovenia** | NA% |
| **Solomon Islands** | NA% |
| **Somalia** | NA% |
| **South Africa** | 50% (2000 est.) |
| **Spain** | NA% |
| **Sri Lanka** | 22% (1997 est.) |
| **Sudan** | NA% |
| **Suriname** | NA% |
| **Svalbard** | NA% |
| **Swaziland** | NA% |
| **Sweden** | NA% |
| **Switzerland** | NA% |
| **Syria** | 15%-25% |
| **Tajikistan** | 80% (2000 est.) |
| **Tanzania** | 51.1% (1991 est.) |
| **Thailand** | 12.5% (1998 est.) |
| **Togo** | 32% (1989 est.) |
| **Tokelau** | NA% |
| **Tonga** | NA% |
| **Trinidad and Tobago** | 21% (1992 est.) |
| **Tunisia** | 6% (2000 est.) |
| **Turkey** | NA% |
| **Turkmenistan** | 58% (1999 est.) |
| **Turks and Caicos Islands** | NA% |
| **Tuvalu** | NA% |
| **Uganda** | 55% (1993 est.) |
| **Ukraine** | 50% (1999 est.) |
| **United Arab Emirates** | NA% |
| **United Kingdom** | 17% |
| **United States** | 12.7% (1999 est.) |
| **Uruguay** | NA% |
| **Uzbekistan** | NA% |
| **Vanuatu** | NA% |
| **Venezuela** | 67% (1997 est.) |
| **Vietnam** | 37% (1998 est.) |
| **Virgin Islands** | NA% |
| **Wallis and Futuna** | NA% |
| **West Bank** | NA% |
| **Western Sahara** | NA% |
| **Yemen** | 19% (1992 est.) |
| **Yugoslavia** | NA% |
| **Zambia** | 86% (1993 est.) |
| **Zimbabwe** | 60% (1999 est.) |
| **Taiwan** | 1% (1999 est.) |


