CIA - The World Factbook -- Field Listing - Population below poverty line

| Country | Population below poverty line (%) |
| **Malta** | NA% |
| **Man, Isle of** | NA% |
| **Marshall Islands** | NA% |
| **Martinique** | NA% |
| **Mauritania** | 50% (2001 est.) |
| **Mauritius** | 10% (2001 est.) |
| **Mayotte** | NA% |
| **Mexico** | 40% (2001 est.) |
| **Micronesia, Federated States of** | 26.7% |
| **Moldova** | 80% (2001 est.) |
| **Monaco** | NA% |
| **Mongolia** | 36% (2001 est.) |
| **Montserrat** | NA% |
| **Morocco** | 19% (1999 est.) |
| **Mozambique** | 70% (2001 est.) |
| **Namibia** | 50% (2002 est.) |
| **Nauru** | NA% |
| **Nepal** | 42% (1995-96) |
| **Netherlands** | NA% |
| **Netherlands Antilles** | NA% |
| **New Caledonia** | NA% |
| **New Zealand** | NA% |
| **Nicaragua** | 50% (2001 est.) |
| **Niger** | 63% (1993 est.) |
| **Nigeria** | 60% (2000 est.) |
| **Niue** | NA% |
| **Norfolk Island** | NA% |
| **Northern Mariana Islands** | NA% |
| **Norway** | NA% |
| **Oman** | NA% |
| **Pakistan** | 35% (2001 est.) |
| **Palau** | NA% |
| **Panama** | 37% (1999 est.) |
| **Papua New Guinea** | 37% (2002 est.) |
| **Paraguay** | 36% (2001 est.) |
| **Peru** | 50% (2000 est.) |
| **Philippines** | 40% (2001 est.) |
| **Pitcairn Islands** | NA% |
| **Poland** | 18.4% (2000 est.) |
| **Portugal** | NA% |
| **Puerto Rico** | NA% |
| **Qatar** | NA% |
| **Reunion** | NA% |
| **Romania** | 44.5% (2000) |
| **Russia** | 25% (37622 est.) |
| **Rwanda** | 60% (2001 est.) |
| **Saint Helena** | NA% |
| **Saint Kitts and Nevis** | NA% |
| **Saint Lucia** | NA% |
| **Saint Pierre and Miquelon** | NA% |
| **Saint Vincent and the Grenadines** | NA% |
| **Samoa** | NA% |
| **San Marino** | NA% |
| **Sao Tome and Principe** | NA% |
| **Saudi Arabia** | NA% |
| **Senegal** | 54% (2001 est.) |
| **Serbia and Montenegro** | 30% |
| **Seychelles** | NA% |
| **Sierra Leone** | 68% (1989 est.) |
| **Singapore** | NA% |
| **Slovakia** | NA% |
| **Slovenia** | NA% |
| **Solomon Islands** | NA% |
| **Somalia** | NA% |
| **South Africa** | 50% (2000 est.) |
| **Spain** | NA% |
| **Sri Lanka** | 22% (1997 est.) |
| **Sudan** | NA% |
| **Suriname** | 70% (2002 est.) |
| **Svalbard** | NA% |
| **Swaziland** | 40% (1995) |
| **Sweden** | NA% |
| **Switzerland** | NA% |
| **Syria** | 15%-25% |
| **Taiwan** | 1% (2000 est.) |
| **Tajikistan** | 60% (2001 est.) |
| **Tanzania** | 36% (2002 est.) |
| **Thailand** | 12.5% (1998 est.) |
| **Togo** | 32% (1989 est.) |
| **Tokelau** | NA% |
| **Tonga** | NA% |
| **Trinidad and Tobago** | 21% (1992 est.) |
| **Tunisia** | 6% (2000 est.) |
| **Turkey** | NA% |
| **Turkmenistan** | 34.4% (2001 est.) |
| **Turks and Caicos Islands** | NA% |
| **Tuvalu** | NA% |
| **Uganda** | 35% (2001 est.) |
| **Ukraine** | 29% (2001 est.) |
| **United Arab Emirates** | NA% |
| **United Kingdom** | 17% |
| **United States** | 12.7% (2001 est.) |
| **Uruguay** | 6% (1997) |
| **Uzbekistan** | NA% |
| **Vanuatu** | NA% |
| **Venezuela** | 47% (1998 est.) |
| **Vietnam** | 37% (1998 est.) |
| **Virgin Islands** | NA% |
| **Wallis and Futuna** | NA% |
| **West Bank** | 60% (2002 est.) |
| **Western Sahara** | NA% |
| **Yemen** | NA |
| **Zambia** | 86% (1993) |
| **Zimbabwe** | 70% (2002 est.) |

This page was last updated on 18 December, 2003
 
