CIA - The World Factbook 2002 -- Field Listing - Environment - international agreements

| Country | Environment - international agreements |
| **Belarus** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Belgium** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Air Pollution-Sulphur 85, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol |
| **Belize** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Benin** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Bhutan** | *party to:* Biodiversity, Climate Change, Nuclear Test Ban |
| | *signed, but not ratified:* Law of the Sea |
| **Bolivia** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Environmental Modification, Marine Dumping, Marine Life Conservation, Ozone Layer Protection |
| **Bosnia and Herzegovina** | *party to:* Air Pollution, Climate Change, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Botswana** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Brazil** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Brunei** | *party to:* Endangered Species, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Bulgaria** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 85, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Sulphur 94, Climate Change-Kyoto Protocol |
| **Burkina Faso** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Law of the Sea, Nuclear Test Ban |
| **Burma** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Burundi** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* Law of the Sea, Nuclear Test Ban |
| **Cambodia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Law of the Sea, Marine Dumping |
| **Cameroon** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* Nuclear Test Ban |
| **Canada** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Climate Change-Kyoto Protocol, Law of the Sea, Marine Life Conservation |
| **Cape Verde** | *party to:* Biodiversity, Climate Change, Desertification, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Central African Republic** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Nuclear Test Ban, Ozone Layer Protection, Tropical Timber 94 |
| | *signed, but not ratified:* Law of the Sea |
| **Chad** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Nuclear Test Ban, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Law of the Sea, Marine Dumping |
| **Chile** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Nuclear Test Ban |
| **China** | *party to:* Antarctic-Environmental Protocol, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Colombia** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Antarctic-Environmental Protocol, Law of the Sea, Marine Dumping |
| **Comoros** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Congo, Democratic Republic of the** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Congo, Republic of the** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Cook Islands** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Law of the Sea |
| | *signed, but not ratified:* none of the selected agreements |
| **Costa Rica** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Wetlands, Whaling |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Marine Life Conservation |
| **Cote d'Ivoire** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Croatia** | *party to:* Air Pollution, Air Pollution-Sulphur 94, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol |
| **Cuba** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Antarctic-Environmental Protocol, Climate Change-Kyoto Protocol, Marine Life Conservation |
| **Cyprus** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Czech Republic** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Antarctic-Environmental Protocol |
| **Denmark** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Dumping, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Antarctic-Environmental Protocol, Law of the Sea |
| **Djibouti** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Dominica** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Dominican Republic** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Law of the Sea |
| **East Timor** | NA |
| **Ecuador** | *party to:* Antarctic-Environmental Protocol, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Egypt** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **El Salvador** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Nuclear Test Ban, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Equatorial Guinea** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Eritrea** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species |
| | *signed, but not ratified:* none of the selected agreements |
| **Estonia** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Endangered Species, Hazardous Wastes, Ship Pollution, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Ethiopia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* Environmental Modification, Law of the Sea, Nuclear Test Ban |
| **Fiji** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Finland** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol |
| **France** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol |
| **Gabon** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Gambia, The** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Georgia** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Germany** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol |
| **Ghana** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Marine Life Conservation |
| **Greece** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 94, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Climate Change-Kyoto Protocol |
| **Grenada** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Guatemala** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Antarctic-Environmental Protocol |
| **Guinea** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Guinea-Bissau** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Guyana** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Haiti** | *party to:* Biodiversity, Climate Change, Desertification, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection |
| | *signed, but not ratified:* Hazardous Wastes, Nuclear Test Ban |
| **Holy See (Vatican City)** | *party to:* none of the selected agreements |
| | *signed, but not ratified:* Air Pollution, Environmental Modification |
| **Honduras** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Hong Kong** | *party to:* Marine Dumping (associate member), Ship Pollution (associate member) |
| **Hungary** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 94, Antarctic-Environmental Protocol, Law of the Sea |
| **Iceland** | *party to:* Air Pollution, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Environmental Modification, Marine Life Conservation |
| **India** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Indonesia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Marine Life Conservation |
| **Iran** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Environmental Modification, Law of the Sea, Marine Life Conservation |
| **Iraq** | *party to:* Law of the Sea, Nuclear Test Ban |
| | *signed, but not ratified:* Environmental Modification |
| **Ireland** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 94, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Endangered Species, Marine Life Conservation |
| **Israel** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Marine Life Conservation |
| **Italy** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol |
| **Jamaica** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Marine Dumping, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Japan** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Jordan** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Kazakhstan** | *party to:* Air Pollution, Biodiversity, Climate Change, Desertification, Endangered Species, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Kenya** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Kiribati** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Marine Dumping, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Korea, North** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Environmental Modification, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Antarctic-Environmental Protocol, Law of the Sea |
| **Korea, South** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
