CIA - The World Factbook --  HIV/AIDS - PEOPLE LIVING WITH HIV/AIDS

HIV/AIDS - people living with HIV/AIDS compares all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | Country | HIV/AIDS - PEOPLE LIVING WITH HIV/AIDS | Date of Information |
| 79 | Switzerland | 20,200 | 2013 est. |
| 80 | Bolivia | 17,900 | 2014 est. |
| 81 | Moldova | 17,600 | 2014 est. |
| 82 | Cuba | 17,100 | 2014 est. |
| 83 | Paraguay | 16,800 | 2014 est. |
| 84 | Tajikistan | 16,400 | 2014 est. |
| 85 | Romania | 16,200 | 2013 est. |
| 86 | Eritrea | 16,100 | 2014 est. |
| 87 | Mauritania | 15,900 | 2014 est. |
| 88 | Panama | 15,500 | 2013 est. |
| 89 | Uruguay | 14,400 | 2014 est. |
| 90 | Trinidad and Tobago | 14,000 | 2013 est. |
| 91 | Laos | 11,100 | 2014 est. |
| 92 | Algeria | 10,500 | 2014 est. |
| 93 | Djibouti | 9,900 | 2014 est. |
| 94 | Guyana | 9,700 | 2014 est. |
| 95 | Kyrgyzstan | 9,300 | 2014 est. |
| 96 | Bangladesh | 8,900 | 2014 est. |
| 97 | Costa Rica | 8,800 | 2014 est. |
| 98 | Egypt | 8,800 | 2014 est. |
| 99 | Estonia | 8,600 | 2013 est. |
| 100 | Azerbaijan | 8,400 | 2014 est. |
| 101 | Mauritius | 8,300 | 2014 est. |
| 102 | Ireland | 8,000 | 2014 est. |
| 103 | Bahamas, The | 7,700 | 2013 est. |
| 104 | Yemen | 7,200 | 2014 est. |
| 105 | Afghanistan | 6,700 | 2014 est. |
| 106 | Georgia | 6,600 | 2014 est. |
| 107 | Nicaragua | 6,600 | 2013 est. |
| 108 | Denmark | 6,000 | 2014 est. |
| 109 | Armenia | 4,000 | 2014 est. |
| 110 | Suriname | 3,800 | 2014 est. |
| 111 | Czechia | 3,400 | 2013 est. |
| 112 | Cabo Verde | 3,400 | 2014 est. |
| 113 | Sri Lanka | 3,300 | 2014 est. |
| 114 | Belize | 3,300 | 2013 est. |
| 115 | Serbia | 3,000 | 2013 est. |
| 116 | Tunisia | 2,700 | 2014 est. |
| 117 | Lebanon | 1,800 | 2014 est. |
| 118 | Barbados | 1,500 | 2012 est. |
| 119 | Sao Tome and Principe | 1,000 | 2014 est. |
| 120 | Slovenia | 900 | 2014 est. |
| 121 | Syria | 900 | 2014 est. |
| 122 | Fiji | 700 | 2014 est. |
| 123 | Bhutan | 600 | 2013 est. |
| 124 | Mongolia | 600 | 2013 est. |
| 125 | Cyprus | 400 | 2013 est. |
| 126 | Macedonia | 200 | 2013 est. |
| 127 | Maldives | 100 | 2013 est. |


