CIA - The World Factbook --  HIV/AIDS - people living with HIV/AIDS   

HIV/AIDS - people living with HIV/AIDS compares all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | country | HIV/AIDS - people living with HIV/AIDS | Date of Information |
| 42 | Burkina Faso | 114,500 | 2012 est. |
| 43 | Venezuela | 107,900 | 2012 est. |
| 44 | Mali | 100,300 | 2012 est. |
| 45 | Argentina | 97,900 | 2012 est. |
| 46 | Burundi | 89,500 | 2012 est. |
| 47 | Pakistan | 86,700 | 2012 est. |
| 48 | United Kingdom | 85,000 | 2009 est. |
| 49 | Malaysia | 82,000 | 2012 est. |
| 50 | Cambodia | 76,400 | 2012 est. |
| 51 | Peru | 75,500 | 2012 est. |
| 52 | Congo, Republic of the | 74,500 | 2012 est. |
| 53 | Benin | 71,500 | 2012 est. |
| 54 | Iran | 70,900 | 2012 est. |
| 55 | Canada | 68,000 | 2009 est. |
| 56 | Germany | 67,000 | 2009 est. |
| 57 | Madagascar | 58,800 | 2012 est. |
| 58 | Guatemala | 57,800 | 2012 est. |
| 59 | Sierra Leone | 57,700 | 2012 est. |
| 60 | Ecuador | 52,300 | 2012 est. |
| 61 | Nepal | 48,700 | 2012 est. |
| 62 | Niger | 46,300 | 2012 est. |
| 63 | Dominican Republic | 45,000 | 2012 est. |
| 64 | Senegal | 42,800 | 2012 est. |
| 65 | Portugal | 42,000 | 2009 est. |
| 66 | Guinea-Bissau | 41,300 | 2012 est. |
| 67 | Gabon | 40,700 | 2012 est. |
| 68 | Chile | 38,700 | 2012 est. |
| 69 | Equatorial Guinea | 31,400 | 2012 est. |
| 70 | Somalia | 31,200 | 2012 est. |
| 71 | Morocco | 30,000 | 2012 est. |
| 72 | Uzbekistan | 29,700 | 2012 est. |
| 73 | Jamaica | 28,400 | 2012 est. |
| 74 | Poland | 27,000 | 2009 est. |
| 75 | Honduras | 25,600 | 2012 est. |
| 76 | Papua New Guinea | 24,900 | 2012 est. |
| 77 | El Salvador | 24,900 | 2012 est. |
| 78 | Belarus | 23,200 | 2012 est. |
| 79 | Netherlands | 22,000 | 2009 est. |
| 80 | Liberia | 21,800 | 2012 est. |
| 81 | Australia | 20,000 | 2009 est. |
| 82 | Yemen | 18,800 | 2012 est. |
| 83 | Moldova | 18,700 | 2012 est. |
| 84 | Algeria | 18,000 | 2009 est. |
| 85 | Switzerland | 18,000 | 2009 est. |
| 86 | Eritrea | 17,800 | 2012 est. |
| 87 | Panama | 16,700 | 2012 est. |
| 88 | Romania | 16,000 | 2009 est. |
| 89 | Bolivia | 15,900 | 2012 est. |
| 90 | Austria | 15,000 | 2009 est. |
| 91 | Philippines | 14,800 | 2012 est. |
| 92 | Gambia, The | 14,300 | 2012 est. |
| 93 | Trinidad and Tobago | 14,300 | 2012 est. |
| 94 | Belgium | 14,000 | 2009 est. |
| 95 | Uruguay | 13,200 | 2012 est. |
| 96 | Paraguay | 13,100 | 2012 est. |
| 97 | Kazakhstan | 13,000 | 2009 est. |
| 98 | Tajikistan | 11,900 | 2012 est. |
| 99 | Laos | 11,500 | 2012 est. |
| 100 | Mauritania | 10,500 | 2012 est. |
| 101 | Mauritius | 10,500 | 2012 est. |
| 102 | Azerbaijan | 10,400 | 2012 est. |
| 103 | Libya | 10,000 | 2001 est. |
| 104 | Estonia | 9,900 | 2009 est. |
| 105 | Costa Rica | 9,800 | 2012 est. |
| 106 | Nicaragua | 9,600 | 2012 est. |
| 107 | Korea, South | 9,500 | 2009 est. |
| 108 | Greece | 8,800 | 2009 est. |
| 109 | Kyrgyzstan | 8,700 | 2012 est. |
| 110 | Latvia | 8,600 | 2009 est. |
| 111 | Sweden | 8,100 | 2009 est. |
| 112 | Japan | 8,100 | 2009 est. |
| 113 | Bangladesh | 8,000 | 2012 est. |
| 114 | Djibouti | 7,700 | 2012 est. |
| 115 | Israel | 7,500 | 2009 est. |
| 116 | Guyana | 7,200 | 2012 est. |
| 117 | Bahamas, The | 7,000 | 2012 est. |
| 118 | Ireland | 6,900 | 2009 est. |
| 119 | Georgia | 6,600 | 2012 est. |
| 120 | Egypt | 6,500 | 2012 est. |
| 121 | Serbia | 6,400 | 2009 est. |
| 122 | Denmark | 5,300 | 2009 est. |
| 123 | Cuba | 4,700 | 2012 est. |
| 124 | Turkey | 4,600 | 2009 est. |
| 125 | Afghanistan | 4,300 | 2012 est. |
| 126 | Suriname | 4,000 | 2012 est. |
| 127 | Norway | 4,000 | 2009 est. |
| 128 | Bulgaria | 3,800 | 2009 est. |
| 129 | Lebanon | 3,600 | 2009 est. |
| 130 | Armenia | 3,500 | 2012 est. |
| 131 | Singapore | 3,400 | 2009 est. |
| 132 | Belize | 3,100 | 2012 est. |
| 133 | Hungary | 3,000 | 2009 est. |
| 134 | Sri Lanka | 3,000 | 2012 est. |
| 135 | Finland | 2,600 | 2009 est. |
| 136 | Hong Kong | 2,600 | 2003 est. |
| 137 | New Zealand | 2,500 | 2009 est. |
| 138 | Tunisia | 2,300 | 2012 est. |
| 139 | Czech Republic | 2,000 | 2009 est. |
| 140 | Barbados | 1,500 | 2012 est. |
| 141 | Sao Tome and Principe | 1,400 | 2012 est. |
| 142 | Lithuania | 1,200 | 2009 est. |
| 143 | Bhutan | 1,100 | 2012 est. |
| 144 | Oman | 1,100 | 2009 est. |
| 145 | Slovenia | 1,000 | 2009 est. |
| 146 | Cyprus | 1,000 | 2007 est. |
| 147 | Iceland | 1,000 | 2009 est. |
| 148 | Luxembourg | 1,000 | 2009 est. |
| 149 | Croatia | 1,000 | 2009 est. |
| 150 | Fiji | 900 | 2012 est. |
| 151 | Bosnia and Herzegovina | 900 | 2007 est. |
| 152 | Cabo Verde | 800 | 2012 est. |
| 153 | Bahrain | 600 | 2007 est. |
| 154 | Jordan | 600 | 2007 est. |
| 155 | Comoros | 500 | 2009 est. |
| 156 | Slovakia | 500 | 2009 est. |
| 157 | Iraq | 500 | 2003 est. |
| 158 | Syria | 500 | 2003 est. |
| 159 | Malta | 500 | 2009 est. |
| 160 | Mongolia | 500 | 2009 est. |
| 161 | Turkmenistan | 200 | 2007 est. |
| 162 | Qatar | 200 | 2009 est. |
| 163 | Macedonia | 200 | 2007 est. |
| 164 | Brunei | 200 | 2003 est. |
| 165 | Bermuda | 163 | 2005 est. |


