CIA - The World Factbook --  HIV/AIDS - people living with HIV/AIDS   

This entry gives an estimate of all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | country | HIV/AIDS - people living with HIV/AIDS | Date of Information |
| 84 | Uzbekistan | 16,000 | 2007 est. |
| 85 | Guinea-Bissau | 16,000 | 2007 est. |
| 86 | Belgium | 15,000 | 2007 est. |
| 87 | Romania | 15,000 | 2007 est. |
| 88 | Madagascar | 14,000 | 2007 est. |
| 89 | Mauritania | 14,000 | 2007 est. |
| 90 | Trinidad and Tobago | 14,000 | 2007 est. |
| 91 | Belarus | 13,000 | 2007 est. |
| 92 | Guyana | 13,000 | 2007 est. |
| 93 | Mauritius | 13,000 | 2007 est. |
| 94 | Korea, South | 13,000 | 2007 est. |
| 95 | Bangladesh | 12,000 | 2007 est. |
| 96 | Yemen | 12,000 | 2001 est. |
| 97 | Kazakhstan | 12,000 | 2007 est. |
| 98 | Equatorial Guinea | 11,000 | 2007 est. |
| 99 | Greece | 11,000 | 2007 est. |
| 100 | Latvia | 10,000 | 2007 est. |
| 101 | Libya | 10,000 | 2001 est. |
| 102 | Uruguay | 10,000 | 2007 est. |
| 103 | Tajikistan | 10,000 | 2007 est. |
| 104 | Estonia | 9,900 | 2007 est. |
| 105 | Austria | 9,800 | 2007 est. |
| 106 | Costa Rica | 9,700 | 2007 est. |
| 107 | Japan | 9,600 | 2007 est. |
| 108 | Egypt | 9,200 | 2007 est. |
| 109 | Moldova | 8,900 | 2007 est. |
| 110 | Philippines | 8,300 | 2007 est. |
| 111 | Gambia, The | 8,200 | 2007 est. |
| 112 | Bolivia | 8,100 | 2007 est. |
| 113 | Azerbaijan | 7,800 | 2007 est. |
| 114 | Nicaragua | 7,700 | 2007 est. |
| 115 | Puerto Rico | 7,397 | NA |
| 116 | Suriname | 6,800 | 2007 est. |
| 117 | Serbia | 6,400 | 2009 est. |
| 118 | Bahamas, The | 6,200 | 2007 est. |
| 119 | Cuba | 6,200 | 2007 est. |
| 120 | Sweden | 6,200 | 2007 est. |
| 121 | Ireland | 5,500 | 2007 est. |
| 122 | Laos | 5,500 | 2007 est. |
| 123 | Israel | 5,100 | 2007 est. |
| 124 | Denmark | 4,800 | 2007 est. |
| 125 | Kyrgyzstan | 4,200 | 2007 est. |
| 126 | Singapore | 4,200 | 2007 est. |
| 127 | Sri Lanka | 3,800 | 2007 est. |
| 128 | Tunisia | 3,700 | 2007 est. |
| 129 | Belize | 3,600 | 2007 est. |
| 130 | Hungary | 3,300 | 2007 est. |
| 131 | Lebanon | 3,000 | 2007 est. |
| 132 | Norway | 3,000 | 2007 est. |
| 133 | Georgia | 2,700 | 2007 est. |
| 134 | Hong Kong | 2,600 | 2003 est. |
| 135 | Armenia | 2,400 | 2007 est. |
| 136 | Finland | 2,400 | 2007 est. |
| 137 | Barbados | 2,200 | 2007 est. |
| 138 | Lithuania | 2,200 | 2007 est. |
| 139 | Czech Republic | 1,500 | 2007 est. |
| 140 | New Zealand | 1,400 | 2007 est. |
| 141 | Oman | 1,300 | 2001 est. |
| 142 | Cyprus | 1,000 | 2007 est. |
| 143 | Bosnia and Herzegovina | 900 | 2007 est. |
| 144 | Cape Verde | 775 | NA |
| 145 | Bahrain | 600 | 2007 est. |
| 146 | Jordan | 600 | 2007 est. |
| 147 | Fiji | 600 | 2003 est. |
| 148 | Iraq | 500 | 2003 est. |
| 149 | Syria | 500 | 2003 est. |
| 150 | Luxembourg | 500 | 2003 est. |
| 151 | Malta | 500 | 2007 est. |
| 152 | Mongolia | 500 | 2007 est. |
| 153 | Bulgaria | 346 | 2001 est. |
| 154 | Slovenia | 280 | 2007 est. |
| 155 | Iceland | 220 | 2007 est. |
| 156 | Brunei | 200 | 2003 est. |
| 157 | Turkmenistan | 200 | 2007 est. |
| 158 | Slovakia | 200 | 2007 est. |
| 159 | Macedonia | 200 | 2007 est. |
| 160 | Croatia | 200 | 2007 est. |
| 161 | Bermuda | 163 | 2005 |
| 162 | Bhutan | 100 | 2007 est. |
| 163 | Maldives | 100 | 2001 est. |
| 164 | Greenland | 100 | NA |
| 165 | Svalbard | 0 | 2001 |
