CIA - The World Factbook --  Pipelines   

This entry gives the lengths and types of pipelines for transporting products like natural gas, crude oil, or petroleum products.

| Rank | country | (km) | Date of Information |
| 89 | Romania | 2,424.00 | 2008 |
| 90 | Armenia | 2,233.00 | 2008 |
| 91 | Burma | 2,228.00 | 2008 |
| 92 | India | 2,156.00 | 2008 |
| 93 | United Arab Emirates | 2,129.00 | 2008 |
| 94 | Tunisia | 2,102.00 | 2008 |
| 95 | Pakistan | 2,076.00 | 2008 |
| 96 | Syria | 2,000.00 | 2008 |
| 97 | Malaysia | 1,965.00 | 2008 |
| 98 | Algeria | 1,937.00 | 2008 |
| 99 | Serbia | 1,921.00 | 2008 |
| 100 | Moldova | 1,906.00 | 2008 |
| 101 | Saudi Arabia | 1,880.00 | 2008 |
| 102 | Mexico | 1,875.00 | 2006 |
| 103 | New Zealand | 1,838.00 | 2008 |
| 104 | Belarus | 1,730.00 | 2008 |
| 105 | Lithuania | 1,695.00 | 2008 |
| 106 | Switzerland | 1,662.00 | 2008 |
| 107 | Iraq | 1,637.00 | 2008 |
| 108 | Sudan | 1,613.00 | 2008 |
| 109 | Georgia | 1,591.00 | 2008 |
| 110 | Bolivia | 1,589.00 | 2008 |
| 111 | Ireland | 1,550.00 | 2008 |
| 112 | Belarus | 1,528.00 | 2008 |
| 113 | Venezuela | 1,484.00 | 2008 |
| 114 | Kazakhstan | 1,465.00 | 2008 |
| 115 | Turkmenistan | 1,457.00 | 2008 |
| 116 | Azerbaijan | 1,424.00 | 2008 |
| 117 | Korea, South | 1,423.00 | 2008 |
| 118 | Poland | 1,384.00 | 2008 |
| 119 | South Africa | 1,379.00 | 2008 |
| 120 | Ecuador | 1,374.00 | 2008 |
| 121 | Indonesia | 1,370.00 | 2008 |
| 122 | Yemen | 1,367.00 | 2008 |
| 123 | Thailand | 1,348.00 | 2008 |
| 124 | Belgium | 1,330.00 | 2008 |
| 125 | Croatia | 1,327.00 | 2008 |
| 126 | United Arab Emirates | 1,310.00 | 2008 |
| 127 | Ecuador | 1,301.00 | 2008 |
| 128 | Georgia | 1,253.00 | 2008 |
| 129 | Italy | 1,241.00 | 2008 |
| 130 | Greece | 1,197.00 | 2008 |
| 131 | Tunisia | 1,195.00 | 2008 |
| 132 | Saudi Arabia | 1,183.00 | 2008 |
| 133 | Saudi Arabia | 1,148.00 | 2008 |
| 134 | Portugal | 1,098.00 | 2008 |
| 135 | Kazakhstan | 1,095.00 | 2008 |
| 136 | Peru | 1,078.00 | 2008 |
| 137 | Peru | 1,018.00 | 2008 |
| 138 | Hungary | 987.00 | 2008 |
| 139 | South Africa | 980.00 | 2008 |
| 140 | Venezuela | 980.00 | 2008 |
| 141 | Qatar | 978.00 | 2008 |
| 142 | Egypt | 956.00 | 2008 |
| 143 | Latvia | 948.00 | 2008 |
| 144 | Kenya | 928.00 | 2008 |
| 145 | Iraq | 918.00 | 2008 |
| 146 | Mozambique | 918.00 | 2008 |
| 147 | South Africa | 908.00 | 2008 |
| 148 | Egypt | 895.00 | 2008 |
| 149 | Chile | 892.00 | 2008 |
| 150 | Cameroon | 889.00 | 2008 |
| 151 | Tanzania | 888.00 | 2008 |
| 152 | Uzbekistan | 868.00 | 2008 |
| 153 | Estonia | 859.00 | 2008 |
| 154 | Slovenia | 840.00 | 2008 |
| 155 | Morocco | 830.00 | 2008 |
| 156 | Korea, South | 827.00 | 2008 |
| 157 | Costa Rica | 796.00 | 2008 |
| 158 | Pakistan | 792.00 | 2008 |
| 159 | Sweden | 786.00 | 2008 |
| 160 | Poland | 777.00 | 2008 |
| 161 | Libya | 776.00 | 2008 |
| 162 | Zambia | 771.00 | 2008 |
| 163 | Chile | 769.00 | 2008 |
| 164 | Congo, Democratic Republic of the | 756.00 | 2008 |
| 165 | Indonesia | 735.00 | 2008 |
| 166 | Gabon | 723.00 | 2008 |
| 167 | Netherlands | 716.00 | 2008 |
| 168 | United Kingdom | 699.00 | 2008 |
| 169 | Finland | 694.00 | 2008 |
| 170 | Austria | 663.00 | 2008 |
| 171 | Trinidad and Tobago | 659.00 | 2008 |
| 172 | Kazakhstan | 658.00 | 2008 |
| 173 | Peru | 654.00 | 2008 |
| 174 | Croatia | 583.00 | 2008 |
| 175 | Iran | 570.00 | 2008 |
| 176 | Spain | 560.00 | 2008 |
| 177 | Burma | 558.00 | 2008 |
| 178 | Tajikistan | 549.00 | 2008 |
| 179 | Czech Republic | 547.00 | 2008 |
| 180 | Kuwait | 540.00 | 2008 |
| 181 | Laos | 540.00 | 2008 |
| 182 | Belgium | 535.00 | 2008 |
| 183 | Peru | 533.00 | 2008 |
| 184 | Chile | 519.00 | 2008 |
| 185 | Guatemala | 480.00 | 2008 |
| 186 | Afghanistan | 466.00 | 2008 |
| 187 | United Arab Emirates | 458.00 | 2008 |
| 188 | Israel | 442.00 | 2008 |
| 189 | Jordan | 439.00 | 2008 |
| 190 | Morocco | 439.00 | 2008 |
| 191 | Ecuador | 435.00 | 2008 |
| 192 | Slovakia | 416.00 | 2008 |
| 193 | Latvia | 415.00 | 2008 |
| 194 | Taiwan | 406.00 | 2008 |
| 195 | Qatar | 382.00 | 2008 |
| 196 | Tunisia | 372.00 | 2008 |
| 197 | Netherlands | 365.00 | 2008 |
| 198 | Brazil | 353.00 | 2008 |
| 199 | Albania | 339.00 | 2008 |
| 200 | Bulgaria | 339.00 | 2008 |
| 201 | Trinidad and Tobago | 336.00 | 2008 |
| 202 | Hungary | 335.00 | 2008 |
| 203 | New Zealand | 331.00 | 2008 |
| 204 | Serbia | 323.00 | 2008 |
| 205 | Thailand | 323.00 | 2008 |
| 206 | Egypt | 320.00 | 2008 |
| 207 | Ghana | 309.00 | 2008 |
| 208 | New Zealand | 288.00 | 2008 |
| 209 | Mozambique | 278.00 | 2008 |
| 210 | Zimbabwe | 270.00 | 2008 |
| 211 | Kuwait | 269.00 | 2008 |
| 212 | Macedonia | 268.00 | 2008 |
| 213 | Oman | 263.00 | 2008 |
| 214 | Israel | 261.00 | 2008 |
| 215 | Kyrgyzstan | 254.00 | 2008 |
| 216 | Tanzania | 253.00 | 2008 |
| 217 | Chad | 250.00 | 2008 |
| 218 | Australia | 240.00 | 2008 |
| 219 | Gabon | 240.00 | 2008 |
| 220 | Cuba | 230.00 | 2008 |
| 221 | Mexico | 228.00 | 2006 |
| 222 | Uruguay | 226.00 | 2008 |
| 223 | United Arab Emirates | 220.00 | 2008 |
| 224 | United Arab Emirates | 212.00 | 2008 |
| 225 | Saudi Arabia | 212.00 | 2008 |
| 226 | Albania | 207.00 | 2008 |
| 227 | Congo, Republic of the | 207.00 | 2008 |
| 228 | Vietnam | 206.00 | 2008 |
| 229 | New Zealand | 198.00 | 2008 |
| 230 | Papua New Guinea | 195.00 | 2008 |
| 231 | Portugal | 188.00 | 2008 |
| 232 | Cote d'Ivoire | 180.00 | 2008 |
| 233 | Israel | 176.00 | 2008 |
| 234 | New Zealand | 172.00 | 2008 |
| 235 | Japan | 167.00 | 2008 |
| 236 | Belgium | 158.00 | 2008 |
| 237 | Austria | 157.00 | 2008 |
| 238 | Bulgaria | 156.00 | 2008 |
| 239 | Sudan | 156.00 | 2008 |
| 240 | Luxembourg | 155.00 | 2008 |
| 241 | Uruguay | 155.00 | 2008 |
| 242 | Korea, North | 154.00 | 2008 |
| 243 | Qatar | 145.00 | 2008 |
| 244 | Venezuela | 141.00 | 2008 |
| 245 | Qatar | 132.00 | 2008 |
| 246 | Russia | 127.00 | 2008 |
| 247 | Russia | 122.00 | 2008 |
| 248 | Macedonia | 120.00 | 2008 |
| 249 | Lithuania | 114.00 | 2008 |
| 250 | Malaysia | 114.00 | 2008 |
| 251 | Philippines | 112.00 | 2008 |
| 252 | Denmark | 107.00 | 2008 |
| 253 | Philippines | 107.00 | 2008 |
| 254 | Singapore | 106.00 | 2008 |
| 255 | Nigeria | 97.00 | 2008 |
| 256 | Yemen | 96.00 | 2008 |
| 257 | Czech Republic | 94.00 | 2008 |
| 258 | Switzerland | 94.00 | 2008 |
| 259 | Cote d'Ivoire | 92.00 | 2008 |
| 260 | United Arab Emirates | 90.00 | 2008 |
| 261 | Qatar | 90.00 | 2008 |
| 262 | Angola | 87.00 | 2008 |
| 263 | Cote d'Ivoire | 86.00 | 2008 |
| 264 | Greece | 75.00 | 2008 |
| 265 | Indonesia | 73.00 | 2008 |
| 266 | Vietnam | 66.00 | 2008 |
| 267 | Norway | 64.00 | 2008 |
| 268 | Brazil | 62.00 | 2008 |
| 269 | Egypt | 59.00 | 2008 |
| 270 | United Kingdom | 59.00 | 2008 |
| 271 | Kuwait | 57.00 | 2008 |
| 272 | Nicaragua | 54.00 | 2008 |
| 273 | Japan | 53.00 | 2008 |
| 274 | Suriname | 50.00 | 2008 |
| 275 | Jordan | 49.00 | 2008 |
| 276 | Bolivia | 47.00 | 2008 |
| 277 | Indonesia | 44.00 | 2008 |
| 278 | Lebanon | 43.00 | 2008 |
| 279 | Senegal | 43.00 | 2008 |
| 280 | United Kingdom | 43.00 | 2008 |
| 281 | Vietnam | 42.00 | 2008 |
| 282 | Argentina | 41.00 | 2008 |
| 283 | Cuba | 41.00 | 2008 |
| 284 | Congo, Democratic Republic of the | 39.00 | 2008 |
| 285 | Equatorial Guinea | 38.00 | 2008 |
| 286 | Tajikistan | 38.00 | 2008 |
| 287 | Brunei | 37.00 | 2008 |
| 288 | Congo, Democratic Republic of the | 37.00 | 2008 |
| 289 | Bahrain | 32.00 | 2008 |
| 290 | Malaysia | 31.00 | 2008 |
| 291 | Norway | 31.00 | 2008 |
| 292 | Russia | 23.00 | 2008 |
| 293 | Yemen | 22.00 | 2008 |
| 294 | Nigeria | 21.00 | 2008 |
| 295 | Bahrain | 20.00 | 2008 |
| 296 | Liechtenstein | 20.00 | 2008 |
| 297 | Brunei | 18.00 | 2008 |
| 298 | Kyrgyzstan | 16.00 | 2008 |
| 299 | Peru | 15.00 | 2008 |
| 300 | Egypt | 13.00 | 2008 |
| 301 | Indonesia | 12.00 | 2008 |
| 302 | Iran | 12.00 | 2008 |
| 303 | Portugal | 11.00 | 2008 |
| 304 | South Africa | 11.00 | 2008 |
| 305 | Slovenia | 11.00 | 2008 |
| 306 | Egypt | 9.00 | 2008 |
| 307 | Senegal | 8.00 | 2008 |
| 308 | Tanzania | 8.00 | 2008 |
| 309 | Congo, Republic of the | 7.00 | 2008 |
| 310 | Switzerland | 7.00 | 2008 |
| 311 | Iran | 7.00 | 2008 |
| 312 | Ecuador | 5.00 | 2008 |
| 313 | Ghana | 5.00 | 2008 |
| 314 | Kenya | 4.00 | 2008 |
| 315 | Egypt | 3.00 | 2008 |
| 316 | Malaysia | 3.00 | 2008 |
| 317 | Angola | 2.00 | 2008 |
| 318 | India | 2.00 | 2008 |
| 319 | Azerbaijan | 1.00 | 2008 |
| 320 | Australia | 1.00 | 2008 |
