CIA - The World Factbook 2002 -- Field Listing - Household income or consumption by percentage share

| Country | Household income or consumption by percentage share (%) |
| **Brazil** | *lowest 10%:* 1% |
| | *highest 10%:* 47% (1997) (1997) |
| **British Virgin Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Brunei** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Bulgaria** | *lowest 10%:* 5% |
| | *highest 10%:* 23% (1997) |
| **Burkina Faso** | *lowest 10%:* 2% |
| | *highest 10%:* 40% (1994) (1994) |
| **Burma** | *lowest 10%:* 3% |
| | *highest 10%:* 32% (1998) |
| **Burundi** | *lowest 10%:* 3% |
| | *highest 10%:* 27% (1992) (1992) |
| **Cambodia** | *lowest 10%:* 3% |
| | *highest 10%:* 34% (1997) |
| **Cameroon** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Canada** | *lowest 10%:* 3% |
| | *highest 10%:* 24% (1994) (1994) |
| **Cape Verde** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Cayman Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Central African Republic** | *lowest 10%:* 1% |
| | *highest 10%:* 48% (1993) (1993) |
| **Chad** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Chile** | *lowest 10%:* 1% |
| | *highest 10%:* 41% (1998) (1998) |
| **China** | *lowest 10%:* 2% |
| | *highest 10%:* 30% (1998) |
| **Christmas Island** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Cocos (Keeling) Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Colombia** | *lowest 10%:* 1% |
| | *highest 10%:* 44% (1999) (1999) |
| **Comoros** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Congo, Democratic Republic of the** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Congo, Republic of the** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Cook Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Costa Rica** | *lowest 10%:* 2% |
| | *highest 10%:* 35% (2001) (2001) |
| **Cote d'Ivoire** | *lowest 10%:* 3% |
| | *highest 10%:* 29% (1995) (1995) |
| **Croatia** | *lowest 10%:* 4% |
| | *highest 10%:* 23% (1998) |
| **Cuba** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Cyprus** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Czech Republic** | *lowest 10%:* 4% |
| | *highest 10%:* 22% (1996) |
| **Denmark** | *lowest 10%:* 2% |
| | *highest 10%:* 24% (2000 est.) |
| **Djibouti** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Dominica** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Dominican Republic** | *lowest 10%:* 2% |
| | *highest 10%:* 40% (1989) (1989) |
| **East Timor** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Ecuador** | *lowest 10%:* 2% |
| | *highest 10%:* 34% (1995) (1995) |
| **Egypt** | *lowest 10%:* 4% |
| | *highest 10%:* 25% (1995) |
| **El Salvador** | *lowest 10%:* 1% |
| | *highest 10%:* 39% (2001) (2001) |
| **Equatorial Guinea** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Eritrea** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Estonia** | *lowest 10%:* 3% |
| | *highest 10%:* 30% (1998) |
| **Ethiopia** | *lowest 10%:* 3% |
| | *highest 10%:* 34% (1995) (1995) |
| **Falkland Islands (Islas Malvinas)** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Faroe Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Fiji** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Finland** | *lowest 10%:* 4% |
| | *highest 10%:* 22% (1991) (1991) |
| **France** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1995) |
| **French Guiana** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **French Polynesia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Gabon** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Gambia, The** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Gaza Strip** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Georgia** | *lowest 10%:* 2% |
| | *highest 10%:* 28% (1996) |
| **Germany** | *lowest 10%:* 4% |
| | *highest 10%:* 25% (1997) |
| **Ghana** | *lowest 10%:* 2% |
| | *highest 10%:* 30% (1998) |
| **Gibraltar** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Greece** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1993 est.) |
| **Greenland** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Grenada** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Guadeloupe** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Guam** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Guatemala** | *lowest 10%:* 2% |
| | *highest 10%:* 46% (1998) (1998) |
| **Guernsey** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Guinea** | *lowest 10%:* 3% |
| | *highest 10%:* 32% (1994) (1994) |
| **Guinea-Bissau** | *lowest 10%:* 1% |
| | *highest 10%:* 42% (1991) (1991) |
| **Guyana** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Haiti** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Holy See (Vatican City)** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Honduras** | *lowest 10%:* 0% |
| | *highest 10%:* 44% (1997) (1997) |
| **Hong Kong** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Hungary** | *lowest 10%:* 4% |
| | *highest 10%:* 21% (1998) |
| **Iceland** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **India** | *lowest 10%:* 4% |
| | *highest 10%:* 34% (1997) (1997) |
| **Indonesia** | *lowest 10%:* 4% |
| | *highest 10%:* 27% (1999) |
| **Iran** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Iraq** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Ireland** | *lowest 10%:* 2% |
| | *highest 10%:* 27% (1997) |
| **Israel** | *lowest 10%:* 2% |
| | *highest 10%:* 28% (1992) (1997) |
| **Italy** | *lowest 10%:* 2% |
| | *highest 10%:* 27% (2000) |
| **Jamaica** | *lowest 10%:* 3% |
| | *highest 10%:* 29% (1996) (1996) |
| **Japan** | *lowest 10%:* 5% |
| | *highest 10%:* 22% (1993) |
| **Jersey** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Jordan** | *lowest 10%:* 3% |
| | *highest 10%:* 30% (1997) (1997) |
| **Kazakhstan** | *lowest 10%:* 3% |
| | *highest 10%:* 27% (2001) |
| **Kenya** | *lowest 10%:* 2% |
| | *highest 10%:* 37% (2000) |
| **Kiribati** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Korea, North** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Korea, South** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1998 est.) |
| **Kuwait** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Kyrgyzstan** | *lowest 10%:* 3% |
| | *highest 10%:* 32% (1997) (1997) |
| **Laos** | *lowest 10%:* 3% |
| | *highest 10%:* 31% (1997) |
| **Latvia** | *lowest 10%:* 3% |
| | *highest 10%:* 26% (1998) (1998) |
| **Lebanon** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Lesotho** | *lowest 10%:* 1% |
| | *highest 10%:* 43% (1986-87) |
| **Liberia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Libya** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Liechtenstein** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Lithuania** | *lowest 10%:* 3% |
| | *highest 10%:* 26% (1996) (1996) |
| **Luxembourg** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Macau** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Macedonia, The Former Yugoslav Republic of** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Madagascar** | *lowest 10%:* 2% |
| | *highest 10%:* 37% (1997) |
| **Malawi** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Malaysia** | *lowest 10%:* 2% |
| | *highest 10%:* 38% (1997 est.) |
| **Maldives** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Mali** | *lowest 10%:* 2% |
| | *highest 10%:* 40% (1994) (1994) |
| **Malta** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Man, Isle of** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Marshall Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Martinique** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Mauritania** | *lowest 10%:* 3% |
| | *highest 10%:* 30% (2000) (2000) |
| **Mauritius** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Mayotte** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Mexico** | *lowest 10%:* 2% |
| | *highest 10%:* 41% (2001) (2001) |
| **Micronesia, Federated States of** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Moldova** | *lowest 10%:* 2% |
| | *highest 10%:* 31% (1997) |
| **Monaco** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Mongolia** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1995) (1995) |
| **Montserrat** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Morocco** | *lowest 10%:* 3% |
| | *highest 10%:* 31% (1998-99) |
| **Mozambique** | *lowest 10%:* 3% |
| | *highest 10%:* 32% (1996-97) |
| **Namibia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Nauru** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Nepal** | *lowest 10%:* 3% |
| | *highest 10%:* 30% (1995-96) |
| **Netherlands** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1994) |
| **Netherlands Antilles** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **New Caledonia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **New Zealand** | *lowest 10%:* 0% |
| | *highest 10%:* 30% (1991 est.) |
| **Nicaragua** | *lowest 10%:* 1% |
| | *highest 10%:* 49% (1998) (1998) |
| **Niger** | *lowest 10%:* 1% |
| | *highest 10%:* 35% (1995) (1995) |
| **Nigeria** | *lowest 10%:* 2% |
| | *highest 10%:* 41% (1996-97) |
| **Niue** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Norfolk Island** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Northern Mariana Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Norway** | *lowest 10%:* 4% |
| | *highest 10%:* 22% (1995) |
| **Oman** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Pakistan** | *lowest 10%:* 4% |
| | *highest 10%:* 28% (1997) (1997) |
| **Palau** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Panama** | *lowest 10%:* 1% |
| | *highest 10%:* 36% (1997) (1997) |
| **Papua New Guinea** | *lowest 10%:* 2% |
| | *highest 10%:* 41% (1996) (1996) |
| **Paraguay** | *lowest 10%:* 1% |
| | *highest 10%:* 44% (1998) (1998) |
| **Peru** | *lowest 10%:* 2% |
| | *highest 10%:* 35% (1996) (1996) |
| **Philippines** | *lowest 10%:* 2% |
| | *highest 10%:* 39% (1998) |
| **Pitcairn Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Poland** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1998) |
| **Portugal** | *lowest 10%:* 3% |
| | *highest 10%:* 28% (1995 est.) |
| **Puerto Rico** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Qatar** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Reunion** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Romania** | *lowest 10%:* 4% |
| | *highest 10%:* 23% (1994) |
| **Russia** | *lowest 10%:* 2% |
| | *highest 10%:* 34% (2001 est.) |
| **Rwanda** | *lowest 10%:* 4% |
| | *highest 10%:* 24% (1983-85) |
| **Saint Helena** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Saint Kitts and Nevis** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Saint Lucia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Saint Pierre and Miquelon** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Saint Vincent and the Grenadines** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Samoa** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **San Marino** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Sao Tome and Principe** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Saudi Arabia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Senegal** | *lowest 10%:* 1% |
| | *highest 10%:* 43% (1991) |
| **Serbia and Montenegro** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Seychelles** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Sierra Leone** | *lowest 10%:* 1% |
| | *highest 10%:* 44% (1989) (1989) |
| **Singapore** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Slovakia** | *lowest 10%:* 5% |
| | *highest 10%:* 18% (1992) (1992) |
| **Slovenia** | *lowest 10%:* 4% |
| | *highest 10%:* 23% (1998) |
| **Solomon Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Somalia** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **South Africa** | *lowest 10%:* 1% |
| | *highest 10%:* 46% (1994) (1994) |
| **Spain** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1990) (1990) |
| **Sri Lanka** | *lowest 10%:* 4% |
| | *highest 10%:* 28% (1995) |
| **Sudan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Suriname** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Svalbard** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Swaziland** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Sweden** | *lowest 10%:* 4% |
| | *highest 10%:* 20% (1992) (1992) |
| **Switzerland** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1992) |
| **Syria** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Taiwan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Tajikistan** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Tanzania** | *lowest 10%:* 3% |
| | *highest 10%:* 30% (1993) |
| **Thailand** | *lowest 10%:* 3% |
| | *highest 10%:* 32% (1998) |
| **Togo** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Tokelau** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Tonga** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Trinidad and Tobago** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Tunisia** | *lowest 10%:* 2% |
| | *highest 10%:* 32% (1995) (1995) |
| **Turkey** | *lowest 10%:* 2% |
| | *highest 10%:* 32% (1994) |
| **Turkmenistan** | *lowest 10%:* 3% |
| | *highest 10%:* 32% (1998) (1998) |
| **Turks and Caicos Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Tuvalu** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Uganda** | *lowest 10%:* 4% |
| | *highest 10%:* 21% (2000) |
| **Ukraine** | *lowest 10%:* 4% |
| | *highest 10%:* 23% (1999) |
| **United Arab Emirates** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **United Kingdom** | *lowest 10%:* 2% |
| | *highest 10%:* 28% (1995) |
| **United States** | *lowest 10%:* 2% |
| | *highest 10%:* 31% (1997) (1997) |
| **Uruguay** | *lowest 10%:* 4% |
| | *highest 10%:* 26% (1997) |
| **Uzbekistan** | *lowest 10%:* 3% |
| | *highest 10%:* 25% (1993) (1993) |
| **Vanuatu** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Venezuela** | *lowest 10%:* 2% |
| | *highest 10%:* 38% (1997) (1997) |
| **Vietnam** | *lowest 10%:* 4% |
| | *highest 10%:* 30% (1998) |
| **Virgin Islands** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Wallis and Futuna** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **West Bank** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Western Sahara** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **World** | *lowest 10%:* NA% |
| | *highest 10%:* NA% |
| **Yemen** | *lowest 10%:* 3% |
| | *highest 10%:* 26% (1998) (1998) |
| **Zambia** | *lowest 10%:* 1% |
| | *highest 10%:* 41% (1998) |
| **Zimbabwe** | *lowest 10%:* 2% |
| | *highest 10%:* 47% (1990) (1990) |

This page was last updated on 19 March 2003
 
