Field Listing :: Terrorist groups - foreign based :: The World Factbook - Central Intelligence Agency

This entry provides information on the US State Department's designated Foreign Terrorist Organizations operating in countries other than where a particular group is headquartered. Details on each organization's aim(s) and area(s) of operation are provided.

| Country | Terrorist groups - foreign based |
| | *aim(s):* enhance its networks in the Philippines and, ultimately, overthrow the Philippine Government and establish a pan-Islamic state across Southeast Asia |
| | *area(s) of operation:* maintains an operational and recruitment presence, especially in the south (April 2018) |
| **Qatar** | *HAMAS:* |
| | *aim(s):* continue engagement with the Qatari Government |
| | *area(s) of operation:* maintains a limited office in Doha (April 2018) |
| **Russia** | *Aum Shinrikyo (AUM):* |
| | *aim(s):* attract new members seeking religious guidance and exhibiting a willingness to financially support the organization |
| | *area(s) of operation:* between 1,500 and 30,000 AUM members live across Russia; recruitment efforts have intensified in recent years (April 2018) |
| | *Islamic State of Iraq and ash-Sham-Caucasus (ISIS-Caucasus):* |
| | *aim(s):* implement its strict interpretation of sharia in Dagestan, Chechnya, Ingushetia, and Kabardino-Balkariya; retaliate for Russian involvement in the Syria conflict |
| | *area(s) of operation:* operational in the Russian North Caucasus, where the branch is known as Wilayat Kavkaz; recruits mainly from Central Asian migrant populations across Russia for domestic operations (April 2018) |
| **Saudi Arabia** | *al-Qa'ida (AQ):* |
| | *aim(s):* oppose the Saudi Islamic monarchy due to its cooperation with the US and the West, particularly US military bases in the Kingdom; eradicate US and Western influence and presence from Saudi Arabia |
| | *area(s) of operation:* maintains familial connections but lacks a persistent operational presence; probably retains some supporters in the country who could facilitate future operations (April 2018) |
| | *al-Qa'ida in the Arabian Peninsula (AQAP):* |
| | *aim(s):* ultimately overthrow the Saudi Islamic monarchy; eradicate US and Western influence and presence from Yemen and the rest of the Arabian Peninsula |
| | *area(s) of operation:* maintains familial connections but lacks an operational presence inside Saudi Arabia; operates widely in neighboring Yemen (April 2018) |
| | *Islamic State of Iraq and ash-Sham (ISIS)-Saudi Arabia:* |
| | *aim(s):* replace the Saudi Islamic monarchy with an Islamic state applying ISIS's strict interpretation of Sharia; target minority Shia Muslims, Saudi security personnel, and their interests |
| | *area(s) of operation:* maintains a recruitment presence; conducts deadly strikes against Saudi security personnel and bombs Shia Muslim mosques, markets, and other places where Shia Muslims gather (April 2018) |
| **Singapore** | *Islamic State of Iraq and ash-Sham (ISIS) network in Singapore:* |
| | *aim(s):* enhance its networks in Singapore; implement ISIS's strict interpretation of sharia |
| | *area(s) of operation:* attacks in Bangladesh are staged in Singapore; operates under the name the Islamic State in Bangladesh (April 2018) |
| | *Jemaah Islamiyah (JI):* |
| | *aim(s):* enhance its networks in Singapore and, ultimately, overthrow the Singapore Government and establish a pan-Islamic state across Southeast Asia |
| | *area(s) of operation:* maintains a presence (April 2018) |
| **Syria** | *Abdallah Azzam Brigades (AAB):* |
| | *aim(s):* disrupt and attack Shia Muslim and Western interests in Syria |
| | *area(s) of operation:* remains operational; conducts attacks against primarily Shia Muslim organizations and individuals, including Hizballah members, and Westerners and their interests (April 2018) |
| | *al-Qa'ida (AQ):* |
| | *aim(s):* overthrow President Bashar al-ASAD's regime; establish a regional Islamic caliphate and conduct attacks outside of Syria |
| | *area(s) of operation:* operational primarily in Idlib Governorate and southern Syria, where it has established networks and operates paramilitary training camps (April 2018) |
| | *Ansar al-Islam (AAI):* |
| | *aim(s):* remove Syrian President Bashar al-ASAD from power and establish a government operating according to sharia |
| | *area(s) of operation:* operationally active in Syria since 2011; launches attacks on Syrian Government security forces and pro-Syrian Government militias; some AAI factions combat ISIS, while others are aligned with ISIS (April 2018) |
| | *Hizballah:* |
| | *aim(s):* preserve Syrian President Bashar al-ASAD's regime |
| | *area(s) of operation:* operational activity throughout the country since 2012; centered on providing paramilitary support to President Bashar al-ASAD's regime against armed insurgents (April 2018) |
| | *Kata'ib Hizballah (KH):* |
| | *aim(s):* preserve Syrian President Bashar al-ASAD's regime |
| | *area(s) of operation:* deploys combatants to Syria to fight alongside Syrian Government and Lebanese Hizballah forces (April 2018) |
| | *Kurdistan Workers' Party (PKK):* |
| | *aim(s):* advance Kurdish autonomy, political, and cultural rights in Syria, Turkey, Iraq, and Iran |
| | *area(s) of operation:* operational in the north and east; majority of members inside Syria are Syrian Kurds, along with Kurds from Iran, Iraq, and Turkey (April 2018) |
| | *Mujahidin Shura Council in the Environs of Jerusalem (MSC):* |
| | *aim(s):* destroy the state of Israel; enhance its networks in Syria |
| | *area(s) of operation:* maintains limited networks for operational planning against Israel (April 2018) |
| | *Palestine Liberation Front (PLF):* |
| | *aim(s):* enhances its networks and, ultimately, destroy the state of Israel and establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| | *area(s) of operation:* maintains a recruitment and training presence in many refugee camps (April 2018) |
| | *PFLP-General Command (PFLP-GC):* |
| | *aim(s):* preserve Syrian President Bashar al-ASAD's regime |
| | *area(s) of operation:* maintains a political base in Damascus; fights with President al-ASAD's forces and Hizballah in areas where anti-regime paramilitary groups are active (April 2018) |
| | *Popular Front for the Liberation of Palestine (PFLP):* |
| | *aim(s):* enhance its recruitment networks in Syria |
| | *area(s) of operation:* maintains a recruitment and limited training presence in several refugee camps (April 2018) |
| **Tanzania** | *al-Shabaab:* |
| | *aim(s):* attract Tanzanian recruits to support terrorist operations in Kenya and Somalia |
| | *area(s) of operation:* maintains minimal clandestine footprint in key cities (April 2018) |
| **Turkey** | *al-Nusrah Front:* |
| | *aim(s):* overthrow Syrian President Bashar al-ASAD's regime, absorb like-minded Syrian rebel groups, and ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* some facilitation networks (April 2018) |
| | *al-Qa'ida (AQ):* |
| | *aim(s):* radicalize the Turkish populace and eventually overthrow the Turkish Government as part of a long-term plan to establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* maintains facilitation networks (April 2018) |
| | *Kurdistan Workers' Party (PKK):* |
| | *aim(s):* advance Kurdish autonomy, political, and cultural rights in Turkey, Iran, Iraq, and Syria |
| | *area(s) of operation:* operational predominantly in the southeast; the group's primary targets include government, military, and security personnel and facilities; majority of members inside Turkey are Turkish Kurds, along with Kurds from Iran, Iraq, and Syria; the group is outlawed in Turkey (April 2018) |
| **Uganda** | *al-Shabaab:* |
| | *aim(s):* punish Ugandan Government for participating in African Union military operations against al-Shabaab; compel Uganda to withdraw forces from Somalia |
| | *area(s) of operation:* aspires to renew attacks in Kampala; no permanent presence (April 2018) |
| **Venezuela** | *National Liberation Army (Ejercito de Liberacion Nacional, ELN):* |
| | *aim(s):* enhance its narcotics trafficking networks in Venezuela |
| | *area(s) of operation:* maintains a narcotics trafficking presence, facilitating the transshipment of narcotics through the country (April 2018) |
| **West Bank** | *HAMAS:* |
| | *aim(s):* grow its political and operational presence in the West Bank |
| | *area(s) of operation:* mostly political activity; small cells scattered throughout the West Bank for militant and illicit finance purposes (April 2018) |
| | *Palestine Islamic Jihad (PIJ):* |
| | *aim(s):* enhance its staging capabilities in the West Bank to launch attacks against Israel |
| | *area(s) of operation:* mostly political activity; strives to maintain an operational presence (April 2018) |
| | *Palestine Liberation Front (PLF):* |
| | *aim(s):* enhance its networks in the West Bank and, ultimately, destroy the state of Israel; establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| | *area(s) of operation:* maintains a recruitment and training presence in some of the West Bank's refugee camps (April 2018) |
| | *Popular Front for the Liberation of Palestine (PFLP):* |
| | *aim(s):* bolster its recruitment networks in the West Bank |
| | *area(s) of operation:* mostly political activity, maintains a recruitment presence targeting youths (April 2018) |

