Field Listing :: Terrorist groups - foreign based :: The World Factbook - Central Intelligence Agency

This entry provides information on the US State Department's designated Foreign Terrorist Organizations operating in countries other than where a particular group is headquartered. Details on each organization's aim(s) and area(s) of operation are provided.

| Country | Terrorist groups - foreign based |
| **Djibouti** | al-Shabaab: aim(s): punish Djibouti for participating in the African Union Mission in Somalia; compel Djibouti to withdraw troops from Somalia |
| | *area(s) of operation:* maintains minimal operational presence; last conducted an attack in Djibouti in 2014 (2019) |
| **Egypt** | al-Qa'ida (AQ): aim(s): overthrow the Egyptian Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* maintains a longtime operational presence and established networks (2018) |
| | Army of Islam (AOI): aim(s): disrupt the Egyptian Government's efforts to provide security and, ultimately, establish an Islamic caliphate |
| | area(s) of operation:Â operational mainly in Cairo and the Sinai Peninsula |
| | *note:* associated with ISIS-Sinai Province; targets Israeli Government interests, sometimes in collaboration with the Mujahidin Shura Council in the Environs of Jerusalem (2018) |
| **Ethiopia** | *al-Shabaab:* |
| | *aim(s):* punish Ethiopia for participating in the African Union Mission in Somalia; compel Ethiopia to withdraw troops from Somalia |
| | *area(s) of operation:* aspires to conduct attacks in Addis Ababa; no permanent presence (April 2018) |
| **Gaza Strip** | *Abdallah Azzam Brigades (AAB):* |
| | *aim(s):* bolster its staging capabilities in the Gaza Strip against Israel to continue its attempts to disrupt Israel's economy and its efforts to establish security |
| | *area(s) of operation:* launches homemade rockets from the Gaza Strip into populated Israeli territory, primarily the cities of Nahariya and Ashkelon (2018) |
| | *al-Aqsa Martyrs Brigade (AAMB):* |
| | *aim(s):* bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, establish a Palestinian state comprising the West Bank, Gaza Strip, and Jerusalem |
| | *area(s) of operation:* stages attacks from the Gaza Strip against Israeli soldiers and civilians inside Israel, including launching rockets and missiles (2018) |
| | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | aim(s):Â  supports the destruction of Israel through funding, training, and weapons |
| | area(s) of operation:Â  Gaza Strip |
| | (2019) |
| | *Islamic State of Iraq and ash-Sham (ISIS)-Sinai:* |
| | *aim(s):* bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* stages attacks against Egyptian forces along the Gaza Strip-Egypt border and launches rockets into southern Israel from the border closest to Israel |
| | *note:* formerly known as Ansar Bayt al-Maqdis (2018) |
| **India** | *al-Qa'ida (AQ):* |
| | *aim(s):* overthrow the Indian Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* maintains an operational presence as al-Qa'ida in the Indian Subcontinent (2018) |
| | al-Qa'ida in the Indian Subcontinent (AQIS): aim(s): establish an Islamic caliphate in the Indian subcontinent |
| | *area(s) of operation:* targets primarily military and security personnel, especially in the states of Assam, Gujarat, and Jammu and Kashmir; present in large cities, including Delhi (2018) |
| | Harakat ul-Mujahidin (HUM): aim(s): enhance its networks and paramilitary training in India and, ultimately, annex Kashmir into Pakistan and establish an Islamic state in Kashmir |
| | *area(s) of operation:* conducts attacks against Indian troops and civilians in Kashmir (2018) |
| | Harakat ul-Jihad-i-Islami (HUJI): aim(s): enhance its networks and operational capabilities in India |
| | *area(s) of operation:* maintains an operational presence, especially in the south, including in Bangalore and Hubli (2018) |
| | Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B): aim(s): enhance its networks in India and, ultimately, install an Islamic state in Bangladesh |
| | *area(s) of operation:* maintains a low-profile presence (2018) |
| | *Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K):* aim(s):Â  spread the ISIS caliphate by eliminating the Indian Government and, ultimately, unite Kashmir with Pakistan |
| | area(s) of operation:Â  maintains a recruitment presence in major cities (2018) |
| | Jaish-e-Mohammed (JEM): aim(s): annex Jammu and Kashmir to Pakistan |
| | *area(s) of operation:* operates primarily in Jammu and Kashmir State (2018) |
| | Lashkar-e Tayyiba (LT): aim(s): annex Jammu and Kashmir State to Pakistan and, ultimately, install Islamic rule throughout South Asia |
| | *area(s) of operation:* operational throughout India, especially in the north in Jammu and Kashmir State, since at least 1993 |
| | *note:* continues to be one of the largest and most deadly of the anti-India-focused armed groups (2018) |
| | Liberation Tigers of Tamil Eelam (LTTE): aim(s): enhance its networks in India and, ultimately, revive the movement to establish a Tamil homeland |
| | *area(s) of operation:* maintains safe havens, transit routes, human trafficking, and an operational presence in an effort to revive the movement and conduct attacks (2018) |
| **Iran** | al-Qa'ida (AQ): aim(s): unite the worldwide Muslim community, overthrow governments perceived as un-Islamic, and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia (2018) |
| | Kurdistan Workers' Party (PKK): aim(s): advance Kurdish autonomy, political, and cultural rights in Iran, Turkey, Iraq, and Syria |
| | *area(s) of operation:* operational in the northwest; majority of members inside Iran are Iranian Kurds, along with Kurds from Iraq, Syria, and Turkey (2018) |
| **Iraq** | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | *aim(s):* back Iraqâ€™s pro-government Shia militias by supplying two battalions of IRGC forces to jointly engage in combat against ISIS; provide weapons and munitions to Shia militants targeting US forces |
| | *area(s) of operations:* Baghdad, Basrah, Karbala, Mosul, Samarra, Tikrit Â  |
| | (2019) |
| | Islamic State of Iraq and ash-Sham (ISIS): aim(s): replace the world order with a global Islamic state based in Iraq and Syria; expand its branches and networks in other countries; rule according to ISIS's strict interpretation of Islamic law |
| | *area(s) of operation:* operational in the rural and desert areas of central and northern Iraq, primarily within and near Sunni populations, with some presence in major population areas (2018) |
| **Ireland** | Continuity Irish Republican Army (CIRA): aim(s): to bring about a united Ireland |
| | area(s) of operation:Â maintains an operational presence (2018) |
| | New Irish Republican Army (NIRA): aim(s): to bring about a united Ireland |
| | *area(s) of operation:* maintains an operational presence |
| | *note:* formerly known as the Real Irish Republican Army (RIRA) (2018) |
| **Israel** | |
| **Kenya** | al-Shabaab: aim(s): establish Islamic rule in Kenyaâ€™s northeastern border region and coast; avenge Kenya's past intervention in Somalia against al-Shabaab and its ongoing participation in the African Union mission; compel Kenya to withdraw troops from Somalia; attract Kenyan recruits to support operations in Somalia |
| | *area(s) of operation:* maintains an operational and recruitment presence, mostly along the coast and the northeastern border region (2018) |
| **Lebanon** | *al-Aqsa Martyrs Brigade (AAMB):* |
| | *aim(s):* bolster its recruitment presence in Lebanon and, ultimately, establish a Palestinian state comprising the West Bank, Gaza Strip, and Jerusalem |
| | *area(s) of operation:* recruits youths in Palestinian refugee camps (2018) |
| | al-Nusrah Front/al-Qa'ida: aim(s): bolster networks in Lebanon and, ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* in the east in the Bekaa Valley and along the Lebanon-Syria border; targets Lebanese Government institutions, security forces, and Lebanese civilians (2018) |
| | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | aim(s): support Lebanonâ€™s Hezbollah movement to advance Shia agenda through funding, training, and weapons area(s) of operations: Beirut, Bekaa Valley, southern Lebanon |
| | (2019) |
| | Palestine Liberation Front (PLF): aim(s): enhance its networks in Lebanon and, ultimately, destroy the state of Israel to establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| | *area(s) of operation:* maintains a recruitment and training presence in many refugee camps (2018) |
| | PFLP-General Command (PFLP-GC): aim(s): enhance recruitment and operational networks in Lebanon |
| | *area(s) of operation:* recruits young men living in Palestinian refugee camps, including camps in the Bekaa Valley (2018) |
| | Popular Front for the Liberation of Palestine (PFLP): aim(s): enhance its recruitment network in Lebanon and, ultimately, establish a secular, Marxist Palestinian state |
| | *area(s) of operation:* recruits youths residing in the country's Palestinian refugee camps (2018) |
| **Libya** | al-Mulathamun Battalion: aim(s): replace several African governments, including Libya's transitional government, with an Islamic state |
| | *area(s) of operation:* maintains an operational presence; engages in kidnappings for ransom (2018) |
| **Malaysia** | Jemaah Islamiyah (JI): aim(s): enhance networks in Malaysia and, ultimately, overthrow the secular Malaysian Government and establish a pan-Islamic state across Southeast Asia |
| | *area(s) of operation:* maintains a recruitment and operational presence, primarily in major cities (2018) |
| **Montenegro** | *Aum Shinrikyo (AUM):* |
| | *aim(s):* enhance its networks in Montenegro for recruitment and fundraising |
| | *area(s) of operation:* maintains a limited presence; membership drastically depleted in March 2016 when authorities expelled 58 foreign members (2018) |
| **Nepal** | Indian Mujahedeen (IM): aim(s): enhance networks in Nepal to carry out attacks against Indians in Nepal and India |
| | *area(s) of operation:* maintains active hubs of small, loosely connected networks (2018) |
| **Niger** | al-Mulathamun Battalion: aim(s): replace several African governments, including Niger's government, with an Islamic state |
| | *area(s) of operation:* conducts attacks against Nigerien military and security personnel; targets Westerners for kidnappings for ransom |
| | (2018) |
| | al-Qa'ida-affiliated Jama'at Nusrat al-Islam wal-Muslimin (JNIM): aim(s): establish an Islamic state centered in Mali |
| | *area(s) of operation:* primarily based in northern and central Mali; targets Western and local interests in West Africa and Sahel; has claimed responsibility for attacks in Mali, Niger, and Burkina Faso |
| | *note:* pledged allegiance to al-Qa'ida and AQIM; holds Western hostages; wages attacks against security and peacekeeping forces in Mali (2018) |
| | *Boko Haram:* aim(s): establish an Islamic caliphate across Africa |
| | *area(s) of operation:* conducts kidnappings, bombings, and assaults; responsible for displacing thousands of people and contributing to food insecurity |
| | *note:* violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (2018) |
| **Pakistan** | Indian Mujahedeen (IM): aim(s): stated goal is to carry out terrorist attacks against Indians for perceived atrocities against Indian Muslims following the 2002 Gujarat riots |
| | *area(s) of operation:* Punjab and Sindh Provinces and Pakistan-controlled Kashmir (2018) |
| | Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K): aim(s): establish an Islamic caliphate in the Afghanistan-Pakistan region; oppose Pakistan Government and Westerners; oppose Shia Muslim population |
| | *area(s) of operation:* maintains an operational and recruitment presence throughout the country, primarily along the Pakistan-Afghanistan border to stage attacks inside Afghanistan and Pakistan |
| | *note:* recruits from among the local population and other militant groups such as Tehrik-e Taliban Pakistan, the Afghan Taliban, and the Islamic Movement of Uzbekistan (2018) |
| | Tehrik-e-Taliban Pakistan (TTP): aim(s): remove Pakistani forces from the Federally Administered Tribal Areas (FATA) region; overthrow the Pakistan Government to implement TTP's strict interpretation of sharia |
| | *area(s) of operation:* maintains a large presence in Karachi, the capital of Sindh Province; trains and deploys fighters in the tribal belt in the Pashtun areas along the Pakistan-Afghanistan border, especially in Kunar and Paktika provinces where TTP has established sanctuaries; operationally active in the North Waziristan, South Waziristan, and Balochistan regions; targets Pakistan Government officials and military, security, and police personnel, as well as Westerners, pro-government tribal elders, Shia Muslims, and education figures and advocates (2018) |
| **Philippines** | Jemaah Islamiyah (JI): aim(s): enhance its networks in the Philippines and, ultimately, overthrow the Philippine Government and establish a pan-Islamic state across Southeast Asia |
| | *area(s) of operation:* maintains an operational and recruitment presence, especially in the south (2018) |
| **Qatar** | *HAMAS:* aim(s): continue engagement with the Qatari Government |
| | *area(s) of operation:* maintains a limited office in Doha (2018) |
| **Russia** | Aum Shinrikyo (AUM): aim(s): attract new members seeking religious guidance and exhibiting a willingness to financially support the organization |
| | *area(s) of operation:* between 1,500 and 30,000 AUM members live across Russia; recruitment efforts have intensified in recent years (2018) |
| | Islamic State of Iraq and ash-Sham-Caucasus (ISIS-Caucasus): aim(s): implement its strict interpretation of sharia in Dagestan, Chechnya, Ingushetia, and Kabardino-Balkariya; retaliate for Russian involvement in the Syria conflict |
| | *area(s) of operation:* operational in the Russian North Caucasus, where the branch is known as Wilayat Kavkaz; recruits mainly from Central Asian migrant populations across Russia for domestic operations (2018) |
| **Saudi Arabia** | al-Qa'ida (AQ): aim(s): oppose the Saudi Islamic monarchy due to its cooperation with the US and the West, particularly US military bases in the Kingdom; eradicate US and Western influence and presence from Saudi Arabia |
| | *area(s) of operation:* maintains familial connections but lacks a persistent operational presence; probably retains some supporters in the country who could facilitate future operations (2018) |
| | al-Qa'ida in the Arabian Peninsula (AQAP): aim(s): ultimately overthrow the Saudi Islamic monarchy; eradicate US and Western influence and presence from Yemen and the rest of the Arabian Peninsula |
| | *area(s) of operation:* maintains familial connections but lacks an operational presence inside Saudi Arabia; operates widely in neighboring Yemen (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS)-Saudi Arabia: aim(s): replace the Saudi Islamic monarchy with an Islamic state applying ISIS's strict interpretation of Sharia; target minority Shia Muslims, Saudi security personnel, and their interests |
| | *area(s) of operation:* maintains a recruitment presence; conducts deadly strikes against Saudi security personnel and bombs Shia Muslim mosques, markets, and other places where Shia Muslims gather (2018) |
| **Singapore** | Islamic State of Iraq and ash-Sham (ISIS) network in Singapore: aim(s): enhance its networks in Singapore; implement ISIS's strict interpretation of sharia |
| | *area(s) of operation:* attacks in Bangladesh are staged in Singapore; operates under the name the Islamic State in Bangladesh (2018) |
| | Jemaah Islamiyah (JI): aim(s): enhance its networks in Singapore and, ultimately, overthrow the Singapore Government and establish a pan-Islamic state across Southeast Asia |
| | *area(s) of operation:* maintains a presence (2018) |
| **Syria** | Abdallah Azzam Brigades (AAB): aim(s): disrupt and attack Shia Muslim and Western interests in Syria |
| | *area(s) of operation:* remains operational; conducts attacks against primarily Shia Muslim organizations and individuals, including Hizballah members, and Westerners and their interests (2018) |
| | al-Qa'ida (AQ): aim(s): overthrow President Bashar al-ASAD's regime; establish a regional Islamic caliphate and conduct attacks outside of Syria |
| | *area(s) of operation:* operational primarily in Idlib Governorate and southern Syria, where it has established networks and operates paramilitary training camps (2018) |
| | Ansar al-Islam (AAI): aim(s): remove Syrian President Bashar al-ASAD from power and establish a government operating according to sharia |
| | *area(s) of operation:* operationally active in Syria since 2011; launches attacks on Syrian Government security forces and pro-Syrian Government militias; some AAI factions combat ISIS, while others are aligned with ISIS (2018) |
| | *Hizballah:* aim(s): preserve Syrian President Bashar al-ASAD's regime |
| | *area(s) of operation:* operational activity throughout the country since 2012; centered on providing paramilitary support to President Bashar al-ASAD's regime against armed insurgents (2018) |
| | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | *aim(s):* assist government forces in suppressing opposition forces and Islamic State of Iraq and ash-Sham (ISIS) forces; train Syrian Government troops; conduct strikes against Israel; funnel arms and money onward to Lebanese Hizballah |
| | *area(s) of operations:* throughout Syria |
| | (2019) |
| | Kata'ib Hizballah (KH): aim(s): preserve Syrian President Bashar al-ASAD's regime |
| | *area(s) of operation:* deploys combatants to Syria to fight alongside Syrian Government and Lebanese Hizballah forces (2018) |
| | Kurdistan Workers' Party (PKK): aim(s): advance Kurdish autonomy, political, and cultural rights in Syria, Turkey, Iraq, and Iran |
| | *area(s) of operation:* operational in the north and east; majority of members inside Syria are Syrian Kurds, along with Kurds from Iran, Iraq, and Turkey (2018) |
| | Mujahidin Shura Council in the Environs of Jerusalem (MSC): aim(s): destroy the state of Israel; enhance its networks in Syria |
| | *area(s) of operation:* maintains limited networks for operational planning against Israel (2018) |
| | Palestine Liberation Front (PLF): aim(s): enhances its networks and, ultimately, destroy the state of Israel and establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| | *area(s) of operation:* maintains a recruitment and training presence in many refugee camps (2018) |
| | PFLP-General Command (PFLP-GC): aim(s): preserve Syrian President Bashar al-ASAD's regime |
| | *area(s) of operation:* maintains a political base in Damascus; fights with President al-ASAD's forces and Hizballah in areas where anti-regime paramilitary groups are active (2018) |
| | Popular Front for the Liberation of Palestine (PFLP): aim(s): enhance its recruitment networks in Syria |
| | *area(s) of operation:* maintains a recruitment and limited training presence in several refugee camps (2018) |
| **Tanzania** | al-Shabaab: aim(s): attract Tanzanian recruits to support terrorist operations in Kenya and Somalia |
| | *area(s) of operation:* maintains minimal clandestine footprint in key cities (2018) |
| **Turkey** | al-Nusrah Front: aim(s): overthrow Syrian President Bashar al-ASAD's regime, absorb like-minded Syrian rebel groups, and ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* some facilitation networks (2018) |
| | al-Qa'ida (AQ): aim(s): radicalize the Turkish populace and eventually overthrow the Turkish Government as part of a long-term plan to establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* maintains facilitation networks (2018) |
| | Kurdistan Workers' Party (PKK): aim(s): advance Kurdish autonomy, political, and cultural rights in Turkey, Iran, Iraq, and Syria |
| | *area(s) of operation:* operational predominantly in the southeast; the group's primary targets include government, military, and security personnel and facilities; majority of members inside Turkey are Turkish Kurds, along with Kurds from Iran, Iraq, and Syria; the group is outlawed in Turkey (2018) |
| **Uganda** | al-Shabaab: aim(s): punish Ugandan Government for participating in African Union military operations against al-Shabaab; compel Uganda to withdraw forces from Somalia |
| | *area(s) of operation:* aspires to renew attacks in Kampala; no permanent presence (2018) |
| **Venezuela** | National Liberation Army (Ejercito de Liberacion Nacional, ELN): aim(s): enhance its narcotics trafficking networks in Venezuela |
| | *area(s) of operation:* maintains a narcotics trafficking presence, facilitating the transshipment of narcotics through the country (2018) |
| **West Bank** | *HAMAS:* aim(s): grow its political and operational presence in the West Bank |
| | *area(s) of operation:* mostly political activity; small cells scattered throughout the West Bank for militant and illicit finance purposes (2018) |
| | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | aim(s):Â  launch attacks against Israel, reduce Israelâ€™s presence and influence in the West Bank, and destroy the state of Israel; works through proxies and allies such as Hamas, Palestine Islamic Jihad (PIJ), Palestine Liberation Front (PLF), and Popular Front for the Liberation of Palestine (PFLP) |
| | area(s) of operations:Â  West Bank |
| | (2019) |
| | Palestine Islamic Jihad (PIJ): aim(s): enhance its staging capabilities in the West Bank to launch attacks against Israel |
| | *area(s) of operation:* mostly political activity; strives to maintain an operational presence (2018) |
| | Palestine Liberation Front (PLF): aim(s): enhance its networks in the West Bank and, ultimately, destroy the state of Israel; establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| | *area(s) of operation:* maintains a recruitment and training presence in some of the West Bank's refugee camps (2018) |
| | Popular Front for the Liberation of Palestine (PFLP): aim(s): bolster its recruitment networks in the West Bank |
| | *area(s) of operation:* mostly political activity, maintains a recruitment presence targeting youths (2018) |
| **Yemen** | *Islamic Revolutionary Guard Corps -- Qods Force (IRGC-QF):* |
| | aim(s):Â  spread Iranâ€™s influence and counter Saudi and UAE by supporting Yemenâ€™s Houthi government through funding, training, logistical support, and weapons, to include ballistic missile and unmanned aerial vehicle (UAV) technology |
| | area(s) of operations:Â  Yemen, including the Red Sea |
| | (2019) |

