CIA - The World Factbook --  Railways   

This entry states the total route length of the railway network and of its component parts by gauge, which is the measure of the distance between the inner sides of the load-bearing rails. The four typical types of gauges are: broad, standard, narrow, and dual. Other gauges are listed under note. Some 60% of the world's railways use the standard gauge of 1.4 m (4.7 ft). Gauges vary by country and sometimes within countries. The choice of gauge during initial construction was mainly in response to local conditions and the intent of the builder. Narrow-gauge railways were cheaper to build and could negotiate sharper curves, broad-gauge railways gave greater stability and permitted higher speeds. Standard-gauge railways were a compromise between narrow and broad gauges.

| Rank | country | (km) | Date of Information |
| 91 | Ghana | 947 | 2009 |
| 92 | Senegal | 906 | 2010 |
| 93 | Botswana | 888 | 2010 |
| 94 | Congo, Republic of the | 886 | 2010 |
| 95 | Colombia | 874 | 2010 |
| 96 | Armenia | 869 | 2010 |
| 97 | Madagascar | 854 | 2010 |
| 98 | Venezuela | 806 | 2010 |
| 99 | Malawi | 797 | 2010 |
| 100 | Macedonia | 699 | 2010 |
| 101 | Cambodia | 690 | 2010 |
| 102 | Ethiopia | 681 | 2008 |
| 103 | Tajikistan | 680 | 2010 |
| 104 | Cote d'Ivoire | 660 | 2010 |
| 105 | Gabon | 649 | 2009 |
| 106 | Burkina Faso | 622 | 2010 |
| 107 | Bosnia and Herzegovina | 601 | 2009 |
| 108 | Fiji | 597 | 2008 |
| 109 | Mali | 593 | 2010 |
| 110 | Togo | 568 | 2010 |
| 111 | Jordan | 507 | 2010 |
| 112 | Kyrgyzstan | 470 | 2010 |
| 113 | Benin | 438 | 2010 |
| 114 | Kosovo | 430 | 2007 |
| 115 | Liberia | 429 | 2010 |
| 116 | Lebanon | 401 | 2008 |
| 117 | Albania | 339 | 2010 |
| 118 | Guatemala | 332 | 2009 |
| 119 | Eritrea | 306 | 2010 |
| 120 | Swaziland | 301 | 2008 |
| 121 | El Salvador | 283 | 2010 |
| 122 | Costa Rica | 278 | 2010 |
| 123 | Luxembourg | 275 | 2010 |
| 124 | Montenegro | 250 | 2010 |
| 125 | Dominican Republic | 142 | 2010 |
| 126 | Djibouti | 100 | 2010 |
| 127 | Panama | 76 | 2010 |
| 128 | Honduras | 75 | 2009 |
| 129 | Isle of Man | 63 | 2008 |
| 130 | Nepal | 59 | 2010 |
| 131 | Saint Kitts and Nevis | 50 | 2008 |
| 132 | Paraguay | 36 | 2010 |
| 133 | Christmas Island | 18 | 2010 |
| 134 | Liechtenstein | 9 | 2011 |
