CIA - The World Factbook --  Electricity - imports   

This entry is the total imported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| 135 | Senegal | 0.00 | 2008 est. |
| 136 | Seychelles | 0.00 | 2008 est. |
| 137 | Saint Kitts and Nevis | 0.00 | 2008 est. |
| 138 | Saint Pierre and Miquelon | 0.00 | 2008 est. |
| 139 | Saudi Arabia | 0.00 | 2008 est. |
| 140 | Puerto Rico | 0.00 | 2008 est. |
| 141 | Philippines | 0.00 | 2008 est. |
| 142 | Qatar | 0.00 | 2008 est. |
| 143 | Guinea-Bissau | 0.00 | 2008 est. |
| 144 | Papua New Guinea | 0.00 | 2008 est. |
| 145 | Pakistan | 0.00 | 2008 est. |
| 146 | Peru | 0.00 | 2008 est. |
| 147 | Paraguay | 0.00 | 2008 est. |
| 148 | New Zealand | 0.00 | 2008 est. |
| 149 | Malta | 0.00 | 2008 est. |
| 150 | Mauritania | 0.00 | 2008 est. |
| 151 | Mauritius | 0.00 | 2008 est. |
| 152 | Mali | 0.00 | 2008 est. |
| 153 | Montenegro | 0.00 | 2005 |
| 154 | Malawi | 0.00 | 2008 est. |
| 155 | Montserrat | 0.00 | 2008 est. |
| 156 | French Polynesia | 0.00 | 2008 est. |
| 157 | Maldives | 0.00 | 2008 est. |
| 158 | Faroe Islands | 0.00 | 2008 est. |
| 159 | Micronesia, Federated States of | 0.00 | 2002 |
| 160 | Falkland Islands (Islas Malvinas) | 0.00 | 2008 est. |
| 161 | Fiji | 0.00 | 2008 est. |
| 162 | Ethiopia | 0.00 | 2008 est. |
| 163 | Eritrea | 0.00 | 2008 est. |
| 164 | Equatorial Guinea | 0.00 | 2008 est. |
| 165 | Cook Islands | 0.00 | 2008 est. |
| 166 | Madagascar | 0.00 | 2008 est. |
| 167 | Liberia | 0.00 | 2008 est. |
| 168 | Kuwait | 0.00 | 2008 est. |
| 169 | Korea, South | 0.00 | 2008 est. |
| 170 | Kiribati | 0.00 | 2008 est. |
| 171 | Korea, North | 0.00 | 2008 est. |
| 172 | Kyrgyzstan | 0.00 | 2008 est. |
| 173 | Jamaica | 0.00 | 2008 est. |
| 174 | Japan | 0.00 | 2008 est. |
| 175 | Cote d'Ivoire | 0.00 | 2008 est. |
| 176 | Israel | 0.00 | 2008 est. |
| 177 | Indonesia | 0.00 | 2008 est. |
| 178 | Iceland | 0.00 | 2008 est. |
| 179 | Haiti | 0.00 | 2008 est. |
| 180 | Guyana | 0.00 | 2008 est. |
| 181 | Guinea | 0.00 | 2008 est. |
| 182 | Greenland | 0.00 | 2008 est. |
| 183 | Guernsey | 0.00 | 2002 |
| 184 | Grenada | 0.00 | 2008 est. |
| 185 | Gibraltar | 0.00 | 2008 est. |
| 186 | Gabon | 0.00 | 2008 est. |
| 187 | Gambia, The | 0.00 | 2008 est. |
| 188 | Cape Verde | 0.00 | 2008 est. |
| 189 | Cuba | 0.00 | 2008 est. |
| 190 | Central African Republic | 0.00 | 2008 est. |
| 191 | Northern Mariana Islands | 0.00 | January 2009 est. |
| 192 | Comoros | 0.00 | 2008 est. |
| 193 | Cameroon | 0.00 | 2008 est. |
| 194 | Cayman Islands | 0.00 | 2008 est. |
| 195 | Sri Lanka | 0.00 | 2008 est. |
| 196 | Dominican Republic | 0.00 | 2008 est. |
| 197 | Dominica | 0.00 | 2008 est. |
| 198 | Djibouti | 0.00 | 2008 est. |
| 199 | Cyprus | 0.00 | 2008 est. |
| 200 | Chad | 0.00 | 2008 est. |
| 201 | Brunei | 0.00 | 2008 est. |
| 202 | Solomon Islands | 0.00 | 2008 est. |
| 203 | Burma | 0.00 | 2008 est. |
| 204 | Bolivia | 0.00 | 2008 est. |
| 205 | Bangladesh | 0.00 | 2008 est. |
| 206 | Bahamas, The | 0.00 | 2008 est. |
| 207 | Bermuda | 0.00 | 2008 est. |
| 208 | Barbados | 0.00 | 2008 est. |
| 209 | Antigua and Barbuda | 0.00 | 2008 est. |
| 210 | Angola | 0.00 | 2008 est. |
| 211 | Australia | 0.00 | 2008 est. |
| 212 | Bahrain | 0.00 | 2008 est. |
| 213 | American Samoa | 0.00 | 2008 est. |
| 214 | United Arab Emirates | 0.00 | 2008 est. |
