CIA - The World Factbook -- Field Listing - Military branches

| Country | Military branches |
| **Burkina Faso** | Army, Air Force of Burkina Faso (Force Aerienne de Burkina Faso, FABF), National Gendarmerie (2008) |
| **Burma** | *Myanmar Armed Forces (Tatmadaw):* Army, Navy, Air Force (Tatmadaw Lay) (2008) |
| **Burundi** | *National Defense Force (Forces de Defense Nationales, FDN):* Army (includes Naval Detachment and Air Wing), Gendarmerie (2008) |
| **Cambodia** | *Royal Cambodian Armed Forces:* Royal Cambodian Army, Royal Khmer Navy, Royal Cambodian Air Force (2008) |
| **Cameroon** | *Cameroon Armed Forces:* Army, Navy (includes naval infantry), Air Force (Armee de l'Air du Cameroun, AAC) (2008) |
| **Canada** | *Canadian Forces:* Land Forces Command (LFC), Maritime Command (MARCOM), Air Command (AIRCOM), Canada Command (homeland security) (2008) |
| **Cape Verde** | *People's Revolutionary Armed Forces (FARP):* Army, Coast Guard (includes maritime air wing) (2007) |
| **Cayman Islands** | no regular military forces; Royal Cayman Islands Police Force (2007) |
| **Central African Republic** | *Central African Armed Forces (Forces Armees Centrafricaines, FACA):* Ground Forces, General Directorate of Gendarmerie Inspection (DGIG), Military Air Service, National Police (2008) |
| **Chad** | *Armed Forces:* Chadian National Army (Armee Nationale du Tchad, ANT), Chadian Air Force (Force Aerienne Tchadienne, FAT), Gendarmerie (2008) |
| **Chile** | Army of the Nation, Chilean Navy (Armada de Chile, includes naval air, marine corps, and Maritime Territory and Merchant Marine Directorate (Directemar)), Chilean Air Force (Fuerza Aerea de Chile, FACh), Carabineros Corps (Cuerpo de Carabineros) (2008) |
| **China** | *People's Liberation Army (PLA):* Ground Forces, Navy (includes marines and naval aviation), Air Force (includes airborne forces), and Second Artillery Corps (strategic missile force); People's Armed Police (PAP); PLA Reserve Force (2008) |
| **Colombia** | National Army (Ejercito Nacional), National Navy (Armada Nacional, includes Naval Aviation, Naval Infantry (Infanteria de Marina, Colmar), and Coast Guard), Colombian Air Force (Fuerza Aerea de Colombia, FAC) (2008) |
| **Comoros** | *National Development Army (AND):* Comoran Security Force; Comoran Federal Police (2008) |
| **Congo, Democratic Republic of the** | *Armed Forces of the Democratic Republic of the Congo (Forces d'Armees de la Republique Democratique du Congo, FARDC):* Army, National Navy (La Marine Nationale), Congolese Air Force (Force Aerienne Congolaise, FAC) (2008) |
| **Congo, Republic of the** | *Congolese Armed Forces (Forces Armees Congolaises, FAC):* Army, Navy, Congolese Air Force (Armee de l'Air Congolaise), Gendarmerie, Special Presidential Security Guard (GSSP) (2008) |
| **Cook Islands** | no regular military forces; National Police Department (2007) |
| **Costa Rica** | no regular military forces; Ministry of Public Security, Government, and Police (2008) |
| **Cote d'Ivoire** | *Cote d'Ivoire Defense and Security Forces (FDSC):* Army, Navy, Air Force (2006) |
| **Croatia** | *Armed Forces of the Republic of Croatia (Oruzane Snage Republike Hrvatske, OSRH), consists of five major commands directly subordinate to a General Staff:* Ground Forces (Hrvatska Kopnena Vojska, HKoV), Naval Forces (Hrvatska Ratna Mornarica, HRM), Air Force (Hrvatsko Ratno Zrakoplovstvo, HRZ), Joint Education and Training Command, Logistics Command; Military Police Force supports each of the three Croatian military forces (2008) |
| **Cuba** | *Revolutionary Armed Forces (Fuerzas Armadas Revolucionarias, FAR):* Revolutionary Army (ER; includes Territorial Militia Troops, MTT), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR; includes Marine Corps), Revolutionary Air and Air Defense Force (DAAFAR), Youth Labor Army (EJT) (2008) |
| **Cyprus** | *Republic of Cyprus:* Greek Cypriot National Guard (Ethniki Forea, EF; includes air and naval elements); northern Cyprus: Turkish Cypriot Security Force (GKK) (2007) |
| **Czech Republic** | *Army of the Czech Republic (ACR):* Joint Forces Command (includes Army and Air Forces), Support and Training Forces Command (2008) |
| **Denmark** | *Defense Command:* Army Operational Command, Admiral Danish Fleet, Island Command Greenland, Tactical Air Command, Home Guard (2008) |
| **Djibouti** | Djibouti National Army (includes Navy and Air Force) |
| **Dominica** | no regular military forces; Commonwealth of Dominica Police Force (includes Coast Guard) (2008) |
| **Dominican Republic** | Army, Navy, Air Force (Fuerza Aerea Dominicana, FAD) (2007) |
| **Ecuador** | Army, Navy (includes Naval Infantry, Naval Aviation, Coast Guard), Air Force (Fuerza Aerea Ecuatoriana, FAE) (2007) |
| **Egypt** | Army, Navy, Air Force, Air Defense Command |
| **El Salvador** | Salvadoran Army (ES), Salvadoran Navy (FNES), Salvadoran Air Force (Fuerza Aerea Salvadorena, FAS) (2008) |
| **Equatorial Guinea** | National Guard (Guardia Nacional (Army), with Coast Guard (Navy) and Air Wing) (2008) |
| **Eritrea** | *Eritrean Armed Forces:* Ground Forces, Navy, Air Force (2008) |
| **Estonia** | *Estonian Defense Forces:* Land Force, Navy, Air Force (Eesti Ohuvagi), Volunteer Defense League (Kaitseliit, KL) (2008) |
| **Ethiopia** | *Ethiopian National Defense Force (ENDF):* Ground Forces, Ethiopian Air Force (ETAF) (2008) |
| | *note:* Ethiopia is landlocked and has no navy; following the secession of Eritrea, Ethiopian naval facilities remained in Eritrean possession |
| **Falkland Islands (Islas Malvinas)** | no regular military forces |
| **Faroe Islands** | no regular military forces |
| **Fiji** | *Republic of Fiji Military Forces (RFMF):* Land Forces, Naval Forces (2008) |
| **Finland** | *Finnish Defense Forces (FDF):* Army, Navy (includes Coastal Defense Forces), Air Force (Suomen Ilmavoimat) (2007) |
| **France** | Army (Armee de Terre; includes Marines, Foreign Legion, Army Light Aviation), Navy (Marine Nationale, includes Naval Air), Air Force (Armee de l'Air, includes Air Defense), National Gendarmerie (2008) |
| **French Polynesia** | no regular military forces; Gendarmerie and National Police Force (2007) |
| **Gabon** | Army, Navy, Air Force, National Gendarmerie, National Police |
| **Gambia, The** | *Office of the Chief of Defense:* Gambian National Army (National Guard, GNA), Gambian Navy (GN) (2008) |
| **Gaza Strip** | in accordance with the peace agreement, the Palestinian Authority is not permitted conventional military forces; there are, however, public security forces (2008) |
| **Georgia** | *Georgian Armed Forces:* Land Forces, Navy (includes coast guard), Air and Air Defense Forces, National Guard (2008) |
| **Germany** | *Federal Armed Forces (Bundeswehr):* Army (Heer), Navy (Deutsche Marine, includes naval air arm), Air Force (Luftwaffe), Central Medical Service (Zentraler Sanitaetsdienst) (2008) |
| **Ghana** | Ghanaian Army, Ghanaian Navy, Ghanaian Air Force (2007) |
| **Gibraltar** | Royal Gibraltar Regiment |
| **Greece** | Hellenic Army (Ellinikos Stratos, ES), Hellenic Navy (Ellinikos Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polimiki Aeroporia, EPA) (2007) |
| **Greenland** | no regular military forces |
| **Grenada** | no regular military forces; Royal Grenada Police Force (includes Coast Guard) (2007) |
| **Guatemala** | Army, Navy (includes Marines), Air Force |
| **Guinea** | *Armed Forces:* Army, Navy (Marine Guineenne, includes Marines), Air Force, Presidential Guard (2008) |
| **Guinea-Bissau** | *People's Revolutionary Armed Force (FARP):* Army, Navy, Air Force; paramilitary force |
| **Guyana** | *Guyana Defense Force:* Army (includes Coast Guard, Air Corps) (2007) |
| **Haiti** | no regular military forces - small Coast Guard; the regular Haitian Armed Forces (FAdH) - Army, Navy, and Air Force - have been demobilized but still exist on paper unless they are constitutionally abolished (2007) |
| **Holy See (Vatican City)** | Pontifical Swiss Guard (Corpo della Guardia Svizzera Pontificia) (2007) |
| **Honduras** | Army, Navy (includes Naval Infantry), Honduran Air Force (Fuerza Aerea Hondurena, FAH) (2008) |
| **Hong Kong** | no regular indigenous military forces; Hong Kong garrison of China's People's Liberation Army (PLA) includes elements of the PLA Ground Forces, PLA Navy, and PLA Air Force; these forces are under the direct leadership of the Central Military Commission in Beijing and under administrative control of the adjacent Guangzhou Military Region (2007) |
| **Hungary** | Ground Forces, Hungarian Air Force (Magyar Legiero, ML) (2008) |
| **Iceland** | no regular military forces; Icelandic National Police (2008) |
| **India** | Army, Navy (includes naval air arm), Air Force (Bharatiya Vayu Sena), Coast Guard (2008) |
| **Indonesia** | *Indonesian Armed Forces (Tentara Nasional Indonesia, TNI):* Army (TNI-Angkatan Darat (TNI-AD)), Navy (TNI-Angkatan Laut (TNI-AL); includes marines, naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Kommando Pertahanan Udara Nasional (Kohanudnas)) (2008) |
| **Iran** | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy, Air Force of the Military of the Islamic Republic of Iran (Niru-ye Hava'i-ye Artesh-e Jomhuri-ye Eslami-ye Iran; includes air defense); Islamic Revolutionary Guard Corps (Sepah-e Pasdaran-e Enqelab-e Eslami, IRGC): Ground Forces, Navy, Air Force, Qods Force (special operations), and Basij Force (Popular Mobilization Army); Law Enforcement Forces (2008) |
| **Iraq** | *Iraqi Armed Forces:* Iraqi Army (includes Iraqi Special Operations Force, Iraqi Intervention Force), Iraqi Navy (former Iraqi Coastal Defense Force), Iraqi Air Force (former Iraqi Army Air Corps) (2005) |
| **Ireland** | *Irish Defense Forces (Oglaigh na h-Eireann):* Army (includes Naval Service and Air Corps (Aer-Chor na h-Eireann)) (2008) |
| **Israel** | Israel Defense Forces (IDF), Israel Naval Forces (INF), Israel Air Force (IAF) (2007) |
| **Italy** | Italian Army (Esercito Italiano, EI), Italian Navy (Marina Militare Italiana, MMI), Italian Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Arma dei Carabinieri, CC) (2008) |
| **Jamaica** | *Jamaica Defense Force:* Ground Forces, Coast Guard, Air Wing (2007) |
| **Japan** | *Japanese Ministry of Defense (MOD):* Ground Self-Defense Force (Rikujou Jietai, GSDF), Maritime Self-Defense Force (Kaijou Jietai, MSDF), Air Self-Defense Force (Koku Jieitai, ASDF) (2008) |
| **Jordan** | *Jordanian Armed Forces (JAF):* Royal Jordanian Land Force, Royal Jordanian Navy, Royal Jordanian Air Force (Al-Quwwat al-Jawwiya al-Malakiya al-Urduniya, RJAF), Special Operations Command (Socom); Public Security Directorate (normally falls under Ministry of Interior, but comes under JAF in wartime or crisis) (2008) |
| **Kazakhstan** | Ground Forces, Naval Force, Air and Air Defense Forces, Republican Guard |
| **Kenya** | Kenyan Army, Kenyan Navy, Kenyan Air Force (2008) |
| **Kiribati** | no regular military forces (constitutionally prohibited); Police Force (2008) |
| **Korea, North** | *North Korean People's Army:* Ground Forces, Navy, Air Force; civil security forces (2005) |
| **Korea, South** | Republic of Korea Army, Navy (includes Marine Corps), Air Force (2008) |
| **Kuwait** | Land Forces, Kuwaiti Navy, Kuwaiti Air Force (Al-Quwwat al-Jawwiya al-Kuwaitiya), National Guard (2007) |
| **Kyrgyzstan** | Army, Air Force, National Guard (2005) |
| **Laos** | *Lao People's Armed Forces (LPAF):* Lao People's Army (LPA; includes Riverine Force), Air Force (2008) |
| **Latvia** | *National Armed Forces (Nacionalo Brunoto Speku):* Ground Forces, Navy (Latvijas Juras Speki; includes Coast Guard (Latvijas Kara Flotes)), Latvian Air Force (Latvijas Gaisa Speki), Border Guard, Latvian Home Guard (Latvijas Zemessardze) (2008) |
| **Lebanon** | *Lebanese Armed Forces (LAF):* Army (includes Navy), Air Force (2008) |
| **Lesotho** | *Lesotho Defense Force (LDF):* Army (includes Air Wing) (2008) |
| **Liberia** | *Armed Forces of Liberia (AFL):* Army, Navy, Air Force |
| **Libya** | Armed Peoples on Duty (APOD, Army), Libyan Arab Navy, Libyan Arab Air Force (Al-Quwwat al-Jawwiya al-Jamahiriya al-Arabia al-Libyya, LAAF) (2008) |
| **Liechtenstein** | no regular military forces (constitutionally prohibited); Principality of Liechtenstein National Police (Landespolizei, LP) (2008) |
| **Lithuania** | Ground Forces, Naval Force, Lithuanian Military Air Forces, National Defense Volunteer Forces (2005) |
| **Luxembourg** | Army (2007) |
| **Macau** | no regular military forces; defense is the responsibility of China (2008) |
| **Macedonia** | *Army of the Republic of Macedonia (ARM):* Joint Operational Command, with subordinate Air Wing (Makedonsko Voeno Vozduhoplovstvo, MVV), Special Operations Regiment (2007) |
| **Madagascar** | *People's Armed Forces:* Intervention Force, Development Force, and Aeronaval Force (navy and air); National Gendarmerie |
| **Malawi** | *Malawi Armed Forces:* Army (includes Air Wing and Naval Detachment) (2007) |
| **Malaysia** | *Malaysian Armed Forces (Angkatan Tentera Malaysia, ATM):* Malaysian Army (Tentera Darat Malaysia), Royal Malaysian Navy (Tentera Laut Diraja Malaysia, TLDM), Royal Malaysian Air Force (Tentera Udara Diraja Malaysia, TUDM) (2008) |
| **Maldives** | *Maldives National Defense Force (MNDF):* Quick Reaction Force, Security Protection Group, Coast Guard (2007) |
| **Mali** | *Malian Armed Forces:* Army, Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM), National Guard (2008) |
| **Malta** | Armed Forces of Malta (AFM; includes air and maritime elements) (2007) |
| **Marshall Islands** | no regular military forces; under the 1983 Compact of Free Association, the US has full authority and responsibility for security and defense of the Marshall Islands; Marshall Islands Police (2008) |
| **Mauritania** | *Mauritanian Armed Forces:* Army, Mauritanian Navy (Marine Mauritanienne; includes naval infantry), Islamic Air Force of Mauritania (Force Aerienne Islamique de Mauritanie, FAIM) (2008) |
| **Mauritius** | no regular military forces; National Police Force, Special Mobile Force, National Coast Guard (2008) |
| **Mexico** | Secretariat of National Defense (Secretaria de Defensa Nacional, Sedena): Army (Ejercito, includes Mexican Air Force (Fuerza Aerea Mexicana, FAM)); Secretariat of the Navy (Secretaria de Marina, Semar): Mexican Navy (Armada de Mexico, ARM, includes Naval Air Force (FAN) and naval infantry) (2008) |
| **Micronesia, Federated States of** | no regular military forces |
| **Moldova** | *National Army:* Ground Forces, Rapid Reaction Forces, Air and Air Defense Forces (2008) |
| **Monaco** | no regular military forces; the Palace Guard performs ceremonial duties |
| **Mongolia** | *Mongolian Armed Forces:* Mongolian Army, Mongolian Air Force; there is no navy (2008) |
| **Montenegro** | *Armed Forces of the Republic of Montenegro:* Army, Navy (serves as Coast Guard), Air Force (2008) |
| **Montserrat** | no regular military forces; Royal Montserrat Police Force (2008) |
| **Morocco** | *Royal Armed Forces (Forces Armees Royales, FAR):* Royal Moroccan Army (includes Air Defense), Navy (includes Marines), Royal Moroccan Air Force (Al Quwwat al Jawyiya al Malakiya Marakishiya; Force Aerienne Royale Marocaine) (2008) |
| **Mozambique** | *Mozambique Armed Defense Forces (FADM):* Mozambique Army, Mozambique Navy (Marinha Mocambique, MM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) (2006) |
| **Namibia** | *Namibian Defense Force:* Army, Navy, Air Wing (2008) |
| **Nauru** | no regular military forces; Nauru Police Force (2008) |
| **Nepal** | Nepalese Army, Armed Police Force (2008) |
| **Netherlands** | Royal Netherlands Army, Royal Netherlands Navy (includes Naval Air Service and Marine Corps), Royal Netherlands Air Force (Koninklijke Luchtmacht, KLu), Royal Military Police (2008) |
| **Netherlands Antilles** | no regular military forces; National Guard (2008) |
| **New Caledonia** | no regular indigenous military forces; French Armed Forces (includes Army, Navy, Air Force, Gendarmerie); Police Force |
| **New Zealand** | *New Zealand Defense Force (NZDF):* New Zealand Army, Royal New Zealand Navy, Royal New Zealand Air Force (2008) |
| **Nicaragua** | National Army of Nicaragua (ENN; includes Navy, Air Force) (2008) |
| **Niger** | *Nigerien Armed Forces (Forces Armees Nigeriennes, FAN):* Army, Niger Air Force (Force Aerienne du Niger) (2008) |
| **Nigeria** | *Nigerian Armed Forces:* Army, Navy, Air Force (2008) |
| **Niue** | no regular indigenous military forces; Police Force |
| **Norway** | Norwegian Army (Haeren), Royal Norwegian Navy (Kongelige Norske Sjoeforsvaret, RNoN; includes Coastal Rangers and Coast Guard (Kystvakt)), Royal Norwegian Air Force (Kongelige Norske Luftforsvaret, RNoAF), Home Guard (Heimevernet, HV) (2007) |
| **Oman** | *Sultan's Armed Forces (SAF):* Royal Army of Oman, Royal Navy of Oman, Royal Air Force of Oman (2008) |
| **Pakistan** | Army (includes National Guard), Navy (includes Marines and Maritime Security Agency), Pakistan Air Force (Pakistan Fiza'ya) (2008) |
| **Palau** | no regular military forces; Palau National Police (2008) |
| **Panama** | no regular military forces; Panamanian Public Forces or PPF includes the Panamanian National Police (PNP), National Maritime Service (NMS), and National Air Service (NAS) (2008) |
| **Papua New Guinea** | Papua New Guinea Defense Force (PNGDF; includes Maritime Operations Element, Air Operations Element) (2008) |
| **Paraguay** | Army, National Navy (Armada Nacional, includes Naval Aviation, Marine Corps, General Naval Prefecture), Air Force (Fuerza Aerea Paraguay, FAP) (2008) |
| **Peru** | Army of Peru (Ejercito Peruano), Navy of Peru (Marina de Guerra del Peru, MGP (includes naval air, naval infantry, and Coast Guard)), Air Force of Peru (Fuerza Aerea del Peru, FAP) (2008) |
| **Philippines** | *Armed Forces of the Philippines (AFP):* Army, Navy (includes Marine Corps), Air Force (2008) |
| **Poland** | *Polish Armed Forces:* Land Forces (includes Navy (Marynarka Wojenna, MW)), Polish Air Force (Sily Powietrzne Rzeczypospolitej Polskiej, SPRP) (2008) |
| **Portugal** | Portuguese Army (Exercito Portugues), Portuguese Navy (Marinha Portuguesa; includes Marine Corps), Portuguese Air Force (Forca Aerea Portuguesa, FAP) (2008) |
| **Puerto Rico** | no regular indigenous military forces; paramilitary National Guard, Police Force |
| **Qatar** | Qatari Amiri Land Force (QALF), Qatari Amiri Navy (QAN), Qatari Amiri Air Force (QAAF) (2007) |
| **Romania** | Land Forces, Naval Forces, Romanian Air Force (Fortele Aeriene Romane, FAR), Special Operations (2008) |
| **Russia** | *Ground Forces (SV), Navy (VMF), Air Forces (Voyenno-Vozdushniye Sily, VVS); Airborne Troops (VDV), Strategic Rocket Troops (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN), and Space Troops (KV) are independent "combat arms," not subordinate to any of the three branches; Russian Ground Forces include the following combat arms:* motorized-rifle troops, tank troops, missile and artillery troops, air defense of ground troops (2008) |
| **Rwanda** | *Rwandan Defense Forces:* Army, Air Force |
| **Saint Kitts and Nevis** | Saint Kitts and Nevis Defense Force (includes Coast Guard), Royal Saint Kitts and Nevis Police Force |
| **Saint Lucia** | no regular military forces; Royal Saint Lucia Police Force (includes Special Service Unit, Coast Guard) (2007) |
| **Saint Vincent and the Grenadines** | no regular military forces; Royal Saint Vincent and the Grenadines Police Force, Coast Guard (2007) |
| **Samoa** | no regular military forces; Samoa Police Force (2008) |
| **San Marino** | no regular military forces; Voluntary Military Force (Corpi Militari Voluntar) performs ceremonial duties and limited police support functions (2008) |
| **Sao Tome and Principe** | *Armed Forces of Sao Tome and Principe (FASTP):* Army, Coast Guard of Sao Tome e Principe (Guarda Costeira de Sao Tome e Principe, GCSTP), Presidential Guard (2007) |
| **Saudi Arabia** | Land Forces (Army), Navy, Air Force, Air Defense Force, National Guard, Ministry of Interior Forces (paramilitary) |
| **Senegal** | Army, Senegalese Navy (Marine Senegalaise), Senegalese Air Force (Armee de l'Air du Senegal) (2008) |
| **Serbia** | *Serbian Armed Forces (Vojska Srbije, VS):* Land Forces Command (includes Riverine Component, consisting of a river flotilla on the Danube), Joint Operations Command, Air and Air Defense Forces Command (2008) |
| **Seychelles** | *Seychelles Defense Force:* Army, Coast Guard (includes Naval Wing, Air Wing), National Guard (2005) |
| **Sierra Leone** | *Republic of Sierra Leone Armed Forces (RSLAF):* Army (includes Navy (Maritime Wing), Air Wing) (2008) |
| **Singapore** | *Singapore Armed Forces:* Army, Navy, Air Force (includes Air Defense) (2008) |
| **Slovakia** | *Armed Forces of the Slovak Republic (Ozbrojene Sily Slovenskej Republiky):* Land Forces (Pozemne Sily), Air Forces (Vzdusne Sily) (2008) |
| **Slovenia** | Slovenian Army (includes air and naval forces) |
| **Solomon Islands** | no regular military forces; Solomon Islands Police Force (2008) |
| **Somalia** | no national-level armed forces (2008) |
| **South Africa** | *South African National Defense Force (SANDF):* South African Army, South African Navy (SAN), South African Air Force (SAAF), Joint Operations Command, Military Intelligence, Military Health Services (2008) |
| **Spain** | *Spanish Armed Forces:* Army (Ejercito de Tierra), Spanish Navy (Armada Espanola, AE; includes Marine Corps), Spanish Air Force (Ejercito del Aire Espanola, EdA) (2007) |
| **Sri Lanka** | Sri Lanka Army, Sri Lanka Navy, Sri Lanka Air Force (2008) |
| **Sudan** | Sudanese Armed Forces (SAF): Land Forces, Navy, Air Force, Popular Defense Forces; Sudan People's Liberation Army (SPLA): Land Forces (2008) |
| **Suriname** | National Army (Nationaal Leger, NL; includes Naval Wing, Air Wing) (2007) |
| **Svalbard** | no regular military forces |
| **Swaziland** | *Umbutfo Swaziland Defense Force (USDF):* Ground Force (includes air wing) (2008) |
| **Sweden** | *Swedish Armed Forces (Forsvarsmakten):* Army (Armen), Royal Swedish Navy (Marinen), Swedish Air Force (Svenska Flygvapnet) (2008) |
| **Switzerland** | *Swiss Armed Forces:* Land Forces, Swiss Air Force (Schweizer Luftwaffe) (2007) |
| **Syria** | *Syrian Armed Forces:* Syrian Arab Army, Syrian Arab Navy, Syrian Arab Air and Air Defense Forces (includes Air Defense Command) (2008) |
| **Taiwan** | Army, Navy (includes Marine Corps), Air Force, Coast Guard Administration, Armed Forces Reserve Command, Combined Service Forces Command, Armed Forces Police Command |
| **Tajikistan** | Ground Forces, Air and Air Defense Forces, Mobile Force (2008) |
| **Tanzania** | *Tanzanian People's Defense Force (Jeshi la Wananchi la Tanzania, JWTZ):* Army, Naval Wing (includes Coast Guard), Air Defense Command (includes Air Wing), National Service (2007) |
| **Thailand** | Royal Thai Army (RTA), Royal Thai Navy (RTN, includes Royal Thai Marine Corps), Royal Thai Air Force (Knogtap Agard Thai, RTAF) (2008) |
| **Timor-Leste** | *Timor-Leste Defense Force (Forcas de Defesa de Timor-L'este, Falintil (FDTL)):* Army, Navy (Armada) (2008) |
| **Togo** | *Togolese Armed Forces:* Ground Forces, Togolese Navy (Marine du Togo), Togolese Air Force (Force Aerienne Togolaise, FAT), National Gendarmerie (2008) |
| **Tonga** | *Tonga Defense Services (TDS):* Land Force (Royal Guard), Naval Force (includes Royal Marines, Air Wing) (2008) |
| **Trinidad and Tobago** | *Trinidad and Tobago Defense Force (TTDF):* Trinidad and Tobago Regiment, Coast Guard, Air Guard (2008) |
| **Tunisia** | Army, Navy, Republic of Tunisia Air Force (Al-Quwwat al-Jawwiya al-Jamahiriyah At'tunisia) (2008) |
| **Turkey** | *Turkish Armed Forces (TSK):* Turkish Land Forces (Turk Kara Kuvvetleri, TKK), Turkish Naval Forces (Turk Deniz Kuvvetleri, TDK; includes naval air and naval infantry), Turkish Air Force (Turk Hava Kuvvetleri, THK) (2008) |
| **Turkmenistan** | Ground Forces, Navy, Air and Air Defense Forces (2007) |
| **Tuvalu** | no regular military forces; Tuvalu Police Force (2008) |
| **Uganda** | *Uganda Peoples Defense Force (UPDF):* Army (includes Marine Unit), Air Force (2007) |
| **Ukraine** | Ground Forces, Naval Forces, Air Forces (Viyskovo-Povitryani Syly), Air Defense Forces (2002) |
| **United Arab Emirates** | *United Arab Emirates Armed Forces:* Army, Navy (includes Marines), Air Force and Air Defense, National Coast Guard (2008) |
| **United Kingdom** | Army, Royal Navy (includes Royal Marines), Royal Air Force |
| **United States** | US Army, US Navy (includes Marine Corps), US Air Force, US Coast Guard; note - Coast Guard administered in peacetime by the Department of Homeland Security, but in wartime reports to the Department of the Navy (2008) |
| **Uruguay** | *Uruguayan Armed Forces:* Army (Ejercito), Navy (Armada Nacional; includes naval air arm, Marines, Maritime Prefecture in wartime), Air Force (Fuerza Aerea Uruguaya, FAU) (2008) |
| **Uzbekistan** | Army, Air and Air Defense Forces, National Guard |
| **Vanuatu** | no regular military forces; Vanuatu Police Force (VPF), Vanuatu Mobile Force (VMF; includes Police Maritime Wing (PMW)) (2008) |
| **Venezuela** | *National Armed Forces (Fuerza Armada Nacionale, FAN):* Ground Forces or Army (Fuerzas Terrestres or Ejercito), Naval Forces (Fuerzas Navales or Armada; includes Marines, Coast Guard), Air Force (Fuerzas Aereas or Aviacion), Armed Forces of Cooperation or National Guard (Fuerzas Armadas de Cooperacion or Guardia Nacional) |
